gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410123.0,2024-09-08T13:00:00,1,2024,1,MIN,NYG,AWAY,28.0,6.0,34.0,MetLife Stadium,7.0,7.0,14.0,0.0,0.0,,,27:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,,,32:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004451,20,23,,22.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410220.0,2024-09-15T13:00:00,1,2024,2,MIN,SF,HOME,23.0,17.0,40.0,U.S. Bank Stadium,3.0,10.0,7.0,3.0,0.0,27.0,34.0,25:12,17.0,7.0,8.0,2.0,51.0,312.0,6.1,4.0,26.0,111.0,4.3,1.0,24.0,19.0,201.0,2.0,1.0,8.4,10.6,79.2,111.98,10.0,3.0,30.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,7.0,63.0,1.0,1.0,1.0,7.0,12.0,6.0,4.0,168.0,42.0,2.0,2.0,0.0,0.0,7.0,0.0,10.0,0.0,32.0,26.0,34:48,14.0,5.0,8.0,1.0,68.0,240.0,3.5,0.0,21.0,74.0,3.5,0.0,42.0,22.0,166.0,0.0,2.0,4.0,7.5,52.4,42.36,18.0,7.0,38.9,3.0,1.0,33.3,3.0,0.0,0.0,0.0,9.0,95.0,1.0,0.0,5.0,20.0,2.0,4.0,6.0,277.0,46.2,2.0,2.0,0.0,100.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,24.0,5.0,20.0,6.0,0.0,0.0,39.0,9.0,1.0,7.0,4.0,1.0,1.0,Sunday,993004492,20,31,18682.0,6.0,1,0.0,0.3,0.0,0.0943946393976765,0.4626865671641791,0.3193807779462077,-0.0041167873916073,-0.2345986908270318,0.3820224719101123,-0.4257494982516452,-0.1601281575981135,28.0,6.0,22.0,312.0,240.0,0.0,0.3,1.0,28.0,6.0,1.0,0.0943946393976765,0.4626865671641791,0.3193807779462077,-0.0041167873916073,-0.2345986908270318,0.3820224719101123,-0.4257494982516452,-0.1601281575981135,0.0943946393976765,-0.2345986908270318
202410320.0,2024-09-22T13:00:00,1,2024,3,MIN,HOU,HOME,34.0,7.0,41.0,U.S. Bank Stadium,14.0,0.0,7.0,13.0,0.0,25.0,12.0,29:18,17.0,8.0,9.0,0.0,54.0,403.0,7.5,2.0,24.0,146.0,6.1,0.0,26.0,17.0,257.0,2.0,1.0,9.9,15.1,65.4,107.37,12.0,7.0,58.3,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,53.0,3.0,1.0,4.0,11.0,7.0,8.0,3.0,151.0,50.3,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,34.0,48.0,30:42,24.0,5.0,17.0,2.0,67.0,396.0,5.9,2.0,25.0,102.0,4.1,1.0,36.0,28.0,294.0,1.0,1.0,8.2,10.5,77.8,98.38,10.0,2.0,20.0,3.0,1.0,33.3,4.0,2.0,0.0,0.0,4.0,30.0,3.0,1.0,6.0,25.0,6.0,5.0,2.0,99.0,49.5,2.0,2.0,0.0,33.3,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,33.0,6.0,25.0,6.0,1.0,1.0,36.0,19.0,4.0,11.0,5.0,2.0,1.0,Sunday,993004524,20,13,18696.0,27.0,1,0.0,0.583,0.0,-0.0535165447474094,0.5294117647058824,-0.1186964061810028,0.0763348227050258,-0.1330567598999834,0.4941176470588235,-0.0233392642000001,-0.1651639381513645,25.5,11.5,14.0,357.5,318.0,0.0,0.442,1.0,51.0,23.0,2.0,0.020439047325133554,0.49604916593503073,0.10034218588260244,0.03610901765670925,-0.1838277253635076,0.43807005948446787,-0.22454438122582265,-0.162646047874739,0.020439047325133554,-0.1838277253635076
202410412.0,2024-09-29T13:00:00,1,2024,4,MIN,GB,AWAY,31.0,29.0,60.0,Lambeau Field,14.0,14.0,0.0,3.0,0.0,29.0,18.0,32:15,19.0,5.0,12.0,2.0,60.0,274.0,4.6,4.0,28.0,118.0,4.2,0.0,28.0,17.0,156.0,4.0,0.0,5.6,9.2,60.7,115.48,13.0,6.0,46.2,1.0,1.0,100.0,5.0,4.0,0.0,0.0,5.0,30.0,1.0,0.0,4.0,25.0,8.0,9.0,4.0,193.0,48.2,0.0,2.0,2.0,0.0,7.0,0.0,22.0,0.0,30.0,42.0,27:45,17.0,0.0,16.0,1.0,63.0,296.0,4.7,1.0,14.0,38.0,2.7,0.0,44.0,28.0,258.0,1.0,2.0,5.9,9.2,63.6,68.18,14.0,4.0,28.6,4.0,2.0,50.0,2.0,1.0,0.0,0.0,11.0,88.0,0.0,0.0,5.0,49.0,6.0,6.0,4.0,177.0,44.2,2.0,0.0,-2.0,80.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,20.0,5.0,49.0,8.0,0.0,0.0,37.0,19.0,4.0,25.0,3.0,1.0,0.0,Sunday,993004555,20,12,18711.0,2.0,1,2.0,0.462,0.0,0.1199314688470426,0.4936708860759494,0.13764980952083,0.0432444898803994,-0.2619168003533497,0.3372093023255814,-0.2005838544156172,-0.3411196806383404,28.3,10.0,18.3,329.6666666666667,310.6666666666667,0.667,0.448,1.0,85.0,30.0,3.0,0.05360318783243657,0.49525640598200366,0.11277806042867829,0.0384875083979393,-0.20985741702678828,0.40444980709817235,-0.21655753895575416,-0.22213725879593946,0.05360318783243657,-0.20985741702678828
202410520.0,2024-10-06T09:30:00,1,2024,5,MIN,NYJ,HOME,23.0,17.0,40.0,Tottenham Hotspur Stadium,10.0,7.0,0.0,6.0,0.0,32.0,15.0,30:37,22.0,8.0,11.0,3.0,64.0,374.0,5.8,4.0,34.0,120.0,3.5,1.0,28.0,20.0,254.0,3.0,1.0,9.1,12.7,71.4,120.24,11.0,4.0,36.4,1.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,55.0,2.0,2.0,2.0,21.0,10.0,3.0,5.0,225.0,45.0,3.0,4.0,1.0,0.0,7.0,3.0,7.0,0.0,27.0,45.0,29:23,24.0,3.0,19.0,2.0,74.0,465.0,6.3,4.0,19.0,86.0,4.5,0.0,54.0,32.0,379.0,4.0,3.0,7.0,11.8,59.3,82.25,12.0,4.0,33.3,2.0,0.0,0.0,5.0,4.0,0.0,0.0,8.0,68.0,1.0,1.0,1.0,10.0,3.0,5.0,3.0,180.0,60.0,4.0,3.0,-1.0,60.0,0.0,80.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,41.0,23.0,1.0,10.0,12.0,1.0,1.0,45.0,23.0,2.0,21.0,2.0,1.0,2.0,Sunday,993004578,20,24,18727.0,6.0,1,1.0,0.364,0.0,0.0005203807013697649,0.5,0.3489769685741412,-0.3112763934106373,-0.0733524636134963,0.4623655913978494,-0.0938041545706096,-0.1009874709998257,29.3,17.7,11.7,350.3333333333333,385.6666666666667,1.0,0.47,1.0,116.0,59.0,4.0,0.02231176826700099,0.5076942169272772,0.12264345730465613,-0.06389902694173737,-0.15610867462227646,0.43123084692741803,-0.10590909106207563,-0.2024236965965102,0.040332486049669866,-0.1757311786734653
202410720.0,2024-10-20T13:00:00,1,2024,7,MIN,DET,HOME,29.0,31.0,60.0,U.S. Bank Stadium,10.0,0.0,7.0,12.0,0.0,30.0,37.0,30:57,17.0,4.0,8.0,5.0,66.0,253.0,3.8,2.0,30.0,82.0,2.7,1.0,32.0,15.0,171.0,0.0,1.0,5.3,11.4,46.9,50.39,13.0,4.0,30.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,80.0,2.0,1.0,4.0,32.0,11.0,4.0,4.0,185.0,46.2,2.0,3.0,1.0,0.0,21.0,7.0,3.0,0.0,29.0,23.0,29:03,17.0,2.0,13.0,2.0,71.0,254.0,3.6,2.0,14.0,36.0,2.6,0.0,54.0,29.0,218.0,2.0,3.0,4.0,7.5,53.7,52.85,17.0,5.0,29.4,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,76.0,1.0,0.0,3.0,26.0,7.0,6.0,6.0,295.0,49.2,3.0,2.0,-1.0,100.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,41.0,15.0,3.0,26.0,9.0,1.0,0.0,41.0,16.0,4.0,32.0,6.0,0.0,1.0,Sunday,993004636,20,11,18745.0,-2.0,0,1.0,0.308,0.0,-0.0708574089648607,0.4347826086956521,-0.0196022869544452,-0.3610677420178294,-0.1619018121832579,0.4555555555555555,-0.2540796370531275,-0.5479411870848189,29.3,17.7,11.7,300.3333333333333,338.3333333333333,1.333,0.378,1.0,139.0,76.0,5.0,0.016531480194517223,0.47615116492386717,0.15567483038017532,-0.20969988184935576,-0.16572369205003462,0.4183768164263288,-0.18282254867978476,-0.3300161129076617,0.018094507046763755,-0.17296530537542382
202410832.0,2024-10-24T20:15:00,1,2024,8,MIN,LAR,AWAY,20.0,30.0,50.0,SoFi Stadium,14.0,0.0,3.0,3.0,0.0,30.0,57.0,26:23,16.0,4.0,10.0,2.0,52.0,383.0,7.4,3.0,21.0,139.0,6.6,1.0,27.0,22.0,244.0,1.0,1.0,9.0,11.1,81.5,101.23,10.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,59.0,0.0,0.0,4.0,15.0,7.0,5.0,3.0,145.0,48.3,1.0,1.0,0.0,7.0,7.0,7.0,9.0,0.0,29.0,3.0,33:37,19.0,3.0,15.0,1.0,56.0,391.0,7.0,4.0,27.0,144.0,5.3,2.0,25.0,22.0,247.0,2.0,0.0,9.9,11.2,88.0,134.5,10.0,4.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,49.0,3.0,1.0,4.0,33.0,5.0,4.0,4.0,219.0,54.8,1.0,1.0,0.0,0.0,0.0,100.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,33.0,4.0,33.0,2.0,3.0,1.0,43.0,11.0,4.0,15.0,2.0,0.0,0.0,Thursday,993004661,20,32,18772.0,-10.0,0,0.0,0.4,0.0,0.0079932760554641,0.3815789473684211,-0.0162024899701945,-0.0346034952021641,0.0427712270713423,0.4743589743589743,0.5144102324165627,-0.3954402378467084,27.7,25.7,2.0,336.6666666666667,370.0,0.667,0.357,0.8,168.0,107.0,5.0,-0.020781250736008946,0.438787185354691,0.10439073054983383,-0.23564921021021026,-0.06416101624180394,0.46409337377079307,0.05550881359760854,-0.34812296531045095,0.0008142343783212741,-0.11749132179574899
202410920.0,2024-11-03T20:20:00,1,2024,9,MIN,IND,HOME,21.0,13.0,34.0,U.S. Bank Stadium,0.0,0.0,14.0,7.0,0.0,26.0,23.0,36:54,17.0,3.0,14.0,0.0,50.0,276.0,5.5,2.0,22.0,64.0,2.9,0.0,25.0,18.0,212.0,2.0,0.0,8.5,11.8,72.0,124.08,7.0,2.0,28.6,0.0,0.0,0.0,4.0,2.0,0.0,0.0,9.0,50.0,0.0,0.0,3.0,28.0,2.0,6.0,3.0,151.0,50.3,0.0,1.0,1.0,0.0,7.0,0.0,6.0,0.0,33.0,37.0,23:06,26.0,5.0,16.0,5.0,66.0,386.0,5.8,4.0,32.0,107.0,3.3,0.0,34.0,25.0,279.0,4.0,1.0,8.2,11.2,73.5,124.51,10.0,4.0,40.0,1.0,1.0,100.0,3.0,3.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,128.0,42.7,1.0,0.0,-1.0,50.0,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.0,0.0,0.0,5.0,0.0,0.0,33.0,21.0,3.0,28.0,0.0,0.0,0.0,Sunday,993004720,20,14,18791.0,8.0,1,1.0,0.286,0.0,0.0935265420596364,0.4923076923076923,0.2965074955604395,-0.1653650687250774,0.1480016944232345,0.5,0.5303012893239681,-0.1427945625498602,24.0,26.0,-2.0,304.0,343.6666666666667,0.667,0.331,0.6,188.0,137.0,5.0,0.010220803050079932,0.43622308279058847,0.08690090621193326,-0.1870121019816903,0.009623703103772996,0.4766381766381766,0.2635439615624678,-0.3620586624937958,0.03022285173973043,-0.0612796309311054
202411015.0,2024-11-10T13:00:00,1,2024,10,MIN,JAX,AWAY,12.0,7.0,19.0,EverBank Stadium,3.0,0.0,3.0,6.0,0.0,36.0,54.0,42:19,29.0,10.0,17.0,2.0,71.0,415.0,5.8,3.0,32.0,133.0,4.2,0.0,35.0,29.0,282.0,3.0,2.0,8.1,9.7,82.9,105.0,12.0,6.0,50.0,1.0,1.0,100.0,5.0,3.0,0.0,0.0,3.0,41.0,1.0,1.0,4.0,30.0,7.0,4.0,2.0,83.0,41.5,3.0,2.0,-1.0,7.0,0.0,0.0,0.0,0.0,23.0,6.0,17:41,13.0,3.0,9.0,1.0,49.0,227.0,4.6,1.0,19.0,68.0,3.6,0.0,27.0,16.0,159.0,0.0,1.0,5.9,9.9,59.3,60.57,11.0,3.0,27.3,2.0,1.0,50.0,0.0,0.0,0.0,0.0,7.0,50.0,1.0,1.0,3.0,20.0,7.0,8.0,3.0,148.0,49.3,2.0,3.0,1.0,60.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,28.0,20.0,3.0,20.0,5.0,0.0,1.0,56.0,22.0,4.0,30.0,2.0,1.0,1.0,Sunday,993004731,20,15,18803.0,5.0,1,-1.0,0.5,0.0,-0.1335848421508239,0.5176470588235295,-0.0654783015917039,-0.0321837585128378,-0.2787332080964023,0.391304347826087,-0.2977623768966164,-0.3823929960269353,23.3,24.7,-1.3,358.0,334.6666666666667,0.0,0.395,0.6,209.0,150.0,6.0,-0.010688341345241131,0.4638445661665476,0.07160890133284704,-0.07738410748002643,-0.02932009553394181,0.4552211073950205,0.24898304828130483,-0.30687593214116793,-0.020480410459842866,-0.06464291247971593
202411134.0,2024-11-17T13:00:00,1,2024,11,MIN,TEN,AWAY,23.0,13.0,36.0,Nissan Stadium,7.0,9.0,7.0,0.0,0.0,42.0,19.0,32:31,28.0,10.0,15.0,3.0,82.0,402.0,4.9,0.0,43.0,169.0,3.9,0.0,38.0,24.0,233.0,0.0,3.0,6.1,9.7,63.2,47.37,14.0,5.0,35.7,1.0,1.0,100.0,5.0,0.0,0.0,0.0,6.0,40.0,0.0,0.0,1.0,8.0,4.0,8.0,2.0,72.0,36.0,3.0,3.0,0.0,3.0,0.0,7.0,3.0,0.0,17.0,41.0,27:29,10.0,4.0,5.0,1.0,43.0,143.0,3.3,1.0,18.0,56.0,3.1,1.0,22.0,14.0,87.0,0.0,2.0,4.0,6.2,63.6,33.71,11.0,5.0,45.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,25.0,1.0,1.0,3.0,24.0,3.0,4.0,5.0,274.0,54.8,3.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,3.0,24.0,2.0,0.0,1.0,53.0,33.0,1.0,8.0,6.0,0.0,0.0,Sunday,993004765,20,34,18814.0,10.0,1,0.0,0.357,0.0,-0.0092909325048634,0.4639175257731959,0.0093784565015884,-0.0123755240083709,-0.1904815425188715,0.4181818181818181,-0.2591305225630224,-0.4143006024314672,17.7,16.7,1.0,364.3333333333333,252.0,0.0,0.381,0.6,221.0,157.0,7.0,-0.01644974419868363,0.49129075896813923,0.080135883490108,-0.06997478374876202,-0.10707101873067974,0.4364953886693017,-0.008863870045223543,-0.31316272033608755,-0.0224426731010895,-0.08806872826079097
