gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410122.0,2024-09-08T13:00:00,1,2024,1,NO,CAR,HOME,47.0,10.0,57.0,Caesars Superdome,17.0,13.0,7.0,10.0,0.0,,,36:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,7.0,0.0,0.0,,,23:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993004460,22,5,,37.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410209.0,2024-09-15T13:00:00,1,2024,2,NO,DAL,AWAY,44.0,19.0,63.0,AT&T Stadium,14.0,21.0,6.0,3.0,0.0,36.0,39.0,30:31,22.0,13.0,7.0,2.0,62.0,379.0,6.1,5.0,37.0,180.0,4.9,2.0,24.0,19.0,199.0,3.0,0.0,8.3,10.5,79.2,140.8,13.0,7.0,53.8,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10.0,95.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,73.0,36.5,1.0,3.0,2.0,3.0,13.0,3.0,0.0,0.0,23.0,21.0,29:29,11.0,2.0,7.0,2.0,55.0,193.0,3.5,1.0,20.0,58.0,2.9,1.0,31.0,13.0,135.0,0.0,2.0,4.4,10.4,41.9,28.29,10.0,1.0,10.0,3.0,1.0,33.3,2.0,1.0,0.0,0.0,6.0,80.0,1.0,1.0,4.0,26.0,1.0,6.0,5.0,191.0,38.2,3.0,1.0,-2.0,100.0,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,16.0,4.0,26.0,6.0,1.0,1.0,43.0,29.0,1.0,1.0,3.0,0.0,1.0,Sunday,993004481,22,9,18681.0,25.0,1,2.0,0.538,0.0,0.1967065273778137,0.4938271604938271,0.3412333207292921,0.1089326342047768,-0.3748216510351601,0.3846153846153846,-0.3357187777997037,-0.7684812226832625,47.0,10.0,37.0,379.0,193.0,2.0,0.538,1.0,47.0,10.0,1.0,0.1967065273778137,0.4938271604938271,0.3412333207292921,0.1089326342047768,-0.3748216510351601,0.3846153846153846,-0.3357187777997037,-0.7684812226832625,0.1967065273778137,-0.3748216510351601
202410322.0,2024-09-22T13:00:00,1,2024,3,NO,PHI,HOME,12.0,15.0,27.0,Caesars Superdome,3.0,0.0,0.0,9.0,0.0,30.0,31.0,27:45,24.0,15.0,8.0,1.0,56.0,432.0,7.7,6.0,39.0,190.0,4.9,4.0,16.0,11.0,242.0,2.0,1.0,15.1,22.0,68.8,125.0,8.0,5.0,62.5,0.0,0.0,0.0,5.0,4.0,0.0,0.0,5.0,40.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,49.0,49.0,1.0,2.0,1.0,0.0,0.0,0.0,15.0,0.0,29.0,29.0,32:15,20.0,5.0,13.0,2.0,66.0,353.0,5.3,1.0,21.0,68.0,3.2,0.0,42.0,28.0,285.0,1.0,2.0,6.8,10.2,66.7,74.01,13.0,6.0,46.2,3.0,1.0,33.3,3.0,0.0,0.0,0.0,4.0,26.0,1.0,0.0,3.0,14.0,1.0,2.0,1.0,53.0,53.0,2.0,1.0,-1.0,80.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,42.0,23.0,3.0,14.0,9.0,1.0,0.0,35.0,24.0,1.0,1.0,3.0,0.0,0.0,Sunday,993004520,22,26,18692.0,-3.0,0,1.0,0.625,0.0,0.337516378850327,0.5972222222222222,0.7835279257759747,0.2406582961549134,-0.0741754052942403,0.4597701149425287,-0.2094350251626607,-0.0465529844979755,45.5,14.5,31.0,405.5,273.0,1.5,0.582,1.0,91.0,29.0,2.0,0.26711145311407036,0.5455246913580246,0.5623806232526334,0.1747954651798451,-0.22449852816470017,0.4221927497789566,-0.2725769014811822,-0.407517103590619,0.26711145311407036,-0.22449852816470017
202410402.0,2024-09-29T13:00:00,1,2024,4,NO,ATL,AWAY,24.0,26.0,50.0,Mercedes-Benz Stadium,7.0,7.0,3.0,7.0,0.0,27.0,45.0,35:42,12.0,5.0,7.0,0.0,55.0,219.0,4.0,1.0,29.0,89.0,3.1,0.0,25.0,14.0,130.0,1.0,1.0,5.2,9.3,56.0,67.08,13.0,6.0,46.2,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,25.0,0.0,0.0,1.0,12.0,8.0,7.0,4.0,162.0,40.5,1.0,2.0,1.0,7.0,10.0,3.0,6.0,0.0,32.0,15.0,24:18,20.0,8.0,11.0,1.0,67.0,460.0,6.9,2.0,25.0,172.0,6.9,2.0,38.0,29.0,288.0,0.0,1.0,7.6,9.9,76.3,86.29,14.0,6.0,42.9,3.0,1.0,33.3,3.0,1.0,0.0,0.0,7.0,45.0,2.0,1.0,4.0,23.0,4.0,6.0,1.0,43.0,43.0,2.0,1.0,-1.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,47.0,15.0,4.0,23.0,3.0,2.0,1.0,38.0,20.0,1.0,12.0,8.0,0.0,0.0,Sunday,993004557,22,2,18712.0,-2.0,0,1.0,0.462,0.0,-0.1560014866676373,0.3529411764705882,0.0162083829697141,-0.4292421424653622,-0.0978338258757624,0.3855421686746988,-0.0666692740441602,0.1774344692404954,34.3,14.7,19.7,343.3333333333333,335.3333333333333,1.333,0.542,0.667,103.0,44.0,2.0,0.12607380652016778,0.48133018639554587,0.3803232098249936,-0.026550404035224,-0.18227696073505426,0.4099758894108707,-0.20394102566884154,-0.2125332459802475,0.12607380652016778,-0.18227696073505426
202410516.0,2024-10-07T20:15:00,1,2024,5,NO,KC,AWAY,13.0,26.0,39.0,Arrowhead Stadium,0.0,7.0,0.0,6.0,0.0,35.0,42.0,20:04,25.0,12.0,11.0,2.0,70.0,366.0,5.2,3.0,33.0,131.0,4.0,3.0,36.0,28.0,235.0,0.0,1.0,6.5,8.4,77.8,82.29,13.0,7.0,53.8,2.0,1.0,50.0,4.0,3.0,0.0,0.0,6.0,60.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,120.0,40.0,2.0,1.0,-1.0,7.0,9.0,0.0,10.0,0.0,24.0,18.0,39:56,14.0,4.0,9.0,1.0,51.0,315.0,6.2,2.0,15.0,88.0,5.9,0.0,35.0,21.0,227.0,0.0,1.0,6.5,10.8,60.0,67.2,11.0,4.0,36.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,76.0,1.0,0.0,1.0,11.0,3.0,4.0,3.0,132.0,44.0,1.0,2.0,1.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,33.0,16.0,1.0,11.0,7.0,1.0,0.0,50.0,27.0,1.0,4.0,3.0,0.0,1.0,Monday,993004601,22,16,18724.0,-13.0,0,-1.0,0.538,0.0,0.047679202597097,0.5164835164835165,-0.0377570543874025,0.1544083608728904,0.0838783990469054,0.4246575342465753,-0.075358107463871,0.0861939763708505,26.7,20.0,6.7,339.0,376.0,0.333,0.542,0.5,127.0,70.0,2.0,0.07639803159326224,0.48888230505877567,0.25399308478609545,-0.011391828479186128,-0.029376944041032433,0.4233232726212676,-0.1171541355568973,0.07235848703779015,0.1064751555394001,-0.11573812078956434
202410622.0,2024-10-13T13:00:00,1,2024,6,NO,TB,HOME,27.0,51.0,78.0,Caesars Superdome,0.0,27.0,0.0,0.0,0.0,20.0,4.0,25:58,14.0,1.0,11.0,2.0,51.0,220.0,4.3,2.0,15.0,46.0,3.1,0.0,35.0,20.0,174.0,2.0,1.0,5.0,8.7,57.1,77.56,10.0,4.0,40.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,70.0,0.0,0.0,1.0,8.0,6.0,4.0,4.0,199.0,49.8,1.0,1.0,0.0,17.0,7.0,7.0,20.0,0.0,39.0,56.0,34:02,28.0,11.0,15.0,2.0,80.0,460.0,5.8,2.0,39.0,139.0,3.6,2.0,39.0,28.0,321.0,0.0,1.0,8.2,11.5,71.8,85.52,14.0,6.0,42.9,1.0,1.0,100.0,7.0,2.0,0.0,0.0,6.0,55.0,1.0,0.0,2.0,10.0,9.0,3.0,1.0,56.0,56.0,1.0,1.0,0.0,100.0,0.0,28.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,50.0,37.0,2.0,10.0,2.0,1.0,0.0,27.0,20.0,1.0,8.0,4.0,0.0,0.0,Sunday,993004614,22,33,18733.0,-24.0,0,0.0,0.4,0.0,-0.0863882905720793,0.3768115942028985,-0.0849205347566078,-0.1302917906307682,0.0942793797498279,0.5670103092783505,0.1793486105085669,0.0847025699269007,16.3,22.3,-6.0,268.3333333333333,411.6666666666667,0.0,0.467,0.4,140.0,96.0,2.0,-0.0649035248808732,0.4154120957190011,-0.03548973539143203,-0.13504185740774666,0.026774650973656968,0.4590700040665416,0.012440409666845231,0.11611033851274888,0.06790246631710421,-0.07373462068168589
202410722.0,2024-10-17T20:15:00,1,2024,7,NO,DEN,HOME,10.0,33.0,43.0,Caesars Superdome,0.0,3.0,0.0,7.0,0.0,25.0,58.0,26:44,19.0,3.0,13.0,3.0,66.0,303.0,4.6,3.0,21.0,81.0,3.9,1.0,40.0,22.0,222.0,1.0,2.0,5.6,10.1,55.0,58.54,13.0,4.0,30.8,1.0,1.0,100.0,4.0,2.0,0.0,0.0,7.0,70.0,3.0,1.0,5.0,21.0,2.0,4.0,6.0,266.0,44.3,3.0,3.0,0.0,3.0,13.0,10.0,7.0,0.0,34.0,2.0,33:16,31.0,13.0,15.0,3.0,72.0,594.0,8.2,7.0,35.0,277.0,7.9,2.0,36.0,24.0,317.0,4.0,3.0,8.8,13.2,66.7,96.64,10.0,6.0,60.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,12.0,86.0,1.0,0.0,1.0,8.0,10.0,5.0,3.0,132.0,44.0,3.0,3.0,0.0,50.0,0.0,80.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,47.0,30.0,1.0,8.0,11.0,1.0,0.0,37.0,24.0,5.0,21.0,6.0,2.0,1.0,Thursday,993004632,22,10,18756.0,-23.0,0,0.0,0.308,0.0,-0.254321587945108,0.4565217391304347,-0.4070534001143148,-0.2788472152009559,0.0717839353007101,0.5360824742268041,0.0875883520771102,0.3425745610038575,21.3,34.3,-13.0,296.3333333333333,456.3333333333333,-0.333,0.415,0.2,167.0,147.0,2.0,-0.09767689197336343,0.44993894993894995,-0.17657699641944166,-0.08491021498627789,0.0833139046991478,0.5092501059172433,0.06385961837393538,0.1711570357672029,-0.022303156747480124,0.01558649658548814
202410829.0,2024-10-27T16:05:00,1,2024,8,NO,LAC,AWAY,8.0,26.0,34.0,SoFi Stadium,2.0,3.0,3.0,0.0,0.0,26.0,44.0,28:52,15.0,6.0,7.0,2.0,66.0,271.0,4.1,1.0,21.0,97.0,4.6,0.0,39.0,28.0,174.0,1.0,0.0,4.5,6.2,71.8,89.05,17.0,5.0,29.4,4.0,3.0,75.0,2.0,1.0,0.0,0.0,5.0,35.0,2.0,2.0,6.0,36.0,0.0,3.0,6.0,267.0,44.5,2.0,1.0,-1.0,0.0,9.0,7.0,10.0,0.0,33.0,16.0,31:08,22.0,13.0,8.0,1.0,61.0,389.0,6.4,3.0,35.0,225.0,6.4,2.0,26.0,16.0,164.0,0.0,0.0,6.3,10.2,61.5,79.65,11.0,4.0,36.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,47.0,1.0,1.0,0.0,0.0,11.0,6.0,3.0,129.0,43.0,1.0,2.0,1.0,50.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,39.0,23.0,0.0,0.0,2.0,1.0,1.0,40.0,26.0,6.0,36.0,3.0,2.0,2.0,Sunday,993004679,22,29,18775.0,-18.0,0,-1.0,0.294,0.0,-0.2893397714810179,0.4090909090909091,-0.4397581394185449,-0.0028957003617987,0.0652446480156771,0.5432098765432098,-0.0453073538712886,0.2451118698421246,16.7,36.7,-20.0,264.6666666666667,481.0,-0.333,0.334,0.0,177.0,180.0,2.0,-0.21001654999940175,0.41414141414141414,-0.3105773580964891,-0.13734490206450758,0.07710265435540503,0.5487675533494548,0.0738765362381295,0.22412966692429429,-0.14767438681374911,0.043470507247471625
202410905.0,2024-11-03T13:00:00,1,2024,9,NO,CAR,AWAY,22.0,23.0,45.0,Bank of America Stadium,6.0,7.0,3.0,6.0,0.0,28.0,52.0,34:19,15.0,4.0,9.0,2.0,68.0,366.0,5.4,0.0,21.0,117.0,5.6,0.0,42.0,22.0,249.0,0.0,0.0,5.9,11.3,52.4,70.44,16.0,2.0,12.5,1.0,1.0,100.0,1.0,0.0,0.0,0.0,7.0,66.0,0.0,0.0,5.0,32.0,7.0,6.0,9.0,437.0,48.6,0.0,0.0,0.0,0.0,10.0,7.0,6.0,0.0,31.0,8.0,25:41,19.0,6.0,12.0,1.0,64.0,378.0,5.9,3.0,29.0,122.0,4.2,1.0,32.0,20.0,256.0,2.0,0.0,8.0,12.8,62.5,108.33,12.0,3.0,25.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,34.0,2.0,0.0,3.0,23.0,7.0,6.0,6.0,344.0,57.3,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,41.0,15.0,3.0,23.0,4.0,1.0,0.0,40.0,18.0,5.0,32.0,5.0,0.0,0.0,Sunday,993004701,22,5,18781.0,-1.0,0,0.0,0.125,0.0,-0.2054665829418026,0.3763440860215054,-0.2273073801189793,-0.1858749558007167,0.0409377289630369,0.3809523809523809,0.1410967582481447,-0.1938110405649059,15.0,36.7,-21.7,313.3333333333333,453.6666666666667,-0.333,0.242,0.0,185.0,206.0,2.0,-0.24970931412264283,0.41398557808094977,-0.35803963988394627,-0.15587262378782374,0.05932210409314137,0.4867482439074649,0.06112591881798876,0.13129179676035876,-0.15756740606858216,0.07122481821523148
202411022.0,2024-11-10T13:00:00,1,2024,10,NO,ATL,HOME,20.0,17.0,37.0,Caesars Superdome,0.0,17.0,3.0,0.0,0.0,34.0,19.0,24:53,25.0,11.0,12.0,2.0,74.0,427.0,5.8,2.0,41.0,197.0,4.8,1.0,32.0,18.0,230.0,1.0,0.0,7.2,12.8,56.2,89.32,15.0,5.0,33.3,3.0,2.0,66.7,4.0,2.0,0.0,0.0,10.0,109.0,0.0,0.0,1.0,6.0,4.0,5.0,4.0,169.0,42.2,0.0,1.0,1.0,0.0,7.0,10.0,0.0,0.0,25.0,41.0,35:07,15.0,5.0,8.0,2.0,50.0,246.0,4.9,3.0,23.0,80.0,3.5,2.0,26.0,16.0,166.0,1.0,1.0,6.4,10.4,61.5,76.76,10.0,4.0,40.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,55.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,216.0,43.2,1.0,0.0,-1.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,26.0,22.0,1.0,5.0,4.0,0.0,0.0,41.0,42.0,1.0,6.0,2.0,0.0,0.0,Sunday,993004740,22,2,18800.0,3.0,1,1.0,0.333,0.0,0.0644628662245614,0.4375,0.0798697721215331,0.1494477170067727,0.0315162630222698,0.4366197183098591,0.1196949252406715,-0.0715151198000011,13.3,27.3,-14.0,354.6666666666667,337.6666666666667,0.0,0.251,0.0,207.0,229.0,2.0,-0.1434478293994197,0.40764499837080487,-0.19573191580533034,-0.013107646385247548,0.045899546666994605,0.45359399193514993,0.07182810987250919,-0.006738096840927442,-0.15421067334308927,0.06075239101030435
