gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202410131.0,2024-09-09T20:15:00,1,2024,1,NYJ,SF,AWAY,19.0,32.0,51.0,Levi's Stadium,7.0,0.0,6.0,6.0,0.0,,,21:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,10.0,6.0,0.0,,,38:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,993004477,24,31,,-13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202410234.0,2024-09-15T13:00:00,1,2024,2,NYJ,TEN,AWAY,24.0,17.0,41.0,Nissan Stadium,0.0,7.0,10.0,7.0,0.0,21.0,20.0,30:03,14.0,3.0,11.0,0.0,49.0,266.0,5.4,3.0,19.0,68.0,3.6,1.0,29.0,19.0,198.0,2.0,1.0,6.8,10.4,65.5,93.75,10.0,6.0,60.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,10.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,160.0,53.3,2.0,0.0,-2.0,7.0,3.0,7.0,0.0,0.0,38.0,40.0,29:57,24.0,10.0,12.0,2.0,70.0,401.0,5.7,2.0,38.0,180.0,4.7,2.0,29.0,19.0,221.0,0.0,0.0,7.6,11.6,65.5,88.43,13.0,6.0,46.2,0.0,0.0,0.0,5.0,2.0,0.0,0.0,4.0,40.0,0.0,0.0,3.0,10.0,4.0,1.0,1.0,58.0,58.0,0.0,2.0,2.0,100.0,0.0,40.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,49.0,20.0,3.0,10.0,4.0,0.0,0.0,29.0,13.0,1.0,5.0,4.0,1.0,1.0,Sunday,993004487,24,34,18669.0,7.0,1,-2.0,0.6,0.0,-0.0026216831108622,0.484375,0.0419228396344843,-0.2116500986812688,0.1739016485493884,0.5,0.1978844299340746,0.0518930857053621,19.0,32.0,-13.0,266.0,401.0,-2.0,0.6,0.0,19.0,32.0,0.0,-0.0026216831108622,0.484375,0.0419228396344843,-0.2116500986812688,0.1739016485493884,0.5,0.1978844299340746,0.0518930857053621,-0.0026216831108622,0.1739016485493884
202410324.0,2024-09-19T20:15:00,1,2024,3,NYJ,NE,HOME,24.0,3.0,27.0,MetLife Stadium,7.0,7.0,7.0,3.0,0.0,30.0,3.0,40:04,16.0,6.0,9.0,1.0,56.0,265.0,4.7,3.0,24.0,101.0,4.2,1.0,30.0,18.0,164.0,2.0,0.0,5.5,9.1,60.0,97.08,12.0,5.0,41.7,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,70.0,0.0,0.0,2.0,12.0,6.0,6.0,6.0,302.0,50.3,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,29.0,57.0,19:56,20.0,9.0,7.0,4.0,60.0,300.0,5.0,2.0,28.0,130.0,4.6,1.0,28.0,19.0,170.0,1.0,1.0,6.1,8.9,67.9,80.95,12.0,5.0,41.7,1.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,45.0,1.0,1.0,4.0,22.0,3.0,6.0,4.0,226.0,56.5,2.0,0.0,-2.0,50.0,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,15.0,4.0,22.0,5.0,1.0,1.0,38.0,14.0,2.0,12.0,2.0,0.0,0.0,Thursday,993004512,24,21,18698.0,21.0,1,2.0,0.417,0.0,0.0865483474078242,0.4594594594594595,0.1194900115225804,0.028821345492774,-0.066402308896418,0.4625,-0.0811192025384547,-0.0418863043994664,21.5,24.5,-3.0,265.5,350.5,0.0,0.508,0.5,43.0,49.0,1.0,0.041963332148481004,0.4719172297297297,0.08070642557853236,-0.09141437659424739,0.05374966982648519,0.48125,0.05838261369780995,0.005003390652947852,0.041963332148481004,0.05374966982648519
202410424.0,2024-09-29T13:00:00,1,2024,4,NYJ,DEN,HOME,9.0,10.0,19.0,MetLife Stadium,0.0,6.0,0.0,3.0,0.0,40.0,4.0,31:44,27.0,9.0,16.0,2.0,70.0,400.0,5.7,3.0,33.0,133.0,4.0,1.0,35.0,27.0,267.0,2.0,0.0,7.6,9.9,77.1,117.2,15.0,10.0,66.7,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,106.0,1.0,0.0,2.0,14.0,15.0,5.0,3.0,122.0,40.7,0.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,19.0,56.0,28:16,11.0,3.0,6.0,2.0,48.0,139.0,2.9,0.0,15.0,78.0,5.2,0.0,26.0,16.0,61.0,0.0,0.0,2.3,3.8,61.5,65.87,11.0,2.0,18.2,3.0,3.0,100.0,1.0,0.0,0.0,0.0,5.0,70.0,1.0,1.0,7.0,59.0,4.0,5.0,5.0,245.0,49.0,1.0,0.0,-1.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,19.0,7.0,59.0,2.0,1.0,1.0,49.0,25.0,2.0,14.0,1.0,1.0,0.0,Sunday,993004546,24,10,18716.0,-1.0,0,1.0,0.667,0.0,0.1202897095775789,0.5232558139534884,0.4058810956608749,-0.0555958494738055,-0.2202137294216154,0.4285714285714285,-0.3118890801282949,-0.2970457238082488,22.3,17.3,5.0,310.3333333333333,280.0,0.333,0.561,0.667,67.0,52.0,2.0,0.06807212462484696,0.4890300911376493,0.18909798227264654,-0.0794748675541001,-0.03757146325621501,0.46369047619047615,-0.065041284244225,-0.09567964750078435,0.06807212462484696,-0.03757146325621501
202410520.0,2024-10-06T09:30:00,1,2024,5,NYJ,MIN,AWAY,17.0,23.0,40.0,Tottenham Hotspur Stadium,0.0,7.0,3.0,7.0,0.0,31.0,44.0,29:23,16.0,4.0,10.0,2.0,70.0,248.0,3.5,0.0,23.0,64.0,2.8,0.0,42.0,24.0,184.0,0.0,0.0,4.4,7.7,57.1,67.96,17.0,4.0,23.5,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,90.0,1.0,1.0,5.0,41.0,2.0,7.0,7.0,316.0,45.1,1.0,1.0,0.0,10.0,7.0,0.0,6.0,0.0,28.0,16.0,30:37,12.0,8.0,3.0,1.0,56.0,186.0,3.3,1.0,31.0,126.0,4.1,0.0,25.0,12.0,60.0,1.0,0.0,2.4,5.0,48.0,67.92,14.0,3.0,21.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,74.0,1.0,1.0,0.0,0.0,14.0,8.0,8.0,339.0,42.4,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,31.0,26.0,0.0,0.0,2.0,1.0,1.0,46.0,27.0,5.0,41.0,4.0,1.0,1.0,Sunday,993004577,24,20,18730.0,-6.0,0,0.0,0.235,0.0,-0.2204511427142852,0.3473684210526316,-0.213879009453213,-0.2909266988904841,-0.2361808836677937,0.3684210526315789,-0.5443497407470896,0.024999502925424,19.0,10.0,9.0,304.3333333333333,208.33333333333334,1.0,0.44,0.5,76.0,62.0,2.0,-0.004537695242960697,0.44336123148852646,0.1038306992434141,-0.10590040095717186,-0.17426564066194236,0.41983082706766917,-0.3124526744712797,-0.10464417509409706,-0.004058692209936071,-0.08722381835910968
202410624.0,2024-10-14T20:15:00,1,2024,6,NYJ,BUF,HOME,20.0,23.0,43.0,MetLife Stadium,10.0,7.0,3.0,0.0,0.0,29.0,23.0,30:26,17.0,2.0,13.0,2.0,71.0,254.0,3.6,2.0,14.0,36.0,2.6,0.0,54.0,29.0,218.0,2.0,3.0,4.0,7.5,53.7,52.85,17.0,5.0,29.4,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,76.0,1.0,0.0,3.0,26.0,7.0,6.0,6.0,295.0,49.2,3.0,2.0,-1.0,7.0,13.0,0.0,3.0,0.0,30.0,37.0,29:34,17.0,4.0,8.0,5.0,66.0,253.0,3.8,2.0,30.0,82.0,2.7,1.0,32.0,15.0,171.0,0.0,1.0,5.3,11.4,46.9,50.39,13.0,4.0,30.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,80.0,2.0,1.0,4.0,32.0,11.0,4.0,4.0,185.0,46.2,2.0,3.0,1.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,41.0,16.0,4.0,32.0,6.0,0.0,1.0,41.0,15.0,3.0,26.0,9.0,1.0,0.0,Monday,993004630,24,4,18745.0,-3.0,0,-1.0,0.294,0.0,-0.1619018121832579,0.4555555555555555,-0.2540796370531275,-0.5479411870848189,-0.0708574089648607,0.4347826086956521,-0.0196022869544452,-0.3610677420178294,16.7,12.0,4.7,300.6666666666667,192.66666666666666,0.0,0.399,0.4,93.0,85.0,2.0,-0.08735441510665472,0.44205993018722517,-0.020692516948488542,-0.29815457848303617,-0.17575067401808994,0.41059169663288647,-0.2919470359432766,-0.2110379876335514,-0.03562731620460043,-0.08395053648025988
202410728.0,2024-10-20T20:20:00,1,2024,7,NYJ,PIT,AWAY,15.0,37.0,52.0,Acrisure Stadium,7.0,8.0,0.0,0.0,0.0,30.0,26.0,27:51,20.0,5.0,12.0,3.0,59.0,393.0,6.7,2.0,21.0,121.0,5.8,0.0,35.0,23.0,272.0,2.0,1.0,7.8,11.8,65.7,96.37,12.0,4.0,33.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,11.0,110.0,1.0,0.0,3.0,22.0,2.0,2.0,2.0,96.0,48.0,1.0,0.0,-1.0,3.0,10.0,10.0,14.0,0.0,29.0,34.0,32:09,24.0,10.0,10.0,4.0,60.0,359.0,6.0,3.0,33.0,149.0,4.5,1.0,25.0,19.0,210.0,2.0,0.0,8.4,11.1,76.0,127.08,11.0,5.0,45.5,0.0,0.0,0.0,4.0,3.0,0.0,0.0,11.0,94.0,1.0,0.0,2.0,5.0,5.0,5.0,3.0,159.0,53.0,0.0,1.0,1.0,25.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,40.0,26.0,2.0,5.0,2.0,1.0,0.0,40.0,20.0,3.0,22.0,8.0,1.0,0.0,Sunday,993004655,24,28,18747.0,-22.0,0,-1.0,0.333,0.0,0.074150420719833,0.4430379746835443,0.2997210962823629,-0.0707844988739287,0.1278833430918826,0.5116279069767442,0.3348414151675472,0.1927762922257118,15.3,18.7,-3.3,298.3333333333333,266.0,-0.667,0.288,0.4,113.0,108.0,2.0,-0.10273417805923668,0.41532065043057714,-0.05607918340799254,-0.30321746161641056,-0.0597183165135906,0.43827718943465843,-0.07637020417799589,-0.047763982288897854,-0.020272895438461398,-0.09315419757176105
202410821.0,2024-10-27T13:00:00,1,2024,8,NYJ,NE,AWAY,22.0,25.0,47.0,Gillette Stadium,6.0,7.0,3.0,6.0,0.0,27.0,51.0,29:34,17.0,3.0,13.0,1.0,55.0,323.0,5.9,2.0,15.0,54.0,3.6,1.0,39.0,24.0,269.0,1.0,2.0,6.9,11.2,61.5,69.28,10.0,3.0,30.0,2.0,1.0,50.0,3.0,2.0,0.0,0.0,5.0,50.0,2.0,0.0,1.0,7.0,5.0,4.0,4.0,177.0,44.2,2.0,0.0,-2.0,7.0,0.0,7.0,11.0,0.0,32.0,9.0,30:26,21.0,8.0,12.0,1.0,66.0,409.0,6.2,4.0,36.0,149.0,4.1,2.0,29.0,16.0,260.0,2.0,0.0,9.0,16.2,55.2,108.41,14.0,5.0,35.7,2.0,2.0,100.0,6.0,4.0,0.0,0.0,4.0,36.0,0.0,0.0,1.0,4.0,8.0,5.0,4.0,184.0,46.0,0.0,2.0,2.0,66.7,0.0,66.7,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,40.0,29.0,1.0,4.0,3.0,0.0,0.0,35.0,16.0,1.0,7.0,6.0,1.0,0.0,Sunday,993004673,24,21,18763.0,-3.0,0,-2.0,0.3,0.0,-0.1199787786366175,0.44,0.0020663716936398,-0.1414197125777718,0.1763129224841615,0.4523809523809524,0.2865936037707219,0.0575221766360169,17.3,27.7,-10.3,323.3333333333333,340.3333333333333,-1.333,0.309,0.2,128.0,145.0,2.0,-0.06924339003334745,0.4461978434130333,0.01590261030762506,-0.25338179951217316,0.07777961887039446,0.46626382268444955,0.20061091066127465,-0.03692309105203355,-0.061578320647349735,-0.044611151295645135
202410924.0,2024-10-31T20:15:00,1,2024,9,NYJ,HOU,HOME,21.0,13.0,34.0,MetLife Stadium,0.0,0.0,7.0,14.0,0.0,29.0,34.0,26:18,22.0,6.0,12.0,4.0,57.0,336.0,5.9,3.0,28.0,112.0,4.0,1.0,28.0,17.0,224.0,2.0,0.0,8.0,13.2,60.7,109.82,10.0,4.0,40.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,8.0,55.0,2.0,0.0,1.0,9.0,4.0,5.0,4.0,177.0,44.2,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,30.0,26.0,33:42,19.0,10.0,7.0,2.0,63.0,248.0,3.9,3.0,31.0,112.0,3.6,3.0,30.0,18.0,136.0,0.0,0.0,4.5,7.6,60.0,70.97,15.0,7.0,46.7,1.0,1.0,100.0,4.0,3.0,0.0,0.0,5.0,50.0,2.0,0.0,2.0,19.0,5.0,2.0,5.0,236.0,47.2,0.0,0.0,0.0,60.0,0.0,75.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,40.0,29.0,2.0,19.0,3.0,1.0,0.0,29.0,30.0,1.0,9.0,3.0,1.0,0.0,Thursday,993004694,24,13,18788.0,8.0,1,0.0,0.4,0.0,0.0183968693463997,0.5,0.2745047399116536,0.0570206443163832,0.014263550803632,0.4634146341463415,0.122979893218033,-0.0942923061894751,19.0,28.3,-9.3,350.6666666666667,338.6666666666667,-1.0,0.344,0.0,150.0,170.0,2.0,-0.009143829523461594,0.46101265822784815,0.19209740262921873,-0.051727855711772464,0.10615327212655869,0.4758078311680127,0.2481383040521007,0.05200205422408455,-0.08195688869358558,0.0022843047494043407
202411001.0,2024-11-10T16:25:00,1,2024,10,NYJ,ARI,AWAY,6.0,31.0,37.0,State Farm Stadium,3.0,3.0,0.0,0.0,0.0,26.0,18.0,27:18,17.0,4.0,11.0,2.0,55.0,293.0,5.3,3.0,21.0,100.0,4.8,0.0,32.0,22.0,193.0,3.0,0.0,6.0,8.8,68.8,115.76,12.0,5.0,41.7,1.0,1.0,100.0,3.0,2.0,0.0,0.0,9.0,83.0,2.0,1.0,2.0,18.0,11.0,10.0,5.0,274.0,54.8,1.0,1.0,0.0,14.0,10.0,7.0,0.0,0.0,33.0,42.0,32:42,21.0,10.0,6.0,5.0,75.0,322.0,4.3,1.0,36.0,187.0,5.2,1.0,31.0,11.0,135.0,0.0,0.0,4.4,12.3,35.5,49.8,17.0,6.0,35.3,2.0,2.0,100.0,4.0,1.0,0.0,0.0,7.0,60.0,2.0,1.0,8.0,56.0,4.0,7.0,3.0,154.0,51.3,1.0,1.0,0.0,66.7,0.0,25.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,46.0,20.0,8.0,56.0,4.0,1.0,1.0,29.0,23.0,2.0,18.0,4.0,1.0,0.0,Sunday,993004745,24,1,18806.0,-25.0,0,0.0,0.417,0.0,0.1170591968089984,0.4520547945205479,0.2602989572009793,-0.2380543709261387,0.0115980637160271,0.4105263157894737,-0.0906735559497822,0.0365536712721222,19.3,25.0,-5.7,317.3333333333333,326.3333333333333,-0.667,0.372,0.2,171.0,183.0,3.0,0.00515909583959354,0.46401826484018266,0.17895668960209088,-0.1074844797291758,0.06739151233460687,0.4421073007722558,0.10629998034632422,-7.215276044531677e-05,-0.014454820788928855,0.0518400942261685
