gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510108.0,2025-09-07T13:00:00,1,2025,1,CLE,CIN,HOME,16.0,17.0,33.0,Huntington Bank Field,0.0,10.0,6.0,0.0,0.0,,,35:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,3.0,0.0,0.0,,,24:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005122,8,7,,-1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510203.0,2025-09-14T13:00:00,1,2025,2,CLE,BAL,AWAY,17.0,41.0,58.0,M&T Bank Stadium,0.0,3.0,7.0,7.0,0.0,35.0,49.0,31:49,22.0,5.0,13.0,4.0,71.0,327.0,4.6,2.0,24.0,49.0,2.0,1.0,45.0,31.0,278.0,1.0,2.0,6.2,9.0,68.9,74.12,16.0,9.0,56.2,3.0,2.0,66.7,3.0,2.0,0.0,0.0,7.0,53.0,0.0,0.0,2.0,12.0,7.0,8.0,2.0,97.0,48.5,2.0,0.0,-2.0,3.0,7.0,10.0,21.0,0.0,24.0,11.0,28:11,11.0,3.0,7.0,1.0,49.0,141.0,2.9,2.0,23.0,46.0,2.0,1.0,23.0,14.0,95.0,1.0,0.0,4.1,6.8,60.9,84.51,14.0,7.0,50.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,33.0,0.0,0.0,3.0,18.0,5.0,4.0,6.0,316.0,52.7,0.0,2.0,2.0,66.7,0.0,66.7,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,22.0,3.0,18.0,5.0,0.0,0.0,40.0,40.0,2.0,12.0,6.0,0.0,0.0,Sunday,993005167,8,3,19056.0,-24.0,0,-2.0,0.562,0.0,-0.0881013961395572,0.4,-0.0174525062025096,-0.065650434595148,-0.0664998918834929,0.4411764705882353,-0.01864389785363,-0.142049281473231,16.0,17.0,-1.0,327.0,141.0,-2.0,0.562,0.0,16.0,17.0,0.0,-0.0881013961395572,0.4,-0.0174525062025096,-0.065650434595148,-0.0664998918834929,0.4411764705882353,-0.01864389785363,-0.142049281473231,-0.0881013961395572,-0.0664998918834929
202510308.0,2025-09-21T13:00:00,1,2025,3,CLE,GB,HOME,13.0,10.0,23.0,Huntington Bank Field,0.0,0.0,0.0,13.0,0.0,31.0,49.0,25:46,17.0,7.0,10.0,0.0,72.0,323.0,4.5,2.0,22.0,115.0,5.2,0.0,48.0,28.0,208.0,2.0,1.0,4.3,7.4,58.3,73.96,18.0,7.0,38.9,3.0,1.0,33.3,2.0,2.0,0.0,0.0,6.0,42.0,2.0,1.0,2.0,11.0,5.0,5.0,5.0,223.0,44.6,2.0,0.0,-2.0,0.0,3.0,7.0,0.0,0.0,28.0,11.0,34:14,14.0,2.0,10.0,2.0,53.0,242.0,4.6,5.0,21.0,45.0,2.1,0.0,29.0,19.0,197.0,4.0,0.0,6.8,10.4,65.5,124.57,12.0,3.0,25.0,1.0,1.0,100.0,4.0,3.0,0.0,0.0,6.0,28.0,1.0,0.0,3.0,28.0,9.0,7.0,5.0,259.0,51.8,0.0,2.0,2.0,100.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,25.0,25.0,3.0,28.0,5.0,1.0,0.0,40.0,25.0,2.0,11.0,5.0,1.0,1.0,Sunday,993005198,8,12,19084.0,3.0,1,-2.0,0.389,0.0,-0.2268946369702979,0.4347826086956521,-0.4382525397520633,0.1448126251870278,0.1009051459794529,0.4415584415584415,0.2693623873153206,-0.2634188762030509,16.5,29.0,-12.5,325.0,191.5,-2.0,0.476,0.0,33.0,58.0,0.0,-0.15749801655492757,0.41739130434782606,-0.22785252297728645,0.03958109529593991,0.01720262704798,0.4413674560733384,0.12535924473084528,-0.20273407883814093,-0.15749801655492757,0.01720262704798
202510411.0,2025-09-28T13:00:00,1,2025,4,CLE,DET,AWAY,10.0,34.0,44.0,Ford Field,7.0,0.0,3.0,0.0,0.0,25.0,46.0,31:44,15.0,5.0,7.0,3.0,57.0,221.0,3.9,1.0,19.0,96.0,5.1,1.0,36.0,21.0,125.0,0.0,1.0,3.5,6.0,58.3,53.59,13.0,4.0,30.8,2.0,1.0,50.0,2.0,1.0,0.0,0.0,8.0,90.0,0.0,0.0,2.0,17.0,7.0,6.0,6.0,291.0,48.5,1.0,1.0,0.0,7.0,13.0,0.0,14.0,0.0,34.0,14.0,28:16,14.0,4.0,8.0,2.0,61.0,230.0,3.8,1.0,31.0,81.0,2.6,0.0,25.0,18.0,149.0,1.0,1.0,6.0,8.3,72.0,83.58,18.0,10.0,55.6,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,75.0,1.0,0.0,5.0,34.0,10.0,5.0,5.0,265.0,53.0,1.0,1.0,0.0,50.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,38.0,33.0,5.0,34.0,2.0,1.0,0.0,31.0,27.0,2.0,17.0,3.0,0.0,0.0,Sunday,993005221,8,11,19101.0,-24.0,0,0.0,0.308,0.0,-0.0927710168395504,0.4050632911392405,-0.1731296841248782,-0.0880967770026472,-0.0944787535526381,0.3975903614457831,0.0379510636022618,-0.1298064580318934,15.3,22.7,-7.3,290.3333333333333,204.33333333333334,-1.333,0.42,0.333,46.0,68.0,1.0,-0.13592234998313515,0.4132819666116309,-0.20961157669315036,-0.0029781954702557956,-0.0200244998188927,0.4267750911974866,0.09622318435465078,-0.17842487190272513,-0.13592234998313515,-0.0200244998188927
202510508.0,2025-10-05T09:30:00,1,2025,5,CLE,MIN,HOME,17.0,21.0,38.0,Tottenham Hotspur Stadium,7.0,3.0,7.0,0.0,0.0,31.0,44.0,30:29,16.0,7.0,8.0,1.0,65.0,249.0,3.8,1.0,27.0,79.0,2.9,1.0,35.0,16.0,170.0,0.0,2.0,4.9,10.6,45.7,36.61,14.0,3.0,21.4,1.0,1.0,100.0,2.0,1.0,0.0,0.0,6.0,44.0,2.0,1.0,3.0,14.0,5.0,4.0,7.0,314.0,44.9,3.0,1.0,-2.0,7.0,0.0,7.0,7.0,0.0,28.0,16.0,29:31,16.0,6.0,8.0,2.0,56.0,277.0,4.9,4.0,29.0,109.0,3.8,1.0,27.0,16.0,168.0,2.0,1.0,6.2,10.5,59.3,86.65,14.0,6.0,42.9,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,221.0,44.2,1.0,3.0,2.0,50.0,0.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,27.0,27.0,0.0,0.0,1.0,0.0,0.0,35.0,25.0,3.0,14.0,10.0,1.0,1.0,Sunday,993005248,8,20,19118.0,-4.0,0,-2.0,0.214,0.0,-0.382034402080385,0.3023255813953488,-0.5051452847337194,-0.0797857570936545,-0.083327471916213,0.430379746835443,-0.0525059183502796,-0.2462958623249765,13.3,28.3,-15.0,264.3333333333333,249.66666666666666,-1.333,0.304,0.25,56.0,102.0,1.0,-0.23390001863007778,0.3807238270767472,-0.37217583620355366,-0.0076899696364246305,-0.025633693163132732,0.4231761832798892,0.08493584418910093,-0.21317373218664026,-0.19745036300744762,-0.035850242843222774
202510628.0,2025-10-12T13:00:00,1,2025,6,CLE,PIT,AWAY,9.0,23.0,32.0,Acrisure Stadium,0.0,3.0,3.0,3.0,0.0,30.0,29.0,28:08,17.0,8.0,9.0,0.0,67.0,322.0,4.8,2.0,32.0,140.0,4.4,0.0,33.0,19.0,182.0,2.0,0.0,5.5,9.6,57.6,93.24,15.0,3.0,20.0,3.0,3.0,100.0,3.0,2.0,0.0,0.0,10.0,78.0,0.0,0.0,2.0,8.0,3.0,6.0,8.0,360.0,45.0,0.0,2.0,2.0,3.0,6.0,7.0,7.0,0.0,29.0,31.0,31:52,20.0,4.0,14.0,2.0,61.0,349.0,5.7,3.0,23.0,97.0,4.2,1.0,35.0,26.0,252.0,2.0,0.0,7.2,9.7,74.3,113.04,9.0,3.0,33.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,50.0,2.0,2.0,3.0,16.0,3.0,5.0,5.0,286.0,57.2,2.0,0.0,-2.0,66.7,0.0,100.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,27.0,3.0,16.0,3.0,2.0,2.0,33.0,37.0,2.0,8.0,5.0,0.0,0.0,Sunday,993005287,8,28,19045.0,-14.0,0,2.0,0.2,0.0,-0.0081321479333315,0.4157303370786517,-0.0745642582586618,-0.0164313136586262,0.0435270003079789,0.4683544303797468,0.2976772291517132,-0.4291213035834708,13.3,21.7,-8.3,264.0,285.3333333333333,0.0,0.241,0.2,73.0,123.0,1.0,-0.16097918895108898,0.3743730698710803,-0.25094640903908644,-0.06143794925164264,-0.044759741720290736,0.43210817955365766,0.09437412480123179,-0.26840787464678023,-0.1595867199926244,-0.019974794212982438
202510708.0,2025-10-19T13:00:00,1,2025,7,CLE,MIA,HOME,31.0,6.0,37.0,Huntington Bank Field,3.0,14.0,7.0,7.0,0.0,28.0,8.0,31:45,20.0,6.0,10.0,4.0,75.0,248.0,3.3,0.0,17.0,65.0,3.8,0.0,52.0,29.0,183.0,0.0,0.0,3.5,6.3,55.8,63.22,17.0,6.0,35.3,4.0,2.0,50.0,3.0,0.0,0.0,0.0,6.0,44.0,0.0,0.0,6.0,38.0,3.0,6.0,4.0,198.0,49.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,31.0,52.0,28:15,19.0,7.0,11.0,1.0,58.0,335.0,5.8,2.0,28.0,100.0,3.6,0.0,30.0,21.0,235.0,2.0,0.0,7.8,11.2,70.0,115.28,13.0,5.0,38.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,59.0,1.0,0.0,0.0,0.0,17.0,6.0,2.0,84.0,42.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,33.0,26.0,0.0,0.0,3.0,1.0,0.0,32.0,40.0,6.0,38.0,8.0,0.0,0.0,Sunday,993005318,8,19,19149.0,25.0,1,0.0,0.353,0.0,-0.0803353393494785,0.4329896907216495,-0.148861415951487,-0.0014433157869943,0.1152141477171054,0.4324324324324324,0.2961687767858729,-0.1208232169435802,12.0,26.0,-14.0,273.0,320.3333333333333,0.0,0.256,0.2,82.0,146.0,1.0,-0.156833963121065,0.38368186973188334,-0.24285698631462274,-0.03255346217975834,0.025137892036290438,0.4437222032158741,0.18044669586243547,-0.26541346095067586,-0.15803350863460866,0.01636801370713722
202510821.0,2025-10-26T13:00:00,1,2025,8,CLE,NE,AWAY,13.0,32.0,45.0,Gillette Stadium,7.0,0.0,0.0,6.0,0.0,31.0,45.0,23:48,15.0,5.0,6.0,4.0,53.0,206.0,3.9,4.0,33.0,104.0,3.2,3.0,18.0,13.0,102.0,0.0,0.0,5.7,7.8,72.2,85.88,11.0,4.0,36.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,37.0,1.0,0.0,2.0,14.0,6.0,11.0,6.0,258.0,43.0,0.0,4.0,4.0,3.0,6.0,21.0,2.0,0.0,28.0,15.0,36:12,12.0,3.0,7.0,2.0,57.0,219.0,3.8,0.0,22.0,99.0,4.5,0.0,31.0,17.0,120.0,0.0,3.0,3.9,7.1,54.8,24.33,13.0,1.0,7.7,4.0,2.0,50.0,2.0,0.0,0.0,0.0,11.0,103.0,6.0,1.0,4.0,33.0,3.0,9.0,4.0,189.0,47.2,4.0,0.0,-4.0,66.7,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,33.0,18.0,4.0,33.0,6.0,1.0,1.0,36.0,16.0,2.0,14.0,2.0,0.0,0.0,Sunday,993005347,8,21,19159.0,-19.0,0,4.0,0.364,0.0,-0.0545620018128037,0.3424657534246575,0.2279255168378931,-0.1905852372893908,-0.4167441480653667,0.3026315789473684,-0.6755602544580781,-0.2403820517578251,19.0,16.7,2.3,258.6666666666667,301.0,2.0,0.306,0.4,113.0,152.0,2.0,-0.04767649636520457,0.3970619270749862,0.001499947542581435,-0.06948662224500378,-0.08600100001342746,0.4011394805865159,-0.027238082840164008,-0.2634421907616254,-0.12356698160310982,-0.0871618451018267
202511024.0,2025-11-09T13:00:00,1,2025,10,CLE,NYJ,AWAY,20.0,27.0,47.0,MetLife Stadium,7.0,10.0,0.0,3.0,0.0,23.0,48.0,34:04,12.0,4.0,7.0,1.0,52.0,213.0,4.1,2.0,16.0,68.0,4.2,0.0,35.0,21.0,145.0,2.0,2.0,4.1,6.9,60.0,64.58,11.0,2.0,18.2,3.0,1.0,33.3,3.0,2.0,0.0,0.0,5.0,31.0,0.0,0.0,1.0,11.0,8.0,11.0,4.0,161.0,40.2,2.0,2.0,0.0,14.0,3.0,0.0,10.0,0.0,36.0,12.0,25:56,23.0,10.0,11.0,2.0,65.0,422.0,6.5,3.0,35.0,177.0,5.1,0.0,24.0,18.0,245.0,3.0,1.0,10.2,13.6,75.0,129.34,11.0,3.0,27.3,0.0,0.0,0.0,6.0,2.0,0.0,0.0,7.0,54.0,2.0,1.0,6.0,37.0,2.0,7.0,3.0,124.0,41.3,2.0,2.0,0.0,66.7,0.0,33.3,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,26.0,6.0,37.0,3.0,2.0,1.0,22.0,29.0,1.0,11.0,8.0,0.0,0.0,Sunday,993005393,8,24,19177.0,-7.0,0,0.0,0.182,0.0,-0.3062783590160893,0.3382352941176471,-0.4600360090634427,0.1002923640854922,-0.008562385525024,0.4880952380952381,0.3050323029383667,-0.1862410835144275,17.7,20.3,-2.7,222.33333333333334,325.3333333333333,1.333,0.299,0.2,126.0,184.0,2.0,-0.14705856672612383,0.37123024608798466,-0.1269906360590122,-0.03057872966363097,-0.10336412862442841,0.40771974982501297,-0.02478639157794617,-0.18248211740527764,-0.1662684500384176,-0.06997857149630386
202511108.0,2025-11-16T16:25:00,1,2025,11,CLE,BAL,HOME,16.0,23.0,39.0,Huntington Bank Field,3.0,13.0,0.0,0.0,0.0,34.0,4.0,27:01,23.0,10.0,8.0,5.0,70.0,278.0,4.0,2.0,32.0,158.0,4.9,0.0,32.0,17.0,120.0,2.0,0.0,3.8,7.1,53.1,82.81,16.0,6.0,37.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,78.0,0.0,0.0,6.0,47.0,8.0,10.0,7.0,351.0,50.1,0.0,1.0,1.0,3.0,7.0,0.0,13.0,0.0,25.0,56.0,32:59,12.0,8.0,1.0,3.0,47.0,169.0,3.6,3.0,33.0,127.0,3.8,0.0,11.0,6.0,42.0,1.0,1.0,3.8,7.0,54.5,55.87,11.0,3.0,27.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,61.0,0.0,0.0,3.0,12.0,7.0,10.0,5.0,249.0,49.8,1.0,0.0,-1.0,50.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,29.0,23.0,3.0,12.0,5.0,0.0,0.0,43.0,22.0,6.0,47.0,3.0,0.0,0.0,Sunday,993005438,8,3,19190.0,-7.0,0,1.0,0.375,0.0,-0.1041182860335038,0.3617021276595745,0.0020621379315112,-0.1207492371236353,-0.0422605753790456,0.3880597014925373,-0.3960927222334942,-0.1579953987653498,21.3,21.7,-0.3,232.33333333333334,270.0,1.667,0.307,0.2,146.0,211.0,2.0,-0.15498621562079892,0.34746772506729307,-0.07668278476467948,-0.07034737010917798,-0.1558557029898121,0.3929288395117146,-0.25554022458440184,-0.19487284467920082,-0.11068522682904136,-0.0617651921888704
