gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510112.0,2025-09-07T16:25:00,1,2025,1,DET,GB,AWAY,13.0,27.0,40.0,Lambeau Field,0.0,3.0,3.0,7.0,0.0,,,35:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,0.0,10.0,0.0,,,24:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005143,11,12,,-14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510211.0,2025-09-14T13:00:00,1,2025,2,DET,CHI,HOME,52.0,21.0,73.0,Ford Field,14.0,14.0,10.0,14.0,0.0,35.0,25.0,30:20,16.0,2.0,13.0,1.0,65.0,246.0,3.8,1.0,22.0,46.0,2.1,0.0,39.0,31.0,200.0,1.0,1.0,5.1,6.5,79.5,85.9,15.0,5.0,33.3,4.0,3.0,75.0,4.0,1.0,0.0,0.0,7.0,40.0,0.0,0.0,4.0,25.0,2.0,2.0,3.0,142.0,47.3,1.0,0.0,-1.0,7.0,7.0,0.0,7.0,0.0,24.0,35.0,29:40,14.0,4.0,8.0,2.0,47.0,266.0,5.7,3.0,25.0,78.0,3.1,1.0,22.0,16.0,188.0,2.0,0.0,8.5,11.8,72.7,128.6,10.0,4.0,40.0,1.0,1.0,100.0,5.0,3.0,0.0,0.0,4.0,40.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,164.0,54.7,0.0,1.0,1.0,25.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,18.0,0.0,0.0,1.0,0.0,0.0,41.0,34.0,4.0,25.0,2.0,0.0,0.0,Sunday,993005152,11,6,19065.0,31.0,1,-1.0,0.333,0.0,-0.0539303504504516,0.4337349397590361,0.0453408871121429,-0.2790762317335148,0.1847870831526016,0.5,0.474493564080704,-0.0321804315111878,13.0,27.0,-14.0,246.0,266.0,-1.0,0.333,0.0,13.0,27.0,0.0,-0.0539303504504516,0.4337349397590361,0.0453408871121429,-0.2790762317335148,0.1847870831526016,0.5,0.474493564080704,-0.0321804315111878,-0.0539303504504516,0.1847870831526016
202510303.0,2025-09-22T20:15:00,1,2025,3,DET,BAL,AWAY,38.0,30.0,68.0,M&T Bank Stadium,7.0,7.0,7.0,17.0,0.0,30.0,20.0,33:18,25.0,10.0,15.0,0.0,58.0,511.0,8.8,7.0,30.0,177.0,5.9,2.0,28.0,23.0,334.0,5.0,0.0,11.9,14.5,82.1,155.95,10.0,4.0,40.0,1.0,1.0,100.0,7.0,6.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,147.0,49.0,0.0,2.0,2.0,7.0,7.0,7.0,9.0,0.0,29.0,40.0,26:42,19.0,7.0,11.0,1.0,64.0,339.0,5.3,3.0,27.0,134.0,5.0,1.0,33.0,21.0,205.0,2.0,1.0,6.2,9.8,63.6,88.57,13.0,7.0,53.8,2.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,50.0,2.0,1.0,4.0,29.0,4.0,4.0,4.0,212.0,53.0,2.0,0.0,-2.0,85.7,0.0,100.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,20.0,4.0,29.0,5.0,1.0,1.0,40.0,22.0,0.0,0.0,0.0,0.0,0.0,Monday,993005211,11,3,19087.0,8.0,1,2.0,0.4,0.0,0.3040654393475692,0.5714285714285714,0.7859533078318893,0.0058736613367539,-0.1224611668469814,0.4069767441860465,-0.0146548788106883,-0.4617027579891631,32.5,24.0,8.5,378.5,302.5,0.5,0.367,0.5,65.0,48.0,1.0,0.1250675444485588,0.5025817555938037,0.4156470974720161,-0.13660128519838047,0.031162958152810095,0.4534883720930233,0.22991934263500785,-0.24694159475017546,0.1250675444485588,0.031162958152810095
202510411.0,2025-09-28T13:00:00,1,2025,4,DET,CLE,HOME,34.0,10.0,44.0,Ford Field,7.0,13.0,0.0,14.0,0.0,33.0,18.0,28:16,24.0,12.0,11.0,1.0,66.0,426.0,6.5,5.0,38.0,224.0,5.9,4.0,28.0,20.0,202.0,1.0,0.0,7.2,10.1,71.4,103.57,14.0,7.0,50.0,3.0,3.0,100.0,5.0,4.0,0.0,0.0,8.0,68.0,1.0,0.0,0.0,0.0,7.0,6.0,3.0,146.0,48.7,0.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,26.0,42.0,31:44,21.0,4.0,14.0,3.0,54.0,318.0,5.9,4.0,19.0,85.0,4.5,1.0,28.0,21.0,233.0,3.0,0.0,8.3,11.1,75.0,134.97,11.0,6.0,54.5,1.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,10.0,2.0,1.0,7.0,55.0,6.0,4.0,3.0,157.0,52.3,1.0,0.0,-1.0,80.0,0.0,50.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,38.0,8.0,7.0,55.0,2.0,2.0,1.0,39.0,33.0,0.0,0.0,1.0,0.0,0.0,Sunday,993005222,11,8,19114.0,24.0,1,1.0,0.5,0.0,0.2867489157007643,0.5930232558139535,0.4876594230948124,0.2595893891230917,0.158127260748383,0.5540540540540541,0.289044731653848,-0.3988256028169417,34.3,26.0,8.3,394.3333333333333,307.6666666666667,0.667,0.411,0.667,103.0,78.0,2.0,0.17896133486596064,0.5327289223338537,0.4396512060129482,-0.004537727091223076,0.0734843923513344,0.4870102660800335,0.24962780564128786,-0.29756959743909756,0.17896133486596064,0.0734843923513344
202510507.0,2025-10-05T16:25:00,1,2025,5,DET,CIN,AWAY,37.0,24.0,61.0,Paycor Stadium,7.0,7.0,14.0,9.0,0.0,28.0,16.0,34:21,16.0,6.0,8.0,2.0,56.0,277.0,4.9,4.0,29.0,109.0,3.8,1.0,27.0,16.0,168.0,2.0,1.0,6.2,10.5,59.3,86.65,14.0,6.0,42.9,1.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,221.0,44.2,1.0,3.0,2.0,0.0,3.0,0.0,21.0,0.0,31.0,44.0,25:39,16.0,7.0,8.0,1.0,65.0,249.0,3.8,1.0,27.0,79.0,2.9,1.0,35.0,16.0,170.0,0.0,2.0,4.9,10.6,45.7,36.61,14.0,3.0,21.4,1.0,1.0,100.0,2.0,1.0,0.0,0.0,6.0,44.0,2.0,1.0,3.0,14.0,5.0,4.0,7.0,314.0,44.9,3.0,1.0,-2.0,100.0,0.0,50.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,35.0,25.0,3.0,14.0,10.0,1.0,1.0,27.0,27.0,0.0,0.0,1.0,0.0,0.0,Sunday,993005265,11,7,19118.0,13.0,1,2.0,0.429,0.0,-0.083327471916213,0.430379746835443,-0.0525059183502796,-0.2462958623249765,-0.382034402080385,0.3023255813953488,-0.5051452847337194,-0.0797857570936545,41.3,20.3,21.0,404.6666666666667,302.0,1.667,0.443,0.75,137.0,88.0,3.0,0.16916229437737348,0.531610524692656,0.40703560419214074,0.00638906271162303,-0.11545610272632782,0.4211187932118164,-0.07691847729685326,-0.3134380392999198,0.11338913317041723,-0.04039530625659547
202510616.0,2025-10-12T20:20:00,1,2025,6,DET,KC,AWAY,17.0,30.0,47.0,Arrowhead Stadium,3.0,7.0,0.0,7.0,0.0,34.0,21.0,29:23,23.0,7.0,15.0,1.0,61.0,365.0,6.0,5.0,33.0,118.0,3.6,1.0,24.0,20.0,247.0,4.0,0.0,10.3,12.4,83.3,149.13,8.0,2.0,25.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,8.0,56.0,1.0,1.0,4.0,14.0,9.0,5.0,5.0,224.0,44.8,1.0,3.0,2.0,6.0,7.0,7.0,10.0,0.0,25.0,39.0,30:37,21.0,4.0,12.0,5.0,58.0,322.0,5.6,3.0,16.0,85.0,5.3,0.0,40.0,26.0,237.0,3.0,3.0,5.9,9.1,65.0,74.69,11.0,4.0,36.4,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,30.0,2.0,0.0,2.0,14.0,7.0,6.0,4.0,220.0,55.0,3.0,1.0,-2.0,83.3,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,25.0,2.0,14.0,11.0,2.0,0.0,29.0,45.0,4.0,14.0,1.0,1.0,1.0,Sunday,993005297,11,16,19139.0,-13.0,0,2.0,0.25,0.0,0.1880626404845078,0.5443037974683544,0.4647463083799396,-0.0280801225671893,-0.0191119425054949,0.4875,0.0100643861909451,-0.1301782654795366,36.3,21.3,15.0,356.0,296.3333333333333,1.667,0.393,0.8,174.0,112.0,4.0,0.13049469475635303,0.5225689333725837,0.29996660437482414,-0.004928865256358037,-0.08100636127916565,0.44795987848313423,-0.0686787222963088,-0.20292987513004426,0.12832383463323532,-0.036138633506375355
202510711.0,2025-10-20T19:00:00,1,2025,7,DET,TB,HOME,24.0,9.0,33.0,Ford Field,7.0,7.0,7.0,3.0,0.0,29.0,23.0,31:39,18.0,5.0,13.0,0.0,53.0,297.0,5.6,2.0,23.0,98.0,4.3,0.0,29.0,23.0,199.0,2.0,0.0,6.9,8.7,79.3,118.25,11.0,5.0,45.5,2.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,38.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,138.0,46.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,30.0,37.0,28:21,26.0,8.0,16.0,2.0,62.0,355.0,5.7,4.0,29.0,112.0,3.9,1.0,30.0,22.0,243.0,3.0,0.0,8.1,11.0,73.3,130.28,10.0,4.0,40.0,3.0,2.0,66.7,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,14.0,4.0,3.0,1.0,46.0,46.0,0.0,0.0,0.0,50.0,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,30.0,3.0,14.0,1.0,1.0,0.0,33.0,22.0,1.0,4.0,0.0,1.0,0.0,Monday,993005330,11,33,19154.0,15.0,1,0.0,0.455,0.0,0.0669397687631563,0.5652173913043478,0.2007851601319998,-0.0876602690206543,0.2296754398267073,0.5675675675675675,0.446262963166688,0.0397403715876862,29.3,21.3,8.0,313.0,308.6666666666667,1.333,0.378,0.8,191.0,142.0,4.0,0.057224979110483694,0.5133003118693817,0.20434185005388658,-0.12067875130427337,-0.05715696825305755,0.45246438298763875,-0.016272645125362122,-0.05674121699516829,0.15249785847595693,-0.027160962171554216
202510911.0,2025-11-02T13:00:00,1,2025,9,DET,MIN,HOME,24.0,27.0,51.0,Ford Field,7.0,7.0,3.0,7.0,0.0,31.0,39.0,31:08,17.0,6.0,9.0,2.0,65.0,379.0,5.8,3.0,32.0,164.0,5.1,2.0,29.0,20.0,215.0,1.0,1.0,7.4,10.8,69.0,87.57,13.0,3.0,23.1,2.0,1.0,50.0,2.0,1.0,0.0,0.0,6.0,50.0,1.0,1.0,4.0,26.0,8.0,4.0,5.0,256.0,51.2,2.0,2.0,0.0,14.0,3.0,7.0,3.0,0.0,28.0,21.0,28:52,15.0,2.0,11.0,2.0,66.0,251.0,3.8,1.0,12.0,41.0,3.4,0.0,50.0,28.0,210.0,1.0,1.0,4.2,7.5,56.0,64.58,16.0,4.0,25.0,5.0,2.0,40.0,1.0,0.0,0.0,0.0,6.0,35.0,2.0,1.0,4.0,18.0,9.0,7.0,6.0,263.0,43.8,2.0,2.0,0.0,50.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,31.0,22.0,4.0,18.0,12.0,2.0,1.0,36.0,38.0,4.0,26.0,2.0,1.0,1.0,Sunday,993005376,11,20,19169.0,-3.0,0,0.0,0.231,0.0,-0.0918398574996775,0.3855421686746988,-0.1661573230888607,0.0210575583924149,-0.2955938942511787,0.3452380952380952,-0.4365343539593214,0.142326591102491,26.0,21.0,5.0,347.0,309.3333333333333,0.667,0.312,0.8,215.0,151.0,5.0,0.054387517249328866,0.498354452482467,0.16645804847435955,-0.03156094439847624,-0.028343465643322092,0.4667685542685542,0.006597665132770565,0.01729623240354687,0.07331679910650757,-0.06178750765239368
202511035.0,2025-11-09T16:25:00,1,2025,10,DET,WAS,AWAY,44.0,22.0,66.0,Northwest Stadium,14.0,11.0,10.0,9.0,0.0,31.0,8.0,32:36,15.0,3.0,11.0,1.0,62.0,305.0,4.9,3.0,20.0,65.0,3.2,1.0,37.0,25.0,240.0,2.0,0.0,6.5,9.6,67.6,103.43,17.0,5.0,29.4,3.0,3.0,100.0,3.0,1.0,0.0,0.0,10.0,76.0,1.0,1.0,5.0,44.0,9.0,7.0,5.0,238.0,47.6,1.0,1.0,0.0,3.0,7.0,6.0,6.0,0.0,28.0,52.0,27:24,20.0,7.0,8.0,5.0,59.0,258.0,4.4,3.0,29.0,142.0,4.9,1.0,25.0,14.0,116.0,2.0,1.0,4.6,8.3,56.0,78.08,12.0,4.0,33.3,0.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,56.0,1.0,0.0,5.0,27.0,11.0,10.0,4.0,176.0,44.0,1.0,1.0,0.0,33.3,0.0,60.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,19.0,5.0,27.0,3.0,0.0,0.0,28.0,41.0,5.0,44.0,1.0,1.0,1.0,Sunday,993005409,11,35,19071.0,22.0,1,0.0,0.294,0.0,-0.0623770957726034,0.4404761904761904,0.0756123463538069,-0.2804340197139286,0.0168699479386136,0.425,-0.1223347864436309,0.1591323875403031,21.7,22.0,-0.3,327.0,288.0,0.0,0.326,0.6,239.0,178.0,5.0,-0.02909239483637488,0.46374525015174567,0.036746727798982,-0.11567891011405601,-0.016349502161952592,0.4459352209352209,-0.0375353924120881,0.11373311674349344,0.003491596811834037,-0.09003897021434755
202511126.0,2025-11-16T20:20:00,1,2025,11,DET,PHI,AWAY,9.0,16.0,25.0,Lincoln Financial Field,0.0,6.0,0.0,3.0,0.0,32.0,36.0,24:12,30.0,11.0,19.0,0.0,68.0,546.0,8.0,5.0,33.0,226.0,6.8,2.0,35.0,25.0,320.0,3.0,0.0,9.1,12.8,71.4,128.27,10.0,5.0,50.0,2.0,2.0,100.0,6.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,3.0,0.0,27.0,24.0,35:48,14.0,5.0,9.0,0.0,51.0,288.0,5.6,3.0,27.0,93.0,3.4,1.0,22.0,16.0,195.0,2.0,0.0,8.9,12.2,72.7,129.92,10.0,2.0,20.0,3.0,3.0,100.0,3.0,3.0,0.0,0.0,8.0,61.0,0.0,0.0,2.0,18.0,5.0,0.0,4.0,200.0,50.0,0.0,0.0,0.0,66.7,0.0,100.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,34.0,16.0,2.0,18.0,4.0,0.0,0.0,32.0,40.0,0.0,0.0,3.0,0.0,0.0,Sunday,993005441,11,26,19194.0,-7.0,0,0.0,0.5,0.0,0.4486282426225648,0.6144578313253012,0.6816430939413,0.2839161540133822,0.1537472294594424,0.4657534246575342,0.4400925535808479,-0.1327027048106491,30.7,19.3,11.3,410.0,265.6666666666667,0.0,0.342,0.6,283.0,200.0,6.0,0.09813709645009461,0.48015873015873006,0.1970327057354154,0.00817989756395617,-0.041658905617707555,0.4119971732985432,-0.03959219560736813,0.05625209127738167,0.10988273971958959,0.017117356093617926
