gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510129.0,2025-09-05T20:00:00,1,2025,1,LAC,KC,HOME,27.0,21.0,48.0,Arena Corinthians,7.0,6.0,7.0,7.0,0.0,,,32:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,6.0,9.0,0.0,,,27:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,993005120,29,16,,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510225.0,2025-09-15T22:00:00,1,2025,2,LAC,LV,AWAY,20.0,9.0,29.0,Allegiant Stadium,10.0,7.0,3.0,0.0,0.0,32.0,44.0,28:17,22.0,6.0,16.0,0.0,62.0,394.0,6.4,3.0,25.0,90.0,3.6,0.0,34.0,25.0,304.0,3.0,0.0,8.9,12.2,73.5,130.02,13.0,7.0,53.8,1.0,1.0,100.0,4.0,2.0,0.0,0.0,6.0,49.0,1.0,0.0,3.0,14.0,8.0,3.0,2.0,106.0,53.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,27.0,16.0,31:43,18.0,8.0,9.0,1.0,58.0,347.0,6.0,2.0,17.0,98.0,5.8,1.0,39.0,24.0,249.0,1.0,0.0,6.4,10.4,61.5,88.51,14.0,5.0,35.7,3.0,3.0,100.0,3.0,1.0,0.0,0.0,10.0,71.0,1.0,0.0,2.0,9.0,4.0,6.0,3.0,116.0,38.7,0.0,0.0,0.0,50.0,0.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,33.0,16.0,2.0,9.0,4.0,0.0,0.0,41.0,14.0,3.0,14.0,2.0,1.0,0.0,Monday,993005179,29,25,19054.0,11.0,1,0.0,0.538,0.0,0.2137136805261034,0.575,0.4380612356331639,-0.0700785018395195,0.1312531668372949,0.4556962025316455,0.2023466848854601,0.0543878789224739,27.0,21.0,6.0,394.0,347.0,0.0,0.538,1.0,27.0,21.0,1.0,0.2137136805261034,0.575,0.4380612356331639,-0.0700785018395195,0.1312531668372949,0.4556962025316455,0.2023466848854601,0.0543878789224739,0.2137136805261034,0.1312531668372949
202510329.0,2025-09-21T16:05:00,1,2025,3,LAC,DEN,HOME,23.0,20.0,43.0,SoFi Stadium,3.0,7.0,3.0,10.0,0.0,28.0,17.0,36:20,15.0,6.0,8.0,1.0,55.0,317.0,5.8,2.0,26.0,81.0,3.1,0.0,27.0,19.0,236.0,2.0,0.0,8.7,12.4,70.4,121.84,11.0,4.0,36.4,2.0,1.0,50.0,3.0,1.0,0.0,0.0,6.0,33.0,2.0,1.0,2.0,6.0,5.0,6.0,3.0,158.0,52.7,1.0,3.0,2.0,0.0,7.0,10.0,3.0,0.0,31.0,43.0,23:40,15.0,5.0,8.0,2.0,65.0,218.0,3.4,0.0,19.0,68.0,3.6,0.0,43.0,24.0,150.0,0.0,3.0,3.5,6.2,55.8,34.06,18.0,9.0,50.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,47.0,1.0,0.0,3.0,30.0,3.0,8.0,2.0,114.0,57.0,3.0,1.0,-2.0,33.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,39.0,21.0,3.0,30.0,15.0,0.0,0.0,36.0,22.0,2.0,6.0,6.0,0.0,1.0,Sunday,993005204,29,10,19098.0,3.0,1,2.0,0.364,0.0,-0.088098491879589,0.4714285714285714,0.3662634183767012,-0.6233709314170156,-0.250330021479962,0.3658536585365853,-0.3931411248480188,-0.198886252953397,23.5,15.0,8.5,355.5,282.5,1.0,0.451,1.0,47.0,30.0,2.0,0.0628075943232572,0.5232142857142856,0.40216232700493254,-0.34672471662826754,-0.059538427321333534,0.4107749305341154,-0.09539721998127934,-0.07224918701546156,0.0628075943232572,-0.059538427321333534
202510423.0,2025-09-28T13:00:00,1,2025,4,LAC,NYG,AWAY,18.0,21.0,39.0,MetLife Stadium,0.0,10.0,8.0,0.0,0.0,36.0,20.0,24:32,29.0,6.0,17.0,6.0,80.0,376.0,4.7,2.0,28.0,106.0,3.8,1.0,47.0,28.0,270.0,1.0,1.0,5.7,9.6,59.6,73.89,17.0,8.0,47.1,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,25.0,1.0,1.0,5.0,30.0,4.0,5.0,5.0,249.0,49.8,2.0,0.0,-2.0,7.0,6.0,8.0,0.0,0.0,23.0,40.0,35:28,9.0,3.0,5.0,1.0,48.0,265.0,5.5,2.0,21.0,118.0,5.6,1.0,25.0,14.0,147.0,1.0,0.0,5.9,10.5,56.0,86.58,13.0,2.0,15.4,2.0,2.0,100.0,2.0,1.0,0.0,0.0,10.0,90.0,0.0,0.0,2.0,6.0,14.0,7.0,7.0,330.0,47.1,0.0,2.0,2.0,33.3,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,31.0,12.0,2.0,6.0,3.0,0.0,0.0,42.0,39.0,5.0,30.0,7.0,1.0,0.0,Sunday,993005219,29,23,19109.0,-3.0,0,-2.0,0.471,0.0,-0.0607844873701823,0.4271844660194174,-0.0003734238601693353,-0.0212703109685046,-0.0961696988872044,0.3188405797101449,-0.128508151618384,-0.1095903329187422,23.3,16.7,6.7,362.3333333333333,276.6666666666667,0.0,0.458,1.0,70.0,50.0,3.0,0.021610233758777367,0.49120434581599626,0.2679837433832319,-0.2382399147416799,-0.07174885117662383,0.3801301469261252,-0.10643419719364755,-0.08469623564988844,0.021610233758777367,-0.07174885117662383
202510529.0,2025-10-05T16:25:00,1,2025,5,LAC,WAS,HOME,10.0,27.0,37.0,SoFi Stadium,10.0,0.0,0.0,0.0,0.0,24.0,32.0,34:19,17.0,6.0,8.0,3.0,56.0,338.0,6.0,2.0,13.0,152.0,11.7,1.0,41.0,23.0,186.0,1.0,2.0,4.5,8.1,56.1,55.54,12.0,4.0,33.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,107.0,0.0,0.0,2.0,17.0,9.0,8.0,5.0,244.0,48.8,2.0,0.0,-2.0,0.0,10.0,10.0,7.0,0.0,35.0,28.0,25:41,20.0,11.0,6.0,3.0,69.0,250.0,3.6,2.0,42.0,161.0,3.8,1.0,21.0,14.0,89.0,1.0,0.0,4.2,6.4,66.7,91.17,15.0,7.0,46.7,1.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,43.0,2.0,0.0,6.0,30.0,12.0,4.0,5.0,244.0,48.8,0.0,2.0,2.0,0.0,0.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,44.0,41.0,6.0,30.0,2.0,1.0,0.0,32.0,12.0,2.0,17.0,7.0,0.0,0.0,Sunday,993005268,29,35,19121.0,-17.0,0,-2.0,0.333,0.0,-0.0666315156488016,0.4743589743589743,-0.278812066911029,0.4172283918315544,-0.0261055920712717,0.4782608695652174,-0.044722525078002,-0.0957603129222214,20.3,16.7,3.7,343.6666666666667,244.33333333333334,-0.667,0.389,0.75,88.0,71.0,3.0,-0.07183816496619096,0.45765733726898766,0.029025975868500958,-0.07580428351798861,-0.12420177081281268,0.3876517026039825,-0.18879060051480157,-0.13474563293145353,-0.0004502035931173744,-0.060338036400285795
202510619.0,2025-10-12T13:00:00,1,2025,6,LAC,MIA,AWAY,29.0,27.0,56.0,Hard Rock Stadium,6.0,3.0,14.0,6.0,0.0,34.0,19.0,34:19,18.0,6.0,11.0,1.0,65.0,336.0,5.2,1.0,27.0,155.0,5.7,0.0,33.0,25.0,181.0,1.0,1.0,5.5,7.2,75.8,85.54,16.0,9.0,56.2,2.0,1.0,50.0,2.0,1.0,0.0,0.0,10.0,85.0,1.0,1.0,5.0,29.0,1.0,6.0,2.0,96.0,48.0,2.0,1.0,-1.0,7.0,6.0,0.0,14.0,0.0,25.0,41.0,25:41,22.0,9.0,9.0,4.0,55.0,389.0,7.1,3.0,28.0,163.0,5.8,2.0,26.0,15.0,226.0,1.0,0.0,8.7,15.1,57.7,99.2,7.0,2.0,28.6,1.0,1.0,100.0,5.0,3.0,0.0,0.0,7.0,48.0,1.0,1.0,1.0,5.0,9.0,6.0,2.0,101.0,50.5,1.0,2.0,1.0,50.0,0.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0,21.0,1.0,5.0,2.0,1.0,1.0,42.0,26.0,5.0,29.0,4.0,1.0,1.0,Sunday,993005277,29,19,19140.0,2.0,1,-1.0,0.562,0.0,-0.0826575077055848,0.3975903614457831,-0.265600064317142,0.0277561307981765,0.1851016847060448,0.5675675675675675,0.507161742250068,-0.1128213073388906,17.0,22.7,-5.7,350.0,301.3333333333333,-1.667,0.455,0.6,98.0,98.0,3.0,-0.07002450357485622,0.4330446006080582,-0.18159518502944674,0.1412380705537421,0.02094213124918957,0.4548896722809766,0.11131035518456069,-0.10605731772661807,-0.01689166441561086,-0.011250092179019677
202510729.0,2025-10-19T16:05:00,1,2025,7,LAC,IND,HOME,24.0,38.0,62.0,SoFi Stadium,3.0,0.0,14.0,7.0,0.0,34.0,19.0,34:27,20.0,7.0,12.0,1.0,64.0,403.0,6.3,2.0,25.0,140.0,5.6,0.0,38.0,29.0,263.0,2.0,0.0,6.9,9.1,76.3,112.06,15.0,6.0,40.0,1.0,1.0,100.0,7.0,2.0,0.0,0.0,7.0,45.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,94.0,47.0,1.0,3.0,2.0,6.0,17.0,15.0,0.0,0.0,25.0,41.0,25:33,19.0,7.0,10.0,2.0,56.0,341.0,6.1,3.0,21.0,137.0,6.5,2.0,33.0,22.0,204.0,1.0,3.0,6.2,9.3,66.7,55.62,11.0,5.0,45.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,45.0,0.0,0.0,2.0,9.0,7.0,1.0,2.0,111.0,55.5,3.0,1.0,-2.0,28.6,0.0,66.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,31.0,22.0,2.0,9.0,5.0,0.0,0.0,44.0,20.0,1.0,1.0,2.0,2.0,1.0,Sunday,993005320,29,14,19148.0,-14.0,0,2.0,0.4,0.0,0.1284466838901518,0.5,0.1778541241679207,-0.0112353783452665,0.0615568358673205,0.4935064935064935,-0.1071961584768125,0.2951203353266464,19.0,25.0,-6.0,359.0,326.6666666666667,-0.333,0.432,0.6,127.0,125.0,4.0,-0.0069474464880781945,0.4573164452682524,-0.12218600235341674,0.14458304809482148,0.0735176428340312,0.5131116435464261,0.11841435289841784,0.028846238355178133,-0.033945063742801186,-0.02518935837301456
202510829.0,2025-10-23T20:15:00,1,2025,8,LAC,MIN,HOME,37.0,10.0,47.0,SoFi Stadium,7.0,14.0,3.0,13.0,0.0,34.0,27.0,39:04,25.0,4.0,19.0,2.0,74.0,445.0,6.0,3.0,16.0,54.0,3.4,0.0,55.0,37.0,391.0,3.0,2.0,7.1,10.6,67.3,90.8,16.0,8.0,50.0,4.0,3.0,75.0,4.0,3.0,0.0,0.0,6.0,35.0,0.0,0.0,3.0,29.0,5.0,3.0,1.0,53.0,53.0,2.0,0.0,-2.0,0.0,3.0,7.0,0.0,0.0,25.0,33.0,20:56,24.0,9.0,14.0,1.0,58.0,401.0,6.9,5.0,23.0,120.0,5.2,3.0,34.0,23.0,281.0,2.0,0.0,8.3,12.2,67.6,112.5,11.0,5.0,45.5,3.0,3.0,100.0,5.0,4.0,0.0,0.0,3.0,42.0,1.0,0.0,1.0,7.0,15.0,4.0,2.0,87.0,43.5,0.0,2.0,2.0,75.0,0.0,80.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,29.0,20.0,1.0,7.0,4.0,0.0,0.0,38.0,26.0,3.0,29.0,6.0,0.0,0.0,Thursday,993005334,29,20,19165.0,27.0,1,-2.0,0.5,0.0,0.0897467031945239,0.4782608695652174,0.1637310080339045,-0.1084866417133106,0.3721989465115835,0.5616438356164384,0.4119862643496598,0.50375152064953,21.0,30.7,-9.7,394.6666666666667,377.0,-0.333,0.488,0.4,151.0,163.0,4.0,0.04517862645969697,0.45861707700366683,0.025328355961561067,-0.030655296420133534,0.2062858223616496,0.5409059655634998,0.2706506160409718,0.22868351621242858,0.001623975272021394,0.09931643522529453
202510934.0,2025-11-02T13:00:00,1,2025,9,LAC,TEN,AWAY,27.0,20.0,47.0,Nissan Stadium,7.0,13.0,0.0,7.0,0.0,39.0,4.0,34:20,29.0,14.0,13.0,2.0,70.0,419.0,6.0,4.0,43.0,207.0,4.8,1.0,25.0,18.0,212.0,3.0,1.0,8.5,11.8,72.0,120.33,13.0,9.0,69.2,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,46.0,0.0,0.0,2.0,15.0,8.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,3.0,0.0,3.0,0.0,20.0,56.0,25:40,12.0,1.0,9.0,2.0,47.0,164.0,3.5,1.0,11.0,34.0,3.1,0.0,31.0,18.0,130.0,1.0,1.0,4.2,7.2,58.1,65.26,11.0,3.0,27.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,66.0,1.0,0.0,5.0,27.0,8.0,10.0,4.0,184.0,46.0,1.0,1.0,0.0,75.0,0.0,100.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,27.0,13.0,5.0,27.0,7.0,1.0,0.0,44.0,29.0,2.0,15.0,2.0,0.0,0.0,Sunday,993005371,29,34,19171.0,7.0,1,0.0,0.692,0.0,0.1704312400193104,0.5454545454545454,0.4575897119443612,0.0208127999627286,-0.2587679615870143,0.3787878787878788,-0.2575910481575917,-0.6795445200065539,30.0,25.0,5.0,422.3333333333333,302.0,0.0,0.531,0.4,188.0,173.0,5.0,0.12954154236799537,0.5079051383399209,0.26639161471539546,-0.0329697400319495,0.05832927359729656,0.4779794026369369,0.015733019238418522,0.03977577865654084,0.04786712074991993,0.06679678268533255
202511029.0,2025-11-09T20:20:00,1,2025,10,LAC,PIT,HOME,25.0,10.0,35.0,SoFi Stadium,2.0,10.0,3.0,10.0,0.0,34.0,20.0,37:35,21.0,8.0,12.0,1.0,65.0,343.0,5.3,3.0,30.0,131.0,4.4,1.0,29.0,19.0,212.0,2.0,1.0,7.3,11.2,65.5,95.76,13.0,7.0,53.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,20.0,1.0,0.0,6.0,38.0,5.0,4.0,4.0,209.0,52.2,1.0,0.0,-1.0,3.0,0.0,0.0,7.0,0.0,25.0,40.0,22:25,10.0,3.0,7.0,0.0,44.0,206.0,4.7,2.0,19.0,88.0,4.6,0.0,21.0,12.0,118.0,0.0,0.0,5.6,9.8,57.1,73.12,9.0,1.0,11.1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,60.0,2.0,0.0,4.0,27.0,11.0,6.0,5.0,187.0,37.4,0.0,1.0,1.0,75.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,23.0,22.0,4.0,27.0,3.0,1.0,0.0,38.0,27.0,6.0,38.0,4.0,1.0,0.0,Sunday,993005412,29,28,19077.0,15.0,1,-1.0,0.538,0.0,-0.0017488569000799,0.5487804878048781,0.1395445491769957,-0.001880733083235,-0.1505557272089224,0.375,-0.1039541448688531,-0.4081155489857439,29.3,22.7,6.7,402.3333333333333,257.0,-1.0,0.577,0.6,215.0,193.0,6.0,0.08614302877125146,0.5241653009415469,0.25362175638508716,-0.029851524944605665,-0.012374914094784398,0.4384772381347724,0.01681369044107166,-0.19463618278092257,0.060843652499664266,0.04190675565780241
