gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,off_epa_per_play,off_success_rate,off_dropback_epa,off_rush_epa,def_epa_per_play,def_success_rate,def_dropback_epa_against,def_rush_epa_against,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,off_epa_per_play_rolling_3,off_success_rate_rolling_3,off_dropback_epa_rolling_3,off_rush_epa_rolling_3,def_epa_per_play_rolling_3,def_success_rate_rolling_3,def_dropback_epa_against_rolling_3,def_rush_epa_against_rolling_3,off_epa_per_play_rolling_5,def_epa_per_play_rolling_5
202510110.0,2025-09-07T16:05:00,1,2025,1,TEN,DEN,AWAY,12.0,20.0,32.0,Empower Field at Mile High,3.0,6.0,3.0,0.0,0.0,,,28:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,3.0,7.0,0.0,,,31:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,993005139,34,10,,-8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510234.0,2025-09-14T13:00:00,1,2025,2,TEN,LAR,HOME,19.0,33.0,52.0,Nissan Stadium,0.0,13.0,3.0,3.0,0.0,28.0,4.0,30:07,7.0,2.0,5.0,0.0,55.0,133.0,2.4,0.0,21.0,71.0,3.4,0.0,28.0,12.0,62.0,0.0,0.0,2.2,5.2,42.9,50.3,14.0,2.0,14.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,131.0,2.0,2.0,6.0,50.0,5.0,4.0,8.0,395.0,49.4,2.0,4.0,2.0,7.0,3.0,10.0,13.0,0.0,31.0,56.0,29:53,20.0,5.0,9.0,6.0,71.0,317.0,4.5,2.0,30.0,151.0,5.0,1.0,40.0,25.0,166.0,1.0,2.0,4.2,6.6,62.5,58.96,15.0,6.0,40.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,45.0,2.0,2.0,1.0,10.0,14.0,7.0,3.0,144.0,48.0,4.0,2.0,-2.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,42.0,28.0,1.0,10.0,5.0,1.0,2.0,32.0,26.0,6.0,50.0,4.0,2.0,2.0,Sunday,993005166,34,32,19063.0,-14.0,0,2.0,0.143,0.0,-0.2187039006328325,0.3246753246753247,-0.4251168284995006,-0.4369879171685676,-0.1095381062775076,0.4239130434782608,-0.1795141110356279,-0.0852244573963197,12.0,20.0,-8.0,133.0,317.0,2.0,0.143,0.0,12.0,20.0,0.0,-0.2187039006328325,0.3246753246753247,-0.4251168284995006,-0.4369879171685676,-0.1095381062775076,0.4239130434782608,-0.1795141110356279,-0.0852244573963197,-0.2187039006328325,-0.1095381062775076
202510334.0,2025-09-21T13:00:00,1,2025,3,TEN,IND,HOME,20.0,41.0,61.0,Nissan Stadium,3.0,3.0,7.0,7.0,0.0,30.0,7.0,31:19,18.0,7.0,10.0,1.0,64.0,252.0,3.9,1.0,26.0,109.0,4.2,0.0,33.0,19.0,143.0,1.0,0.0,4.3,7.5,57.6,78.22,15.0,6.0,40.0,1.0,1.0,100.0,3.0,1.0,0.0,0.0,10.0,62.0,2.0,1.0,5.0,32.0,6.0,2.0,5.0,250.0,50.0,1.0,1.0,0.0,17.0,3.0,14.0,7.0,0.0,29.0,53.0,28:41,22.0,8.0,12.0,2.0,59.0,439.0,7.4,4.0,25.0,149.0,6.0,2.0,33.0,23.0,290.0,2.0,1.0,8.8,12.6,69.7,104.36,12.0,5.0,41.7,1.0,1.0,100.0,6.0,3.0,0.0,0.0,4.0,29.0,1.0,0.0,1.0,8.0,8.0,6.0,3.0,145.0,48.3,1.0,1.0,0.0,33.3,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,35.0,24.0,1.0,8.0,4.0,0.0,0.0,41.0,23.0,5.0,32.0,4.0,1.0,1.0,Sunday,993005190,34,14,19092.0,-21.0,0,0.0,0.4,0.0,-0.0244349043451477,0.4659090909090909,-0.1614537872206208,-0.0307981156027691,0.2012636190764163,0.5256410256410257,0.2979016260920755,0.4258226378613313,15.5,26.5,-11.0,192.5,378.0,1.0,0.271,0.0,31.0,53.0,0.0,-0.12156940248899009,0.39529220779220775,-0.2932853078600607,-0.23389301638566834,0.04586275639945435,0.47477703455964326,0.0591937575282238,0.17029909023250578,-0.12156940248899009,0.04586275639945435
202510413.0,2025-09-28T13:00:00,1,2025,4,TEN,HOU,AWAY,0.0,26.0,26.0,NRG Stadium,0.0,0.0,0.0,0.0,0.0,31.0,19.0,21:39,21.0,8.0,11.0,2.0,65.0,282.0,4.3,2.0,23.0,86.0,3.7,1.0,38.0,23.0,196.0,1.0,1.0,5.2,8.5,60.5,71.82,14.0,5.0,35.7,2.0,1.0,50.0,2.0,2.0,0.0,0.0,8.0,68.0,0.0,0.0,4.0,23.0,2.0,0.0,1.0,52.0,52.0,1.0,0.0,-1.0,3.0,3.0,0.0,20.0,0.0,28.0,41.0,38:21,22.0,9.0,10.0,3.0,53.0,365.0,6.9,5.0,28.0,137.0,4.9,3.0,25.0,18.0,228.0,1.0,0.0,9.1,12.7,72.0,113.42,8.0,2.0,25.0,2.0,2.0,100.0,4.0,2.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,46.0,46.0,0.0,1.0,1.0,100.0,0.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,32.0,15.0,0.0,0.0,3.0,0.0,0.0,41.0,18.0,4.0,23.0,4.0,0.0,0.0,Sunday,993005229,34,13,19107.0,-26.0,0,-1.0,0.357,0.0,-0.0797126753793363,0.4772727272727273,-0.1772071703757123,0.0056364743504673,0.2662427980970872,0.6056338028169014,0.5692453805266655,0.2565237219471831,17.0,31.3,-14.3,222.33333333333334,373.6666666666667,0.333,0.3,0.0,51.0,94.0,0.0,-0.10761716011910549,0.4226190476190476,-0.2545925953652779,-0.15404985280695646,0.1193227702986653,0.5183959573120626,0.22921096519437104,0.19904063413739825,-0.10761716011910549,0.1193227702986653
202510501.0,2025-10-05T16:05:00,1,2025,5,TEN,ARI,AWAY,22.0,21.0,43.0,State Farm Stadium,3.0,3.0,0.0,16.0,0.0,21.0,39.0,27:20,10.0,3.0,5.0,2.0,46.0,175.0,3.8,0.0,18.0,82.0,4.6,0.0,26.0,10.0,93.0,0.0,1.0,3.6,9.3,38.5,33.01,11.0,2.0,18.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,0.0,0.0,2.0,15.0,5.0,6.0,5.0,213.0,42.6,1.0,0.0,-1.0,14.0,7.0,0.0,0.0,0.0,38.0,21.0,32:40,20.0,10.0,9.0,1.0,65.0,353.0,5.4,3.0,35.0,129.0,3.7,1.0,28.0,22.0,224.0,2.0,0.0,8.0,10.2,78.6,123.81,15.0,6.0,40.0,3.0,3.0,100.0,2.0,2.0,0.0,0.0,6.0,50.0,0.0,0.0,2.0,9.0,7.0,6.0,3.0,132.0,44.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,45.0,32.0,2.0,9.0,1.0,0.0,0.0,21.0,19.0,2.0,15.0,7.0,0.0,0.0,Sunday,993005261,34,1,19119.0,1.0,1,-1.0,0.182,0.0,-0.4041592665644925,0.3492063492063492,-0.4615830317002118,-0.0719957864003402,0.0694752848868719,0.4146341463414634,0.2170485433143578,-0.0290387122412708,13.0,33.3,-20.3,236.33333333333334,385.6666666666667,-0.667,0.313,0.0,51.0,120.0,0.0,-0.16943561542965882,0.4307960557960558,-0.26674799643218167,-0.032385809217547336,0.1789939006867918,0.5153029915997968,0.3613985166443663,0.21776921585574785,-0.18175268673045225,0.10686089894571695
202510625.0,2025-10-12T16:05:00,1,2025,6,TEN,LV,AWAY,10.0,20.0,30.0,Allegiant Stadium,0.0,0.0,3.0,7.0,0.0,27.0,20.0,27:34,20.0,6.0,12.0,2.0,65.0,327.0,5.0,2.0,24.0,78.0,3.2,1.0,39.0,21.0,249.0,0.0,1.0,6.4,11.9,53.8,62.87,15.0,5.0,33.3,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,35.0,1.0,1.0,2.0,16.0,6.0,4.0,5.0,271.0,54.2,2.0,3.0,1.0,3.0,7.0,7.0,3.0,0.0,32.0,40.0,32:26,16.0,7.0,8.0,1.0,64.0,360.0,5.6,3.0,29.0,168.0,5.8,3.0,32.0,23.0,192.0,0.0,0.0,6.0,8.3,71.9,86.98,16.0,7.0,43.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,8.0,47.0,3.0,3.0,3.0,28.0,4.0,4.0,7.0,367.0,52.4,3.0,2.0,-1.0,50.0,0.0,75.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,27.0,3.0,28.0,2.0,0.0,2.0,30.0,18.0,2.0,16.0,8.0,1.0,1.0,Sunday,993005291,34,25,19137.0,-10.0,0,1.0,0.333,0.0,-0.0256309142823129,0.4512195121951219,0.0465389659870246,-0.192747738785233,-0.0634532246697087,0.3908045977011494,0.1294280747839367,-0.3289092593851301,14.0,29.3,-15.3,261.3333333333333,359.3333333333333,-0.333,0.291,0.2,73.0,141.0,1.0,-0.1698342854087139,0.42589952955806615,-0.19741707869629985,-0.08636901694503529,0.0907549527714168,0.470357515619838,0.30524066620832,-0.03380808322640592,-0.15052833224082438,0.07279807422263182
202510734.0,2025-10-19T13:00:00,1,2025,7,TEN,NE,HOME,13.0,31.0,44.0,Nissan Stadium,10.0,3.0,0.0,0.0,0.0,27.0,34.0,22:48,15.0,3.0,11.0,1.0,59.0,225.0,3.8,1.0,15.0,65.0,4.3,0.0,38.0,26.0,160.0,1.0,1.0,4.2,6.2,68.4,74.45,13.0,3.0,23.1,2.0,2.0,100.0,2.0,1.0,0.0,0.0,7.0,34.0,2.0,2.0,6.0,62.0,7.0,8.0,5.0,220.0,44.0,3.0,1.0,-2.0,3.0,14.0,14.0,0.0,0.0,32.0,26.0,37:12,16.0,4.0,9.0,3.0,57.0,226.0,4.0,2.0,32.0,68.0,2.1,1.0,23.0,17.0,158.0,1.0,1.0,6.9,9.3,73.9,88.68,13.0,6.0,46.2,1.0,1.0,100.0,4.0,2.0,0.0,0.0,6.0,27.0,0.0,0.0,2.0,16.0,8.0,7.0,4.0,167.0,41.8,1.0,3.0,2.0,50.0,0.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,35.0,2.0,16.0,4.0,0.0,0.0,33.0,23.0,6.0,62.0,2.0,1.0,2.0,Sunday,993005314,34,21,19151.0,-18.0,0,-2.0,0.231,0.0,-0.2156242589446101,0.4078947368421052,-0.2424090182447495,-0.2137622892041128,-0.0689924685782903,0.4415584415584415,0.2044263435106178,-0.3545091478639449,10.7,22.3,-11.7,242.33333333333334,313.0,-0.667,0.249,0.2,83.0,161.0,1.0,-0.2151381465971385,0.40277353274785876,-0.21915102798597888,-0.15950193812989533,-0.020990136120375702,0.4156657285336847,0.1836343205363041,-0.2374857064967819,-0.1499124039031799,0.08090720176247528
202510814.0,2025-10-26T16:25:00,1,2025,8,TEN,IND,AWAY,14.0,38.0,52.0,Lucas Oil Stadium,0.0,7.0,0.0,7.0,0.0,22.0,48.0,34:21,16.0,1.0,14.0,1.0,51.0,255.0,5.0,1.0,12.0,39.0,3.2,0.0,34.0,25.0,216.0,1.0,1.0,6.4,8.6,73.5,87.38,10.0,3.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,1.0,5.0,39.0,4.0,6.0,3.0,122.0,40.7,2.0,0.0,-2.0,10.0,7.0,14.0,7.0,0.0,37.0,12.0,25:39,22.0,9.0,13.0,0.0,64.0,387.0,6.0,4.0,36.0,175.0,4.9,1.0,24.0,22.0,212.0,2.0,0.0,8.8,9.6,91.7,131.25,12.0,5.0,41.7,2.0,2.0,100.0,3.0,2.0,0.0,0.0,5.0,36.0,0.0,0.0,4.0,22.0,5.0,6.0,4.0,150.0,37.5,0.0,2.0,2.0,0.0,0.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0,33.0,4.0,22.0,0.0,0.0,0.0,32.0,18.0,5.0,39.0,2.0,0.0,1.0,Sunday,993005351,34,14,19163.0,-24.0,0,-2.0,0.3,0.0,-0.1310703891380212,0.4776119402985074,-0.2839021644188865,-0.2674717542742236,0.1632467702543049,0.4691358024691358,0.4136999455574916,0.0650145132318497,15.0,24.0,-9.0,269.0,324.3333333333333,-1.0,0.288,0.2,96.0,192.0,1.0,-0.12410852078831473,0.44557539644524485,-0.15992407222553714,-0.22466059408785646,0.010267025668768637,0.43383294724290883,0.24918478795068202,-0.2061346313390751,-0.1712395008617546,0.07330383199805299
202510934.0,2025-11-02T13:00:00,1,2025,9,TEN,LAC,HOME,20.0,27.0,47.0,Nissan Stadium,14.0,3.0,0.0,3.0,0.0,34.0,21.0,25:40,20.0,5.0,13.0,2.0,67.0,341.0,5.1,2.0,25.0,113.0,4.5,1.0,38.0,22.0,228.0,1.0,1.0,6.0,10.4,57.9,73.14,15.0,6.0,40.0,3.0,1.0,33.3,3.0,2.0,0.0,0.0,3.0,34.0,0.0,0.0,4.0,31.0,5.0,5.0,5.0,215.0,43.0,1.0,0.0,-1.0,7.0,13.0,0.0,7.0,0.0,25.0,39.0,34:20,21.0,7.0,14.0,0.0,52.0,420.0,8.1,5.0,18.0,164.0,9.1,2.0,31.0,21.0,256.0,3.0,0.0,8.3,12.2,67.7,125.2,9.0,3.0,33.3,1.0,1.0,100.0,4.0,3.0,0.0,0.0,3.0,32.0,0.0,0.0,3.0,16.0,7.0,8.0,4.0,189.0,47.2,0.0,1.0,1.0,66.7,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,10.0,3.0,16.0,4.0,0.0,0.0,38.0,23.0,4.0,31.0,4.0,0.0,0.0,Sunday,993005372,34,29,19181.0,-7.0,0,-1.0,0.4,0.0,-0.0900289972495998,0.4367816091954023,-0.100664210652568,0.0883502530778059,0.2969749257769735,0.4776119402985074,0.3266254990734064,0.3825675314809713,12.3,29.7,-17.3,273.6666666666667,344.3333333333333,-1.667,0.31,0.2,110.0,230.0,1.0,-0.14557454844407702,0.44076276211200494,-0.208991797772068,-0.1309612634668435,0.13040974248432935,0.4627687281086949,0.31491726271383863,0.031024298949625384,-0.1733027652358073,0.07945025753403026
202511134.0,2025-11-16T13:00:00,1,2025,11,TEN,HOU,HOME,13.0,16.0,29.0,Nissan Stadium,3.0,0.0,3.0,7.0,0.0,25.0,40.0,28:57,10.0,3.0,7.0,0.0,44.0,206.0,4.7,2.0,19.0,88.0,4.6,0.0,21.0,12.0,118.0,0.0,0.0,5.6,9.8,57.1,73.12,9.0,1.0,11.1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,60.0,2.0,0.0,4.0,27.0,11.0,6.0,5.0,187.0,37.4,0.0,1.0,1.0,0.0,0.0,10.0,6.0,0.0,34.0,20.0,31:03,21.0,8.0,12.0,1.0,65.0,343.0,5.3,3.0,30.0,131.0,4.4,1.0,29.0,19.0,212.0,2.0,1.0,7.3,11.2,65.5,95.76,13.0,7.0,53.8,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,20.0,1.0,0.0,6.0,38.0,5.0,4.0,4.0,209.0,52.2,1.0,0.0,-1.0,0.0,0.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,38.0,27.0,6.0,38.0,4.0,1.0,0.0,23.0,22.0,4.0,27.0,3.0,1.0,0.0,Sunday,993005432,34,13,19077.0,-3.0,0,1.0,0.111,0.0,-0.1505557272089224,0.375,-0.1039541448688531,-0.4081155489857439,-0.0017488569000799,0.5487804878048781,0.1395445491769957,-0.001880733083235,15.7,32.0,-16.3,267.3333333333333,383.3333333333333,-0.667,0.27,0.2,130.0,257.0,1.0,-0.12388503786551446,0.42979784983130326,-0.16284017331343587,-0.19574568339405388,0.1528242797103995,0.49850941019084044,0.2932899979359646,0.1485671038765287,-0.12258205736469327,0.06520542917663989
