player,season,week,team,position_group,Updated,Injury,Injury Status,severity
G. DortchGreg Dortch,2025,14,ARI,WR_TE,"Wed, Dec 3",Chest,Did Not Practice on Thursday. Questionable for Week 14 vs. L.A. Rams,questionable
D. Taylor-DemersonDadrion Taylor-Demerson,2025,14,ARI,DB,"Mon, Dec 1",Ankle,Did Not Practice on Thursday. Questionable for Week 14 vs. L.A. Rams,questionable
E. DemercadoEmari Demercado,2025,14,ARI,RB,"Mon, Dec 1",Ankle,Limited Practice on Thursday. Questionable for Week 14 vs. L.A. Rams,out
M. Harrison Jr.Marvin Harrison Jr.,2025,14,ARI,WR_TE,"Mon, Dec 1",Heel,Did Not Practice on Thursday. Questionable for Week 14 vs. L.A. Rams,questionable
M. MeltonMax Melton,2025,14,ARI,DB,"Mon, Dec 1",Heel,Did Not Practice on Thursday. Questionable for Week 14 vs. L.A. Rams,questionable
W. NolenWalter Nolen,2025,14,ARI,FRONT7,"Mon, Dec 1",Knee,Questionable for Week 14 vs. L.A. Rams,questionable
T.BensonTrey Benson,2025,14,ARI,RB,"Fri, Nov 28",Knee - Meniscus,IR. Injured Reserve. Expected Return - Week 14,ir
C. LindstromChris Lindstrom,2025,14,ATL,OL,"Thu, Dec 4",Foot,Limited Practice on Thursday. Questionable for Week 14 vs. Seattle,questionable
D. LondonDrake London,2025,14,ATL,WR_TE,"Mon, Dec 1",Knee - PCL,Did Not Practice on Thursday. Questionable for Week 14 vs. Seattle,out
T. AndersenTroy Andersen,2025,14,ATL,FRONT7,"Sun, Nov 30",Knee,Physically Unable to Perform. Expected Return - Week 14,pup
R. BatemanRashod Bateman,2025,14,BAL,WR_TE,"Thu, Dec 4",Ankle,Limited Practice on Thursday. Questionable for Week 14 vs. Pittsburgh,questionable
L. JacksonLamar Jackson,2025,14,BAL,QB,"Wed, Dec 3",Ankle,Did Not Practice on Thursday. Questionable for Week 14 vs. Pittsburgh,questionable
T. RobinsonTavius Robinson,2025,14,BAL,FRONT7,"Tue, Dec 2",Foot,IR. Injured Reserve. Expected Return - Week 14,ir
N. WigginsNate Wiggins,2025,14,BAL,DB,"Thu, Nov 27",Foot,Limited Practice on Thursday. Questionable for Week 14 vs. Pittsburgh,questionable
A. WashingtonAr'Darius Washington,2025,14,BAL,DB,"Wed, Oct 1",Achilles,Physically Unable to Perform. Expected Return - Week 14,pup
A. EpenesaA.J. Epenesa,2025,14,BUF,FRONT7,"Thu, Dec 4",Foot,Did Not Practice on Thursday. Questionable for Week 14 vs. Cincinnati,questionable
J. PalmerJosh Palmer,2025,14,BUF,WR_TE,"Wed, Dec 3",Knee,Questionable for Week 14 vs. Cincinnati,questionable
D. DawkinsDion Dawkins,2025,14,BUF,OL,"Mon, Dec 1",Concussion,Limited Practice on Thursday. Questionable for Week 14 vs. Cincinnati,questionable
T. BernardTerrel Bernard,2025,14,BUF,FRONT7,"Mon, Dec 1",Elbow,Did Not Practice on Thursday. Questionable for Week 14 vs. Cincinnati,questionable
D. KincaidDalton Kincaid,2025,14,BUF,WR_TE,"Mon, Dec 1",Hamstring,Limited Practice on Thursday. Questionable for Week 14 vs. Cincinnati,questionable
D. HamlinDamar Hamlin,2025,14,BUF,DB,"Sun, Nov 30",Pectoral,IR. Injured Reserve. Expected Return - Week 14,ir
J. BosaJoey Bosa,2025,14,BUF,FRONT7,"Sun, Nov 30",Hamstring,Did Not Practice on Thursday. Questionable for Week 14 vs. Cincinnati,questionable
L. RansomLathan Ransom,2025,14,CAR,DB,"Mon, Dec 1",Thumb,Questionable for Week 15 at New Orleans,questionable
J. HornJaycee Horn,2025,14,CAR,DB,"Mon, Dec 1",Concussion,Questionable for Week 15 at New Orleans,questionable
C. RozeboomChristian Rozeboom,2025,14,CAR,FRONT7,"Mon, Dec 1",Hip,Questionable for Week 15 at New Orleans,questionable
K. MonangaiKyle Monangai,2025,14,CHI,RB,"Wed, Dec 3",Ankle,Limited Practice on Thursday. Questionable for Week 14 at Green Bay,questionable
R. OdunzeRome Odunze,2025,14,CHI,WR_TE,"Wed, Dec 3",Foot,Did Not Practice on Thursday. Questionable for Week 14 at Green Bay,out
T. StevensonTyrique Stevenson,2025,14,CHI,DB,"Mon, Dec 1",Hip,Did Not Practice on Thursday. Questionable for Week 14 at Green Bay,out
T. EdwardsT.J. Edwards,2025,14,CHI,FRONT7,"Mon, Dec 1",Hand,Limited Practice on Thursday. Questionable for Week 14 at Green Bay,questionable
B. JonesBraxton Jones,2025,14,CHI,OL,"Tue, Nov 25",Knee,IR. Injured Reserve. Expected Return - Week 14,ir
T. HendricksonTrey Hendrickson,2025,14,CIN,FRONT7,"Mon, Dec 1",Hip,Did Not Practice on Thursday. Doubtful for Week 14 at Buffalo,out
T. HigginsTee Higgins,2025,14,CIN,WR_TE,"Mon, Dec 1",Concussion,Full Practice on Thursday. Questionable for Week 14 at Buffalo,questionable
M. GrahamMason Graham,2025,14,CLE,FRONT7,"Thu, Dec 4",Ribs,Limited Practice on Thursday. Questionable for Week 14 vs. Tennessee,questionable
M. Hall Jr.Michael Hall Jr.,2025,14,CLE,FRONT7,"Thu, Dec 4",Knee,Questionable for Week 14 vs. Tennessee,questionable
D. BushDevin Bush,2025,14,CLE,FRONT7,"Wed, Dec 3",Foot,Questionable for Week 14 vs. Tennessee,questionable
C. SchwesingerCarson Schwesinger,2025,14,CLE,FRONT7,"Wed, Dec 3",Ankle,Limited Practice on Thursday. Questionable for Week 14 vs. Tennessee,questionable
T. CampbellTyson Campbell,2025,14,CLE,DB,"Wed, Dec 3",Hip,Limited Practice on Thursday. Questionable for Week 14 vs. Tennessee,questionable
W. TellerWyatt Teller,2025,14,CLE,OL,"Wed, Dec 3",Calf,Did Not Practice on Thursday. Questionable for Week 14 vs. Tennessee,out
D. NjokuDavid Njoku,2025,14,CLE,WR_TE,"Wed, Dec 3",Knee,Limited Practice on Thursday. Questionable for Week 14 vs. Tennessee,questionable
J. ConklinJack Conklin,2025,14,CLE,OL,"Sun, Nov 30",Concussion,Did Not Practice on Thursday. Questionable for Week 14 vs. Tennessee,out
