season,week,team,position_group,status,is_starter
2025,14,ARI,WR_TE,out,1
2025,14,ARI,DB,nan,1
2025,14,ARI,RB,out,1
2025,14,ARI,WR_TE,out,1
2025,14,ARI,DB,out,1
2025,14,ARI,FRONT7,out,1
2025,14,ARI,RB,out,1
2025,14,ATL,OL,nan,1
2025,14,ATL,WR_TE,out,1
2025,14,ATL,FRONT7,pup,1
2025,14,BAL,WR_TE,nan,1
2025,14,BAL,QB,nan,1
2025,14,BAL,FRONT7,out,1
2025,14,BAL,DB,nan,1
2025,14,BAL,DB,pup,1
2025,14,BUF,FRONT7,nan,1
2025,14,BUF,WR_TE,doubtful,1
2025,14,BUF,OL,nan,1
2025,14,BUF,FRONT7,out,1
2025,14,BUF,WR_TE,questionable,1
2025,14,BUF,DB,ir,1
2025,14,BUF,FRONT7,out,1
2025,14,CAR,DB,questionable,1
2025,14,CAR,DB,questionable,1
2025,14,CAR,FRONT7,questionable,1
2025,14,CHI,RB,nan,1
2025,14,CHI,WR_TE,out,1
2025,14,CHI,DB,out,1
2025,14,CHI,FRONT7,nan,1
2025,14,CHI,OL,out,1
2025,14,CIN,FRONT7,out,1
2025,14,CIN,WR_TE,nan,1
2025,14,CLE,FRONT7,questionable,1
2025,14,CLE,FRONT7,questionable,1
2025,14,CLE,FRONT7,questionable,1
2025,14,CLE,FRONT7,nan,1
2025,14,CLE,DB,nan,1
2025,14,CLE,OL,out,1
2025,14,CLE,WR_TE,nan,1
2025,14,CLE,OL,out,1
2025,14,CLE,QB,questionable,1
2025,14,DEN,FRONT7,nan,1
2025,14,DEN,FRONT7,out,1
2025,14,DEN,OL,out,1
2025,14,DET,DB,questionable,1
2025,14,GB,OL,nan,1
2025,14,GB,RB,nan,1
2025,14,GB,DB,questionable,1
2025,14,GB,WR_TE,nan,1
2025,14,GB,FRONT7,out,1
2025,14,GB,FRONT7,out,1
2025,14,GB,DB,questionable,1
2025,14,GB,WR_TE,questionable,1
2025,14,GB,WR_TE,questionable,1
2025,14,HOU,RB,nan,1
2025,14,HOU,DB,questionable,1
2025,14,HOU,FRONT7,nan,1
2025,14,HOU,FRONT7,questionable,1
2025,14,HOU,WR_TE,pup,1
2025,14,HOU,DB,pup,1
2025,14,IND,DB,out,1
2025,14,IND,FRONT7,out,1
2025,14,JAX,DB,out,1
2025,14,JAX,FRONT7,questionable,1
2025,14,JAX,FRONT7,questionable,1
2025,14,JAX,OL,nan,1
2025,14,JAX,OL,out,1
2025,14,JAX,WR_TE,questionable,1
2025,14,KC,OL,doubtful,1
2025,14,KC,OL,doubtful,1
2025,14,LAC,WR_TE,nan,1
2025,14,LAC,OL,nan,1
2025,14,LAC,QB,questionable,1
2025,14,LAC,RB,ir,1
2025,14,LAC,FRONT7,out,1
2025,14,LAC,FRONT7,out,1
2025,14,LAR,FRONT7,questionable,1
2025,14,LAR,DB,doubtful,1
2025,14,LAR,DB,nan,1
2025,14,LAR,FRONT7,nan,1
2025,14,LAR,RB,nan,1
2025,14,LAR,WR_TE,nan,1
2025,14,LAR,WR_TE,out,1
2025,14,LV,FRONT7,questionable,1
2025,14,LV,OL,questionable,1
2025,14,LV,FRONT7,questionable,1
2025,14,LV,OL,ir,1
2025,14,LV,WR_TE,out,1
2025,14,MIA,OL,questionable,1
2025,14,MIA,OL,pup,1
2025,14,MIA,OL,ir,1
2025,14,MIN,OL,questionable,1
2025,14,MIN,DB,nan,1
2025,14,MIN,FRONT7,nan,1
2025,14,MIN,OL,questionable,1
2025,14,MIN,RB,nan,1
2025,14,NE,DB,questionable,1
2025,14,NE,OL,questionable,1
2025,14,NO,OL,out,1
2025,14,NO,WR_TE,questionable,1
2025,14,NO,RB,out,1
2025,14,NO,WR_TE,ir,1
2025,14,NO,SS,out,1
2025,14,NYG,FRONT7,questionable,1
2025,14,NYG,RB,questionable,1
2025,14,NYJ,FRONT7,nan,1
2025,14,NYJ,RB,ir,1
2025,14,PHI,DB,ir,1
2025,14,PHI,FRONT7,nan,1
2025,14,PHI,FRONT7,out,1
2025,14,PHI,FRONT7,nan,1
2025,14,PHI,WR_TE,nan,1
2025,14,PHI,OL,out,1
2025,14,PHI,FRONT7,ir,1
2025,14,PIT,DB,out,1
2025,14,PIT,DB,nan,1
2025,14,PIT,FRONT7,nan,1
2025,14,PIT,DB,ir,1
2025,14,SEA,RB,nan,1
2025,14,SEA,DB,ir,1
2025,14,SEA,FRONT7,ir,1
2025,14,SF,FB,questionable,1
2025,14,SF,FRONT7,out,1
2025,14,TB,OL,questionable,1
2025,14,TB,WR_TE,nan,1
2025,14,TB,WR_TE,nan,1
2025,14,TB,DB,questionable,1
2025,14,TEN,FRONT7,out,1
2025,14,TEN,OL,out,1
2025,14,TEN,DB,ir,1
2025,14,WAS,FRONT7,out,1
2025,14,WAS,OL,out,1
2025,14,WAS,MLB,questionable,1
2025,14,WAS,QB,ir,1
