gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202210124,2022-09-11T13:00:00,1,2022,1,NYJ,BAL,HOME,9,24,33,MetLife Stadium,0,3,0,6,0,32,30,32:30,24,3,18,3,79,380,4.8,1,17,83,4.9,0,59,37,297,1,1,5.0,8.0,62.7,73.91,14,2,14.3,4,3,75.0,2,1,0,0,6,81,2,1,3,12,4,2,6,253,42.2,2,1,-1,3,7,14,0,0,27,30,27:30,13,4,8,1,53,274,5.2,3,21,63,3.0,0,30,17,211,3,1,7.0,12.4,56.7,98.06,13,5,38.5,0,0,0.0,2,1,0,0,5,29,1,0,2,2,10,3,6,291,48.5,1,2,1,50.0,0,50.0,0,1,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,1,1,31,16,2,2,4,1,0,48,21,3,12,4,2,1,Sunday,993003128,24,3,18012,-15,0,-1,0.1428571428571428,0
202210208,2022-09-18T13:00:00,1,2022,2,NYJ,CLE,AWAY,31,30,61,FirstEnergy Stadium,0,14,0,17,0,27,46,27:46,20,3,16,1,67,402,6.0,4,20,93,4.6,0,45,27,309,4,0,6.9,11.4,60.0,110.32,15,8,53.3,1,1,100.0,4,3,0,0,8,57,2,1,2,15,5,4,4,189,47.2,1,1,0,7,7,3,13,0,32,14,32:14,29,12,15,2,65,405,6.2,4,37,184,5.0,3,27,22,221,1,1,8.2,10.0,81.5,97.69,12,8,66.7,0,0,0.0,5,4,0,0,5,38,0,0,1,8,5,5,3,156,52.0,1,1,0,75.0,0,80.0,0,4,4,0,0,0,0,0,1,1,4,3,0,0,0,0,0,1,1,44,27,1,8,3,0,0,39,7,2,15,5,2,1,Sunday,993003149,24,8,18022,1,1,0,0.5333333333333333,0
202210324,2022-09-25T13:00:00,1,2022,3,NYJ,CIN,HOME,12,27,39,MetLife Stadium,6,3,3,0,0,27,36,27:36,19,4,13,2,76,328,4.3,0,20,76,3.8,0,52,28,252,0,2,4.8,9.0,53.8,51.12,18,7,38.9,3,0,0.0,2,0,0,0,4,55,3,2,4,33,9,7,3,146,48.7,4,1,-3,14,6,7,0,0,32,24,32:24,20,6,12,2,66,330,5.0,3,28,69,2.5,0,36,23,261,3,0,7.2,11.3,63.9,113.31,14,7,50.0,1,0,0.0,4,2,0,0,5,30,2,1,2,14,10,6,3,142,47.3,1,4,3,0.0,0,50.0,0,0,0,0,0,0,0,0,4,4,3,3,0,0,0,0,0,3,2,41,20,2,14,4,1,1,42,23,4,33,8,3,3,Sunday,993003182,24,7,18054,-15,0,-3,0.3888888888888889,0
202210428,2022-10-02T13:00:00,1,2022,4,NYJ,PIT,AWAY,24,20,44,Acrisure Stadium,3,7,0,14,0,29,59,29:59,19,5,12,2,67,348,5.2,3,29,98,3.4,1,37,19,250,2,2,6.8,13.2,51.4,68.52,15,6,40.0,1,1,100.0,3,3,0,0,7,64,1,0,1,4,7,3,5,235,47.0,2,4,2,0,6,7,7,0,30,1,30:01,20,7,11,2,60,297,5.0,2,31,119,3.8,2,26,17,178,0,4,6.8,10.5,65.4,45.51,12,6,50.0,1,1,100.0,2,2,0,0,8,55,2,0,3,26,6,5,4,158,39.5,4,2,-2,100.0,0,100.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,33,36,3,26,8,1,1,35,28,1,4,4,0,1,Sunday,993003211,24,28,18268,4,1,2,0.4,0
202210524,2022-10-09T13:00:00,1,2022,5,NYJ,MIA,HOME,40,17,57,MetLife Stadium,5,14,0,21,0,30,58,30:58,21,8,9,4,56,322,5.8,5,33,135,4.1,5,21,14,187,0,0,8.9,13.4,66.7,94.74,11,5,45.5,1,0,0.0,6,5,0,0,5,105,0,0,2,23,16,2,4,185,46.2,0,2,2,0,14,3,0,0,29,2,29:02,19,8,8,3,62,295,4.8,2,26,137,5.3,2,34,19,158,0,1,4.6,8.3,55.9,55.76,11,4,36.4,2,0,0.0,3,2,0,0,11,102,1,1,2,8,3,5,3,131,43.7,2,0,-2,83.3,0,66.7,0,5,5,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,37,20,2,8,4,1,1,33,20,2,23,2,0,0,Sunday,993003246,24,19,18170,23,1,2,0.4545454545454545,0
202210612,2022-10-16T13:00:00,1,2022,6,NYJ,GB,AWAY,27,10,37,Lambeau Field,0,3,14,10,0,28,48,28:48,14,9,4,1,53,278,5.2,3,33,179,5.4,2,18,10,99,0,0,5.5,9.9,55.6,71.3,11,1,9.1,0,0,0.0,2,0,0,0,7,79,0,0,2,11,9,5,6,268,44.7,0,1,1,0,3,7,0,0,31,12,31:12,15,3,9,3,69,278,4.0,1,20,60,3.0,0,45,28,218,1,0,4.8,7.8,62.2,81.53,16,4,25.0,4,1,25.0,1,0,0,0,7,42,2,1,4,36,2,4,5,244,48.8,1,0,-1,0.0,0,0.0,0,3,3,0,0,0,0,0,3,2,1,1,0,0,0,0,0,2,1,42,22,4,36,6,1,1,36,17,2,11,5,0,0,Sunday,993003273,24,12,18182,17,1,1,0.0909090909090909,0
202210710,2022-10-23T16:05:00,1,2022,7,NYJ,DEN,AWAY,16,9,25,Empower Field at Mile High,7,3,0,6,0,27,37,27:37,10,4,5,1,53,260,4.9,1,24,155,6.5,1,26,16,105,0,0,4.0,6.6,61.5,70.19,14,3,21.4,0,0,0.0,1,0,0,0,11,85,0,0,3,16,7,1,8,438,54.8,0,1,1,6,3,0,0,0,32,23,32:23,21,7,10,4,75,324,4.3,1,28,105,3.8,1,46,24,219,0,1,4.8,9.1,52.2,56.34,16,5,31.2,3,1,33.3,2,1,0,0,4,34,1,0,1,6,5,2,6,240,40.0,1,0,-1,0.0,0,50.0,0,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,1,42,21,1,6,9,0,0,31,24,3,16,1,0,0,Sunday,993003313,24,10,18043,7,1,1,0.2142857142857142,0
202210824,2022-10-30T13:00:00,1,2022,8,NYJ,NE,HOME,17,22,39,MetLife Stadium,3,7,0,7,0,24,26,24:26,17,1,15,1,58,387,6.7,2,15,51,3.4,0,41,20,336,2,3,8.2,16.8,48.8,62.65,14,5,35.7,1,0,0.0,3,2,0,0,4,41,0,0,2,19,8,13,4,188,47.0,3,1,-2,3,3,13,3,0,35,34,35:34,19,8,9,2,75,288,3.8,1,34,127,3.7,0,35,24,161,1,1,4.6,6.7,68.6,76.01,19,6,31.6,2,1,50.0,3,1,0,0,6,54,1,0,6,33,2,3,4,163,40.8,1,3,2,66.7,0,33.3,0,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,5,5,52,23,6,33,4,1,0,31,19,2,19,6,0,0,Sunday,993003342,24,21,18125,-5,0,-2,0.3571428571428571,0
202210924,2022-11-06T13:00:00,1,2022,9,NYJ,BUF,HOME,20,17,37,MetLife Stadium,3,7,7,3,0,32,44,32:44,21,11,9,1,61,310,5.1,2,34,174,5.1,1,25,18,136,1,0,5.4,7.6,72.0,98.08,13,5,38.5,2,2,100.0,5,2,0,0,3,30,2,1,2,18,8,3,3,147,49.0,1,2,1,7,7,0,3,0,27,16,27:16,19,9,10,0,61,317,5.2,2,22,134,6.1,2,34,18,183,0,2,5.4,10.2,52.9,44.12,13,8,61.5,1,0,0.0,2,1,0,0,3,30,2,0,5,22,3,3,2,111,55.5,2,1,-1,40.0,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,35,21,5,22,6,2,0,35,35,2,18,1,1,1,Sunday,993003372,24,4,18139,3,1,1,0.3846153846153846,0
202211121,2022-11-20T13:00:00,1,2022,11,NYJ,NE,AWAY,3,10,13,Gillette Stadium,0,3,0,0,0,24,30,24:30,6,1,3,2,49,103,2.1,0,23,59,2.6,0,22,9,44,0,0,2.0,4.9,40.9,48.67,14,3,21.4,0,0,0.0,1,0,0,0,3,15,1,0,4,33,8,8,10,458,45.8,0,0,0,0,3,0,7,0,35,30,35:30,13,5,8,0,59,297,5.0,1,26,99,3.8,0,27,23,198,0,0,7.3,8.6,85.2,97.22,15,4,26.7,1,0,0.0,2,0,0,0,8,55,1,0,6,48,6,8,7,317,45.3,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,1,48,17,6,48,2,0,0,30,21,4,33,3,0,0,Sunday,993003425,24,21,18079,-7,0,0,0.2142857142857142,0
