gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310116,2023-09-07T20:20:00,1,2023,1,DET,KC,AWAY,21,20,41,Arrowhead Stadium,7,0,7,7,0,32,38,32:38,19,8,11,0,70,368,5.3,3,34,118,3.5,1,35,22,250,1,0,7.1,11.4,62.9,93.75,15,5,33.3,3,1,33.3,3,2,0,0,4,63,2,1,1,3,7,2,5,222,44.4,1,1,0,0,14,3,3,0,27,22,27:22,17,6,10,1,62,316,5.1,2,23,90,3.9,0,39,21,226,2,1,5.8,10.8,53.8,77.51,14,5,35.7,1,0,0.0,3,2,0,0,3,25,0,0,0,0,4,4,5,247,49.4,1,1,0,66.7,0,66.7,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,38,10,0,0,5,0,0,42,29,1,3,4,1,1,Thursday,993003777,11,16,18343,1,1,0,0.3333333333333333,0
202310211,2023-09-17T13:00:00,1,2023,2,DET,SEA,HOME,31,37,68,Ford Field,7,7,7,10,0,30,48,30:48,25,5,17,3,64,418,6.5,4,27,102,3.8,1,35,28,316,3,1,9.0,11.3,80.0,120.95,11,6,54.5,3,1,33.3,2,2,0,0,4,24,2,2,2,7,1,1,1,53,53.0,3,0,-3,7,0,10,14,6,33,31,33:31,28,7,18,3,67,393,5.9,5,25,82,3.3,2,41,32,311,2,0,7.6,9.7,78.0,114.53,11,5,45.5,1,1,100.0,5,4,0,0,9,80,0,0,1,17,6,6,3,152,50.7,0,3,3,100.0,0,80.0,0,4,4,0,0,0,0,0,1,1,4,4,0,0,0,0,0,3,1,50,15,1,17,2,0,0,47,21,2,7,3,2,2,Sunday,993003822,11,30,18560,-6,0,-3,0.5454545454545454,0
202310311,2023-09-24T13:00:00,1,2023,3,DET,ATL,HOME,20,6,26,Ford Field,3,10,0,7,0,32,57,32:57,18,5,11,2,64,358,5.6,2,31,115,3.7,1,33,22,243,1,1,7.4,11.0,66.7,85.8,14,4,28.6,0,0,0.0,4,1,0,0,10,119,0,0,0,0,8,11,6,274,45.7,1,1,0,0,3,0,3,0,27,3,27:03,16,3,9,4,65,183,2.8,0,20,44,2.2,0,38,21,139,0,0,3.7,6.6,55.3,63.38,14,4,28.6,1,0,0.0,1,0,0,0,4,24,1,1,7,62,9,4,6,295,49.2,1,1,0,25.0,0,0.0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,45,19,7,62,7,1,1,35,38,0,0,4,0,0,Sunday,993003844,11,2,18456,14,1,0,0.2857142857142857,0
202310412,2023-09-28T20:15:00,1,2023,4,DET,GB,AWAY,34,20,54,Lambeau Field,14,13,0,7,0,37,58,37:58,25,13,11,1,73,401,5.5,4,43,211,4.9,3,28,19,190,1,1,6.8,10.0,67.9,83.93,17,7,41.2,2,2,100.0,6,3,0,0,8,70,0,0,2,20,11,8,4,180,45.0,1,2,1,3,0,8,9,0,22,2,22:02,15,2,9,4,53,230,4.3,2,12,27,2.2,1,36,23,203,1,2,5.6,8.8,63.9,64.93,11,3,27.3,1,1,100.0,4,2,0,0,4,31,2,0,5,43,6,6,5,259,51.8,2,1,-1,50.0,0,50.0,0,4,4,0,0,0,0,0,2,2,0,0,0,3,1,0,0,2,2,33,17,5,43,6,1,0,53,26,2,20,2,0,0,Thursday,993003873,11,12,18500,14,1,1,0.4117647058823529,0
202310511,2023-10-08T13:00:00,1,2023,5,DET,CAR,HOME,42,24,66,Ford Field,14,14,0,14,0,31,15,31:15,23,11,11,1,60,377,6.3,6,30,159,5.3,3,28,20,218,3,0,7.8,10.9,71.4,129.76,10,4,40.0,2,1,50.0,4,4,0,0,5,35,0,0,2,18,6,2,2,88,44.0,0,3,3,0,10,0,14,0,28,45,28:45,26,7,15,4,65,342,5.3,3,23,99,4.3,0,41,25,243,3,2,5.9,9.7,61.0,81.66,10,5,50.0,1,1,100.0,4,3,0,0,7,45,2,1,1,4,7,3,3,114,38.0,3,0,-3,100.0,0,75.0,0,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,40,17,1,4,3,2,1,33,31,2,18,0,0,1,Sunday,993003912,11,5,18348,18,1,3,0.4,0
202310633,2023-10-15T16:25:00,1,2023,6,DET,TB,AWAY,20,6,26,Raymond James Stadium,3,7,7,3,0,36,30,36:30,19,2,16,1,69,380,5.5,2,22,40,1.8,0,44,30,340,2,0,7.7,11.3,68.2,106.25,16,9,56.2,0,0,0.0,2,0,0,0,5,35,1,0,3,13,4,3,4,180,45.0,0,1,1,0,3,3,0,0,23,30,23:30,13,0,12,1,54,251,4.6,0,16,46,2.9,0,37,19,205,0,1,5.5,10.8,51.4,56.7,12,2,16.7,2,1,50.0,2,0,0,0,5,33,0,0,1,1,3,5,6,325,54.2,1,0,-1,0.0,0,0.0,0,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,31,16,1,1,9,0,0,43,28,3,13,3,1,0,Sunday,993003953,11,33,18364,14,1,1,0.5625,0
202310703,2023-10-22T13:00:00,1,2023,7,DET,BAL,AWAY,6,38,44,M&T Bank Stadium,0,0,0,6,0,29,38,29:38,18,4,13,1,72,337,4.7,1,14,84,6.0,1,53,33,253,0,1,4.8,7.7,62.3,66.0,16,5,31.2,6,2,33.3,1,0,0,0,5,57,2,0,5,31,1,2,4,184,46.0,1,1,0,14,14,7,3,0,30,22,30:22,23,7,15,1,55,503,9.1,5,27,146,5.4,2,28,21,357,3,0,12.8,17.0,75.0,152.38,8,4,50.0,1,1,100.0,6,5,0,0,4,45,1,1,0,0,8,4,2,112,56.0,1,1,0,0.0,0,83.3,0,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,1,1,34,17,0,0,0,0,1,49,13,5,31,6,2,0,Sunday,993003971,11,3,18521,-32,0,0,0.3125,0
202310811,2023-10-30T20:15:00,1,2023,8,DET,LV,HOME,26,14,40,Ford Field,3,13,7,3,0,39,33,39:33,29,10,17,2,81,486,6.0,2,43,222,5.2,1,37,26,264,1,1,7.1,10.2,70.3,88.12,14,6,42.9,1,1,100.0,5,1,0,0,5,55,2,2,1,8,9,7,1,48,48.0,3,1,-2,0,7,7,0,0,20,27,20:27,12,4,6,2,45,157,3.5,2,18,80,4.4,1,21,10,77,0,1,3.7,7.7,47.6,37.2,9,1,11.1,3,0,0.0,1,1,0,0,4,40,2,0,6,49,5,4,5,242,48.4,1,3,2,20.0,0,100.0,0,2,2,0,0,0,0,0,5,4,2,2,0,0,0,0,0,0,0,28,13,6,49,3,1,0,53,39,1,8,3,2,2,Monday,993004020,11,25,18587,12,1,-2,0.4285714285714285,0
202311029,2023-11-12T16:05:00,1,2023,10,DET,LAC,AWAY,41,38,79,SoFi Stadium,10,14,7,10,0,30,34,30:34,23,8,13,2,64,533,8.3,5,31,200,6.5,3,33,23,333,2,0,10.1,14.5,69.7,122.41,13,4,30.8,5,4,80.0,4,2,0,0,4,44,0,0,0,0,5,1,1,29,29.0,0,1,1,3,14,7,14,0,29,26,29:26,24,5,16,3,68,421,6.2,5,28,98,3.5,1,40,27,323,4,1,8.1,12.0,67.5,114.9,14,7,50.0,3,3,100.0,3,3,0,0,3,36,0,0,0,0,2,5,2,107,53.5,1,0,-1,50.0,0,100.0,0,5,5,0,0,0,0,0,2,2,5,5,0,0,0,0,0,1,1,41,26,0,0,5,0,0,41,19,0,0,2,0,0,Sunday,993004067,11,29,18393,3,1,1,0.3076923076923077,0
202311111,2023-11-19T13:00:00,1,2023,11,DET,CHI,HOME,31,26,57,Ford Field,0,14,0,17,0,19,36,19:36,23,8,14,1,59,338,5.7,4,22,115,5.2,2,35,23,223,2,3,6.4,9.7,65.7,66.73,11,8,72.7,0,0,0.0,3,3,0,0,5,25,1,1,2,13,4,8,2,97,48.5,4,1,-3,7,3,10,6,0,40,24,40:24,25,11,10,4,71,334,4.7,2,46,183,4.0,1,23,16,151,1,0,6.6,9.4,69.6,101.9,13,5,38.5,2,2,100.0,2,1,0,0,6,69,2,1,2,18,8,2,2,91,45.5,1,4,3,100.0,0,50.0,0,3,3,0,2,1,0,0,0,0,2,2,0,0,0,0,0,4,4,51,27,2,18,2,2,1,36,18,2,13,5,1,1,Sunday,993004084,11,6,18530,5,1,-3,0.7272727272727273,0
