gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410107,2024-09-08T13:00:00,1,2024,1,NE,CIN,AWAY,16,10,26,Paycor Stadium,0,10,3,3,0,34,3,34:03,17,11,6,0,64,290,4.5,1,39,170,4.4,1,24,15,120,0,0,5.0,8.0,62.5,75.0,15,6,40.0,0,0,0.0,4,1,0,0,5,40,1,0,1,1,4,3,5,250,50.0,0,2,2,0,0,7,3,0,25,57,25:57,13,5,7,1,48,224,4.7,1,16,70,4.4,1,29,21,154,0,0,5.3,7.3,72.4,84.55,11,4,36.4,1,0,0.0,2,1,0,0,2,10,3,2,3,10,7,5,4,258,64.5,2,0,-2,25.0,0,50.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,1,1,28,23,3,10,3,3,2,40,32,1,1,3,1,0,Sunday,993004461,21,7,18678,6,1,2,0.4,0
202410221,2024-09-15T13:00:00,1,2024,2,NE,SEA,HOME,20,23,43,Gillette Stadium,7,6,0,7,0,35,42,35:42,19,8,9,2,66,310,4.7,2,36,185,5.1,1,27,15,125,1,0,4.6,8.3,55.6,80.02,16,6,37.5,0,0,0.0,4,2,0,0,3,42,1,0,3,24,6,4,6,342,57.0,0,0,0,7,10,0,3,3,29,41,29:41,18,5,11,2,66,358,5.4,2,19,46,2.4,1,44,33,312,1,0,7.1,9.5,75.0,101.7,15,7,46.7,2,1,50.0,3,1,0,0,6,50,0,0,3,15,8,5,5,269,53.8,0,0,0,50.0,0,33.3,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,3,3,42,26,3,15,5,0,0,41,33,3,24,2,1,0,Sunday,993004490,21,30,18697,-3,0,0,0.375,0
202410324,2024-09-19T20:15:00,1,2024,3,NE,NYJ,AWAY,3,24,27,MetLife Stadium,0,3,0,0,0,19,56,19:56,11,3,6,2,48,139,2.9,0,15,78,5.2,0,26,16,61,0,0,2.3,3.8,61.5,65.87,11,2,18.2,3,3,100.0,1,0,0,0,5,70,1,1,7,59,4,5,5,245,49.0,1,0,-1,7,7,7,3,0,40,4,40:04,27,9,16,2,70,400,5.7,3,33,133,4.0,1,35,27,267,2,0,7.6,9.9,77.1,117.2,15,10,66.7,0,0,0.0,4,3,0,0,8,106,1,0,2,14,15,5,3,122,40.7,0,1,1,0.0,0,75.0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,1,49,25,2,14,1,1,0,28,19,7,59,2,1,1,Thursday,993004511,21,24,18716,-21,0,-1,0.1818181818181818,0
202410431,2024-09-29T16:05:00,1,2024,4,NE,SF,AWAY,13,30,43,Levi's Stadium,0,3,7,3,0,28,25,28:25,12,2,8,2,62,216,3.5,1,24,73,3.0,0,32,19,143,1,1,4.5,7.5,59.4,67.58,16,5,31.2,3,1,33.3,2,1,0,0,3,20,4,2,6,25,4,3,4,196,49.0,3,2,-1,6,14,7,3,0,31,35,31:35,19,6,12,1,60,431,7.2,3,32,148,4.6,1,27,15,283,1,1,10.5,18.9,55.6,88.97,13,7,53.8,0,0,0.0,4,2,0,0,6,43,3,1,1,5,10,7,3,133,44.3,2,3,1,50.0,0,50.0,0,1,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,3,34,23,1,5,5,1,1,38,25,6,25,5,4,2,Sunday,993004561,21,31,18723,-17,0,-1,0.3125,0
202410521,2024-10-06T13:00:00,1,2024,5,NE,MIA,HOME,10,15,25,Gillette Stadium,7,0,3,0,0,25,40,25:40,15,5,8,2,55,299,5.4,1,19,151,7.9,1,34,18,148,0,0,4.4,8.2,52.9,64.34,13,4,30.8,1,0,0.0,2,0,0,0,12,105,0,0,2,12,5,5,6,310,51.7,0,2,2,3,0,6,6,0,34,20,34:20,24,10,10,4,75,372,5.0,1,41,193,4.7,1,31,18,179,0,1,5.8,9.9,58.1,61.09,11,2,18.2,1,0,0.0,2,1,0,0,6,54,3,1,3,15,9,5,2,88,44.0,2,0,-2,0.0,0,50.0,0,1,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,4,3,47,35,3,15,5,1,1,33,21,2,12,6,0,0,Sunday,993004582,21,19,18743,-5,0,2,0.3076923076923077,0
202410621,2024-10-13T13:00:00,1,2024,6,NE,HOU,HOME,21,41,62,Gillette Stadium,0,7,7,7,0,29,13,29:13,17,3,12,2,63,291,4.6,3,26,82,3.2,0,33,20,209,3,2,6.3,10.4,60.6,84.03,13,3,23.1,2,2,100.0,1,1,0,0,9,50,3,2,4,34,5,4,6,299,49.8,4,1,-3,14,0,13,14,0,30,47,30:47,20,5,13,2,62,368,5.9,5,28,192,6.9,2,32,20,176,3,1,5.5,8.8,62.5,95.31,11,4,36.4,0,0,0.0,3,3,0,0,4,38,1,0,2,16,8,8,4,185,46.2,1,4,3,100.0,0,100.0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,2,36,24,2,16,4,0,0,40,27,4,34,6,3,2,Sunday,993004612,21,13,18755,-20,0,-3,0.2307692307692307,0
202410715,2024-10-20T09:30:00,1,2024,7,NE,JAX,AWAY,16,32,48,Wembley Stadium,7,3,0,6,0,26,45,26:45,17,2,13,2,54,295,5.5,2,15,38,2.5,0,37,26,257,2,0,6.9,9.9,70.3,107.6,12,6,50.0,1,0,0.0,2,2,0,0,7,35,0,0,2,19,0,2,4,209,52.2,0,0,0,0,22,3,7,0,33,15,33:15,23,13,9,1,59,364,6.2,4,39,171,4.4,2,20,15,193,1,0,9.6,12.9,75.0,121.46,10,6,60.0,1,0,0.0,5,3,0,0,4,24,0,0,0,0,3,5,2,70,35.0,0,0,0,100.0,0,60.0,0,1,1,0,2,0,0,0,1,1,3,3,0,2,1,0,0,1,1,38,30,0,0,2,0,0,29,27,2,19,4,0,0,Sunday,993004633,21,15,18774,-16,0,0,0.5,0
202410821,2024-10-27T13:00:00,1,2024,8,NE,NYJ,HOME,25,22,47,Gillette Stadium,7,0,7,11,0,30,26,30:26,19,10,7,2,63,248,3.9,3,31,112,3.6,3,30,18,136,0,0,4.5,7.6,60.0,70.97,15,7,46.7,1,1,100.0,4,3,0,0,5,50,2,0,2,19,5,2,5,236,47.2,0,0,0,6,7,3,6,0,29,34,29:34,22,6,12,4,57,336,5.9,3,28,112,4.0,1,28,17,224,2,0,8.0,13.2,60.7,109.82,10,4,40.0,0,0,0.0,5,3,0,0,8,55,2,0,1,9,4,5,4,177,44.2,0,0,0,75.0,0,60.0,0,2,2,0,2,1,0,0,1,1,2,1,0,2,0,0,0,2,1,29,30,1,9,3,1,0,40,29,2,19,3,1,0,Sunday,993004674,21,24,18788,3,1,0,0.4666666666666667,0
202410934,2024-11-03T13:00:00,1,2024,9,NE,TEN,AWAY,17,20,37,Nissan Stadium,0,3,7,7,0,29,9,29:09,20,7,10,3,65,295,4.5,2,20,110,5.5,1,41,29,185,1,2,4.5,6.4,70.7,67.63,11,3,27.3,1,1,100.0,2,2,0,0,8,58,2,1,4,21,4,5,4,169,42.2,3,1,-2,7,0,3,7,3,38,44,38:44,24,9,13,2,73,400,5.5,2,39,167,4.3,0,33,20,233,2,1,7.1,11.6,60.6,89.58,16,7,43.8,1,0,0.0,5,2,0,0,10,67,3,0,1,7,9,9,5,233,46.6,1,3,2,100.0,0,40.0,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,48,25,1,7,4,2,0,38,30,4,21,7,1,1,Sunday,993004705,21,34,18805,-3,0,-2,0.2727272727272727,0
202411006,2024-11-10T13:00:00,1,2024,10,NE,CHI,AWAY,19,3,22,Soldier Field,3,10,0,6,0,32,28,32:28,16,7,9,0,61,328,5.4,1,35,144,4.1,0,25,15,184,1,1,7.4,12.3,60.0,79.42,14,5,35.7,1,1,100.0,5,1,0,0,7,40,2,0,1,0,13,13,5,285,57.0,1,0,-1,0,3,0,0,0,27,32,27:32,11,4,6,1,59,142,2.4,0,20,73,3.6,0,30,16,69,0,0,2.3,4.3,53.3,59.03,14,1,7.1,4,2,50.0,1,0,0,0,5,25,0,0,9,51,7,0,8,335,41.9,0,1,1,20.0,0,0.0,0,1,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,38,12,9,51,5,0,0,39,28,1,0,4,0,0,Sunday,993004727,21,6,18812,16,1,-1,0.3571428571428571,0
