gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510108,2025-09-07T13:00:00,1,2025,1,CLE,CIN,HOME,16,17,33,Huntington Bank Field,0,10,6,0,0,35,49,35:49,22,5,13,4,71,327,4.6,2,24,49,2.0,1,45,31,278,1,2,6.2,9.0,68.9,74.12,16,9,56.2,3,2,66.7,3,2,0,0,7,53,0,0,2,12,7,8,2,97,48.5,2,0,-2,7,7,3,0,0,24,11,24:11,11,3,7,1,49,141,2.9,2,23,46,2.0,1,23,14,95,1,0,4.1,6.8,60.9,84.51,14,7,50.0,0,0,0.0,3,2,0,0,7,33,0,0,3,18,5,4,6,316,52.7,0,2,2,66.7,0,66.7,0,2,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,1,1,31,22,3,18,5,0,0,40,40,2,12,6,0,0,Sunday,993005122,8,7,19056,-1,0,-2,0.5625,0
202510203,2025-09-14T13:00:00,1,2025,2,CLE,BAL,AWAY,17,41,58,M&T Bank Stadium,0,3,7,7,0,31,49,31:49,17,7,10,0,72,323,4.5,2,22,115,5.2,0,48,28,208,2,1,4.3,7.4,58.3,73.96,18,7,38.9,3,1,33.3,2,2,0,0,6,42,2,1,2,11,5,5,5,223,44.6,2,0,-2,3,7,10,21,0,28,11,28:11,14,2,10,2,53,242,4.6,5,21,45,2.1,0,29,19,197,4,0,6.8,10.4,65.5,124.57,12,3,25.0,1,1,100.0,4,3,0,0,6,28,1,0,3,28,9,7,5,259,51.8,0,2,2,100.0,0,75.0,0,2,2,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,2,25,25,3,28,5,1,0,40,25,2,11,5,1,1,Sunday,993005167,8,3,19084,-24,0,-2,0.3888888888888889,0
202510308,2025-09-21T13:00:00,1,2025,3,CLE,GB,HOME,13,10,23,Huntington Bank Field,0,0,0,13,0,25,46,25:46,15,5,7,3,57,221,3.9,1,19,96,5.1,1,36,21,125,0,1,3.5,6.0,58.3,53.59,13,4,30.8,2,1,50.0,2,1,0,0,8,90,0,0,2,17,7,6,6,291,48.5,1,1,0,0,3,7,0,0,34,14,34:14,14,4,8,2,61,230,3.8,1,31,81,2.6,0,25,18,149,1,1,6.0,8.3,72.0,83.58,18,10,55.6,0,0,0.0,2,1,0,0,14,75,1,0,5,34,10,5,5,265,53.0,1,1,0,50.0,0,50.0,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,1,38,33,5,34,2,1,0,31,27,2,17,3,0,0,Sunday,993005198,8,12,19101,3,1,0,0.3076923076923077,0
202510411,2025-09-28T13:00:00,1,2025,4,CLE,DET,AWAY,10,34,44,Ford Field,7,0,3,0,0,31,44,31:44,16,7,8,1,65,249,3.8,1,27,79,2.9,1,35,16,170,0,2,4.9,10.6,45.7,36.61,14,3,21.4,1,1,100.0,2,1,0,0,6,44,2,1,3,14,5,4,7,314,44.9,3,1,-2,7,13,0,14,0,28,16,28:16,16,6,8,2,56,277,4.9,4,29,109,3.8,1,27,16,168,2,1,6.2,10.5,59.3,86.65,14,6,42.9,1,0,0.0,3,3,0,0,6,35,0,0,0,0,9,4,5,221,44.2,1,3,2,50.0,0,100.0,0,1,1,0,0,0,0,0,2,1,4,4,0,0,0,0,0,2,2,27,27,0,0,1,0,0,35,25,3,14,10,1,1,Sunday,993005221,8,11,19118,-24,0,-2,0.2142857142857142,0
202510508,2025-10-05T09:30:00,1,2025,5,CLE,MIN,HOME,17,21,38,Tottenham Hotspur Stadium,7,3,7,0,0,30,29,30:29,17,8,9,0,67,322,4.8,2,32,140,4.4,0,33,19,182,2,0,5.5,9.6,57.6,93.24,15,3,20.0,3,3,100.0,3,2,0,0,10,78,0,0,2,8,3,6,8,360,45.0,0,2,2,7,0,7,7,0,29,31,29:31,20,4,14,2,61,349,5.7,3,23,97,4.2,1,35,26,252,2,0,7.2,9.7,74.3,113.04,9,3,33.3,0,0,0.0,2,2,0,0,7,50,2,2,3,16,3,5,5,286,57.2,2,0,-2,66.7,0,100.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,0,35,27,3,16,3,2,2,33,37,2,8,5,0,0,Sunday,993005248,8,20,19045,-4,0,2,0.2,0
202510628,2025-10-12T13:00:00,1,2025,6,CLE,PIT,AWAY,9,23,32,Acrisure Stadium,0,3,3,3,0,28,8,28:08,20,6,10,4,75,248,3.3,0,17,65,3.8,0,52,29,183,0,0,3.5,6.3,55.8,63.22,17,6,35.3,4,2,50.0,3,0,0,0,6,44,0,0,6,38,3,6,4,198,49.5,0,0,0,3,6,7,7,0,31,52,31:52,19,7,11,1,58,335,5.8,2,28,100,3.6,0,30,21,235,2,0,7.8,11.2,70.0,115.28,13,5,38.5,0,0,0.0,1,1,0,0,10,59,1,0,0,0,17,6,2,84,42.0,0,0,0,0.0,0,100.0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,4,3,33,26,0,0,3,1,0,32,40,6,38,8,0,0,Sunday,993005287,8,28,19149,-14,0,0,0.3529411764705882,0
202510708,2025-10-19T13:00:00,1,2025,7,CLE,MIA,HOME,31,6,37,Huntington Bank Field,3,14,7,7,0,31,45,31:45,15,5,6,4,53,206,3.9,4,33,104,3.2,3,18,13,102,0,0,5.7,7.8,72.2,85.88,11,4,36.4,0,0,0.0,3,2,0,0,5,37,1,0,2,14,6,11,6,258,43.0,0,4,4,0,6,0,0,0,28,15,28:15,12,3,7,2,57,219,3.8,0,22,99,4.5,0,31,17,120,0,3,3.9,7.1,54.8,24.33,13,1,7.7,4,2,50.0,2,0,0,0,11,103,6,1,4,33,3,9,4,189,47.2,4,0,-4,66.7,0,0.0,0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,33,18,4,33,6,1,1,36,16,2,14,2,0,0,Sunday,993005318,8,19,19159,25,1,4,0.3636363636363636,0
202510821,2025-10-26T13:00:00,1,2025,8,CLE,NE,AWAY,13,32,45,Gillette Stadium,7,0,0,6,0,23,48,23:48,12,4,7,1,52,213,4.1,2,16,68,4.2,0,35,21,145,2,2,4.1,6.9,60.0,64.58,11,2,18.2,3,1,33.3,3,2,0,0,5,31,0,0,1,11,8,11,4,161,40.2,2,2,0,3,6,21,2,0,36,12,36:12,23,10,11,2,65,422,6.5,3,35,177,5.1,0,24,18,245,3,1,10.2,13.6,75.0,129.34,11,3,27.3,0,0,0.0,6,2,0,0,7,54,2,1,6,37,2,7,3,124,41.3,2,2,0,66.7,0,33.3,0,1,1,0,2,0,0,0,1,0,3,3,0,0,0,0,0,3,3,39,26,6,37,3,2,1,22,29,1,11,8,0,0,Sunday,993005347,8,21,19177,-19,0,0,0.1818181818181818,0
202511024,2025-11-09T13:00:00,1,2025,10,CLE,NYJ,AWAY,20,27,47,MetLife Stadium,7,10,0,3,0,34,4,34:04,23,10,8,5,70,278,4.0,2,32,158,4.9,0,32,17,120,2,0,3.8,7.1,53.1,82.81,16,6,37.5,1,0,0.0,2,1,0,0,10,78,0,0,6,47,8,10,7,351,50.1,0,1,1,14,3,0,10,0,25,56,25:56,12,8,1,3,47,169,3.6,3,33,127,3.8,0,11,6,42,1,1,3.8,7.0,54.5,55.87,11,3,27.3,0,0,0.0,2,0,0,0,7,61,0,0,3,12,7,10,5,249,49.8,1,0,-1,50.0,0,0.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,29,23,3,12,5,0,0,43,22,6,47,3,0,0,Sunday,993005393,8,24,19190,-7,0,1,0.375,0
202511108,2025-11-16T16:25:00,1,2025,11,CLE,BAL,HOME,16,23,39,Huntington Bank Field,3,13,0,0,0,27,1,27:01,10,5,4,1,54,187,3.5,1,25,106,4.2,0,26,11,81,0,1,3.1,7.4,42.3,34.29,14,2,14.3,1,0,0.0,2,0,0,0,5,41,1,0,3,34,7,10,6,299,49.8,1,3,2,3,7,0,13,0,32,59,32:59,17,8,9,0,60,351,5.8,2,30,184,6.1,2,25,14,167,0,2,6.7,11.9,56.0,43.25,13,5,38.5,1,1,100.0,4,1,0,0,4,26,1,1,5,26,10,6,4,176,44.0,3,1,-2,0.0,0,25.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,3,3,36,19,5,26,3,0,1,28,24,3,34,9,1,0,Sunday,993005438,8,3,19206,-7,0,2,0.1428571428571428,0
