gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510112,2025-09-07T16:25:00,1,2025,1,GB,DET,HOME,27,13,40,Lambeau Field,10,7,0,10,0,24,35,24:35,14,4,8,2,47,266,5.7,3,25,78,3.1,1,22,16,188,2,0,8.5,11.8,72.7,128.6,10,4,40.0,1,1,100.0,5,3,0,0,4,40,0,0,0,0,9,9,3,164,54.7,0,1,1,0,3,3,7,0,35,25,35:25,16,2,13,1,65,246,3.8,1,22,46,2.1,0,39,31,200,1,1,5.1,6.5,79.5,85.9,15,5,33.3,4,3,75.0,4,1,0,0,7,40,0,0,4,25,2,2,3,142,47.3,1,0,-1,60.0,0,25.0,0,3,3,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,41,34,4,25,2,0,0,31,18,0,0,1,0,0,Sunday,993005144,12,11,19065,14,1,1,0.4,0
202510212,2025-09-11T20:15:00,1,2025,2,GB,WAS,HOME,27,18,45,Lambeau Field,7,7,3,10,0,32,26,32:26,22,6,14,2,63,404,6.4,3,30,135,4.5,1,31,19,269,2,0,8.7,14.2,61.3,110.82,12,5,41.7,1,0,0.0,4,3,0,0,10,77,0,0,2,23,12,3,4,213,53.2,0,0,0,0,3,0,15,0,27,34,27:34,15,3,10,2,65,230,3.5,2,19,51,2.7,0,42,24,179,2,0,4.3,7.5,57.1,83.33,16,5,31.2,3,1,33.3,1,1,0,0,5,30,0,0,4,21,4,2,4,187,46.8,0,0,0,75.0,0,100.0,0,3,3,0,0,0,0,0,3,2,1,1,0,2,1,0,0,3,1,38,17,4,21,8,0,0,31,28,2,23,3,0,0,Thursday,993005150,12,35,19083,9,1,0,0.4166666666666667,0
202510308,2025-09-21T13:00:00,1,2025,3,GB,CLE,AWAY,10,13,23,Huntington Bank Field,0,3,7,0,0,34,14,34:14,14,4,8,2,61,230,3.8,1,31,81,2.6,0,25,18,149,1,1,6.0,8.3,72.0,83.58,18,10,55.6,0,0,0.0,2,1,0,0,14,75,1,0,5,34,10,5,5,265,53.0,1,1,0,0,0,0,13,0,25,46,25:46,15,5,7,3,57,221,3.9,1,19,96,5.1,1,36,21,125,0,1,3.5,6.0,58.3,53.59,13,4,30.8,2,1,50.0,2,1,0,0,8,90,0,0,2,17,7,6,6,291,48.5,1,1,0,50.0,0,50.0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,2,31,27,2,17,3,0,0,38,33,5,34,2,1,0,Sunday,993005197,12,8,19101,-3,0,0,0.5555555555555556,0
202510409,2025-09-28T20:20:00,1,2025,4,GB,DAL,AWAY,40,40,80,AT&T Stadium,7,6,7,17,3,35,33,35:33,32,11,16,5,79,489,6.2,5,35,164,4.7,2,43,31,325,3,0,7.6,10.5,72.1,116.91,14,10,71.4,1,1,100.0,6,5,0,0,7,53,1,1,1,12,4,1,2,83,41.5,1,0,-1,0,16,7,14,3,34,27,34:27,26,8,17,1,67,436,6.5,5,26,117,4.5,2,40,31,319,3,0,8.0,10.3,77.5,124.9,11,4,36.4,1,1,100.0,5,4,0,0,11,95,0,0,1,0,4,5,4,190,47.5,0,1,1,83.3,0,80.0,0,5,4,1,0,0,0,0,2,2,5,5,0,0,0,0,0,1,1,35,33,1,0,4,0,0,49,29,1,12,1,1,1,Sunday,993005239,12,9,19127,0,0,-1,0.7142857142857143,0
202510612,2025-10-12T16:25:00,1,2025,6,GB,CIN,HOME,27,18,45,Lambeau Field,0,10,0,17,0,32,44,32:44,24,12,11,1,60,409,6.8,3,33,153,4.6,2,26,19,256,1,1,9.8,13.5,73.1,100.8,11,5,45.5,1,1,100.0,4,3,0,0,5,40,0,0,1,3,5,5,2,91,45.5,1,0,-1,0,0,7,11,0,27,16,27:16,20,5,12,3,62,268,4.3,2,16,55,3.4,0,45,29,213,2,0,4.7,7.3,64.4,90.32,15,6,40.0,2,2,100.0,2,2,0,0,3,17,0,0,1,6,4,4,4,211,52.8,0,1,1,75.0,0,100.0,0,3,3,0,0,0,0,0,2,2,1,1,0,2,1,0,0,3,1,27,32,1,6,3,0,0,38,22,1,3,6,0,0,Sunday,993005294,12,7,19152,9,1,-1,0.4545454545454545,0
202510701,2025-10-19T16:25:00,1,2025,7,GB,ARI,AWAY,27,23,50,State Farm Stadium,0,6,7,14,0,25,50,25:50,19,5,10,4,53,262,4.9,3,23,94,4.1,2,29,19,168,1,0,5.8,8.8,65.5,92.31,10,3,30.0,3,2,66.7,4,3,0,0,10,94,2,0,1,11,12,9,3,174,58.0,0,1,1,3,10,7,3,0,34,10,34:10,23,5,13,5,70,330,4.7,2,28,94,3.4,0,36,25,236,2,0,6.6,9.4,69.4,105.79,14,7,50.0,2,0,0.0,4,2,0,0,6,55,1,1,6,43,2,5,1,42,42.0,1,0,-1,75.0,0,50.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,37,40,6,43,4,1,1,28,22,1,11,3,1,0,Sunday,993005325,12,1,19166,4,1,1,0.3,0
202510828,2025-10-26T20:20:00,1,2025,8,GB,PIT,AWAY,35,25,60,Acrisure Stadium,7,0,7,21,0,31,48,31:48,22,5,16,1,63,454,7.2,4,26,94,3.6,1,37,29,360,3,0,9.7,12.4,78.4,134.23,12,5,41.7,1,1,100.0,5,3,0,0,5,47,2,0,0,0,5,5,3,152,50.7,0,1,1,3,13,3,6,0,28,12,28:12,16,4,10,2,57,295,5.2,2,18,93,5.2,0,36,24,202,2,0,5.6,8.4,66.7,99.54,10,1,10.0,1,1,100.0,1,1,0,0,6,65,1,1,3,17,5,1,4,194,48.5,1,0,-1,60.0,0,100.0,0,3,3,0,2,1,0,0,4,2,1,1,0,2,0,0,0,4,4,35,14,3,17,5,1,1,35,29,0,0,1,1,0,Sunday,993005355,12,28,19182,10,1,1,0.4166666666666667,0
202510912,2025-11-02T13:00:00,1,2025,9,GB,CAR,HOME,13,16,29,Lambeau Field,0,6,0,7,0,30,10,30:10,20,7,13,0,63,369,5.9,1,25,104,4.2,1,37,26,265,0,1,7.2,10.2,70.3,79.22,13,7,53.8,3,2,66.7,5,1,0,0,7,42,1,1,1,8,2,1,0,0,0.0,2,1,-1,0,7,6,3,0,29,50,29:50,19,11,6,2,54,265,4.9,2,33,163,4.9,2,20,11,102,0,1,5.1,9.3,55.0,48.33,10,4,40.0,2,2,100.0,3,2,0,0,5,39,1,0,1,0,6,4,3,134,44.7,1,2,1,20.0,0,66.7,0,1,1,0,0,0,0,0,3,2,2,1,0,0,0,0,0,1,1,22,45,1,0,1,1,0,34,35,1,8,4,1,1,Sunday,993005368,12,5,19072,-3,0,-1,0.5384615384615384,0
202511012,2025-11-10T20:15:00,1,2025,10,GB,PHI,HOME,7,10,17,Lambeau Field,0,0,0,7,0,27,55,27:55,18,7,10,1,66,261,4.0,1,27,104,3.9,1,36,20,157,0,0,4.4,7.8,55.6,66.55,13,5,38.5,3,1,33.3,1,1,0,0,4,20,3,2,3,19,0,6,5,239,47.8,2,1,-1,0,0,3,7,0,32,5,32:05,13,4,8,1,60,294,4.9,1,34,111,3.3,0,26,15,183,1,0,7.0,12.2,57.7,92.31,16,7,43.8,2,0,0.0,1,0,0,0,7,61,1,1,0,0,8,5,5,238,47.6,1,2,1,100.0,0,0.0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,34,25,0,0,2,1,1,38,20,3,19,5,2,2,Monday,993005414,12,26,19044,-3,0,-1,0.3846153846153846,0
202511123,2025-11-16T13:00:00,1,2025,11,GB,NYG,AWAY,27,20,47,MetLife Stadium,0,13,6,8,0,24,4,24:04,19,7,11,1,51,296,5.8,4,23,128,5.6,1,26,15,168,3,0,6.5,11.2,57.7,115.54,11,7,63.6,0,0,0.0,4,4,0,0,5,48,2,0,2,12,5,1,4,195,48.8,0,2,2,7,6,0,7,0,35,56,35:56,22,10,10,2,69,336,4.9,3,38,142,3.7,3,29,19,194,0,1,6.7,10.2,65.5,70.19,14,7,50.0,4,3,75.0,5,3,0,0,6,77,1,1,2,7,8,2,2,90,45.0,2,0,-2,100.0,0,60.0,0,3,1,0,2,1,0,0,0,0,3,2,0,0,0,0,0,0,0,37,38,2,7,5,1,1,29,13,2,12,5,1,0,Sunday,993005425,12,23,19201,7,1,2,0.6363636363636364,0
