gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510132,2025-09-07T16:25:00,1,2025,1,HOU,LAR,AWAY,9,14,23,SoFi Stadium,3,6,0,0,0,31,25,31:25,18,8,7,3,57,265,4.6,0,27,114,4.2,0,27,19,151,0,1,5.6,7.9,70.4,68.6,9,2,22.2,1,1,100.0,1,0,0,0,11,80,1,1,3,37,6,5,4,208,52.0,2,1,-1,0,7,7,0,0,28,35,28:35,18,3,13,2,57,296,5.2,2,25,72,2.9,1,29,21,224,1,0,7.7,10.7,72.4,106.11,13,7,53.8,1,1,100.0,3,2,0,0,7,60,2,1,3,21,7,3,5,220,44.0,1,2,1,0.0,0,66.7,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,35,23,3,21,1,1,1,38,24,3,37,4,1,1,Sunday,993005141,13,32,19066,-5,0,-1,0.2222222222222222,0
202510213,2025-09-15T19:00:00,1,2025,2,HOU,TB,HOME,19,20,39,NRG Stadium,10,0,0,9,0,22,51,22:51,12,3,7,2,46,266,5.8,2,19,84,4.4,1,24,13,182,1,0,7.6,14.0,54.2,92.71,9,2,22.2,1,0,0.0,2,0,0,0,6,45,0,0,3,25,6,6,4,203,50.8,0,0,0,7,7,0,6,0,37,9,37:09,25,9,12,4,72,360,5.0,3,30,169,5.6,1,38,25,191,2,0,5.0,7.6,65.8,95.39,14,6,42.9,1,1,100.0,3,2,0,0,7,45,1,0,4,24,6,5,5,253,50.6,0,0,0,0.0,0,66.7,0,1,1,0,1,0,0,0,2,2,2,2,0,1,0,0,0,1,0,51,14,4,24,3,1,0,30,8,3,25,2,0,0,Monday,993005178,13,33,19097,-1,0,0,0.2222222222222222,0
202510315,2025-09-21T13:00:00,1,2025,3,HOU,JAX,AWAY,10,17,27,EverBank Stadium,0,3,0,7,0,28,42,28:42,13,2,8,3,59,271,4.6,1,19,87,4.6,0,38,25,184,1,2,4.8,7.4,65.8,63.93,15,4,26.7,1,1,100.0,1,0,0,0,7,66,1,1,2,20,5,3,6,261,43.5,3,1,-2,7,0,3,7,0,31,18,31:18,17,5,10,2,66,291,4.4,2,24,86,3.6,2,40,20,205,0,1,5.1,10.2,50.0,54.69,15,4,26.7,1,0,0.0,3,2,0,0,9,70,0,0,2,17,6,4,6,293,48.8,1,3,2,0.0,0,66.7,0,1,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,1,39,17,2,17,7,0,0,36,19,2,20,6,1,1,Sunday,993005193,13,15,19102,-7,0,-2,0.2666666666666666,0
202510413,2025-09-28T13:00:00,1,2025,4,HOU,TEN,HOME,26,0,26,NRG Stadium,3,3,0,20,0,38,21,38:21,20,10,9,1,65,353,5.4,3,35,129,3.7,1,28,22,224,2,0,8.0,10.2,78.6,123.81,15,6,40.0,3,3,100.0,2,2,0,0,6,50,0,0,2,9,7,6,3,132,44.0,0,1,1,0,0,0,0,0,21,39,21:39,10,3,5,2,46,175,3.8,0,18,82,4.6,0,26,10,93,0,1,3.6,9.3,38.5,33.01,11,2,18.2,1,0,0.0,0,0,0,0,4,35,0,0,2,15,5,6,5,213,42.6,1,0,-1,100.0,0,0.0,0,2,2,0,2,0,0,0,3,2,0,0,0,0,0,0,0,2,0,21,19,2,15,7,0,0,45,32,2,9,1,0,0,Sunday,993005230,13,34,19119,26,1,1,0.4,0
202510503,2025-10-05T13:00:00,1,2025,5,HOU,BAL,AWAY,44,10,54,M&T Bank Stadium,7,17,10,10,0,36,33,36:33,27,8,15,4,66,417,6.3,5,33,167,5.1,1,31,25,250,4,0,8.1,10.0,80.6,139.85,12,7,58.3,1,1,100.0,5,4,0,0,4,26,0,0,2,17,2,3,1,59,59.0,0,3,3,3,0,7,0,0,23,27,23:27,12,4,7,1,40,207,5.2,1,19,44,2.3,1,20,14,163,0,3,8.2,11.6,70.0,54.79,8,3,37.5,0,0,0.0,2,1,0,0,9,49,0,0,1,16,4,5,4,182,45.5,3,0,-3,80.0,0,50.0,0,5,5,0,0,0,0,0,3,3,1,1,0,0,0,0,0,2,1,23,21,1,16,4,0,0,34,41,2,17,0,0,0,Sunday,993005257,13,3,19131,34,1,3,0.5833333333333334,0
202510730,2025-10-20T22:00:00,1,2025,7,HOU,SEA,AWAY,19,27,46,Lumen Field,0,6,6,7,0,27,43,27:43,18,1,13,4,69,254,3.7,2,17,56,3.3,0,49,23,198,1,1,4.0,8.6,46.9,56.34,15,2,13.3,4,1,25.0,3,1,0,0,10,105,0,0,3,31,5,7,7,344,49.1,1,4,3,14,0,13,0,0,32,17,32:17,19,6,9,4,67,316,4.7,3,33,118,3.6,2,32,17,198,1,2,6.2,11.6,53.1,56.51,14,2,14.3,2,2,100.0,4,3,0,0,12,93,2,2,2,15,7,10,4,205,51.2,4,1,-3,33.3,0,75.0,0,1,1,0,2,0,0,0,2,2,3,3,0,0,0,0,0,3,2,36,25,2,15,5,2,2,34,20,3,31,12,0,0,Monday,993005331,13,30,19170,-8,0,3,0.1333333333333333,0
202510813,2025-10-26T13:00:00,1,2025,8,HOU,SF,HOME,26,15,41,NRG Stadium,3,13,7,3,0,41,22,41:22,23,6,16,1,75,475,6.3,2,36,157,4.4,0,39,30,318,2,1,8.2,10.6,76.9,106.57,16,9,56.2,1,1,100.0,5,1,0,0,8,55,0,0,0,0,6,4,2,96,48.0,1,1,0,0,7,8,0,0,18,38,18:38,12,2,10,0,44,223,5.1,2,10,48,4.8,0,32,19,175,2,1,5.5,9.2,59.4,82.16,9,3,33.3,1,0,0.0,2,2,0,0,4,30,1,0,2,18,2,3,5,238,47.6,1,1,0,20.0,0,100.0,0,2,2,0,0,0,0,0,4,4,1,1,0,2,1,0,0,0,0,21,17,2,18,5,1,0,42,41,0,0,2,0,0,Sunday,993005346,13,31,19176,11,1,0,0.5625,0
202510913,2025-11-02T13:00:00,1,2025,9,HOU,DEN,HOME,15,18,33,NRG Stadium,3,9,3,0,0,34,36,34:36,15,2,11,2,72,268,3.7,0,28,77,2.8,0,40,23,191,0,0,4.8,8.3,57.5,69.9,17,3,17.6,1,1,100.0,3,0,0,0,4,29,0,0,4,25,4,4,8,420,52.5,0,2,2,0,7,0,11,0,25,24,25:24,15,6,9,0,61,271,4.4,2,23,100,4.3,0,37,18,171,2,1,4.6,9.5,48.6,68.64,15,6,40.0,0,0,0.0,1,0,0,0,4,41,1,1,1,2,7,4,8,428,53.5,2,0,-2,0.0,0,0.0,0,0,0,0,0,0,0,0,6,5,1,1,0,2,1,0,0,2,1,26,28,1,2,7,0,1,37,32,4,25,7,0,0,Sunday,993005366,13,10,19073,-3,0,2,0.1764705882352941,0
202511013,2025-11-09T13:00:00,1,2025,10,HOU,JAX,HOME,36,29,65,NRG Stadium,0,10,0,26,0,31,0,31:00,27,8,17,2,69,412,6.0,5,22,130,5.9,2,45,27,282,2,1,6.3,10.4,60.0,83.75,15,10,66.7,2,1,50.0,5,4,0,0,11,80,2,1,2,10,6,8,2,108,54.0,2,2,0,10,10,9,0,0,29,0,29:00,19,6,7,6,55,213,3.9,3,27,94,3.5,1,23,13,119,1,1,5.2,9.2,56.5,67.12,11,4,36.4,0,0,0.0,4,2,0,0,9,90,2,1,5,39,3,5,3,137,45.7,2,2,0,80.0,0,50.0,0,1,1,0,5,1,0,0,1,1,2,2,0,2,0,0,0,3,3,32,22,5,39,9,2,1,26,39,2,10,8,0,1,Sunday,993005396,13,15,19187,7,1,0,0.6666666666666666,0
202511134,2025-11-16T13:00:00,1,2025,11,HOU,TEN,AWAY,16,13,29,Nissan Stadium,0,0,10,6,0,31,3,31:03,20,5,13,2,68,315,4.6,1,23,75,3.3,0,41,26,240,1,0,5.9,9.2,63.4,87.45,13,4,30.8,1,0,0.0,3,1,0,0,5,53,0,0,4,34,6,5,5,208,41.6,0,1,1,3,0,3,7,0,28,57,28:57,14,2,10,2,57,229,4.0,1,17,58,3.4,0,37,24,171,1,0,4.6,7.1,64.9,84.4,15,6,40.0,0,0,0.0,1,1,0,0,9,62,2,1,3,23,8,8,6,305,50.8,1,0,-1,33.3,0,100.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,2,2,28,29,3,23,5,1,1,37,28,4,34,9,0,0,Sunday,993005431,13,34,19203,3,1,1,0.3076923076923077,0
