gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510129,2025-09-05T20:00:00,1,2025,1,KC,LAC,AWAY,21,27,48,Arena Corinthians,0,6,6,9,0,27,16,27:16,18,8,9,1,58,347,6.0,2,17,98,5.8,1,39,24,249,1,0,6.4,10.4,61.5,88.51,14,5,35.7,3,3,100.0,3,1,0,0,10,71,1,0,2,9,4,6,3,116,38.7,0,0,0,7,6,7,7,0,32,44,32:44,22,6,16,0,62,394,6.4,3,25,90,3.6,0,34,25,304,3,0,8.9,12.2,73.5,130.02,13,7,53.8,1,1,100.0,4,2,0,0,6,49,1,0,3,14,8,3,2,106,53.0,0,0,0,33.3,0,50.0,0,1,0,0,2,0,0,0,3,3,3,3,0,0,0,0,0,2,2,41,14,3,14,2,1,0,33,16,2,9,4,0,0,Friday,993005119,16,29,19054,-6,0,0,0.3571428571428571,0
202510216,2025-09-14T16:25:00,1,2025,2,KC,PHI,HOME,17,20,37,Arrowhead Stadium,0,10,0,7,0,27,26,27:26,17,9,7,1,57,294,5.2,2,26,121,4.7,1,29,16,173,1,1,6.0,10.8,55.2,70.04,12,4,33.3,3,2,66.7,2,1,0,0,6,45,1,0,2,14,3,5,3,178,59.3,1,0,-1,7,3,3,7,0,32,34,32:34,16,9,4,3,58,216,3.7,2,34,122,3.6,2,22,15,94,0,0,4.3,6.3,68.2,76.7,14,5,35.7,1,1,100.0,2,2,0,0,6,48,1,0,2,7,10,4,5,274,54.8,0,1,1,50.0,0,100.0,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,33,30,2,7,4,0,0,36,20,2,14,4,1,0,Sunday,993005174,16,26,19095,-3,0,-1,0.3333333333333333,0
202510323,2025-09-21T20:20:00,1,2025,3,KC,NYG,AWAY,22,9,31,MetLife Stadium,3,6,7,6,0,31,50,31:50,22,6,13,3,67,306,4.6,2,28,105,3.8,1,37,22,201,1,0,5.4,9.1,59.5,83.28,15,8,53.3,0,0,0.0,3,2,0,0,8,85,2,0,2,23,9,6,3,139,46.3,0,2,2,0,6,0,3,0,28,10,28:10,19,8,7,4,61,281,4.6,1,27,130,4.8,1,32,18,151,0,2,4.7,8.4,56.2,42.58,10,1,10.0,4,1,25.0,3,1,0,0,7,82,0,0,2,9,7,4,2,61,30.5,2,0,-2,66.7,0,33.3,0,2,1,0,0,0,0,0,4,3,1,0,1,0,0,0,0,1,1,32,31,2,9,6,0,0,39,18,2,23,6,1,0,Sunday,993005209,16,23,19113,13,1,2,0.5333333333333333,0
202510416,2025-09-28T16:25:00,1,2025,4,KC,BAL,HOME,37,20,57,Arrowhead Stadium,3,17,10,7,0,34,45,34:45,24,8,15,1,70,382,5.5,4,32,118,3.7,0,37,25,264,4,0,7.1,10.6,67.6,124.16,15,5,33.3,4,4,100.0,6,4,0,0,5,40,0,0,1,6,8,3,1,37,37.0,0,2,2,7,3,3,7,0,25,15,25:15,18,7,10,1,53,360,6.8,2,17,166,9.8,1,33,23,194,1,1,5.9,8.4,69.7,82.13,10,3,30.0,4,1,25.0,2,1,0,0,6,56,1,1,3,5,3,2,1,50,50.0,2,0,-2,66.7,0,50.0,0,4,4,0,0,0,0,0,4,3,2,2,0,0,0,0,0,2,2,37,11,3,5,4,0,1,37,30,1,6,2,0,0,Sunday,993005238,16,3,19125,17,1,2,0.3333333333333333,0
202510515,2025-10-06T20:15:00,1,2025,5,KC,JAX,AWAY,28,31,59,EverBank Stadium,7,7,0,14,0,31,59,31:59,26,11,15,0,63,476,7.6,4,22,158,7.2,3,41,29,318,1,1,7.8,11.0,70.7,91.31,9,5,55.6,0,0,0.0,5,4,0,0,13,109,0,0,0,0,8,5,4,164,41.0,1,2,1,0,7,14,10,0,28,1,28:01,21,9,8,4,54,319,5.9,4,26,109,4.2,2,25,18,210,1,1,8.4,11.7,72.0,93.75,9,5,55.6,1,0,0.0,4,3,0,0,4,25,1,1,3,11,4,1,2,105,52.5,2,1,-1,80.0,0,75.0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,30,27,3,11,5,1,1,33,24,0,0,6,0,0,Monday,993005271,16,15,19142,-3,0,1,0.5555555555555556,0
202510616,2025-10-12T20:20:00,1,2025,6,KC,DET,HOME,30,17,47,Arrowhead Stadium,6,7,7,10,0,30,37,30:37,26,8,16,2,62,355,5.7,4,29,112,3.9,1,30,22,243,3,0,8.1,11.0,73.3,130.28,10,4,40.0,3,2,66.7,6,4,0,0,0,0,1,0,3,14,4,3,1,46,46.0,0,0,0,3,7,0,7,0,29,23,29:23,18,5,13,0,53,297,5.6,2,23,98,4.3,0,29,23,199,2,0,6.9,8.7,79.3,118.25,11,5,45.5,2,0,0.0,2,1,0,0,4,38,1,0,1,4,3,2,3,138,46.0,0,0,0,66.7,0,50.0,0,4,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,33,22,1,4,0,1,0,30,30,3,14,1,1,0,Sunday,993005298,16,11,19154,13,1,0,0.4,0
202510716,2025-10-19T13:00:00,1,2025,7,KC,LV,HOME,31,0,31,Arrowhead Stadium,7,14,10,0,0,42,8,42:08,30,12,16,2,77,434,5.6,4,41,152,3.7,1,35,26,282,3,0,8.1,10.8,74.3,126.13,15,9,60.0,2,1,50.0,5,4,0,0,5,38,2,0,1,4,2,1,3,106,35.3,0,1,1,0,0,0,0,0,17,52,17:52,3,0,2,1,30,95,3.2,0,11,25,2.3,0,18,12,70,0,0,3.9,5.8,66.7,73.84,7,0,0.0,1,0,0.0,0,0,0,0,8,58,2,1,1,5,3,6,6,283,47.2,1,0,-1,80.0,0,0.0,0,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,17,1,5,1,0,1,43,42,1,4,2,1,0,Sunday,993005316,16,25,19160,31,1,1,0.6,0
202510816,2025-10-27T20:15:00,1,2025,8,KC,WAS,HOME,28,7,35,Arrowhead Stadium,0,7,14,7,0,34,3,34:03,26,8,16,2,67,432,6.4,4,30,148,4.9,1,34,25,284,3,2,8.4,11.4,73.5,103.06,10,4,40.0,2,2,100.0,4,4,0,0,9,95,2,0,3,15,4,3,1,56,56.0,2,2,0,0,7,0,0,0,25,57,25:57,14,4,9,1,52,260,5.0,1,20,60,3.0,0,30,21,200,1,2,6.7,9.5,70.0,71.53,12,7,58.3,2,0,0.0,2,1,0,0,3,35,1,0,2,13,7,4,3,142,47.3,2,2,0,100.0,0,50.0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,26,32,2,13,3,1,0,43,21,3,15,3,2,0,Monday,993005358,16,35,19183,21,1,0,0.4,0
202510904,2025-11-02T16:25:00,1,2025,9,KC,BUF,AWAY,21,28,49,Highmark Stadium,0,13,0,8,0,25,15,25:15,16,5,10,1,57,305,5.4,2,20,79,4.0,2,34,15,226,0,1,6.6,15.1,44.1,54.29,13,3,23.1,3,2,66.7,3,2,0,0,3,25,0,0,3,24,6,3,3,146,48.7,1,0,-1,7,14,7,0,0,34,45,34:45,23,9,13,1,64,404,6.3,4,35,141,4.0,3,26,23,263,1,0,10.1,11.4,88.5,121.63,12,7,58.3,1,0,0.0,3,3,0,0,4,40,0,0,3,10,15,5,3,126,42.0,0,1,1,66.7,0,100.0,0,1,1,0,2,1,0,0,2,2,4,4,0,0,0,0,0,1,0,35,42,3,10,1,0,0,24,22,3,24,5,0,0,Sunday,993005381,16,4,19080,-7,0,-1,0.2307692307692307,0
202511110,2025-11-16T16:25:00,1,2025,11,KC,DEN,AWAY,19,22,41,Empower Field at Mile High,3,3,7,6,0,30,31,30:31,19,3,13,3,62,311,5.0,2,14,62,4.4,1,45,29,249,1,1,5.5,8.6,64.4,76.99,13,5,38.5,1,0,0.0,4,1,0,0,10,69,0,0,3,27,5,6,4,238,59.5,1,0,-1,6,0,7,9,0,29,29,29:29,16,5,11,0,61,342,5.6,1,21,59,2.8,1,38,24,283,0,0,7.4,11.8,63.2,85.75,15,7,46.7,0,0,0.0,5,1,0,0,10,147,1,0,2,12,8,4,4,211,52.8,0,1,1,25.0,0,20.0,0,2,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,5,5,36,19,2,12,3,1,0,30,28,3,27,4,0,0,Sunday,993005439,16,10,19207,-3,0,-1,0.3846153846153846,0
