gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510129,2025-09-05T20:00:00,1,2025,1,LAC,KC,HOME,27,21,48,Arena Corinthians,7,6,7,7,0,32,44,32:44,22,6,16,0,62,394,6.4,3,25,90,3.6,0,34,25,304,3,0,8.9,12.2,73.5,130.02,13,7,53.8,1,1,100.0,4,2,0,0,6,49,1,0,3,14,8,3,2,106,53.0,0,0,0,0,6,6,9,0,27,16,27:16,18,8,9,1,58,347,6.0,2,17,98,5.8,1,39,24,249,1,0,6.4,10.4,61.5,88.51,14,5,35.7,3,3,100.0,3,1,0,0,10,71,1,0,2,9,4,6,3,116,38.7,0,0,0,50.0,0,33.3,0,3,3,0,0,0,0,0,2,2,1,0,0,2,0,0,0,3,3,33,16,2,9,4,0,0,41,14,3,14,2,1,0,Friday,993005120,29,16,19054,6,1,0,0.5384615384615384,0
202510225,2025-09-15T22:00:00,1,2025,2,LAC,LV,AWAY,20,9,29,Allegiant Stadium,10,7,3,0,0,28,17,28:17,15,6,8,1,55,317,5.8,2,26,81,3.1,0,27,19,236,2,0,8.7,12.4,70.4,121.84,11,4,36.4,2,1,50.0,3,1,0,0,6,33,2,1,2,6,5,6,3,158,52.7,1,3,2,3,3,0,3,0,31,43,31:43,15,5,8,2,65,218,3.4,0,19,68,3.6,0,43,24,150,0,3,3.5,6.2,55.8,34.06,18,9,50.0,2,0,0.0,3,0,0,0,5,47,1,0,3,30,3,8,2,114,57.0,3,1,-2,33.3,0,0.0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,39,21,3,30,15,0,0,36,22,2,6,6,0,1,Monday,993005179,29,25,19098,11,1,2,0.3636363636363636,0
202510329,2025-09-21T16:05:00,1,2025,3,LAC,DEN,HOME,23,20,43,SoFi Stadium,3,7,3,10,0,36,20,36:20,29,6,17,6,80,376,4.7,2,28,106,3.8,1,47,28,270,1,1,5.7,9.6,59.6,73.89,17,8,47.1,0,0,0.0,3,1,0,0,3,25,1,1,5,30,4,5,5,249,49.8,2,0,-2,0,7,10,3,0,23,40,23:40,9,3,5,1,48,265,5.5,2,21,118,5.6,1,25,14,147,1,0,5.9,10.5,56.0,86.58,13,2,15.4,2,2,100.0,2,1,0,0,10,90,0,0,2,6,14,7,7,330,47.1,0,2,2,33.3,0,50.0,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,31,12,2,6,3,0,0,42,39,5,30,7,1,0,Sunday,993005204,29,10,19109,3,1,-2,0.4705882352941176,0
202510423,2025-09-28T13:00:00,1,2025,4,LAC,NYG,AWAY,18,21,39,MetLife Stadium,0,10,8,0,0,24,32,24:32,17,6,8,3,56,338,6.0,2,13,152,11.7,1,41,23,186,1,2,4.5,8.1,56.1,55.54,12,4,33.3,0,0,0.0,1,0,0,0,14,107,0,0,2,17,9,8,5,244,48.8,2,0,-2,7,6,8,0,0,35,28,35:28,20,11,6,3,69,250,3.6,2,42,161,3.8,1,21,14,89,1,0,4.2,6.4,66.7,91.17,15,7,46.7,1,0,0.0,5,2,0,0,8,43,2,0,6,30,12,4,5,244,48.8,0,2,2,0.0,0,40.0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,2,2,44,41,6,30,2,1,0,32,12,2,17,7,0,0,Sunday,993005219,29,23,19121,-3,0,-2,0.3333333333333333,0
202510529,2025-10-05T16:25:00,1,2025,5,LAC,WAS,HOME,10,27,37,SoFi Stadium,10,0,0,0,0,34,19,34:19,18,6,11,1,65,336,5.2,1,27,155,5.7,0,33,25,181,1,1,5.5,7.2,75.8,85.54,16,9,56.2,2,1,50.0,2,1,0,0,10,85,1,1,5,29,1,6,2,96,48.0,2,1,-1,0,10,10,7,0,25,41,25:41,22,9,9,4,55,389,7.1,3,28,163,5.8,2,26,15,226,1,0,8.7,15.1,57.7,99.2,7,2,28.6,1,1,100.0,5,3,0,0,7,48,1,1,1,5,9,6,2,101,50.5,1,2,1,50.0,0,60.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,32,21,1,5,2,1,1,42,26,5,29,4,1,1,Sunday,993005268,29,35,19140,-17,0,-1,0.5625,0
202510619,2025-10-12T13:00:00,1,2025,6,LAC,MIA,AWAY,29,27,56,Hard Rock Stadium,6,3,14,6,0,34,19,34:19,20,7,12,1,64,403,6.3,2,25,140,5.6,0,38,29,263,2,0,6.9,9.1,76.3,112.06,15,6,40.0,1,1,100.0,7,2,0,0,7,45,2,1,1,1,4,4,2,94,47.0,1,3,2,7,6,0,14,0,25,41,25:41,19,7,10,2,56,341,6.1,3,21,137,6.5,2,33,22,204,1,3,6.2,9.3,66.7,55.62,11,5,45.5,0,0,0.0,3,2,0,0,4,45,0,0,2,9,7,1,2,111,55.5,3,1,-2,28.6,0,66.7,0,2,2,0,0,0,0,0,5,5,3,3,0,0,0,0,0,3,2,31,22,2,9,5,0,0,44,20,1,1,2,2,1,Sunday,993005277,29,19,19148,2,1,2,0.4,0
202510729,2025-10-19T16:05:00,1,2025,7,LAC,IND,HOME,24,38,62,SoFi Stadium,3,0,14,7,0,34,27,34:27,25,4,19,2,74,445,6.0,3,16,54,3.4,0,55,37,391,3,2,7.1,10.6,67.3,90.8,16,8,50.0,4,3,75.0,4,3,0,0,6,35,0,0,3,29,5,3,1,53,53.0,2,0,-2,6,17,15,0,0,25,33,25:33,24,9,14,1,58,401,6.9,5,23,120,5.2,3,34,23,281,2,0,8.3,12.2,67.6,112.5,11,5,45.5,3,3,100.0,5,4,0,0,3,42,1,0,1,7,15,4,2,87,43.5,0,2,2,75.0,0,80.0,0,3,3,0,0,0,0,0,1,1,4,3,0,2,1,0,0,1,1,29,20,1,7,4,0,0,38,26,3,29,6,0,0,Sunday,993005320,29,14,19165,-14,0,-2,0.5,0
202510829,2025-10-23T20:15:00,1,2025,8,LAC,MIN,HOME,37,10,47,SoFi Stadium,7,14,3,13,0,39,4,39:04,29,14,13,2,70,419,6.0,4,43,207,4.8,1,25,18,212,3,1,8.5,11.8,72.0,120.33,13,9,69.2,0,0,0.0,4,3,0,0,8,46,0,0,2,15,8,7,0,0,0.0,1,1,0,0,3,7,0,0,20,56,20:56,12,1,9,2,47,164,3.5,1,11,34,3.1,0,31,18,130,1,1,4.2,7.2,58.1,65.26,11,3,27.3,1,0,0.0,1,1,0,0,8,66,1,0,5,27,8,10,4,184,46.0,1,1,0,75.0,0,100.0,0,4,4,0,0,0,0,0,4,3,1,1,0,0,0,0,0,2,1,27,13,5,27,7,1,0,44,29,2,15,2,0,0,Thursday,993005334,29,20,19171,27,1,0,0.6923076923076923,0
202510934,2025-11-02T13:00:00,1,2025,9,LAC,TEN,AWAY,27,20,47,Nissan Stadium,7,13,0,7,0,34,20,34:20,21,8,12,1,65,343,5.3,3,30,131,4.4,1,29,19,212,2,1,7.3,11.2,65.5,95.76,13,7,53.8,0,0,0.0,4,3,0,0,3,20,1,0,6,38,5,4,4,209,52.2,1,0,-1,14,3,0,3,0,25,40,25:40,10,3,7,0,44,206,4.7,2,19,88,4.6,0,21,12,118,0,0,5.6,9.8,57.1,73.12,9,1,11.1,1,0,0.0,2,0,0,0,7,60,2,0,4,27,11,6,5,187,37.4,0,1,1,75.0,0,0.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,23,22,4,27,3,1,0,38,27,6,38,4,1,0,Sunday,993005371,29,34,19077,7,1,-1,0.5384615384615384,0
202511029,2025-11-09T20:20:00,1,2025,10,LAC,PIT,HOME,25,10,35,SoFi Stadium,2,10,3,10,0,37,35,37:35,18,11,7,0,69,314,4.6,2,31,115,3.7,1,33,20,199,1,0,6.0,10.0,60.6,87.82,17,6,35.3,1,1,100.0,3,2,0,0,8,55,0,0,5,21,5,4,6,263,43.8,0,3,3,3,0,0,7,0,22,25,22:25,11,4,6,1,50,221,4.4,1,16,73,4.6,0,31,16,148,1,2,4.8,9.2,51.6,48.86,11,2,18.2,1,0,0.0,1,0,0,0,4,29,2,1,3,13,9,11,4,183,45.8,3,0,-3,66.7,0,0.0,0,2,2,0,0,0,0,0,4,3,1,1,0,0,0,0,0,2,1,26,17,3,13,5,1,1,31,44,5,21,5,0,0,Sunday,993005412,29,28,19195,15,1,3,0.3529411764705882,0
