gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510114,2025-09-07T13:00:00,1,2025,1,MIA,IND,AWAY,8,33,41,Lucas Oil Stadium,0,0,0,8,0,21,17,21:17,12,3,9,0,46,211,4.6,1,12,78,6.5,0,31,19,133,1,2,4.3,7.0,61.3,54.91,10,5,50.0,2,1,50.0,1,1,0,0,3,15,1,1,3,13,2,4,1,42,42.0,3,0,-3,3,17,3,10,0,38,43,38:43,27,11,14,2,70,418,6.0,3,40,156,3.9,2,29,22,262,1,0,9.0,11.9,75.9,114.44,15,7,46.7,3,3,100.0,6,3,0,0,4,45,0,0,1,10,6,4,0,0,0.0,0,3,3,100.0,0,50.0,0,0,0,0,2,1,0,0,0,0,3,3,0,0,0,0,0,4,4,46,35,1,10,4,0,0,25,20,3,13,5,1,1,Sunday,993005123,19,14,19057,-25,0,-3,0.5,0
202510219,2025-09-14T13:00:00,1,2025,2,MIA,NE,HOME,27,33,60,Hard Rock Stadium,0,14,6,7,0,26,15,26:15,16,1,15,0,52,358,6.9,3,15,61,4.1,0,32,26,297,2,1,9.3,11.4,81.2,113.15,10,4,40.0,2,0,0.0,2,1,0,0,10,65,1,0,5,18,3,4,2,88,44.0,1,0,-1,12,3,8,10,0,33,45,33:45,18,8,9,1,55,333,6.1,4,29,122,4.2,1,23,19,211,2,0,9.2,11.1,82.6,133.88,12,7,58.3,1,1,100.0,4,3,0,0,12,75,2,0,3,19,5,6,2,136,68.0,0,1,1,50.0,0,75.0,0,3,3,0,0,0,0,0,2,2,3,1,0,0,0,1,1,2,2,31,29,3,19,2,0,0,37,15,5,18,2,0,0,Sunday,993005156,19,21,19088,-6,0,-1,0.4,0
202510304,2025-09-18T20:15:00,1,2025,3,MIA,BUF,AWAY,21,31,52,Highmark Stadium,7,7,0,7,0,28,13,28:13,19,8,11,0,59,276,4.7,3,25,130,5.2,1,34,22,146,2,1,4.3,6.6,64.7,81.25,15,10,66.7,1,1,100.0,3,3,0,0,6,57,1,0,0,0,2,2,4,200,50.0,1,0,-1,7,7,7,10,0,31,47,31:47,23,8,12,3,57,360,6.3,4,27,157,5.8,1,28,22,203,3,0,7.2,9.2,78.6,132.59,11,6,54.5,0,0,0.0,4,3,0,0,3,35,2,0,2,10,1,5,2,95,47.5,0,1,1,100.0,0,75.0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,1,42,12,2,10,3,0,0,37,19,0,0,3,0,0,Thursday,993005181,19,4,19099,-10,0,-1,0.6666666666666666,0
202510419,2025-09-29T19:15:00,1,2025,4,MIA,NYJ,HOME,27,21,48,Hard Rock Stadium,3,7,14,3,0,30,48,30:48,19,5,12,2,56,300,5.4,3,31,123,4.0,1,25,17,177,2,0,7.1,10.4,68.0,114.92,12,4,33.3,1,1,100.0,4,3,0,0,6,40,2,0,0,0,3,5,4,192,48.0,0,3,3,0,3,7,11,0,29,12,29:12,23,9,12,2,57,404,7.1,2,28,197,7.0,1,27,20,207,1,0,7.7,10.4,74.1,108.1,9,4,44.4,2,1,50.0,2,0,0,0,13,101,3,3,2,19,0,2,2,84,42.0,3,0,-3,75.0,0,0.0,0,3,3,0,0,0,0,0,2,2,1,1,0,0,0,1,1,2,2,38,18,2,19,3,2,3,30,31,0,0,3,1,0,Monday,993005242,19,24,19128,6,1,3,0.3333333333333333,0
202510505,2025-10-05T13:00:00,1,2025,5,MIA,CAR,AWAY,24,27,51,Bank of America Stadium,3,14,0,7,0,28,46,28:46,15,2,13,0,53,248,4.7,3,14,19,1.4,0,36,27,229,3,0,6.4,8.5,75.0,118.87,13,5,38.5,1,1,100.0,3,2,0,0,9,64,0,0,3,27,8,3,6,312,52.0,0,2,2,0,10,3,14,0,31,14,31:14,26,8,12,6,65,418,6.4,3,32,239,7.5,1,30,19,179,2,1,6.0,9.4,63.3,88.06,11,5,45.5,2,2,100.0,5,3,0,0,8,46,1,1,3,19,3,9,3,161,53.7,2,0,-2,66.7,0,60.0,0,3,3,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,34,33,3,19,2,1,1,34,16,3,27,1,0,0,Sunday,993005255,19,5,19132,-3,0,2,0.3846153846153846,0
202510619,2025-10-12T13:00:00,1,2025,6,MIA,LAC,HOME,27,29,56,Hard Rock Stadium,7,6,0,14,0,25,41,25:41,19,7,10,2,56,341,6.1,3,21,137,6.5,2,33,22,204,1,3,6.2,9.3,66.7,55.62,11,5,45.5,0,0,0.0,3,2,0,0,4,45,0,0,2,9,7,1,2,111,55.5,3,1,-2,6,3,14,6,0,34,19,34:19,20,7,12,1,64,403,6.3,2,25,140,5.6,0,38,29,263,2,0,6.9,9.1,76.3,112.06,15,6,40.0,1,1,100.0,7,2,0,0,7,45,2,1,1,1,4,4,2,94,47.0,1,3,2,66.7,0,28.6,0,3,3,0,0,0,0,0,3,2,2,2,0,0,0,0,0,5,5,44,20,1,1,2,2,1,31,22,2,9,5,0,0,Sunday,993005278,19,29,19148,-2,0,-2,0.4545454545454545,0
202510708,2025-10-19T13:00:00,1,2025,7,MIA,CLE,AWAY,6,31,37,Huntington Bank Field,0,6,0,0,0,28,15,28:15,12,3,7,2,57,219,3.8,0,22,99,4.5,0,31,17,120,0,3,3.9,7.1,54.8,24.33,13,1,7.7,4,2,50.0,2,0,0,0,11,103,6,1,4,33,3,9,4,189,47.2,4,0,-4,3,14,7,7,0,31,45,31:45,15,5,6,4,53,206,3.9,4,33,104,3.2,3,18,13,102,0,0,5.7,7.8,72.2,85.88,11,4,36.4,0,0,0.0,3,2,0,0,5,37,1,0,2,14,6,11,6,258,43.0,0,4,4,0.0,0,66.7,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,1,1,36,16,2,14,2,0,0,33,18,4,33,6,1,1,Sunday,993005317,19,8,19159,-25,0,-4,0.0769230769230769,0
202510802,2025-10-26T13:00:00,1,2025,8,MIA,ATL,AWAY,34,10,44,Mercedes-Benz Stadium,7,10,7,10,0,37,58,37:58,24,11,10,3,65,338,5.2,4,37,141,3.8,0,27,21,197,4,0,7.3,9.4,77.8,136.65,13,6,46.2,2,1,50.0,5,3,0,0,4,54,0,0,1,8,4,4,3,148,49.3,0,1,1,0,3,0,7,0,22,2,22:02,11,3,7,1,49,213,4.3,1,17,45,2.6,1,31,21,168,0,0,5.4,8.0,67.7,81.12,11,2,18.2,4,2,50.0,2,1,0,0,8,76,1,1,1,5,2,5,4,185,46.2,1,0,-1,60.0,0,50.0,0,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,27,19,1,5,2,0,1,36,40,1,8,3,0,0,Sunday,993005341,19,2,19172,24,1,1,0.4615384615384615,0
202510919,2025-10-30T20:15:00,1,2025,9,MIA,BAL,HOME,6,28,34,Hard Rock Stadium,3,3,0,0,0,28,17,28:17,17,4,12,1,62,332,5.4,0,20,87,4.4,0,40,25,245,0,1,6.1,9.8,62.5,69.27,12,2,16.7,3,2,66.7,3,0,0,0,5,45,2,2,2,16,4,5,3,128,42.7,3,0,-3,7,7,14,0,0,31,43,31:43,18,7,11,0,56,338,6.0,4,31,150,4.8,0,23,18,188,4,0,8.2,10.4,78.3,140.31,13,5,38.5,1,1,100.0,3,3,0,0,5,56,0,0,2,16,5,3,6,336,56.0,0,3,3,0.0,0,100.0,0,0,0,0,0,0,0,0,3,2,4,4,0,0,0,0,0,0,0,31,32,2,16,1,0,0,35,25,2,16,4,2,2,Thursday,993005360,19,3,19069,-22,0,-3,0.1666666666666666,0
202511019,2025-11-09T13:00:00,1,2025,10,MIA,BUF,HOME,30,13,43,Hard Rock Stadium,7,9,0,14,0,28,37,28:37,19,9,9,1,53,370,7.0,4,32,197,6.2,2,21,15,173,2,2,8.2,11.5,71.4,88.1,9,3,33.3,0,0,0.0,1,1,0,0,5,35,0,0,0,0,7,6,3,153,51.0,2,3,1,0,0,0,13,0,31,23,31:23,20,4,12,4,65,376,5.8,2,22,87,4.0,0,40,28,289,2,1,7.2,10.3,70.0,96.77,15,5,33.3,2,1,50.0,1,0,0,0,6,67,2,2,3,17,2,6,4,217,54.2,3,2,-1,100.0,0,0.0,0,4,3,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,0,40,24,3,17,4,2,2,30,23,0,0,4,0,0,Sunday,993005392,19,4,19188,17,1,1,0.3333333333333333,0
