gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510106,2025-09-08T20:15:00,1,2025,1,MIN,CHI,AWAY,27,24,51,Soldier Field,0,6,0,21,0,27,7,27:07,14,6,5,3,49,254,5.2,3,26,120,4.6,1,20,13,134,2,1,6.7,10.3,65.0,96.67,12,3,25.0,0,0,0.0,3,2,0,0,8,50,0,0,3,9,3,6,7,333,47.6,1,1,0,7,3,7,7,0,32,53,32:53,20,7,10,3,63,317,5.0,3,26,119,4.6,1,35,21,198,1,0,5.7,9.4,60.0,85.18,12,3,25.0,1,0,0.0,2,2,0,0,12,127,1,1,2,12,5,6,6,266,44.3,1,1,0,66.7,0,100.0,0,1,1,0,4,1,0,0,2,2,3,3,0,0,0,0,0,2,1,38,21,2,12,3,1,1,33,14,3,9,5,0,0,Monday,993005147,20,6,19068,3,1,0,0.25,0
202510220,2025-09-14T20:20:00,1,2025,2,MIN,ATL,HOME,6,22,28,U.S. Bank Stadium,0,6,0,0,0,23,28,23:28,10,3,7,0,46,198,4.3,0,19,78,4.1,0,21,11,120,0,2,5.7,10.9,52.4,29.96,11,4,36.4,2,1,50.0,1,0,0,0,8,50,4,2,6,38,5,6,4,204,51.0,4,1,-3,6,3,3,10,0,36,32,36:32,19,12,5,2,63,326,5.2,1,39,218,5.6,1,21,13,108,0,0,5.1,8.3,61.9,75.1,15,6,40.0,0,0,0.0,5,1,0,0,5,29,1,1,3,27,11,5,3,137,45.7,1,4,3,0.0,0,20.0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,5,5,40,32,3,27,1,1,1,29,28,6,38,4,1,2,Sunday,993005176,20,2,19096,-16,0,-3,0.3636363636363636,0
202510320,2025-09-21T13:00:00,1,2025,3,MIN,CIN,HOME,48,10,58,U.S. Bank Stadium,14,20,14,0,0,30,56,30:56,22,10,10,2,58,352,6.1,6,31,169,5.5,2,24,16,183,2,0,7.6,11.4,66.7,117.19,12,4,33.3,1,1,100.0,5,4,0,0,13,105,1,0,3,19,9,7,5,220,44.0,0,5,5,0,3,0,7,0,29,4,29:04,12,3,6,3,52,171,3.3,1,21,53,2.5,0,27,19,118,1,2,4.4,6.2,70.4,60.42,11,3,27.3,0,0,0.0,1,1,0,0,4,45,5,3,4,22,5,3,6,328,54.7,5,0,-5,80.0,0,100.0,0,6,6,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,41,12,4,22,5,5,3,38,25,3,19,1,1,0,Sunday,993005192,20,7,19103,38,1,5,0.3333333333333333,0
202510428,2025-09-28T09:30:00,1,2025,4,MIN,PIT,AWAY,21,24,45,Croke Park,3,3,0,15,0,33,34,33:34,23,6,15,2,72,372,5.2,2,20,70,3.5,0,46,30,302,2,2,6.6,10.1,65.2,80.16,14,4,28.6,3,2,66.7,4,2,0,0,8,82,2,0,6,48,3,0,3,136,45.3,2,0,-2,7,7,7,3,0,26,26,26:26,19,11,6,2,53,313,5.9,3,29,131,4.5,2,22,18,182,1,0,8.3,10.1,81.8,116.29,10,4,40.0,1,0,0.0,5,2,0,0,5,35,1,0,2,18,14,0,3,146,48.7,0,2,2,50.0,0,40.0,0,1,1,0,2,1,0,0,2,2,3,3,0,0,0,0,0,2,1,31,28,2,18,0,1,0,42,24,6,48,8,2,0,Sunday,993005215,20,28,19047,-3,0,-2,0.2857142857142857,0
202510508,2025-10-05T09:30:00,1,2025,5,MIN,CLE,AWAY,21,17,38,Tottenham Hotspur Stadium,7,0,7,7,0,29,31,29:31,20,4,14,2,61,349,5.7,3,23,97,4.2,1,35,26,252,2,0,7.2,9.7,74.3,113.04,9,3,33.3,0,0,0.0,2,2,0,0,7,50,2,2,3,16,3,5,5,286,57.2,2,0,-2,7,3,7,0,0,30,29,30:29,17,8,9,0,67,322,4.8,2,32,140,4.4,0,33,19,182,2,0,5.5,9.6,57.6,93.24,15,3,20.0,3,3,100.0,3,2,0,0,10,78,0,0,2,8,3,6,8,360,45.0,0,2,2,100.0,0,66.7,0,3,3,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,1,33,37,2,8,5,0,0,35,27,3,16,3,2,2,Sunday,993005247,20,8,19045,4,1,-2,0.3333333333333333,0
202510720,2025-10-19T13:00:00,1,2025,7,MIN,PHI,HOME,22,28,50,U.S. Bank Stadium,3,3,10,6,0,34,2,34:02,21,7,13,1,67,387,5.8,1,23,89,3.9,1,42,26,298,0,2,7.1,11.5,61.9,63.39,15,7,46.7,1,1,100.0,6,1,0,0,3,30,2,0,2,15,4,8,1,34,34.0,2,0,-2,7,7,7,7,0,25,58,25:58,13,4,9,0,49,361,7.4,4,23,45,2.0,0,23,19,316,3,0,13.7,16.6,82.6,158.33,10,3,30.0,3,2,66.7,1,0,0,0,8,64,0,0,3,10,8,6,3,146,48.7,0,2,2,16.7,0,0.0,0,1,1,0,0,0,0,0,5,5,4,4,0,0,0,0,0,1,0,30,25,3,10,1,0,0,39,18,2,15,3,0,0,Sunday,993005308,20,26,19161,-6,0,-2,0.4666666666666667,0
202510829,2025-10-23T20:15:00,1,2025,8,MIN,LAC,AWAY,10,37,47,SoFi Stadium,0,3,7,0,0,20,56,20:56,12,1,9,2,47,164,3.5,1,11,34,3.1,0,31,18,130,1,1,4.2,7.2,58.1,65.26,11,3,27.3,1,0,0.0,1,1,0,0,8,66,1,0,5,27,8,10,4,184,46.0,1,1,0,7,14,3,13,0,39,4,39:04,29,14,13,2,70,419,6.0,4,43,207,4.8,1,25,18,212,3,1,8.5,11.8,72.0,120.33,13,9,69.2,0,0,0.0,4,3,0,0,8,46,0,0,2,15,8,7,0,0,0.0,1,1,0,100.0,0,75.0,0,1,1,0,0,0,0,0,2,1,4,4,0,0,0,0,0,4,3,44,29,2,15,2,0,0,27,13,5,27,7,1,0,Thursday,993005333,20,29,19171,-27,0,0,0.2727272727272727,0
202510911,2025-11-02T13:00:00,1,2025,9,MIN,DET,AWAY,27,24,51,Ford Field,14,3,7,3,0,28,52,28:52,20,7,8,5,59,258,4.4,3,29,142,4.9,1,25,14,116,2,1,4.6,8.3,56.0,78.08,12,4,33.3,0,0,0.0,5,3,0,0,7,56,1,0,5,27,11,10,4,176,44.0,1,1,0,7,7,3,7,0,31,8,31:08,15,3,11,1,62,305,4.9,3,20,65,3.2,1,37,25,240,2,0,6.5,9.6,67.6,103.43,17,5,29.4,3,3,100.0,3,1,0,0,10,76,1,1,5,44,9,7,5,238,47.6,1,1,0,60.0,0,33.3,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,1,28,41,5,44,1,1,1,32,19,5,27,3,0,0,Sunday,993005375,20,11,19071,3,1,0,0.3333333333333333,0
202511020,2025-11-09T13:00:00,1,2025,10,MIN,BAL,HOME,19,27,46,U.S. Bank Stadium,7,3,3,6,0,27,25,27:25,18,6,9,3,61,365,6.0,2,18,120,6.7,1,42,20,245,1,2,5.8,12.2,47.6,54.17,14,3,21.4,5,2,40.0,3,2,0,0,13,102,2,1,1,3,4,3,2,102,51.0,3,0,-3,3,6,10,8,0,32,35,32:35,23,11,9,3,66,321,4.9,2,36,152,4.2,1,29,17,169,1,0,5.8,9.9,58.6,86.71,15,6,40.0,0,0,0.0,5,2,0,0,5,62,3,0,1,7,12,3,5,248,49.6,0,3,3,66.7,0,40.0,0,1,1,0,2,0,0,0,2,2,1,1,0,2,1,0,0,5,4,40,23,1,7,4,1,0,30,12,1,3,13,0,1,Sunday,993005402,20,3,19189,-8,0,-3,0.2142857142857142,0
202511120,2025-11-16T13:00:00,1,2025,11,MIN,CHI,HOME,17,19,36,U.S. Bank Stadium,3,0,0,14,0,23,1,23:01,15,4,10,1,54,265,4.9,2,22,115,5.2,1,32,16,150,1,2,4.7,9.4,50.0,47.66,11,3,27.3,1,1,100.0,3,2,0,0,2,15,1,0,0,0,5,10,6,297,49.5,2,0,-2,0,10,6,3,0,36,59,36:59,19,13,6,0,73,320,4.4,1,39,140,3.6,1,32,16,180,0,0,5.6,11.2,50.0,67.19,18,7,38.9,0,0,0.0,2,1,0,0,6,40,1,0,2,13,5,1,6,286,47.7,0,2,2,66.7,0,50.0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,4,35,44,2,13,3,0,0,23,24,0,0,5,1,0,Sunday,993005430,20,6,19200,-2,0,-2,0.2727272727272727,0
