gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510122,2025-09-07T13:00:00,1,2025,1,NO,ARI,HOME,13,20,33,Caesars Superdome,0,10,0,3,0,26,14,26:14,21,5,12,4,69,315,4.6,1,22,107,4.9,1,46,27,208,0,0,4.5,7.7,58.7,69.84,14,5,35.7,2,1,50.0,4,1,0,0,13,89,0,0,1,6,5,7,4,202,50.5,0,0,0,3,14,3,0,0,33,46,33:46,19,5,11,3,61,276,4.5,2,27,146,5.4,0,29,21,130,2,0,4.5,6.2,72.4,104.09,13,6,46.2,0,0,0.0,3,2,0,0,9,54,0,0,5,33,2,3,4,188,47.0,0,0,0,25.0,0,66.7,0,1,1,0,0,0,0,0,3,2,2,2,0,0,0,0,0,3,2,40,26,5,33,5,0,0,38,33,1,6,10,0,0,Sunday,993005126,22,1,19060,-7,0,0,0.3571428571428571,0
202510222,2025-09-14T13:00:00,1,2025,2,NO,SF,HOME,21,26,47,Caesars Superdome,0,7,7,7,0,29,15,29:15,21,6,12,3,67,307,4.6,3,30,121,4.0,0,34,25,186,3,0,5.5,7.4,73.5,115.56,11,4,36.4,2,1,50.0,3,3,0,0,7,45,2,1,3,21,6,7,4,171,42.8,1,1,0,6,10,3,7,0,30,45,30:45,23,5,15,3,68,344,5.1,3,26,77,3.0,0,39,26,267,3,0,6.8,10.3,66.7,111.81,15,8,53.3,0,0,0.0,2,2,0,0,5,40,2,1,3,12,5,7,4,173,43.2,1,1,0,100.0,0,100.0,0,3,3,0,0,0,0,0,1,0,3,2,0,0,0,0,0,2,2,40,20,3,12,6,1,1,44,25,3,21,3,2,1,Sunday,993005162,22,31,19089,-5,0,0,0.3636363636363636,0
202510330,2025-09-21T16:05:00,1,2025,3,NO,SEA,AWAY,13,44,57,Lumen Field,0,6,0,7,0,32,16,32:16,21,4,12,5,70,284,4.1,1,27,79,2.9,0,41,28,205,1,1,5.0,7.3,68.3,77.79,15,5,33.3,2,0,0.0,3,1,0,0,11,77,0,0,2,13,2,3,5,243,48.6,1,1,0,21,17,6,0,0,27,44,27:44,22,7,11,4,54,320,5.9,5,33,87,2.6,2,21,16,233,2,0,11.1,14.6,76.2,143.55,9,3,33.3,0,0,0.0,5,4,0,0,8,70,1,1,0,0,8,4,2,92,46.0,1,1,0,33.3,0,80.0,0,1,1,0,0,0,0,0,3,2,5,5,0,0,0,0,0,3,3,32,32,0,0,2,1,1,48,23,2,13,7,0,0,Sunday,993005202,22,30,19110,-31,0,0,0.3333333333333333,0
202510404,2025-09-28T13:00:00,1,2025,4,NO,BUF,AWAY,19,31,50,Highmark Stadium,7,3,6,3,0,28,39,28:39,22,14,7,1,65,298,4.6,2,34,189,5.6,1,28,18,109,1,1,3.9,6.1,64.3,68.9,13,5,38.5,2,0,0.0,4,2,0,0,4,41,1,0,3,17,7,5,3,142,47.3,1,1,0,14,0,7,10,0,31,21,31:21,20,9,10,1,57,356,6.2,4,32,165,5.2,2,22,16,191,2,1,8.7,11.9,72.7,110.23,10,3,30.0,1,0,0.0,3,2,0,0,11,55,0,0,3,18,4,5,2,83,41.5,1,1,0,50.0,0,66.7,0,1,1,0,1,0,0,0,2,2,4,4,0,0,0,0,0,1,1,41,13,3,18,4,0,0,45,15,3,17,2,1,0,Sunday,993005227,22,4,19117,-12,0,0,0.3846153846153846,0
202510522,2025-10-05T13:00:00,1,2025,5,NO,NYG,HOME,26,14,40,Caesars Superdome,3,13,3,7,0,28,10,28:10,18,5,10,3,62,332,5.4,2,30,88,2.9,0,32,22,244,1,0,7.6,11.1,68.8,101.56,15,7,46.7,1,1,100.0,3,0,0,0,7,43,0,0,0,0,5,2,2,83,41.5,0,5,5,7,7,0,0,0,31,50,31:50,23,11,10,2,70,335,4.8,2,29,136,4.7,0,40,26,199,2,2,5.0,7.7,65.0,72.81,10,3,30.0,5,3,60.0,4,2,0,0,8,95,3,3,1,3,1,7,2,75,37.5,5,0,-5,0.0,0,50.0,0,2,2,0,0,0,0,0,6,4,2,2,0,0,0,0,0,0,0,41,25,1,3,7,2,3,40,19,0,0,3,0,0,Sunday,993005253,22,23,19134,12,1,5,0.4666666666666667,0
202510622,2025-10-12T13:00:00,1,2025,6,NO,NE,HOME,19,25,44,Caesars Superdome,6,10,0,3,0,28,16,28:16,17,7,7,3,51,296,5.8,1,23,73,3.2,1,26,20,223,0,0,8.6,11.2,76.9,101.92,9,3,33.3,0,0,0.0,2,1,0,0,8,67,1,1,2,4,4,7,2,70,35.0,1,0,-1,14,8,3,0,0,31,44,31:44,19,5,12,2,58,333,5.7,3,31,73,2.4,0,26,18,260,3,0,10.0,14.4,69.2,139.9,13,6,46.2,2,1,50.0,1,0,0,0,11,65,1,0,1,1,4,4,3,144,48.0,0,1,1,50.0,0,0.0,0,1,1,0,0,0,0,0,4,4,2,2,0,0,0,1,1,1,1,37,13,1,1,2,1,0,27,36,2,4,5,0,1,Sunday,993005282,22,21,19153,-6,0,-1,0.3333333333333333,0
202510706,2025-10-19T13:00:00,1,2025,7,NO,CHI,AWAY,14,26,40,Soldier Field,0,7,7,0,0,23,41,23:41,16,3,9,4,53,253,4.8,2,17,44,2.6,0,32,20,209,2,3,6.5,10.4,62.5,63.15,10,3,30.0,2,0,0.0,1,1,0,0,5,30,1,1,4,24,5,2,3,127,42.3,4,1,-3,3,17,3,3,0,36,19,36:19,23,13,10,0,67,386,5.8,2,40,222,5.6,2,26,15,164,0,1,6.3,10.9,57.7,60.42,12,3,25.0,1,1,100.0,6,2,0,0,10,92,2,0,1,8,7,7,3,129,43.0,1,4,3,100.0,0,33.3,0,2,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,4,4,35,32,1,8,5,0,0,33,11,4,24,9,1,1,Sunday,993005309,22,6,19158,-12,0,-3,0.3,0
202510822,2025-10-26T16:05:00,1,2025,8,NO,TB,HOME,3,23,26,Caesars Superdome,0,3,0,0,0,27,4,27:04,17,4,13,0,71,275,3.9,0,15,48,3.2,0,51,32,227,0,2,4.5,7.1,62.7,56.58,16,8,50.0,4,2,50.0,1,0,0,0,8,40,2,2,5,37,4,2,3,121,40.3,4,1,-3,0,7,10,6,0,32,56,32:56,14,5,8,1,56,212,3.8,2,29,88,3.0,1,24,15,124,0,0,5.2,8.3,62.5,75.69,13,3,23.1,2,1,50.0,2,1,0,0,4,25,2,1,3,28,8,5,3,151,50.3,1,4,3,0.0,0,50.0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,30,32,3,28,4,2,1,34,30,5,37,7,2,2,Sunday,993005350,22,33,19179,-20,0,-3,0.5,0
202510932,2025-11-02T16:05:00,1,2025,9,NO,LAR,AWAY,10,34,44,SoFi Stadium,0,10,0,0,0,16,7,16:07,10,1,8,1,40,224,5.6,1,14,57,4.1,0,25,15,167,1,1,6.7,11.1,60.0,76.58,9,2,22.2,2,0,0.0,3,1,0,0,5,33,1,1,1,9,4,4,4,184,46.0,2,0,-2,7,13,7,7,0,43,53,43:53,30,13,14,3,77,438,5.7,5,43,171,4.0,1,32,24,267,4,0,8.3,11.1,75.0,138.93,14,7,50.0,2,2,100.0,5,4,0,0,3,32,0,0,2,14,2,2,2,100,50.0,0,2,2,33.3,0,80.0,0,1,1,0,0,0,0,0,1,1,5,4,0,0,0,0,0,1,0,34,53,2,14,4,0,0,19,19,1,9,5,1,1,Sunday,993005377,22,32,19078,-24,0,-2,0.2222222222222222,0
202511005,2025-11-09T13:00:00,1,2025,10,NO,CAR,AWAY,17,7,24,Bank of America Stadium,3,7,0,7,0,33,21,33:21,17,8,9,0,67,388,5.8,2,37,122,3.3,0,28,19,266,2,0,9.5,14.0,67.9,122.02,17,8,47.1,3,2,66.7,2,0,0,0,6,60,1,1,2,16,3,4,4,177,44.2,1,2,1,7,0,0,0,0,26,39,26:39,13,5,6,2,50,175,3.5,1,23,73,3.2,1,25,17,102,0,1,4.1,6.0,68.0,59.08,9,3,33.3,1,0,0.0,2,1,0,0,1,5,1,1,2,22,5,6,4,204,51.0,2,1,-1,0.0,0,50.0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,25,29,2,22,4,0,1,39,31,2,16,1,0,1,Sunday,993005397,22,5,19185,10,1,1,0.4705882352941176,0
