gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510135,2025-09-07T13:00:00,1,2025,1,NYG,WAS,AWAY,6,21,27,Northwest Stadium,0,3,3,0,0,30,32,30:32,17,4,9,4,62,231,3.7,0,23,74,3.2,0,37,17,157,0,0,4.2,9.2,45.9,58.05,16,4,25.0,2,1,50.0,2,0,0,0,6,35,1,0,2,11,5,3,6,287,47.8,0,0,0,7,7,0,7,0,29,28,29:28,25,11,11,3,65,432,6.6,3,32,220,6.9,2,30,19,212,1,0,7.1,11.2,63.3,95.42,11,4,36.4,0,0,0.0,4,3,0,0,12,89,0,0,3,21,8,7,5,245,49.0,0,0,0,0.0,0,75.0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,28,37,3,21,3,0,0,31,25,2,11,7,1,0,Sunday,993005131,23,35,19062,-15,0,0,0.25,0
202510209,2025-09-14T13:00:00,1,2025,2,NYG,DAL,AWAY,37,40,77,AT&T Stadium,6,7,3,21,0,32,39,32:39,22,6,15,1,65,506,7.8,4,21,84,4.0,1,41,30,422,3,1,10.3,14.1,73.2,120.17,14,6,42.9,2,1,50.0,5,1,0,0,14,160,1,0,3,28,7,8,3,135,45.0,1,1,0,0,10,7,20,3,37,21,37:21,32,8,18,6,83,478,5.8,4,28,135,4.8,2,52,38,343,2,1,6.6,9.0,73.1,95.27,14,6,42.9,1,1,100.0,3,3,0,0,12,106,2,0,3,18,6,4,4,191,47.8,1,1,0,20.0,0,100.0,0,4,4,0,0,0,0,0,3,3,4,4,0,0,0,0,0,4,4,57,21,3,18,9,0,0,37,36,3,28,2,0,0,Sunday,993005157,23,9,19086,-3,0,0,0.4285714285714285,0
202510323,2025-09-21T20:20:00,1,2025,3,NYG,KC,HOME,9,22,31,MetLife Stadium,0,6,0,3,0,28,10,28:10,19,8,7,4,61,281,4.6,1,27,130,4.8,1,32,18,151,0,2,4.7,8.4,56.2,42.58,10,1,10.0,4,1,25.0,3,1,0,0,7,82,0,0,2,9,7,4,2,61,30.5,2,0,-2,3,6,7,6,0,31,50,31:50,22,6,13,3,67,306,4.6,2,28,105,3.8,1,37,22,201,1,0,5.4,9.1,59.5,83.28,15,8,53.3,0,0,0.0,3,2,0,0,8,85,2,0,2,23,9,6,3,139,46.3,0,2,2,33.3,0,66.7,0,1,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,4,3,39,18,2,23,6,1,0,32,31,2,9,6,0,0,Sunday,993005210,23,16,19113,-13,0,-2,0.1,0
202510423,2025-09-28T13:00:00,1,2025,4,NYG,LAC,HOME,21,18,39,MetLife Stadium,7,6,8,0,0,35,28,35:28,20,11,6,3,69,250,3.6,2,42,161,3.8,1,21,14,89,1,0,4.2,6.4,66.7,91.17,15,7,46.7,1,0,0.0,5,2,0,0,8,43,2,0,6,30,12,4,5,244,48.8,0,2,2,0,10,8,0,0,24,32,24:32,17,6,8,3,56,338,6.0,2,13,152,11.7,1,41,23,186,1,2,4.5,8.1,56.1,55.54,12,4,33.3,0,0,0.0,1,0,0,0,14,107,0,0,2,17,9,8,5,244,48.8,2,0,-2,40.0,0,0.0,0,1,1,0,0,0,1,1,2,2,1,1,0,0,0,1,1,1,1,32,12,2,17,7,0,0,44,41,6,30,2,1,0,Sunday,993005220,23,29,19121,3,1,2,0.4666666666666667,0
202510522,2025-10-05T13:00:00,1,2025,5,NYG,NO,AWAY,14,26,40,Caesars Superdome,7,7,0,0,0,31,50,31:50,23,11,10,2,70,335,4.8,2,29,136,4.7,0,40,26,199,2,2,5.0,7.7,65.0,72.81,10,3,30.0,5,3,60.0,4,2,0,0,8,95,3,3,1,3,1,7,2,75,37.5,5,0,-5,3,13,3,7,0,28,10,28:10,18,5,10,3,62,332,5.4,2,30,88,2.9,0,32,22,244,1,0,7.6,11.1,68.8,101.56,15,7,46.7,1,1,100.0,3,0,0,0,7,43,0,0,0,0,5,2,2,83,41.5,0,5,5,50.0,0,0.0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,4,40,19,0,0,3,0,0,41,25,1,3,7,2,3,Sunday,993005251,23,22,19134,-12,0,-5,0.3,0
202510623,2025-10-09T20:15:00,1,2025,6,NYG,PHI,HOME,34,17,51,MetLife Stadium,13,7,7,7,0,30,59,30:59,25,14,8,3,67,366,5.5,5,39,172,4.4,4,26,17,194,1,0,7.5,11.4,65.4,100.48,16,11,68.8,0,0,0.0,3,3,0,0,6,55,0,0,2,1,3,7,4,171,42.8,0,2,2,10,7,0,0,0,29,1,29:01,20,5,14,1,56,339,6.1,2,20,73,3.6,1,33,24,266,1,1,8.1,11.1,72.7,93.75,9,1,11.1,2,2,100.0,3,2,0,0,4,46,1,1,3,17,3,1,4,214,53.5,2,0,-2,100.0,0,66.7,0,5,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,30,29,3,17,4,1,1,32,36,2,1,4,0,0,Thursday,993005274,23,26,19143,17,1,2,0.6875,0
202510710,2025-10-19T16:05:00,1,2025,7,NYG,DEN,AWAY,32,33,65,Empower Field at Mile High,7,6,6,13,0,30,11,30:11,26,7,12,7,69,387,5.6,5,32,119,3.7,2,33,15,268,3,1,8.1,17.9,45.5,91.48,15,6,40.0,2,2,100.0,2,2,0,0,8,36,0,0,4,15,5,5,6,263,43.8,1,0,-1,0,0,0,33,0,29,49,29:49,25,8,15,2,76,407,5.4,4,24,142,5.9,2,50,27,265,2,0,5.3,9.8,54.0,82.5,13,4,30.8,2,1,50.0,5,4,0,0,12,127,1,0,2,14,10,4,6,303,50.5,0,1,1,100.0,0,80.0,0,4,2,0,2,0,0,0,0,0,2,2,0,4,2,0,0,1,1,38,22,2,14,8,0,0,29,33,4,15,8,0,0,Sunday,993005321,23,10,19164,-1,0,-1,0.4,0
202510826,2025-10-26T13:00:00,1,2025,8,NYG,PHI,AWAY,20,38,58,Lincoln Financial Field,7,3,3,7,0,26,45,26:45,13,4,9,0,50,246,4.9,2,21,68,3.2,1,24,14,178,1,0,7.4,12.7,58.3,95.49,12,5,41.7,1,1,100.0,3,2,0,0,7,54,0,0,5,15,5,3,4,194,48.5,0,0,0,7,14,3,14,0,33,15,33:15,23,12,10,1,57,427,7.5,5,33,276,8.4,1,20,15,151,4,0,7.6,10.1,75.0,135.62,8,2,25.0,2,2,100.0,3,3,0,0,5,30,0,0,4,28,6,7,1,57,57.0,0,0,0,66.7,0,100.0,0,2,2,0,0,0,0,0,2,2,5,5,0,0,0,0,0,2,1,30,26,4,28,4,0,0,31,12,5,15,4,0,0,Sunday,993005343,23,26,19178,-18,0,0,0.4166666666666667,0
202510923,2025-11-02T13:00:00,1,2025,9,NYG,SF,HOME,24,34,58,MetLife Stadium,7,0,3,14,0,26,49,26:49,19,10,7,2,56,296,5.3,3,21,117,5.6,1,33,24,179,2,0,5.4,7.5,72.7,105.49,12,5,41.7,0,0,0.0,3,2,0,0,5,23,0,0,2,12,3,7,5,233,46.6,0,1,1,7,10,3,14,0,33,11,33:11,25,10,13,2,65,380,5.8,4,39,159,4.1,2,24,19,221,2,0,9.2,11.6,79.2,132.81,11,6,54.5,1,1,100.0,5,4,0,0,6,34,1,1,2,14,3,3,2,87,43.5,1,0,-1,66.7,0,80.0,0,3,3,0,0,0,0,0,2,1,4,4,0,0,0,0,0,2,2,35,43,2,14,2,1,1,30,29,2,12,4,0,0,Sunday,993005362,23,31,19075,-10,0,1,0.4166666666666667,0
202511006,2025-11-09T13:00:00,1,2025,10,NYG,CHI,AWAY,20,24,44,Soldier Field,0,10,7,3,0,31,18,31:18,21,8,11,2,70,431,6.2,2,30,169,5.6,2,36,22,262,0,0,7.3,11.9,61.1,83.33,14,5,35.7,4,1,25.0,4,1,0,0,10,69,1,1,4,25,3,2,3,110,36.7,1,0,-1,7,0,3,14,0,28,42,28:42,23,8,11,4,64,391,6.1,3,28,171,6.1,2,36,20,220,1,0,6.1,11.0,55.6,83.1,11,3,27.3,4,1,25.0,4,3,0,0,3,25,0,0,0,0,9,7,3,135,45.0,0,1,1,25.0,0,75.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,30,29,0,0,2,0,0,39,27,4,25,5,1,1,Sunday,993005403,23,6,19186,-4,0,-1,0.3571428571428571,0
