gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510130,2025-09-07T16:05:00,1,2025,1,SEA,SF,HOME,13,17,30,Lumen Field,0,10,0,3,0,22,2,22:02,14,6,6,2,50,230,4.6,1,26,84,3.2,1,23,16,146,0,0,6.3,9.1,69.6,86.5,10,3,30.0,0,0,0.0,3,1,0,0,4,30,3,2,1,4,8,7,5,259,51.8,2,2,0,7,0,0,10,0,37,58,37:58,24,7,15,2,72,384,5.3,2,36,119,3.3,0,35,26,265,2,2,7.6,10.2,74.3,90.77,14,7,50.0,2,2,100.0,5,2,0,0,9,61,2,0,1,12,2,7,2,96,48.0,2,2,0,33.3,0,40.0,0,1,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,1,46,35,1,12,4,0,0,34,19,1,4,3,2,2,Sunday,993005138,30,31,19064,-4,0,0,0.3,0
202510228,2025-09-14T13:00:00,1,2025,2,SEA,PIT,AWAY,31,17,48,Acrisure Stadium,7,0,7,17,0,31,17,31:17,21,8,13,0,64,395,6.2,5,29,117,4.0,1,33,22,278,2,2,8.4,12.6,66.7,87.69,14,6,42.9,2,1,50.0,3,2,0,0,2,10,0,0,2,17,8,2,4,175,43.8,2,2,0,6,8,0,3,0,28,43,28:43,13,6,6,1,59,267,4.5,1,21,72,3.4,0,35,20,195,1,2,5.6,9.8,57.1,58.63,15,5,33.3,2,1,50.0,2,1,0,0,2,15,1,0,3,20,8,6,4,221,55.2,2,2,0,66.7,0,50.0,0,4,4,0,0,0,0,0,2,1,0,0,0,2,1,0,0,3,3,39,22,3,20,5,0,1,42,24,2,17,6,0,0,Sunday,993005159,30,28,19091,14,1,0,0.4285714285714285,0
202510330,2025-09-21T16:05:00,1,2025,3,SEA,NO,HOME,44,13,57,Lumen Field,21,17,6,0,0,27,44,27:44,22,7,11,4,54,320,5.9,5,33,87,2.6,2,21,16,233,2,0,11.1,14.6,76.2,143.55,9,3,33.3,0,0,0.0,5,4,0,0,8,70,1,1,0,0,8,4,2,92,46.0,1,1,0,0,6,0,7,0,32,16,32:16,21,4,12,5,70,284,4.1,1,27,79,2.9,0,41,28,205,1,1,5.0,7.3,68.3,77.79,15,5,33.3,2,0,0.0,3,1,0,0,11,77,0,0,2,13,2,3,5,243,48.6,1,1,0,80.0,0,33.3,0,5,5,0,0,0,0,0,3,3,1,1,0,0,0,0,0,3,2,48,23,2,13,7,0,0,32,32,0,0,2,1,1,Sunday,993005203,30,22,19110,31,1,0,0.3333333333333333,0
202510401,2025-09-25T20:15:00,1,2025,4,SEA,ARI,AWAY,23,20,43,State Farm Stadium,7,7,3,6,0,32,24,32:24,20,6,11,3,64,384,6.0,2,35,155,4.4,1,26,18,229,1,0,8.8,12.7,69.2,109.29,13,6,46.2,1,0,0.0,3,2,0,0,6,74,2,1,3,13,7,5,3,147,49.0,1,2,1,3,0,3,14,0,27,36,27:36,18,2,13,3,64,253,4.0,2,17,89,5.2,0,41,27,164,2,2,4.0,6.1,65.9,69.56,15,6,40.0,1,1,100.0,3,2,0,0,7,46,0,0,6,36,3,9,4,202,50.5,2,1,-1,66.7,0,66.7,0,2,2,0,0,0,0,0,4,3,2,2,0,0,0,0,0,2,2,40,23,6,36,8,0,0,36,41,3,13,2,2,1,Thursday,993005213,30,1,19115,3,1,1,0.4615384615384615,0
202510530,2025-10-05T16:05:00,1,2025,5,SEA,TB,HOME,35,38,73,Lumen Field,0,7,14,14,0,26,48,26:48,27,6,18,3,54,463,8.6,5,20,122,6.1,1,34,28,341,4,1,10.0,12.2,82.4,135.42,9,6,66.7,1,1,100.0,4,4,0,0,7,56,1,1,0,0,2,6,1,38,38.0,2,0,-2,3,10,15,10,0,33,12,33:12,25,6,17,2,58,426,7.3,4,24,56,2.3,2,33,29,370,2,0,11.2,12.8,87.9,133.59,11,7,63.6,0,0,0.0,6,4,0,0,4,37,0,0,1,9,2,1,2,91,45.5,0,2,2,100.0,0,66.7,0,5,5,0,0,0,0,0,1,0,3,3,0,2,1,0,0,3,3,39,23,1,9,2,0,0,27,26,0,0,6,0,1,Sunday,993005264,30,33,19138,-3,0,-2,0.6666666666666666,0
202510615,2025-10-12T13:00:00,1,2025,6,SEA,JAX,AWAY,20,12,32,EverBank Stadium,0,13,7,0,0,26,39,26:39,13,2,10,1,54,346,6.4,2,26,60,2.3,0,27,16,286,2,0,10.6,17.9,59.3,120.29,12,1,8.3,0,0,0.0,3,1,0,0,7,56,0,0,1,9,17,7,7,360,51.4,0,0,0,6,0,0,6,0,33,21,33:21,17,3,13,1,68,273,4.0,2,19,59,3.1,0,42,27,214,2,0,5.1,7.9,64.3,92.76,16,4,25.0,3,3,100.0,0,0,0,0,10,76,1,0,7,44,4,7,8,393,49.1,0,0,0,33.3,0,0.0,0,2,2,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,34,32,7,44,2,0,0,24,25,1,9,3,0,0,Sunday,993005289,30,15,19147,8,1,0,0.0833333333333333,0
202510730,2025-10-20T22:00:00,1,2025,7,SEA,HOU,HOME,27,19,46,Lumen Field,14,0,13,0,0,32,17,32:17,19,6,9,4,67,316,4.7,3,33,118,3.6,2,32,17,198,1,2,6.2,11.6,53.1,56.51,14,2,14.3,2,2,100.0,4,3,0,0,12,93,2,2,2,15,7,10,4,205,51.2,4,1,-3,0,6,6,7,0,27,43,27:43,18,1,13,4,69,254,3.7,2,17,56,3.3,0,49,23,198,1,1,4.0,8.6,46.9,56.34,15,2,13.3,4,1,25.0,3,1,0,0,10,105,0,0,3,31,5,7,7,344,49.1,1,4,3,75.0,0,33.3,0,3,3,0,0,0,0,0,3,2,1,1,0,2,0,0,0,2,2,34,20,3,31,12,0,0,36,25,2,15,5,2,2,Monday,993005332,30,13,19170,8,1,-3,0.1428571428571428,0
202510935,2025-11-02T20:20:00,1,2025,9,SEA,WAS,AWAY,38,14,52,Northwest Stadium,7,24,7,0,0,27,18,27:18,21,5,13,3,48,418,8.7,5,24,88,3.7,1,24,21,330,4,1,13.8,15.7,87.5,140.97,11,7,63.6,0,0,0.0,2,2,0,0,5,44,2,0,0,0,7,5,3,155,51.7,1,2,1,0,7,0,7,0,32,42,32:42,19,9,8,2,62,290,4.7,2,36,157,4.4,2,22,16,133,0,1,6.0,8.3,72.7,68.94,13,6,46.2,2,1,50.0,2,2,0,0,8,87,1,1,4,20,1,2,4,191,47.8,2,1,-1,100.0,0,100.0,0,5,5,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,29,50,4,20,3,1,1,24,34,0,0,3,1,0,Sunday,993005383,30,35,19081,24,1,1,0.6363636363636364,0
202511030,2025-11-09T16:05:00,1,2025,10,SEA,ARI,HOME,44,22,66,Lumen Field,21,17,0,6,0,33,40,33:40,22,14,6,2,59,372,6.3,5,46,198,4.3,2,12,10,174,1,1,14.5,17.4,83.3,111.81,10,6,60.0,0,0,0.0,4,2,0,0,3,20,4,2,1,4,10,10,0,0,0.0,3,2,-1,0,7,8,7,0,26,20,26:20,21,7,13,1,73,335,4.6,3,23,129,5.6,1,45,22,206,2,0,4.6,9.4,48.9,76.71,16,6,37.5,5,2,40.0,6,3,0,0,5,37,2,2,5,52,1,5,4,163,40.8,2,3,1,50.0,0,50.0,0,5,5,0,0,0,0,0,3,3,2,2,0,2,1,0,0,0,0,34,28,5,52,10,2,2,36,25,1,4,2,2,2,Sunday,993005406,30,1,19192,22,1,-1,0.6,0
202511132,2025-11-16T16:05:00,1,2025,11,SEA,LAR,AWAY,19,21,40,SoFi Stadium,3,6,3,7,0,37,49,37:49,26,9,15,2,79,414,5.2,1,35,135,3.9,1,44,29,279,0,4,6.3,9.6,65.9,45.55,16,7,43.8,1,1,100.0,4,1,0,0,6,47,1,0,0,0,3,3,2,103,51.5,4,1,-3,14,0,0,7,0,22,11,22:11,12,5,6,1,50,249,5.0,3,22,119,5.4,1,28,15,130,2,0,4.6,8.7,53.6,89.88,11,2,18.2,3,2,66.7,4,3,0,0,6,43,1,1,0,0,3,0,6,253,42.2,1,4,3,25.0,0,75.0,0,1,1,0,0,0,0,0,5,4,3,3,0,0,0,0,0,0,0,24,21,0,0,4,1,1,50,24,0,0,8,1,0,Sunday,993005435,30,32,19205,-2,0,-3,0.4375,0
