gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510102,2025-09-07T13:00:00,1,2025,1,TB,ATL,AWAY,23,20,43,Mercedes-Benz Stadium,0,10,7,6,0,24,48,24:48,16,5,10,1,56,260,4.6,3,23,101,4.4,0,32,17,159,3,0,5.0,9.4,53.1,98.31,14,7,50.0,1,1,100.0,1,1,0,0,5,60,0,0,1,8,5,7,4,205,51.2,0,0,0,7,3,3,7,0,35,12,35:12,23,4,16,3,71,358,5.0,2,28,69,2.5,1,42,27,289,1,0,6.9,10.7,64.3,92.26,15,6,40.0,4,3,75.0,2,1,0,0,8,55,1,0,1,9,3,2,3,140,46.7,0,0,0,100.0,0,50.0,0,3,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,3,2,43,27,1,9,7,0,0,26,27,1,8,7,0,0,Sunday,993005134,33,2,19055,3,1,0,0.5,0
202510213,2025-09-15T19:00:00,1,2025,2,TB,HOU,AWAY,20,19,39,NRG Stadium,7,7,0,6,0,37,9,37:09,25,9,12,4,72,360,5.0,3,30,169,5.6,1,38,25,191,2,0,5.0,7.6,65.8,95.39,14,6,42.9,1,1,100.0,3,2,0,0,7,45,1,0,4,24,6,5,5,253,50.6,0,0,0,10,0,0,9,0,22,51,22:51,12,3,7,2,46,266,5.8,2,19,84,4.4,1,24,13,182,1,0,7.6,14.0,54.2,92.71,9,2,22.2,1,0,0.0,2,0,0,0,6,45,0,0,3,25,6,6,4,203,50.8,0,0,0,66.7,0,0.0,0,2,2,0,1,0,0,0,1,0,1,1,0,1,0,0,0,2,2,30,8,3,25,2,0,0,51,14,4,24,3,1,0,Monday,993005177,33,13,19097,1,1,0,0.4285714285714285,0
202510333,2025-09-21T13:00:00,1,2025,3,TB,NYJ,HOME,29,27,56,Raymond James Stadium,3,17,3,6,0,32,11,32:11,19,4,12,3,64,347,5.4,2,34,122,3.6,0,29,19,225,1,0,7.8,11.8,65.5,100.5,13,4,30.8,0,0,0.0,5,1,0,0,14,124,1,0,1,8,10,9,4,162,40.5,0,2,2,3,3,0,21,0,27,49,27:49,21,5,13,3,63,267,4.2,3,23,99,4.3,0,36,26,168,2,1,4.7,6.5,72.2,88.66,11,3,27.3,3,1,33.3,3,2,0,0,7,81,1,1,4,29,2,7,2,97,48.5,2,0,-2,20.0,0,66.7,0,2,2,0,0,0,0,0,6,5,3,3,0,0,0,0,0,2,2,40,18,4,29,4,1,1,39,35,1,8,2,1,0,Sunday,993005188,33,24,19106,2,1,2,0.3076923076923077,0
202510433,2025-09-28T13:00:00,1,2025,4,TB,PHI,HOME,25,31,56,Raymond James Stadium,3,3,14,5,0,31,52,31:52,18,5,7,6,68,376,5.5,2,26,104,4.0,0,40,22,272,2,1,6.8,12.4,55.0,82.5,13,3,23.1,3,1,33.3,2,0,0,0,5,40,2,1,2,17,3,11,3,110,36.7,2,0,-2,14,10,7,0,0,28,8,28:08,16,5,10,1,58,200,3.4,4,32,88,2.8,1,24,15,112,2,0,4.7,7.5,62.5,101.39,14,5,35.7,1,0,0.0,3,3,0,0,8,83,2,0,2,18,1,4,7,363,51.9,0,2,2,0.0,0,100.0,0,2,2,0,0,0,0,0,3,3,4,4,0,0,0,0,0,1,1,41,12,2,18,5,1,0,43,20,2,17,13,2,1,Sunday,993005224,33,26,19122,-6,0,-2,0.2307692307692307,0
202510530,2025-10-05T16:05:00,1,2025,5,TB,SEA,AWAY,38,35,73,Lumen Field,3,10,15,10,0,33,12,33:12,25,6,17,2,58,426,7.3,4,24,56,2.3,2,33,29,370,2,0,11.2,12.8,87.9,133.59,11,7,63.6,0,0,0.0,6,4,0,0,4,37,0,0,1,9,2,1,2,91,45.5,0,2,2,0,7,14,14,0,26,48,26:48,27,6,18,3,54,463,8.6,5,20,122,6.1,1,34,28,341,4,1,10.0,12.2,82.4,135.42,9,6,66.7,1,1,100.0,4,4,0,0,7,56,1,1,0,0,2,6,1,38,38.0,2,0,-2,66.7,0,100.0,0,3,3,0,2,1,0,0,3,3,5,5,0,0,0,0,0,1,0,27,26,0,0,6,0,1,39,23,1,9,2,0,0,Sunday,993005263,33,30,19138,3,1,2,0.6363636363636364,0
202510633,2025-10-12T16:25:00,1,2025,6,TB,SF,HOME,30,19,49,Raymond James Stadium,7,13,7,3,0,27,25,27:25,19,9,9,1,50,352,7.0,4,26,104,4.0,2,23,17,248,2,0,10.8,14.6,73.9,137.59,8,3,37.5,0,0,0.0,2,2,0,0,5,31,1,0,1,8,10,5,3,166,55.3,0,2,2,3,13,3,0,0,32,35,32:35,17,6,10,1,67,363,5.4,1,22,67,3.0,1,39,27,296,0,2,7.6,11.0,69.2,70.03,16,7,43.8,2,0,0.0,2,1,0,0,9,65,1,0,6,51,1,4,2,89,44.5,2,0,-2,100.0,0,50.0,0,3,3,0,1,0,0,0,2,1,1,1,0,0,0,0,0,4,4,40,26,6,51,5,1,0,29,17,1,8,2,0,0,Sunday,993005296,33,31,19150,11,1,2,0.375,0
202510711,2025-10-20T19:00:00,1,2025,7,TB,DET,AWAY,9,24,33,Ford Field,0,3,6,0,0,28,21,28:21,15,2,11,2,66,251,3.8,1,12,41,3.4,0,50,28,210,1,1,4.2,7.5,56.0,64.58,16,4,25.0,5,2,40.0,1,0,0,0,6,35,2,1,4,18,9,7,6,263,43.8,2,2,0,7,7,7,3,0,31,39,31:39,17,6,9,2,65,379,5.8,3,32,164,5.1,2,29,20,215,1,1,7.4,10.8,69.0,87.57,13,3,23.1,2,1,50.0,2,1,0,0,6,50,1,1,4,26,8,4,5,256,51.2,2,2,0,0.0,0,50.0,0,0,0,0,2,0,0,0,1,1,3,3,0,0,0,0,0,2,1,36,38,4,26,2,1,1,31,22,4,18,12,2,1,Monday,993005329,33,11,19169,-15,0,0,0.25,0
202510822,2025-10-26T16:05:00,1,2025,8,TB,NO,AWAY,23,3,26,Caesars Superdome,0,7,10,6,0,32,56,32:56,14,5,8,1,56,212,3.8,2,29,88,3.0,1,24,15,124,0,0,5.2,8.3,62.5,75.69,13,3,23.1,2,1,50.0,2,1,0,0,4,25,2,1,3,28,8,5,3,151,50.3,1,4,3,0,3,0,0,0,27,4,27:04,17,4,13,0,71,275,3.9,0,15,48,3.2,0,51,32,227,0,2,4.5,7.1,62.7,56.58,16,8,50.0,4,2,50.0,1,0,0,0,8,40,2,2,5,37,4,2,3,121,40.3,4,1,-3,50.0,0,0.0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,34,30,5,37,7,2,2,30,32,3,28,4,2,1,Sunday,993005349,33,22,19179,20,1,3,0.2307692307692307,0
202511033,2025-11-09T13:00:00,1,2025,10,TB,NE,HOME,23,28,51,Raymond James Stadium,7,3,6,7,0,32,25,32:25,24,9,14,1,66,371,5.6,3,21,113,5.4,0,43,28,258,3,0,6.0,9.2,65.1,104.6,13,5,38.5,1,0,0.0,3,2,0,0,6,40,0,0,2,15,6,3,6,258,43.0,0,1,1,7,7,7,7,0,27,35,27:35,16,5,9,2,59,435,7.4,4,27,166,6.1,2,31,16,269,2,1,8.7,16.8,51.6,89.31,14,5,35.7,3,2,66.7,2,1,0,0,5,49,1,0,1,1,5,6,5,248,49.6,1,0,-1,66.7,0,50.0,0,2,2,0,1,0,0,0,1,1,4,4,0,0,0,0,0,0,0,31,17,1,1,5,0,0,28,41,2,15,5,0,0,Sunday,993005400,33,21,19191,-5,0,1,0.3846153846153846,0
202511104,2025-11-16T13:00:00,1,2025,11,TB,BUF,AWAY,32,44,76,Highmark Stadium,3,17,6,6,0,35,7,35:07,21,13,6,2,68,367,5.4,4,39,202,5.2,3,28,16,165,1,1,5.9,10.3,57.1,71.28,16,9,56.2,1,1,100.0,4,2,0,0,2,30,1,1,1,8,1,3,4,161,40.2,2,3,1,7,14,10,13,0,24,53,24:53,19,4,13,2,53,414,7.8,6,23,97,4.2,3,30,19,317,3,2,10.6,16.7,63.3,104.44,11,6,54.5,2,1,50.0,4,3,0,0,7,45,2,1,0,0,3,3,2,83,41.5,3,2,-1,50.0,0,75.0,0,2,2,0,3,0,0,0,2,2,5,5,0,2,0,0,0,1,1,26,17,0,0,6,2,1,35,34,1,8,6,1,1,Sunday,993005419,33,4,19198,-12,0,1,0.5625,0
