gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510110,2025-09-07T16:05:00,1,2025,1,TEN,DEN,AWAY,12,20,32,Empower Field at Mile High,3,6,3,0,0,28,4,28:04,7,2,5,0,55,133,2.4,0,21,71,3.4,0,28,12,62,0,0,2.2,5.2,42.9,50.3,14,2,14.3,1,0,0.0,2,0,0,0,13,131,2,2,6,50,5,4,8,395,49.4,2,4,2,3,7,3,7,0,31,56,31:56,20,5,9,6,71,317,4.5,2,30,151,5.0,1,40,25,166,1,2,4.2,6.6,62.5,58.96,15,6,40.0,2,0,0.0,3,1,0,0,6,45,2,2,1,10,14,7,3,144,48.0,4,2,-2,0.0,0,33.3,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,2,2,42,28,1,10,5,1,2,32,26,6,50,4,2,2,Sunday,993005139,34,10,19063,-8,0,2,0.1428571428571428,0
202510234,2025-09-14T13:00:00,1,2025,2,TEN,LAR,HOME,19,33,52,Nissan Stadium,0,13,3,3,0,30,7,30:07,18,7,10,1,64,252,3.9,1,26,109,4.2,0,33,19,143,1,0,4.3,7.5,57.6,78.22,15,6,40.0,1,1,100.0,3,1,0,0,10,62,2,1,5,32,6,2,5,250,50.0,1,1,0,7,3,10,13,0,29,53,29:53,22,8,12,2,59,439,7.4,4,25,149,6.0,2,33,23,290,2,1,8.8,12.6,69.7,104.36,12,5,41.7,1,1,100.0,6,3,0,0,4,29,1,0,1,8,8,6,3,145,48.3,1,1,0,33.3,0,50.0,0,1,1,0,0,0,0,0,4,4,4,3,1,0,0,0,0,2,2,35,24,1,8,4,0,0,41,23,5,32,4,1,1,Sunday,993005166,34,32,19092,-14,0,0,0.4,0
202510334,2025-09-21T13:00:00,1,2025,3,TEN,IND,HOME,20,41,61,Nissan Stadium,3,3,7,7,0,31,19,31:19,21,8,11,2,65,282,4.3,2,23,86,3.7,1,38,23,196,1,1,5.2,8.5,60.5,71.82,14,5,35.7,2,1,50.0,2,2,0,0,8,68,0,0,4,23,2,0,1,52,52.0,1,0,-1,17,3,14,7,0,28,41,28:41,22,9,10,3,53,365,6.9,5,28,137,4.9,3,25,18,228,1,0,9.1,12.7,72.0,113.42,8,2,25.0,2,2,100.0,4,2,0,0,4,23,0,0,0,0,7,8,1,46,46.0,0,1,1,100.0,0,50.0,0,2,2,0,0,0,0,0,4,2,5,5,0,0,0,0,0,3,2,32,15,0,0,3,0,0,41,18,4,23,4,0,0,Sunday,993005190,34,14,19107,-21,0,-1,0.3571428571428571,0
202510413,2025-09-28T13:00:00,1,2025,4,TEN,HOU,AWAY,0,26,26,NRG Stadium,0,0,0,0,0,21,39,21:39,10,3,5,2,46,175,3.8,0,18,82,4.6,0,26,10,93,0,1,3.6,9.3,38.5,33.01,11,2,18.2,1,0,0.0,0,0,0,0,4,35,0,0,2,15,5,6,5,213,42.6,1,0,-1,3,3,0,20,0,38,21,38:21,20,10,9,1,65,353,5.4,3,35,129,3.7,1,28,22,224,2,0,8.0,10.2,78.6,123.81,15,6,40.0,3,3,100.0,2,2,0,0,6,50,0,0,2,9,7,6,3,132,44.0,0,1,1,0.0,0,100.0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,3,2,45,32,2,9,1,0,0,21,19,2,15,7,0,0,Sunday,993005229,34,13,19119,-26,0,-1,0.1818181818181818,0
202510501,2025-10-05T16:05:00,1,2025,5,TEN,ARI,AWAY,22,21,43,State Farm Stadium,3,3,0,16,0,27,20,27:20,20,6,12,2,65,327,5.0,2,24,78,3.2,1,39,21,249,0,1,6.4,11.9,53.8,62.87,15,5,33.3,1,0,0.0,2,1,0,0,6,35,1,1,2,16,6,4,5,271,54.2,2,3,1,14,7,0,0,0,32,40,32:40,16,7,8,1,64,360,5.6,3,29,168,5.8,3,32,23,192,0,0,6.0,8.3,71.9,86.98,16,7,43.8,0,0,0.0,4,3,0,0,8,47,3,3,3,28,4,4,7,367,52.4,3,2,-1,50.0,0,75.0,0,2,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,38,27,3,28,2,0,2,30,18,2,16,8,1,1,Sunday,993005261,34,1,19137,1,1,1,0.3333333333333333,0
202510625,2025-10-12T16:05:00,1,2025,6,TEN,LV,AWAY,10,20,30,Allegiant Stadium,0,0,3,7,0,27,34,27:34,15,3,11,1,59,225,3.8,1,15,65,4.3,0,38,26,160,1,1,4.2,6.2,68.4,74.45,13,3,23.1,2,2,100.0,2,1,0,0,7,34,2,2,6,62,7,8,5,220,44.0,3,1,-2,3,7,7,3,0,32,26,32:26,16,4,9,3,57,226,4.0,2,32,68,2.1,1,23,17,158,1,1,6.9,9.3,73.9,88.68,13,6,46.2,1,1,100.0,4,2,0,0,6,27,0,0,2,16,8,7,4,167,41.8,1,3,2,50.0,0,50.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,30,35,2,16,4,0,0,33,23,6,62,2,1,2,Sunday,993005291,34,25,19151,-10,0,-2,0.2307692307692307,0
202510734,2025-10-19T13:00:00,1,2025,7,TEN,NE,HOME,13,31,44,Nissan Stadium,10,3,0,0,0,22,48,22:48,16,1,14,1,51,255,5.0,1,12,39,3.2,0,34,25,216,1,1,6.4,8.6,73.5,87.38,10,3,30.0,2,0,0.0,0,0,0,0,3,15,1,1,5,39,4,6,3,122,40.7,2,0,-2,3,14,14,0,0,37,12,37:12,22,9,13,0,64,387,6.0,4,36,175,4.9,1,24,22,212,2,0,8.8,9.6,91.7,131.25,12,5,41.7,2,2,100.0,3,2,0,0,5,36,0,0,4,22,5,6,4,150,37.5,0,2,2,0.0,0,66.7,0,1,1,0,0,0,0,0,2,2,4,4,0,0,0,0,0,1,1,40,33,4,22,0,0,0,32,18,5,39,2,0,1,Sunday,993005314,34,21,19163,-18,0,-2,0.3,0
202510814,2025-10-26T16:25:00,1,2025,8,TEN,IND,AWAY,14,38,52,Lucas Oil Stadium,0,7,0,7,0,34,21,34:21,20,5,13,2,67,341,5.1,2,25,113,4.5,1,38,22,228,1,1,6.0,10.4,57.9,73.14,15,6,40.0,3,1,33.3,3,2,0,0,3,34,0,0,4,31,5,5,5,215,43.0,1,0,-1,10,7,14,7,0,25,39,25:39,21,7,14,0,52,420,8.1,5,18,164,9.1,2,31,21,256,3,0,8.3,12.2,67.7,125.2,9,3,33.3,1,1,100.0,4,3,0,0,3,32,0,0,3,16,7,8,4,189,47.2,0,1,1,66.7,0,75.0,0,2,2,0,0,0,0,0,1,0,5,5,0,0,0,0,0,1,1,32,10,3,16,4,0,0,38,23,4,31,4,0,0,Sunday,993005351,34,14,19181,-24,0,-1,0.4,0
202510934,2025-11-02T13:00:00,1,2025,9,TEN,LAC,HOME,20,27,47,Nissan Stadium,14,3,0,3,0,25,40,25:40,10,3,7,0,44,206,4.7,2,19,88,4.6,0,21,12,118,0,0,5.6,9.8,57.1,73.12,9,1,11.1,1,0,0.0,2,0,0,0,7,60,2,0,4,27,11,6,5,187,37.4,0,1,1,7,13,0,7,0,34,20,34:20,21,8,12,1,65,343,5.3,3,30,131,4.4,1,29,19,212,2,1,7.3,11.2,65.5,95.76,13,7,53.8,0,0,0.0,4,3,0,0,3,20,1,0,6,38,5,4,4,209,52.2,1,0,-1,0.0,0,75.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,38,27,6,38,4,1,0,23,22,4,27,3,1,0,Sunday,993005372,34,29,19077,-7,0,1,0.1111111111111111,0
202511134,2025-11-16T13:00:00,1,2025,11,TEN,HOU,HOME,13,16,29,Nissan Stadium,3,0,3,7,0,28,57,28:57,14,2,10,2,57,229,4.0,1,17,58,3.4,0,37,24,171,1,0,4.6,7.1,64.9,84.4,15,6,40.0,0,0,0.0,1,1,0,0,9,62,2,1,3,23,8,8,6,305,50.8,1,0,-1,0,0,10,6,0,31,3,31:03,20,5,13,2,68,315,4.6,1,23,75,3.3,0,41,26,240,1,0,5.9,9.2,63.4,87.45,13,4,30.8,1,0,0.0,3,1,0,0,5,53,0,0,4,34,6,5,5,208,41.6,0,1,1,100.0,0,33.3,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,3,37,28,4,34,9,0,0,28,29,3,23,5,1,1,Sunday,993005432,34,13,19203,-3,0,-1,0.4,0
