gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202210135,2022-09-11T13:00:00,1,2022,1,JAX,WAS,AWAY,22,28,50,FedEx Field,3,0,9,10,0,27,3,27:03,24,6,13,5,62,383,6.2,2,18,123,6.8,1,42,24,260,1,1,6.2,10.8,57.1,73.51,12,3,25.0,1,0,0.0,5,2,0,0,13,90,1,0,2,15,4,5,3,150,50.0,1,3,2,7,7,0,14,0,32,57,32:57,26,7,16,3,70,390,5.6,4,28,85,3.0,0,41,27,305,4,2,7.4,11.3,65.9,100.15,10,7,70.0,0,0,0.0,2,2,0,0,6,63,1,1,1,8,10,3,3,147,49.0,3,1,-2,40.0,0,100.0,0,1,1,0,2,0,0,0,4,3,2,2,0,3,1,0,0,0,0,42,15,1,8,6,1,1,38,11,2,15,5,1,0,Sunday,993003115,15,35,18013,-6,0,2,0.25,0
202210215,2022-09-18T13:00:00,1,2022,2,JAX,IND,HOME,24,0,24,TIAA Bank Field,7,10,7,0,0,38,15,38:15,21,6,14,1,67,331,4.9,3,37,96,2.6,1,30,25,235,2,0,7.8,9.4,83.3,121.53,15,6,40.0,3,2,66.7,2,2,0,0,3,19,0,0,0,0,11,5,5,228,45.6,0,3,3,0,0,0,0,0,21,45,21:45,9,3,6,0,48,218,4.5,0,13,54,4.2,0,30,16,164,0,3,5.5,10.2,53.3,29.72,10,2,20.0,2,0,0.0,2,0,0,0,5,30,2,0,5,31,2,8,5,227,45.4,3,0,-3,100.0,0,0.0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30,11,5,31,11,1,0,53,15,0,0,3,0,0,Sunday,993003146,15,14,18026,24,1,3,0.4,0
202210329,2022-09-25T16:05:00,1,2022,3,JAX,LAC,AWAY,38,10,48,SoFi Stadium,0,16,15,7,0,38,27,38:27,25,8,16,1,75,413,5.5,4,36,151,4.2,1,39,28,262,3,0,6.7,9.4,71.8,115.54,15,8,53.3,3,2,66.7,6,3,0,0,2,10,0,0,0,0,6,3,1,56,56.0,0,2,2,0,7,3,0,0,21,33,21:33,16,2,13,1,58,312,5.4,1,12,26,2.2,0,45,25,286,1,1,6.4,11.4,55.6,73.01,13,5,38.5,2,0,0.0,3,1,0,0,7,54,1,1,1,11,2,6,4,175,43.8,2,0,-2,50.0,0,33.3,0,3,3,0,2,1,0,0,3,3,1,1,0,0,0,0,0,1,1,35,11,1,11,9,1,1,50,23,0,0,4,0,0,Sunday,993003193,15,29,18058,28,1,2,0.5333333333333333,0
202210426,2022-10-02T13:00:00,1,2022,4,JAX,PHI,AWAY,21,29,50,Lincoln Financial Field,14,0,0,7,0,20,9,20:09,13,3,9,1,46,219,4.8,3,19,71,3.7,0,23,11,148,2,1,6.4,13.5,47.8,79.62,7,2,28.6,1,0,0.0,3,2,0,0,4,38,5,4,4,26,5,6,3,160,53.3,5,1,-4,0,20,0,9,0,39,51,39:51,25,14,8,3,77,401,5.2,4,50,210,4.2,4,25,16,191,0,1,7.6,11.9,64.0,70.58,15,4,26.7,5,3,60.0,6,4,0,0,3,20,1,0,2,13,3,3,3,134,44.7,1,5,4,66.7,0,66.7,0,3,3,0,0,0,0,0,0,0,3,2,0,2,0,0,0,1,1,42,41,2,13,5,0,0,25,14,4,26,4,3,4,Sunday,993003219,15,26,18267,-8,0,-4,0.2857142857142857,0
202210515,2022-10-09T13:00:00,1,2022,5,JAX,HOU,HOME,6,13,19,TIAA Bank Field,3,3,0,0,0,28,13,28:13,22,6,15,1,73,422,5.8,0,26,136,5.2,0,47,25,286,0,2,6.1,11.4,53.2,54.03,14,6,42.9,3,0,0.0,3,0,0,0,6,48,0,0,0,0,5,4,3,159,53.0,2,0,-2,0,6,0,7,0,31,47,31:47,15,7,6,2,56,248,4.4,1,31,116,3.7,1,24,16,132,0,0,5.5,8.2,66.7,80.56,13,5,38.5,0,0,0.0,1,1,0,0,4,25,0,0,1,8,1,3,6,293,48.8,0,2,2,0.0,0,100.0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,40,21,1,8,2,0,0,45,16,0,0,8,0,0,Sunday,993003244,15,13,18173,-7,0,-2,0.4285714285714285,0
202210614,2022-10-16T13:00:00,1,2022,6,JAX,IND,AWAY,27,34,61,Lucas Oil Stadium,7,7,7,6,0,31,11,31:11,25,13,8,4,59,379,6.4,4,33,243,7.4,3,22,20,136,1,0,6.2,6.8,90.9,107.58,10,5,50.0,2,1,50.0,3,3,0,0,4,44,2,1,4,29,6,3,3,151,50.3,1,0,-1,0,13,6,15,0,28,49,28:49,29,4,22,3,74,434,5.9,4,16,45,2.8,1,58,42,389,3,0,6.7,9.3,72.4,107.61,15,10,66.7,0,0,0.0,4,3,0,0,7,52,2,0,0,0,4,9,3,110,36.7,0,1,1,100.0,0,75.0,0,3,3,0,2,0,0,0,0,0,2,2,0,2,0,1,1,2,2,45,25,0,0,7,1,0,43,28,4,29,0,1,1,Sunday,993003277,15,14,18183,-7,0,-1,0.5,0
202210715,2022-10-23T13:00:00,1,2022,7,JAX,NYG,HOME,17,23,40,TIAA Bank Field,8,3,6,0,0,25,50,25:50,27,7,15,5,65,452,7.0,2,21,142,6.8,2,44,22,310,0,0,7.0,14.1,50.0,73.11,13,6,46.2,4,2,50.0,5,2,0,0,13,81,1,1,0,0,3,4,2,106,53.0,1,0,-1,7,6,0,10,0,34,10,34:10,27,13,11,3,70,436,6.2,2,39,236,6.1,1,30,19,200,1,0,6.7,10.5,63.3,93.75,12,6,50.0,1,0,0.0,5,1,0,0,8,67,0,0,1,2,2,0,2,80,40.0,0,1,1,40.0,0,20.0,0,1,0,1,0,0,1,1,1,1,2,2,0,0,0,0,0,3,3,42,32,1,2,8,0,0,32,19,0,0,7,1,1,Sunday,993003308,15,23,18041,-6,0,-1,0.4615384615384615,0
202210815,2022-10-30T09:30:00,1,2022,8,JAX,DEN,HOME,17,21,38,Wembley Stadium,7,3,0,7,0,34,4,34:04,24,12,6,6,65,305,4.7,2,32,191,6.0,1,31,18,114,1,2,3.7,6.3,58.1,49.66,11,4,36.4,0,0,0.0,3,1,0,0,5,54,2,0,2,19,8,2,6,287,47.8,2,1,-1,0,7,7,7,0,25,56,25:56,18,7,11,0,61,331,5.4,3,28,101,3.6,2,30,18,230,1,1,7.7,12.8,60.0,81.25,11,2,18.2,3,2,66.7,3,3,0,0,12,80,0,0,3,22,2,6,6,306,51.0,1,2,1,33.3,0,100.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,37,28,3,22,5,0,0,44,23,2,19,3,1,0,Sunday,993003328,15,10,17998,-4,0,-1,0.3636363636363636,0
202210915,2022-11-06T13:00:00,1,2022,9,JAX,LV,HOME,27,20,47,TIAA Bank Field,0,10,7,10,0,32,25,32:25,22,10,12,0,68,403,5.9,3,37,168,4.5,2,31,25,235,1,0,7.6,9.4,80.6,109.01,15,9,60.0,0,0,0.0,4,3,0,0,4,30,1,1,0,0,3,7,3,163,54.3,1,1,0,7,13,0,0,0,27,35,27:35,16,5,11,0,57,321,5.6,2,19,73,3.8,0,36,21,248,2,0,6.9,11.8,58.3,97.92,12,3,25.0,3,1,33.3,1,0,0,0,5,45,1,1,2,11,4,3,4,196,49.0,1,1,0,75.0,0,0.0,0,3,3,0,0,0,0,0,3,2,2,2,0,0,0,0,0,2,2,33,19,2,11,6,1,1,47,30,0,0,2,0,1,Sunday,993003360,15,25,18141,7,1,0,0.6,0
202211016,2022-11-13T13:00:00,1,2022,10,JAX,KC,AWAY,17,27,44,Arrowhead Stadium,0,7,3,7,0,31,39,31:39,17,3,14,0,61,315,5.2,2,16,75,4.7,0,40,29,240,2,0,6.0,8.3,72.5,104.17,14,4,28.6,2,2,100.0,3,2,0,0,5,30,0,0,5,19,4,2,6,281,46.8,0,3,3,7,13,7,0,0,28,21,28:21,26,7,17,2,62,486,7.8,4,27,155,5.7,0,35,26,331,4,1,9.5,12.7,74.3,129.58,10,7,70.0,1,1,100.0,5,4,0,0,0,0,3,2,0,0,6,7,2,91,45.5,3,0,-3,66.7,0,80.0,0,2,2,0,0,0,0,0,3,1,4,3,0,0,0,0,0,0,0,43,9,0,0,2,2,2,39,30,5,19,5,0,0,Sunday,993003395,15,16,18067,-10,0,3,0.2857142857142857,0
