gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202210102,2022-09-11T13:00:00,1,2022,1,NO,ATL,AWAY,27,26,53,Mercedes-Benz Stadium,7,0,3,17,0,26,16,26:16,18,5,12,1,57,385,6.8,3,19,151,7.9,1,34,23,234,2,0,6.9,10.2,67.6,106.74,13,4,30.8,0,0,0.0,3,3,0,0,8,99,1,1,4,35,1,2,5,272,54.4,1,2,1,3,13,7,3,0,33,44,33:44,26,13,8,5,71,416,5.9,2,38,201,5.3,2,33,20,215,0,0,6.5,10.8,60.6,79.73,13,5,38.5,0,0,0.0,4,2,0,0,8,55,3,2,0,0,8,4,4,180,45.0,2,1,-1,100.0,0,50.0,0,1,1,0,3,1,0,0,3,2,2,2,0,0,0,0,0,5,4,50,16,0,0,2,2,2,31,27,4,35,2,1,1,Sunday,993003121,22,2,18007,1,1,1,0.3076923076923077,0
202210222,2022-09-18T13:00:00,1,2022,2,NO,TB,HOME,10,20,30,Caesars Superdome,3,0,0,7,0,30,18,30:18,18,6,9,3,66,308,4.7,1,20,100,5.0,0,40,25,208,1,3,5.2,8.3,62.5,52.92,13,4,30.8,1,0,0.0,2,1,0,0,9,60,4,2,6,28,3,3,5,218,43.6,5,1,-4,0,0,3,17,0,29,42,29:42,13,1,8,4,65,260,4.0,2,30,72,2.4,0,34,18,188,1,0,5.5,10.4,52.9,79.04,17,5,29.4,1,0,0.0,1,0,0,0,8,101,1,1,1,2,9,3,6,229,38.2,1,5,4,50.0,0,0.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,30,32,1,2,6,0,1,34,27,6,28,6,3,2,Sunday,993003152,22,33,18023,-10,0,-4,0.3076923076923077,0
202210305,2022-09-25T13:00:00,1,2022,3,NO,CAR,AWAY,14,22,36,Bank of America Stadium,0,0,0,14,0,29,50,29:50,19,4,14,1,64,426,6.7,2,22,84,3.8,1,41,25,342,1,2,8.3,13.7,61.0,75.46,13,5,38.5,0,0,0.0,4,2,0,0,7,58,4,1,1,11,6,4,6,285,47.5,3,0,-3,7,6,0,9,0,30,10,30:10,12,7,5,0,59,293,5.0,2,31,145,4.7,0,25,12,148,1,0,5.9,12.3,48.0,80.08,14,4,28.6,1,0,0.0,1,0,0,0,4,40,0,0,3,22,6,3,6,281,46.8,0,3,3,50.0,0,0.0,0,2,2,0,0,0,0,0,2,0,1,1,0,1,0,0,0,3,3,32,28,3,22,4,0,0,38,12,1,11,8,1,1,Sunday,993003191,22,5,18056,-8,0,-3,0.3846153846153846,0
202210422,2022-10-02T09:30:00,1,2022,4,NO,MIN,HOME,25,28,53,Tottenham Hotspur Stadium,0,7,7,11,0,27,47,27:47,19,8,11,0,57,338,5.9,3,27,111,4.1,2,28,20,227,1,0,8.1,11.4,71.4,107.29,10,4,40.0,1,1,100.0,3,3,0,0,10,102,2,2,2,9,8,3,4,194,48.5,2,1,-1,7,6,3,12,0,32,13,32:13,23,3,15,5,67,344,5.1,2,25,81,3.2,1,39,26,263,1,1,6.7,10.1,66.7,83.6,14,5,35.7,1,1,100.0,5,2,0,0,5,35,0,0,3,23,3,3,3,126,42.0,1,2,1,100.0,0,40.0,0,2,2,0,2,1,0,0,2,1,2,1,0,0,0,0,0,5,5,41,20,3,23,2,0,0,35,26,2,9,5,2,2,Sunday,993003208,22,20,17996,-3,0,-1,0.4,0
202210522,2022-10-09T13:00:00,1,2022,5,NO,SEA,HOME,39,32,71,Caesars Superdome,3,14,14,8,0,37,35,37:35,26,14,9,3,74,438,5.9,5,48,235,4.9,3,25,17,203,2,1,8.1,11.9,68.0,102.58,14,8,57.1,0,0,0.0,3,3,0,0,6,57,3,1,1,6,4,4,4,189,47.2,2,1,-1,10,9,0,13,0,22,25,22:25,15,4,9,2,49,396,8.1,4,21,151,7.2,1,25,16,245,3,0,9.8,15.3,64.0,135.83,9,1,11.1,1,0,0.0,1,0,0,0,12,85,2,1,3,23,5,1,5,233,46.6,1,2,1,100.0,0,0.0,0,4,4,0,0,0,1,1,1,1,3,2,0,2,0,0,0,2,2,33,18,3,23,2,2,1,44,32,1,6,4,2,1,Sunday,993003254,22,30,18169,7,1,-1,0.5714285714285714,0
202210622,2022-10-16T13:00:00,1,2022,6,NO,CIN,HOME,26,30,56,Caesars Superdome,7,13,3,3,0,32,14,32:14,22,9,12,1,71,399,5.6,2,34,228,6.7,1,36,19,171,1,0,4.8,9.0,52.8,75.12,17,8,47.1,1,0,0.0,5,1,0,0,4,34,0,0,1,7,6,3,3,149,49.7,0,1,1,7,7,7,9,0,27,46,27:46,21,7,13,1,54,348,6.4,4,14,75,5.4,1,37,28,273,3,0,7.4,9.8,75.7,122.92,10,6,60.0,0,0,0.0,3,3,0,0,3,30,1,1,3,27,5,5,3,131,43.7,1,0,-1,20.0,0,100.0,0,2,2,0,0,0,0,0,4,4,3,3,0,1,0,0,0,1,1,37,6,3,27,3,1,1,36,36,1,7,4,0,0,Sunday,993003276,22,7,18185,-4,0,1,0.4705882352941176,0
202210701,2022-10-20T20:15:00,1,2022,7,NO,ARI,AWAY,34,42,76,State Farm Stadium,7,7,3,17,0,29,2,29:02,25,7,17,1,71,494,7.0,4,22,85,3.9,0,49,32,409,4,3,8.3,12.8,65.3,92.98,13,6,46.2,1,1,100.0,5,3,0,0,8,49,0,0,0,0,2,8,2,94,47.0,3,0,-3,3,25,7,7,0,30,58,30:58,21,9,9,3,60,326,5.4,5,29,137,4.7,2,29,20,189,1,0,6.5,9.4,69.0,98.2,10,3,30.0,1,1,100.0,4,3,0,0,4,20,2,0,2,15,3,4,4,177,44.2,0,3,3,60.0,0,75.0,0,4,4,0,0,0,0,0,2,2,3,2,0,2,1,1,1,2,2,38,22,2,15,2,1,0,44,17,0,0,9,0,0,Thursday,993003297,22,1,18035,-8,0,-3,0.4615384615384615,0
202210822,2022-10-30T13:00:00,1,2022,8,NO,LV,HOME,24,0,24,Caesars Superdome,7,10,7,0,0,34,51,34:51,22,9,12,1,63,367,5.8,3,32,136,4.2,1,31,23,231,2,0,7.5,10.0,74.2,116.47,12,7,58.3,1,0,0.0,3,2,0,0,5,27,0,0,0,0,10,8,2,80,40.0,0,1,1,0,0,0,0,0,25,9,25:09,13,2,9,2,56,183,3.3,0,13,38,2.9,0,39,23,145,0,1,3.7,6.3,59.0,56.04,14,5,35.7,3,2,66.7,1,0,0,0,6,59,0,0,4,28,0,2,5,229,45.8,1,0,-1,66.7,0,0.0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,30,18,4,28,7,0,0,43,27,0,0,2,0,0,Sunday,993003334,22,25,18124,24,1,1,0.5833333333333334,0
202210922,2022-11-07T20:15:00,1,2022,9,NO,BAL,HOME,13,27,40,Caesars Superdome,0,3,3,7,0,22,13,22:13,13,2,10,1,49,243,5.0,1,15,48,3.2,0,30,20,195,1,1,6.5,9.8,66.7,81.94,11,3,27.3,1,1,100.0,2,0,0,0,5,40,0,0,4,28,2,5,5,232,46.4,1,0,-1,7,7,3,10,0,37,47,37:47,23,14,7,2,65,319,4.9,3,40,188,4.7,2,22,12,131,1,0,6.0,10.9,54.5,87.5,15,9,60.0,0,0,0.0,4,2,0,0,5,31,1,0,3,2,7,5,4,193,48.2,0,1,1,0.0,0,50.0,0,1,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,46,16,3,2,1,0,0,34,12,4,28,6,0,0,Monday,993003380,22,3,18145,-14,0,-1,0.2727272727272727,0
202211028,2022-11-13T13:00:00,1,2022,10,NO,PIT,AWAY,10,20,30,Acrisure Stadium,0,10,0,0,0,21,4,21:04,10,1,8,1,45,186,4.1,1,15,29,1.9,0,28,17,157,1,2,5.6,9.2,60.7,58.18,12,3,25.0,1,0,0.0,1,1,0,0,10,74,2,0,2,17,7,7,5,259,51.8,2,0,-2,7,3,0,10,0,38,56,38:56,28,13,9,6,79,379,4.8,2,43,217,5.0,2,30,18,162,0,0,5.4,9.0,60.0,74.58,17,9,52.9,1,1,100.0,5,2,0,0,3,40,1,0,6,37,2,2,3,123,41.0,0,2,2,100.0,0,40.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,2,54,30,6,37,2,1,0,29,17,2,17,5,1,0,Sunday,993003385,22,28,18070,-10,0,-2,0.25,0
