gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202210130,2022-09-12T20:15:00,1,2022,1,SEA,DEN,HOME,17,16,33,Lumen Field,7,10,0,0,0,26,21,26:21,19,3,9,7,49,253,5.2,2,19,76,4.0,0,28,23,177,2,0,6.3,7.7,82.1,116.82,11,6,54.5,1,0,0.0,2,0,0,0,5,77,3,1,2,18,8,6,2,101,50.5,1,2,1,3,10,0,3,0,33,39,33:39,20,5,13,2,64,433,6.8,1,20,103,5.2,0,42,29,330,1,0,7.9,11.4,69.0,100.3,15,8,53.3,1,0,0.0,4,0,0,0,12,106,2,2,2,10,4,3,1,36,36.0,2,1,-1,0.0,0,0.0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3,45,18,2,10,4,2,2,31,23,2,18,2,3,1,Monday,993003140,30,10,18021,1,1,1,0.5454545454545454,0
202210231,2022-09-18T16:05:00,1,2022,2,SEA,SF,AWAY,7,27,34,Levi's Stadium,0,0,7,0,0,21,40,21:40,14,3,10,1,47,216,4.6,1,14,36,2.6,0,31,24,180,0,2,5.8,7.5,77.4,63.91,7,2,28.6,0,0,0.0,1,0,0,0,10,106,1,1,2,17,4,7,5,249,49.8,3,0,-3,6,14,0,7,0,38,20,38:20,25,11,8,6,70,373,5.3,3,45,189,4.2,2,24,15,184,1,0,7.7,12.3,62.5,100.0,15,6,40.0,3,2,66.7,5,2,0,0,1,26,2,0,1,0,9,7,3,132,44.0,0,3,3,0.0,0,40.0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,52,21,1,0,2,0,0,33,14,2,17,5,0,1,Sunday,993003159,30,31,18028,-20,0,-3,0.2857142857142857,0
202210330,2022-09-25T16:25:00,1,2022,3,SEA,ATL,HOME,23,27,50,Lumen Field,10,10,3,0,0,31,46,31:46,23,8,15,0,69,420,6.1,2,23,112,4.9,0,44,32,308,2,1,7.0,9.6,72.7,97.54,17,9,52.9,3,2,66.7,5,2,0,0,6,47,0,0,2,17,6,2,2,102,51.0,1,2,1,10,7,10,0,0,28,14,28:14,24,8,13,3,54,386,7.1,3,31,179,5.8,2,20,13,207,1,1,10.4,15.9,65.0,95.21,7,4,57.1,0,0,0.0,4,3,0,0,2,15,2,1,3,22,5,5,1,73,73.0,2,1,-1,40.0,0,75.0,0,2,2,0,0,0,0,0,3,3,3,3,0,0,0,0,0,2,2,36,17,3,22,2,1,1,49,14,2,17,8,0,0,Sunday,993003200,30,2,18060,-4,0,1,0.5294117647058824,0
202210411,2022-10-02T13:00:00,1,2022,4,SEA,DET,AWAY,48,45,93,Ford Field,14,10,14,10,0,33,6,33:06,27,12,14,1,63,555,8.8,6,33,235,7.1,3,30,23,320,2,0,10.7,13.9,76.7,132.64,12,9,75.0,0,0,0.0,4,3,0,0,11,76,1,1,0,0,3,1,0,0,0.0,1,2,1,6,9,8,22,0,26,54,26:54,27,6,19,2,66,520,7.9,6,25,145,5.8,2,40,27,375,4,1,9.4,13.9,67.5,120.31,10,4,40.0,3,3,100.0,4,4,0,0,8,59,1,1,1,9,3,4,2,97,48.5,2,1,-1,75.0,0,100.0,0,6,6,0,0,0,0,0,3,2,4,2,0,2,1,1,1,1,1,39,26,1,9,4,1,1,46,14,0,0,3,1,1,Sunday,993003215,30,11,18264,3,1,1,0.75,0
202210522,2022-10-09T13:00:00,1,2022,5,SEA,NO,AWAY,32,39,71,Caesars Superdome,10,9,0,13,0,22,25,22:25,15,4,9,2,49,396,8.1,4,21,151,7.2,1,25,16,245,3,0,9.8,15.3,64.0,135.83,9,1,11.1,1,0,0.0,1,0,0,0,12,85,2,1,3,23,5,1,5,233,46.6,1,2,1,3,14,14,8,0,37,35,37:35,26,14,9,3,74,438,5.9,5,48,235,4.9,3,25,17,203,2,1,8.1,11.9,68.0,102.58,14,8,57.1,0,0,0.0,3,3,0,0,6,57,3,1,1,6,4,4,4,189,47.2,2,1,-1,0.0,0,100.0,0,3,2,0,2,0,0,0,2,2,4,4,0,0,0,1,1,1,1,44,32,1,6,4,2,1,33,18,3,23,2,2,1,Sunday,993003253,30,22,18169,-7,0,1,0.1111111111111111,0
202210630,2022-10-16T16:05:00,1,2022,6,SEA,ARI,HOME,19,9,28,Lumen Field,3,6,3,7,0,29,16,29:16,19,7,10,2,66,296,4.5,1,30,136,4.5,1,31,20,160,0,0,5.2,8.0,64.5,77.35,14,4,28.6,1,0,0.0,5,1,0,0,6,44,2,1,5,37,7,10,6,293,48.8,1,2,1,3,0,6,0,0,30,44,30:44,15,5,10,0,71,315,4.4,1,28,144,5.1,0,37,23,171,0,1,4.6,7.4,62.2,61.88,16,4,25.0,5,1,20.0,2,0,0,0,6,53,3,1,6,51,7,9,4,162,40.5,2,1,-1,20.0,0,0.0,0,1,1,0,0,0,0,0,4,4,1,0,0,0,0,0,0,1,1,51,22,6,51,4,3,1,45,25,5,37,6,1,1,Sunday,993003290,30,1,18189,10,1,1,0.2857142857142857,0
202210729,2022-10-23T16:25:00,1,2022,7,SEA,LAC,AWAY,37,23,60,SoFi Stadium,17,7,3,10,0,33,57,33:57,24,10,10,4,63,404,6.4,4,34,213,6.3,2,27,20,191,2,1,7.1,9.6,74.1,102.55,9,5,55.6,0,0,0.0,4,2,0,0,7,68,1,1,2,19,8,4,1,46,46.0,2,2,0,0,14,0,9,0,26,3,26:03,21,3,17,1,69,329,4.8,3,15,53,3.5,1,51,33,276,2,1,5.4,8.4,64.7,83.46,15,5,33.3,3,1,33.3,3,3,0,0,7,70,2,1,3,17,4,6,5,228,45.6,2,2,0,50.0,0,100.0,0,4,4,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,46,10,3,17,9,2,1,49,13,2,19,5,0,1,Sunday,993003319,30,29,18045,14,1,0,0.5555555555555556,0
202210830,2022-10-30T16:25:00,1,2022,8,SEA,NYG,HOME,27,13,40,Lumen Field,0,10,3,14,0,26,26,26:26,19,4,14,1,62,277,4.5,3,25,87,3.5,1,34,23,190,2,0,5.6,8.3,67.6,101.35,13,3,23.1,2,2,100.0,3,2,0,0,3,25,1,1,3,22,8,8,6,291,48.5,1,2,1,0,7,3,3,0,33,34,33:34,14,4,9,1,64,225,3.5,1,28,78,2.8,1,31,17,147,0,0,4.7,8.6,54.8,67.54,16,6,37.5,1,0,0.0,2,1,0,0,6,53,3,2,5,29,10,5,6,322,53.7,2,1,-1,66.7,0,50.0,0,3,3,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,49,15,5,29,6,3,2,42,17,3,22,3,1,1,Sunday,993003348,30,23,18130,14,1,1,0.2307692307692307,0
202210901,2022-11-06T16:05:00,1,2022,9,SEA,ARI,AWAY,31,21,52,State Farm Stadium,3,7,7,14,0,34,31,34:31,27,10,14,3,70,421,6.0,4,34,158,4.6,2,34,26,263,2,1,7.7,10.1,76.5,105.39,15,10,66.7,1,0,0.0,4,4,0,0,6,34,1,0,2,12,5,8,3,162,54.0,1,1,0,7,0,7,7,0,25,29,25:29,15,5,8,2,61,262,4.3,3,21,122,5.8,0,35,25,140,2,0,4.0,5.6,71.4,97.32,14,6,42.9,2,0,0.0,1,1,0,0,12,77,3,1,5,35,8,5,6,288,48.0,1,1,0,100.0,0,100.0,0,4,4,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,48,10,5,35,4,1,1,48,25,2,12,4,0,0,Sunday,993003373,30,1,18142,10,1,0,0.6666666666666666,0
202211033,2022-11-13T09:30:00,1,2022,10,SEA,TB,AWAY,16,21,37,Allianz Arena,0,0,3,13,0,23,5,23:05,19,2,15,2,50,283,5.7,2,14,39,2.8,0,33,23,244,2,0,7.4,10.6,69.7,111.17,9,1,11.1,2,2,100.0,2,1,0,0,6,46,1,1,3,31,1,1,5,253,50.6,1,2,1,0,14,0,7,0,36,55,36:55,26,10,15,1,74,419,5.7,3,44,161,3.7,1,30,22,258,2,2,8.6,11.7,73.3,93.47,15,10,66.7,0,0,0.0,3,2,0,0,4,40,0,0,0,0,6,3,2,122,61.0,2,1,-1,50.0,0,66.7,0,1,1,0,2,0,0,0,1,1,3,3,0,0,0,0,0,1,0,52,18,0,0,4,0,0,36,12,3,31,1,1,1,Sunday,993003383,30,33,17999,-5,0,1,0.1111111111111111,0
