gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310106,2023-09-10T16:25:00,1,2023,1,GB,CHI,AWAY,38,20,58,Soldier Field,7,3,14,14,0,29,17,29:17,15,5,10,0,60,329,5.5,5,32,92,2.9,1,27,15,237,3,0,8.8,15.8,55.6,121.99,16,9,56.2,2,1,50.0,3,3,0,0,9,90,2,0,1,8,6,7,5,249,49.8,0,2,2,3,3,8,6,0,30,43,30:43,22,8,12,2,70,311,4.4,2,29,122,4.2,1,37,24,189,1,1,5.1,7.9,64.9,75.17,13,3,23.1,2,1,50.0,2,1,0,0,7,61,1,1,4,27,3,6,4,212,53.0,2,0,-2,100.0,0,50.0,0,5,5,0,0,0,0,0,1,1,0,0,0,2,0,1,1,2,2,46,26,4,27,6,1,1,36,23,1,8,4,0,0,Sunday,993003799,12,6,18494,18,1,2,0.5625,0
202310202,2023-09-17T13:00:00,1,2023,2,GB,ATL,AWAY,24,25,49,Mercedes-Benz Stadium,0,10,14,0,0,23,45,23:45,17,4,10,3,47,224,4.8,3,21,84,4.0,0,25,14,140,3,0,5.6,10.0,56.0,111.67,9,3,33.3,1,0,0.0,3,2,0,0,7,40,0,0,1,11,6,2,4,199,49.8,0,1,1,3,6,3,13,0,36,15,36:15,27,15,10,2,78,446,5.7,2,45,211,4.7,1,32,19,235,1,1,7.3,12.4,59.4,79.56,15,6,40.0,4,3,75.0,5,2,0,0,6,110,0,0,1,2,3,2,1,45,45.0,1,0,-1,66.7,0,40.0,0,3,3,0,0,0,0,0,1,1,2,1,0,0,0,0,0,4,4,48,39,1,2,4,0,0,29,12,1,11,5,0,0,Sunday,993003819,12,2,18557,-1,0,1,0.3333333333333333,0
202310312,2023-09-24T13:00:00,1,2023,3,GB,NO,HOME,18,17,35,Lambeau Field,0,0,0,18,0,32,35,32:35,21,5,13,3,71,340,4.8,2,26,95,3.7,1,44,22,245,1,1,5.6,11.1,50.0,65.06,18,8,44.4,3,1,33.3,3,2,0,0,11,90,1,0,1,14,6,5,4,153,38.2,1,0,-1,7,10,0,0,0,27,25,27:25,15,5,9,1,60,252,4.2,2,22,77,3.5,0,34,23,175,1,0,5.1,7.6,67.6,89.71,14,4,28.6,1,1,100.0,2,1,0,0,7,102,0,0,4,29,3,3,7,293,41.9,0,1,1,66.7,0,50.0,0,1,1,0,2,1,0,0,1,1,2,2,0,0,0,0,0,2,1,44,14,4,29,6,0,0,30,27,1,14,13,0,0,Sunday,993003858,12,22,18457,1,1,-1,0.4444444444444444,0
202310412,2023-09-28T20:15:00,1,2023,4,GB,DET,HOME,20,34,54,Lambeau Field,3,0,8,9,0,22,2,22:02,15,2,9,4,53,230,4.3,2,12,27,2.2,1,36,23,203,1,2,5.6,8.8,63.9,64.93,11,3,27.3,1,1,100.0,4,2,0,0,4,31,2,0,5,43,6,6,5,259,51.8,2,1,-1,14,13,0,7,0,37,58,37:58,25,13,11,1,73,401,5.5,4,43,211,4.9,3,28,19,190,1,1,6.8,10.0,67.9,83.93,17,7,41.2,2,2,100.0,6,3,0,0,8,70,0,0,2,20,11,8,4,180,45.0,1,2,1,50.0,0,50.0,0,0,0,0,3,1,0,0,2,2,4,4,0,0,0,0,0,2,2,53,26,2,20,2,0,0,33,17,5,43,6,1,0,Thursday,993003874,12,11,18500,-14,0,-1,0.2727272727272727,0
202310525,2023-10-09T20:15:00,1,2023,5,GB,LV,AWAY,13,17,30,Allegiant Stadium,3,0,10,0,0,27,26,27:26,18,9,7,2,57,285,5.0,1,25,110,4.4,1,30,16,175,0,3,5.8,10.9,53.3,31.25,12,4,33.3,1,1,100.0,3,1,0,0,3,18,0,0,2,7,6,8,4,184,46.0,3,1,-2,0,10,0,7,0,32,34,32:34,19,6,13,0,64,279,4.4,2,29,96,3.3,1,31,22,183,1,1,5.9,8.3,71.0,83.13,13,5,38.5,1,1,100.0,3,2,0,0,4,28,0,0,4,25,2,5,4,189,47.2,1,3,2,33.3,0,66.7,0,1,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,1,41,33,4,25,4,0,0,32,28,2,7,4,0,0,Monday,993003931,12,25,18357,-4,0,-2,0.3333333333333333,0
202310710,2023-10-22T16:25:00,1,2023,7,GB,DEN,AWAY,17,19,36,Empower Field at Mile High,0,0,10,7,0,31,37,31:37,20,5,13,2,61,331,5.4,2,29,137,4.7,0,32,22,194,2,1,6.1,8.8,68.8,92.45,14,6,42.9,2,2,100.0,3,2,0,0,7,56,0,0,0,0,3,3,3,155,51.7,1,0,-1,3,6,7,3,0,28,23,28:23,18,6,9,3,55,339,6.2,1,25,145,5.8,0,29,20,194,1,0,6.7,9.7,69.0,98.92,12,5,41.7,1,0,0.0,4,1,0,0,8,60,0,0,1,0,3,4,3,132,44.0,0,1,1,66.7,0,25.0,0,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,4,4,38,18,1,0,0,0,0,40,27,0,0,5,0,0,Sunday,993003983,12,10,18524,-2,0,-1,0.4285714285714285,0
202310812,2023-10-29T13:00:00,1,2023,8,GB,MIN,HOME,10,24,34,Lambeau Field,0,3,7,0,0,23,38,23:38,16,1,14,1,62,270,4.4,1,17,74,4.4,0,41,24,196,1,1,4.8,8.2,58.5,68.75,14,5,35.7,4,1,25.0,4,1,0,0,11,99,2,0,4,33,8,6,4,207,51.8,1,1,0,7,3,14,0,0,36,22,36:22,24,6,14,4,69,346,5.0,3,31,62,2.0,1,35,26,284,2,0,8.1,10.9,74.3,116.85,18,10,55.6,1,1,100.0,4,2,0,0,7,35,1,1,3,13,8,1,2,87,43.5,1,1,0,25.0,0,50.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,1,47,26,3,13,5,1,1,38,20,4,33,7,2,0,Sunday,993004000,12,20,18574,-14,0,0,0.3571428571428571,0
202310912,2023-11-05T13:00:00,1,2023,9,GB,LAR,HOME,20,3,23,Lambeau Field,0,0,0,0,20,35,16,35:16,21,10,10,1,68,391,5.8,2,38,184,4.8,1,26,20,207,1,0,8.0,10.4,76.9,112.18,14,7,50.0,1,1,100.0,4,1,0,0,8,57,3,2,4,21,4,5,4,174,43.5,2,2,0,0,0,0,0,3,24,44,24:44,10,3,6,1,55,187,3.4,0,26,68,2.6,0,28,13,119,0,1,4.2,9.2,46.4,43.6,14,5,35.7,2,0,0.0,0,0,0,0,5,36,1,1,1,11,5,3,5,224,44.8,2,2,0,25.0,0,0.0,0,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,1,39,13,1,11,10,1,1,46,38,4,21,1,2,2,Sunday,993004038,12,32,18375,17,1,0,0.5,0
202311028,2023-11-12T13:00:00,1,2023,10,GB,PIT,AWAY,19,23,42,Acrisure Stadium,7,6,6,0,0,29,27,29:27,17,3,13,1,65,399,6.1,2,24,116,4.8,0,40,21,283,2,2,7.1,13.5,52.5,71.15,16,8,50.0,2,2,100.0,5,1,0,0,5,32,2,0,1,6,4,2,4,179,44.8,2,0,-2,7,10,3,3,0,30,33,30:33,21,12,6,3,60,324,5.4,2,36,205,5.7,2,23,14,119,0,0,5.2,8.5,60.9,74.37,13,4,30.8,1,1,100.0,3,2,0,0,3,27,1,0,1,7,5,5,5,224,44.8,0,2,2,20.0,0,66.7,0,2,1,1,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,45,27,1,7,5,0,0,40,19,1,6,7,0,0,Sunday,993004057,12,28,18388,-4,0,-2,0.5,0
202311112,2023-11-19T13:00:00,1,2023,11,GB,LAC,HOME,23,20,43,Lambeau Field,0,10,6,7,0,31,58,31:58,23,5,16,2,71,397,5.6,3,28,102,3.6,1,40,27,295,2,0,7.4,10.9,67.5,105.73,14,7,50.0,1,0,0.0,2,1,0,0,7,46,3,0,3,27,5,5,4,193,48.2,0,1,1,3,7,3,7,0,28,2,28:02,17,5,11,1,62,394,6.4,2,24,150,6.2,0,36,21,244,2,0,6.8,11.6,58.3,97.45,14,7,50.0,2,0,0.0,4,1,0,0,4,54,2,1,2,16,7,7,3,143,47.7,1,0,-1,50.0,0,25.0,0,3,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,39,16,2,16,5,1,1,48,17,3,27,5,1,0,Sunday,993004094,12,29,18531,3,1,1,0.5,0
