gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310135,2023-09-10T13:00:00,1,2023,1,WAS,ARI,HOME,20,16,36,FedEx Field,7,3,0,10,0,31,24,31:24,21,7,10,4,65,248,3.8,2,28,92,3.3,1,31,19,156,1,1,5.0,8.2,61.3,71.44,12,4,33.3,0,0,0.0,5,2,0,0,8,70,2,2,6,46,6,11,6,266,44.3,3,2,-1,3,10,3,0,0,28,36,28:36,13,4,9,0,58,210,3.6,1,25,96,3.8,0,30,21,114,0,0,3.8,5.4,70.0,76.25,14,4,28.6,1,0,0.0,2,0,0,0,9,122,3,2,3,18,6,6,5,235,47.0,2,3,1,40.0,0,0.0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,3,40,24,3,18,3,1,2,42,26,6,46,7,2,2,Sunday,993003780,35,1,18492,4,1,-1,0.3333333333333333,0
202310210,2023-09-17T16:25:00,1,2023,2,WAS,DEN,AWAY,35,33,68,Empower Field at Mile High,3,11,7,14,0,33,45,33:45,26,11,11,4,66,388,5.9,4,23,122,5.3,2,39,27,266,2,0,6.8,9.9,69.2,105.29,10,3,30.0,1,1,100.0,3,3,0,0,8,71,2,0,4,33,14,5,3,168,56.0,0,2,2,14,7,3,9,0,26,15,26:15,21,10,8,3,62,399,6.4,4,23,122,5.3,1,32,18,277,3,1,8.7,15.4,56.2,103.26,12,4,33.3,2,2,100.0,4,2,0,0,9,58,1,1,7,31,8,6,3,134,44.7,2,0,-2,100.0,0,50.0,0,3,3,0,0,0,1,1,4,2,3,3,0,2,0,0,0,2,2,34,24,7,31,4,1,1,41,21,4,33,4,1,0,Sunday,993003833,35,10,18568,2,1,2,0.3,0
202310335,2023-09-24T13:00:00,1,2023,3,WAS,BUF,HOME,3,37,40,FedEx Field,0,0,0,3,0,25,21,25:21,15,5,8,2,51,230,4.5,0,13,105,8.1,0,29,19,125,0,4,4.3,6.6,65.5,35.06,9,1,11.1,1,0,0.0,2,0,0,0,2,15,1,1,9,45,1,4,3,150,50.0,5,1,-4,10,6,0,21,0,34,39,34:39,20,10,10,0,65,386,5.9,4,33,168,5.1,2,32,20,218,1,1,6.8,10.9,62.5,79.95,15,9,60.0,1,0,0.0,4,2,0,0,6,45,0,0,0,0,15,10,1,70,70.0,1,5,4,0.0,0,50.0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,3,3,44,25,0,0,8,0,0,31,21,9,45,5,1,1,Sunday,993003850,35,4,18461,-34,0,-4,0.1111111111111111,0
202310426,2023-10-01T13:00:00,1,2023,4,WAS,PHI,AWAY,31,34,65,Lincoln Financial Field,7,10,0,14,0,35,7,35:07,26,9,12,5,74,365,4.9,4,28,107,3.8,3,41,29,258,1,0,6.3,8.9,70.7,95.38,17,8,47.1,2,2,100.0,5,4,0,0,7,41,2,0,5,32,8,7,5,213,42.6,0,0,0,7,3,11,10,3,30,55,30:55,23,6,14,3,67,415,6.2,3,27,104,3.9,1,37,25,311,2,0,8.4,12.4,67.6,111.43,12,4,33.3,2,2,100.0,2,1,0,0,11,80,1,0,3,8,9,5,3,129,43.0,0,0,0,80.0,0,50.0,0,4,4,0,0,0,0,0,1,1,2,2,0,0,0,1,1,4,4,49,17,3,8,3,1,0,46,26,5,32,5,1,0,Sunday,993003885,35,26,18507,-3,0,0,0.4705882352941176,0
202310535,2023-10-05T20:15:00,1,2023,5,WAS,CHI,HOME,20,40,60,FedEx Field,0,3,11,6,0,29,56,29:56,23,1,21,1,66,388,5.9,2,10,29,2.9,0,51,37,359,2,1,7.0,9.7,72.5,96.77,12,6,50.0,1,0,0.0,3,2,0,0,1,5,1,1,5,29,9,2,2,103,51.5,2,0,-2,10,17,0,13,0,30,4,30:04,18,9,9,0,64,451,7.0,4,32,178,5.6,0,29,15,273,4,0,9.4,18.2,51.7,123.99,15,7,46.7,1,1,100.0,6,3,0,0,3,35,1,0,3,9,11,6,3,131,43.7,0,2,2,66.7,0,50.0,0,0,0,0,1,0,1,1,3,2,4,4,0,0,0,0,0,4,4,34,27,3,9,4,1,0,35,38,5,29,5,1,1,Thursday,993003906,35,6,18346,-20,0,-2,0.5,0
202310602,2023-10-15T13:00:00,1,2023,6,WAS,ATL,AWAY,24,16,40,Mercedes-Benz Stadium,3,14,7,0,0,23,37,23:37,13,3,9,1,50,193,3.9,3,22,72,3.3,0,23,14,121,3,0,5.3,8.6,60.9,114.31,10,2,20.0,1,1,100.0,3,2,0,0,6,40,0,0,5,30,6,2,6,260,43.3,0,3,3,7,3,0,6,0,36,23,36:23,25,5,18,2,79,402,5.1,2,29,106,3.7,0,47,28,296,2,3,6.3,10.6,59.6,65.56,15,5,33.3,3,1,33.3,3,2,0,0,4,31,0,0,3,11,10,4,3,140,46.7,3,0,-3,66.7,0,66.7,0,3,3,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,51,26,3,11,9,0,0,29,20,5,30,2,0,0,Sunday,993003945,35,2,18359,8,1,3,0.2,0
202310723,2023-10-22T13:00:00,1,2023,7,WAS,NYG,AWAY,7,14,21,MetLife Stadium,0,0,7,0,0,31,14,31:14,14,3,9,2,67,273,4.1,1,19,76,4.0,1,42,22,197,0,1,4.7,9.0,52.4,55.36,15,1,6.7,3,2,66.7,3,1,0,0,10,75,1,0,6,52,4,8,10,513,51.3,1,2,1,0,14,0,0,0,28,46,28:46,16,5,10,1,65,356,5.5,2,32,106,3.3,0,29,18,250,2,0,8.6,13.9,62.1,112.72,16,5,31.2,0,0,0.0,2,1,0,0,4,40,3,2,4,29,12,4,8,395,49.4,2,1,-1,33.3,0,50.0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,38,27,4,29,5,1,2,34,28,6,52,6,0,0,Sunday,993003967,35,23,18519,-7,0,1,0.0666666666666666,0
202310835,2023-10-29T13:00:00,1,2023,8,WAS,PHI,HOME,31,38,69,FedEx Field,7,10,0,14,0,31,29,31:29,26,5,20,1,69,472,6.8,4,16,84,5.2,0,52,39,388,4,1,7.5,9.9,75.0,113.3,12,7,58.3,3,0,0.0,2,2,0,0,7,79,1,0,1,9,4,3,2,96,48.0,1,2,1,3,7,7,21,0,28,31,28:31,21,3,17,1,62,374,6.0,5,22,59,2.7,1,38,29,315,4,0,8.3,10.9,76.3,135.31,13,8,61.5,1,1,100.0,5,3,0,0,3,14,2,2,2,4,6,4,2,117,58.5,2,1,-1,100.0,0,60.0,0,4,4,0,0,0,0,0,1,1,5,5,0,0,0,0,0,1,1,39,19,2,4,3,1,2,47,17,1,9,6,1,0,Sunday,993004008,35,26,18580,-7,0,1,0.5833333333333334,0
202310921,2023-11-05T13:00:00,1,2023,9,WAS,NE,AWAY,20,17,37,Gillette Stadium,0,0,0,0,20,37,10,37:10,23,8,14,1,77,432,5.6,2,29,124,4.3,1,45,29,308,1,1,6.8,10.6,64.4,82.45,17,9,52.9,0,0,0.0,4,1,0,0,4,30,1,1,3,17,1,1,5,239,47.8,2,1,-1,0,0,0,0,17,22,50,22:50,18,4,13,1,63,327,5.2,2,19,107,5.6,1,44,24,220,1,1,5.0,9.2,54.5,66.48,12,3,25.0,2,1,50.0,1,1,0,0,4,30,0,0,0,0,6,5,6,326,54.3,1,2,1,25.0,0,100.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,37,15,0,0,10,0,0,48,31,3,17,6,1,1,Sunday,993004027,35,21,18376,3,1,-1,0.5294117647058824,0
202311030,2023-11-12T16:25:00,1,2023,10,WAS,SEA,AWAY,26,29,55,Lumen Field,6,3,3,14,0,29,33,29:33,16,3,13,0,61,356,5.8,3,14,68,4.9,0,44,29,288,3,0,6.5,9.9,65.9,107.01,15,7,46.7,1,1,100.0,1,1,0,0,6,39,1,1,3,24,5,4,5,227,45.4,1,0,-1,3,6,7,13,0,30,27,30:27,27,7,16,4,74,489,6.6,2,26,120,4.6,0,47,31,369,2,0,7.9,11.9,66.0,103.95,14,4,28.6,1,1,100.0,2,1,0,0,8,50,0,0,1,0,6,3,4,181,45.2,0,1,1,100.0,0,50.0,0,3,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,5,5,49,25,1,0,5,0,0,36,16,3,24,7,1,1,Sunday,993004069,35,30,18395,-3,0,-1,0.4666666666666667,0
