gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410116,2024-09-05T20:40:00,1,2024,1,BAL,KC,AWAY,20,27,47,Arrowhead Stadium,7,3,0,10,0,33,43,33:43,25,13,11,1,74,452,6.1,2,32,185,5.8,1,41,26,267,1,0,6.5,10.3,63.4,90.19,14,7,50.0,2,1,50.0,4,1,0,0,7,64,1,1,1,6,7,2,2,75,37.5,1,1,0,7,6,7,7,0,26,17,26:17,21,4,15,2,50,353,7.1,3,20,72,3.6,2,28,20,281,1,1,10.0,14.0,71.4,100.45,9,4,44.4,0,0,0.0,3,1,0,0,6,45,0,0,2,10,1,3,3,144,48.0,1,1,0,25.0,0,33.3,0,2,2,0,0,0,0,0,3,2,3,3,0,0,0,0,0,2,2,31,18,2,10,4,0,0,48,23,1,6,4,1,1,Thursday,993004447,3,16,18684,-7,0,0,0.5,0
202410203,2024-09-15T13:00:00,1,2024,2,BAL,LV,HOME,23,26,49,M&T Bank Stadium,3,6,7,7,0,29,17,29:17,21,5,14,2,63,383,6.1,2,27,151,5.6,1,34,21,232,1,1,6.8,11.0,61.8,79.53,11,3,27.3,1,1,100.0,3,2,0,0,11,109,0,0,2,15,10,9,4,173,43.2,1,1,0,0,6,7,13,0,30,43,30:43,18,1,14,3,60,260,4.3,2,17,27,1.6,1,38,30,233,1,1,6.1,7.8,78.9,90.02,12,4,33.3,1,0,0.0,3,2,0,0,3,15,1,0,5,43,2,5,3,128,42.7,1,1,0,66.7,0,66.7,0,2,2,0,0,0,0,0,4,3,2,2,0,0,0,0,0,4,4,43,22,5,43,3,1,0,42,14,2,15,7,0,0,Sunday,993004500,3,25,18690,-3,0,0,0.2727272727272727,0
202410309,2024-09-22T16:25:00,1,2024,3,BAL,DAL,AWAY,28,25,53,AT&T Stadium,14,7,7,0,0,34,45,34:45,24,16,8,0,60,456,7.6,4,45,274,6.1,3,15,12,182,1,0,12.1,15.2,80.0,139.44,9,4,44.4,0,0,0.0,3,3,0,0,13,105,0,0,0,0,7,2,4,171,42.8,0,1,1,3,3,0,19,0,25,15,25:15,26,2,18,6,70,412,5.9,3,16,51,3.2,1,51,28,361,2,0,7.1,12.9,54.9,90.4,13,7,53.8,1,0,0.0,4,3,0,0,6,44,2,1,3,18,1,0,4,209,52.2,1,0,-1,100.0,0,75.0,0,4,4,0,0,0,0,0,1,0,1,1,0,4,0,0,0,2,2,36,19,3,18,9,1,1,39,30,0,0,0,0,0,Sunday,993004533,3,9,18705,3,1,1,0.4444444444444444,0
202410403,2024-09-29T20:20:00,1,2024,4,BAL,BUF,HOME,35,10,45,M&T Bank Stadium,7,14,7,7,0,31,3,31:03,22,11,9,2,54,427,7.9,5,34,271,8.0,3,19,14,156,2,0,8.2,11.1,73.7,132.79,9,5,55.6,0,0,0.0,4,4,0,0,8,79,2,1,1,1,8,5,4,177,44.2,1,1,0,3,0,7,0,0,28,57,28:57,12,5,6,1,57,236,4.1,1,23,81,3.5,1,31,17,155,0,0,5.0,9.1,54.8,68.62,13,3,23.1,1,1,100.0,2,1,0,0,4,38,2,1,3,27,3,6,6,289,48.2,1,1,0,100.0,0,50.0,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,27,31,3,27,2,1,1,39,24,1,1,1,2,1,Sunday,993004570,3,4,18719,25,1,0,0.5555555555555556,0
202410507,2024-10-06T13:00:00,1,2024,5,BAL,CIN,AWAY,41,38,79,Paycor Stadium,7,7,7,17,3,33,45,33:45,30,11,18,1,77,520,6.8,5,34,175,5.1,1,42,26,345,4,0,8.2,13.3,61.9,119.64,15,10,66.7,1,1,100.0,6,5,0,0,5,21,2,1,1,3,9,5,3,168,56.0,1,1,0,0,17,7,14,0,32,42,32:42,23,3,19,1,65,442,6.8,5,23,71,3.1,0,39,30,371,5,1,9.5,12.4,76.9,134.72,14,8,57.1,0,0,0.0,3,3,0,0,4,24,0,0,3,21,7,3,5,253,50.6,1,1,0,83.3,0,100.0,0,5,5,0,0,0,0,0,2,2,4,4,0,0,0,1,1,1,0,42,26,3,21,6,0,0,44,24,1,3,3,0,1,Sunday,993004589,3,7,18740,3,1,0,0.6666666666666666,0
202410603,2024-10-13T13:00:00,1,2024,6,BAL,WAS,HOME,30,23,53,M&T Bank Stadium,3,14,10,3,0,36,8,36:08,28,9,16,3,65,484,7.4,3,37,176,4.8,2,26,20,308,1,1,11.8,15.4,76.9,112.34,10,6,60.0,0,0,0.0,4,3,0,0,3,33,1,0,2,15,8,4,1,50,50.0,1,0,-1,3,7,3,10,0,23,52,23:52,18,1,16,1,56,305,5.4,2,18,52,2.9,0,35,24,253,2,0,7.2,10.5,68.6,108.39,12,4,33.3,1,1,100.0,3,2,0,0,6,46,0,0,3,16,4,5,3,127,42.3,0,1,1,75.0,0,66.7,0,3,3,0,0,0,0,0,3,3,2,2,0,0,0,0,0,4,3,38,15,3,16,5,0,0,42,27,2,15,3,0,0,Sunday,993004608,3,35,18753,7,1,-1,0.6,0
202410733,2024-10-21T20:15:00,1,2024,7,BAL,TB,AWAY,41,31,72,Raymond James Stadium,0,17,17,7,0,24,55,24:55,22,7,12,3,54,508,9.4,5,30,244,8.1,0,22,17,264,5,0,12.0,15.5,77.3,156.06,8,3,37.5,1,1,100.0,5,4,0,0,9,85,2,1,2,17,4,5,2,87,43.5,1,2,1,10,0,0,21,0,35,5,35:05,28,7,19,2,78,481,6.2,4,30,125,4.2,1,45,31,356,3,2,7.9,11.5,68.9,96.16,17,11,64.7,1,1,100.0,5,3,0,0,8,75,1,0,3,14,2,6,2,93,46.5,2,1,-1,80.0,0,60.0,0,5,5,0,0,0,0,0,2,2,2,2,0,3,1,0,0,2,1,49,30,3,14,5,1,0,37,18,2,17,1,0,1,Monday,993004657,3,33,18762,10,1,1,0.375,0
202410808,2024-10-27T13:00:00,1,2024,8,BAL,CLE,AWAY,24,29,53,Huntington Bank Field,0,10,7,7,0,28,54,28:54,22,5,14,3,62,387,6.2,3,21,124,5.9,1,38,23,263,2,0,6.9,11.4,60.5,98.9,10,2,20.0,2,0,0.0,4,3,0,0,7,53,0,0,3,26,8,6,4,209,52.2,0,1,1,3,3,14,9,0,31,6,31:06,22,5,16,1,66,401,6.1,3,23,80,3.5,0,41,27,321,3,0,7.8,11.9,65.9,113.97,15,8,53.3,0,0,0.0,2,0,0,0,7,74,1,1,2,13,7,7,3,146,48.7,1,0,-1,75.0,0,0.0,0,3,3,0,0,0,0,0,2,1,2,2,0,2,0,0,0,3,3,42,21,2,13,5,1,1,37,21,3,26,6,0,0,Sunday,993004667,3,8,18783,-5,0,1,0.2,0
202410903,2024-11-03T13:00:00,1,2024,9,BAL,DEN,HOME,41,10,51,M&T Bank Stadium,7,17,14,3,0,31,51,31:51,25,8,12,5,54,396,7.3,5,34,127,3.7,2,19,16,269,3,0,14.2,16.8,84.2,158.33,8,3,37.5,0,0,0.0,6,4,0,0,6,53,2,0,1,11,5,5,2,98,49.0,0,1,1,0,10,0,0,0,28,9,28:09,20,6,10,4,68,319,4.7,1,30,122,4.1,0,34,20,197,1,1,5.8,9.8,58.8,72.79,14,6,42.9,5,1,20.0,4,1,0,0,9,71,0,0,4,28,1,4,2,96,48.0,1,0,-1,66.7,0,25.0,0,5,5,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,43,24,4,28,7,0,0,36,29,1,11,1,1,0,Sunday,993004700,3,10,18798,31,1,1,0.375,0
202411003,2024-11-07T20:15:00,1,2024,10,BAL,CIN,HOME,35,34,69,M&T Bank Stadium,0,7,7,21,0,28,25,28:25,20,5,14,1,58,389,6.7,5,25,99,4.0,1,33,25,290,4,0,8.8,11.6,75.8,141.41,12,7,58.3,0,0,0.0,4,4,0,0,11,81,0,0,0,0,13,3,5,231,46.2,0,1,1,7,7,7,13,0,31,35,31:35,27,2,21,4,75,470,6.3,5,16,49,3.1,1,56,34,421,4,0,7.5,12.4,60.7,107.81,16,8,50.0,4,2,50.0,3,3,0,0,3,23,3,1,3,7,1,4,3,124,41.3,1,0,-1,100.0,0,100.0,0,4,3,0,0,0,1,1,0,0,4,4,0,2,0,0,0,0,0,37,20,3,7,7,2,1,33,23,0,0,4,0,0,Thursday,993004724,3,7,18820,1,1,1,0.5833333333333334,0
