gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410106,2024-09-08T13:00:00,1,2024,1,CHI,TEN,HOME,24,17,41,Soldier Field,0,3,7,14,0,25,6,25:06,11,6,5,0,53,148,2.8,2,22,84,3.8,0,29,14,64,0,0,2.2,4.6,48.3,54.81,13,2,15.4,2,2,100.0,1,0,0,0,7,55,3,1,2,29,10,8,6,270,45.0,1,3,2,7,10,0,0,0,34,54,34:54,16,9,6,1,61,244,4.0,2,26,140,5.4,1,32,19,104,1,2,3.2,5.5,59.4,49.48,14,3,21.4,2,1,50.0,2,1,0,0,8,50,1,1,3,23,4,8,5,268,53.6,3,1,-2,0.0,0,50.0,0,1,1,0,2,1,0,0,3,3,2,2,0,0,0,0,0,1,1,41,21,3,23,4,1,1,34,17,2,29,5,1,1,Sunday,993004454,6,34,18677,7,1,2,0.1538461538461538,0
202410213,2024-09-15T20:20:00,1,2024,2,CHI,HOU,AWAY,13,19,32,NRG Stadium,3,7,0,3,0,31,13,31:13,15,3,7,5,66,205,3.1,1,22,71,3.2,1,37,23,134,0,2,3.6,5.8,62.2,46.45,17,6,35.3,2,1,50.0,1,1,0,0,9,60,0,0,7,40,4,6,6,284,47.3,2,1,-1,3,13,0,3,0,28,47,28:47,15,4,11,0,61,310,5.1,1,22,75,3.4,0,36,23,235,1,0,6.5,10.2,63.9,91.78,14,4,28.6,1,1,100.0,2,1,0,0,12,115,1,1,3,25,11,9,6,267,44.5,1,2,1,100.0,0,50.0,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,4,4,43,17,3,25,5,1,1,46,18,7,40,3,0,0,Sunday,993004507,6,13,18686,-6,0,-1,0.3529411764705882,0
202410314,2024-09-22T13:00:00,1,2024,3,CHI,IND,AWAY,16,21,37,Lucas Oil Stadium,0,0,3,13,0,35,1,35:01,26,4,18,4,84,395,4.7,2,28,63,2.2,0,52,33,332,2,2,6.4,10.1,63.5,78.37,21,9,42.9,5,4,80.0,3,2,0,0,4,25,1,1,4,31,3,3,3,127,42.3,3,2,-1,0,7,7,7,0,24,59,24:59,15,9,4,2,54,306,5.7,3,33,150,4.5,3,20,10,156,0,2,7.8,15.6,50.0,36.67,12,3,25.0,1,0,0.0,3,2,0,0,9,78,0,0,1,11,6,7,5,245,49.0,2,3,1,66.7,0,66.7,0,1,1,0,2,0,0,0,2,1,3,3,0,0,0,0,0,0,0,31,23,1,11,5,0,0,49,39,4,31,5,1,1,Sunday,993004513,6,14,18710,-5,0,-1,0.4285714285714285,0
202410406,2024-09-29T13:00:00,1,2024,4,CHI,LAR,HOME,24,18,42,Soldier Field,0,10,7,7,0,28,58,28:58,17,7,7,3,54,264,4.9,3,28,131,4.7,2,23,17,133,1,0,5.8,7.8,73.9,102.26,9,3,33.3,0,0,0.0,4,2,0,0,10,84,1,0,3,24,6,7,5,277,55.4,0,2,2,3,3,3,9,0,31,2,31:02,21,8,11,2,58,322,5.6,1,26,119,4.6,1,29,20,203,0,1,7.0,10.2,69.0,74.35,11,5,45.5,0,0,0.0,4,1,0,0,6,44,1,1,3,21,3,4,1,67,67.0,2,0,-2,50.0,0,25.0,0,3,3,0,0,0,0,0,1,1,0,0,0,2,0,0,0,5,4,40,20,3,21,3,1,1,32,28,3,24,0,1,0,Sunday,993004552,6,32,18726,6,1,2,0.3333333333333333,0
202410506,2024-10-06T13:00:00,1,2024,5,CHI,CAR,HOME,36,10,46,Soldier Field,7,20,3,6,0,33,48,33:48,24,11,12,1,69,424,6.1,5,39,128,3.3,3,29,20,296,2,0,10.2,14.8,69.0,125.07,11,4,36.4,1,0,0.0,4,3,0,0,5,46,0,0,1,8,10,3,4,178,44.5,0,3,3,7,0,3,0,0,26,12,26:12,14,4,9,1,58,292,5.0,1,19,120,6.3,1,35,22,172,0,1,4.9,7.8,62.9,63.04,12,3,25.0,3,1,33.3,2,0,0,0,4,18,4,2,4,22,2,2,4,206,51.5,3,0,-3,75.0,0,0.0,0,4,3,0,2,0,0,0,1,1,1,1,0,0,0,0,0,2,1,36,18,4,22,6,2,2,40,34,1,8,2,0,0,Sunday,993004584,6,5,18739,26,1,3,0.3636363636363636,0
202410606,2024-10-13T09:30:00,1,2024,6,CHI,JAX,HOME,35,16,51,Tottenham Hotspur Stadium,0,14,7,14,0,30,40,30:40,25,8,14,3,61,373,6.1,5,29,152,5.2,1,29,23,221,4,1,7.6,9.6,79.3,123.64,11,5,45.5,1,1,100.0,4,4,0,0,2,10,1,0,3,5,8,4,2,123,61.5,1,2,1,3,0,7,6,0,29,20,29:20,17,3,14,0,60,278,4.6,2,20,68,3.4,0,36,24,210,2,1,5.8,8.8,66.7,88.89,15,7,46.7,2,2,100.0,3,2,0,0,8,43,2,1,4,30,5,3,4,193,48.2,2,1,-1,100.0,0,66.7,0,5,5,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,1,42,23,4,30,6,2,1,38,25,3,5,2,1,0,Sunday,993004606,6,15,18759,19,1,1,0.4545454545454545,0
202410835,2024-10-27T16:25:00,1,2024,8,CHI,WAS,AWAY,15,18,33,Northwest Stadium,0,0,7,8,0,27,44,27:44,15,8,6,1,60,307,5.1,2,33,202,6.1,2,24,10,105,0,0,4.4,10.5,41.7,55.03,12,2,16.7,1,0,0.0,2,1,0,0,8,60,1,1,3,26,7,6,7,341,48.7,1,0,-1,6,3,3,6,0,32,16,32:16,23,6,15,2,72,481,6.7,1,32,168,5.2,0,38,21,313,1,0,8.2,14.9,55.3,91.23,15,5,33.3,0,0,0.0,3,0,0,0,5,30,1,0,2,13,8,5,5,214,42.8,0,1,1,50.0,0,0.0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,4,45,28,2,13,2,1,0,38,16,3,26,1,0,1,Sunday,993004683,6,35,18790,-3,0,-1,0.1666666666666666,0
202410901,2024-11-03T16:05:00,1,2024,9,CHI,ARI,AWAY,9,29,38,State Farm Stadium,0,9,0,0,0,31,1,31:01,16,5,10,1,70,241,3.4,0,23,69,3.0,0,41,22,172,0,0,4.2,7.8,53.7,64.28,14,3,21.4,4,2,50.0,1,0,0,0,6,33,1,0,6,45,3,5,4,218,54.5,0,2,2,7,14,3,5,0,28,59,28:59,18,10,7,1,57,350,6.1,3,34,213,6.3,3,20,13,137,0,0,6.8,10.5,65.0,84.79,13,5,38.5,1,0,0.0,3,2,0,0,2,15,2,2,3,17,12,5,4,187,46.8,2,0,-2,0.0,0,66.7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,2,2,36,27,3,17,3,1,2,43,21,6,45,4,1,0,Sunday,993004711,6,1,18796,-20,0,2,0.2142857142857142,0
202411006,2024-11-10T13:00:00,1,2024,10,CHI,NE,HOME,3,19,22,Soldier Field,0,3,0,0,0,27,32,27:32,11,4,6,1,59,142,2.4,0,20,73,3.6,0,30,16,69,0,0,2.3,4.3,53.3,59.03,14,1,7.1,4,2,50.0,1,0,0,0,5,25,0,0,9,51,7,0,8,335,41.9,0,1,1,3,10,0,6,0,32,28,32:28,16,7,9,0,61,328,5.4,1,35,144,4.1,0,25,15,184,1,1,7.4,12.3,60.0,79.42,14,5,35.7,1,1,100.0,5,1,0,0,7,40,2,0,1,0,13,13,5,285,57.0,1,0,-1,0.0,0,20.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,39,28,1,0,4,0,0,38,12,9,51,5,0,0,Sunday,993004728,6,21,18812,-16,0,1,0.0714285714285714,0
202411106,2024-11-17T13:00:00,1,2024,11,CHI,GB,HOME,19,20,39,Soldier Field,3,7,9,0,0,36,21,36:21,23,10,12,1,68,391,5.8,2,34,179,5.3,2,31,23,212,0,0,6.8,9.2,74.2,92.41,16,9,56.2,3,3,100.0,2,1,0,0,7,50,0,0,3,19,2,5,2,83,41.5,0,1,1,7,0,7,6,0,23,39,23:39,19,8,10,1,43,366,8.5,3,25,106,4.2,2,17,13,260,1,1,15.3,20.0,76.5,112.99,5,1,20.0,1,0,0.0,5,3,0,0,3,25,0,0,1,1,6,4,1,47,47.0,1,0,-1,50.0,0,60.0,0,1,1,0,2,0,0,0,3,2,2,2,0,1,0,0,0,0,0,24,28,1,1,2,0,0,46,27,3,19,1,0,0,Sunday,993004756,6,12,18827,-1,0,1,0.5625,0
