gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510102,2025-09-07T13:00:00,1,2025,1,ATL,TB,HOME,20,23,43,Mercedes-Benz Stadium,7,3,3,7,0,35,12,35:12,23,4,16,3,71,358,5.0,2,28,69,2.5,1,42,27,289,1,0,6.9,10.7,64.3,92.26,15,6,40.0,4,3,75.0,2,1,0,0,8,55,1,0,1,9,3,2,3,140,46.7,0,0,0,0,10,7,6,0,24,48,24:48,16,5,10,1,56,260,4.6,3,23,101,4.4,0,32,17,159,3,0,5.0,9.4,53.1,98.31,14,7,50.0,1,1,100.0,1,1,0,0,5,60,0,0,1,8,5,7,4,205,51.2,0,0,0,50.0,0,100.0,0,2,2,0,0,0,0,0,3,2,3,2,0,0,0,0,0,2,1,26,27,1,8,7,0,0,43,27,1,9,7,0,0,Sunday,993005136,2,33,19055,-3,0,0,0.4,0
202510220,2025-09-14T20:20:00,1,2025,2,ATL,MIN,AWAY,22,6,28,U.S. Bank Stadium,6,3,3,10,0,36,32,36:32,19,12,5,2,63,326,5.2,1,39,218,5.6,1,21,13,108,0,0,5.1,8.3,61.9,75.1,15,6,40.0,0,0,0.0,5,1,0,0,5,29,1,1,3,27,11,5,3,137,45.7,1,4,3,0,6,0,0,0,23,28,23:28,10,3,7,0,46,198,4.3,0,19,78,4.1,0,21,11,120,0,2,5.7,10.9,52.4,29.96,11,4,36.4,2,1,50.0,1,0,0,0,8,50,4,2,6,38,5,6,4,204,51.0,4,1,-3,20.0,0,0.0,0,1,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,2,29,28,6,38,4,1,2,40,32,3,27,1,1,1,Sunday,993005175,2,20,19096,16,1,3,0.4,0
202510305,2025-09-21T13:00:00,1,2025,3,ATL,CAR,AWAY,0,30,30,Bank of America Stadium,0,0,0,0,0,28,2,28:02,17,6,11,0,66,332,5.0,0,23,131,5.7,0,43,23,201,0,2,4.7,8.7,53.5,46.75,13,5,38.5,3,0,0.0,0,0,0,0,3,23,1,1,0,0,3,4,3,96,32.0,3,1,-2,7,3,10,10,0,31,58,31:58,15,7,7,1,55,224,4.1,3,30,110,3.7,2,24,16,114,0,0,4.8,7.1,66.7,77.43,11,3,27.3,2,2,100.0,3,2,0,0,6,55,1,1,1,7,2,2,3,135,45.0,1,3,2,0.0,0,66.7,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,3,3,36,22,1,7,3,0,1,38,20,0,0,3,1,1,Sunday,993005195,2,5,19100,-30,0,-2,0.3846153846153846,0
202510402,2025-09-28T13:00:00,1,2025,4,ATL,WAS,HOME,34,27,61,Mercedes-Benz Stadium,10,7,14,3,0,34,15,34:15,24,9,14,1,64,435,6.8,4,37,128,3.5,2,26,20,307,2,1,11.8,15.4,76.9,125.0,12,6,50.0,1,1,100.0,6,4,0,0,5,45,2,0,1,6,6,4,2,92,46.0,1,1,0,0,10,6,11,0,25,45,25:45,17,7,8,2,51,294,5.8,2,22,147,6.7,0,27,16,147,2,1,5.4,9.2,59.3,83.41,8,1,12.5,2,2,100.0,1,1,0,0,6,50,4,0,2,9,2,7,2,89,44.5,1,1,0,66.7,0,100.0,0,4,4,0,0,0,0,0,2,2,1,1,0,2,1,0,0,4,4,30,26,2,9,3,2,0,34,40,1,6,1,1,0,Sunday,993005226,2,35,19116,7,1,0,0.5,0
202510602,2025-10-13T19:15:00,1,2025,6,ATL,BUF,HOME,24,14,38,Mercedes-Benz Stadium,14,7,0,3,0,31,39,31:39,22,9,10,3,66,443,6.7,3,32,210,6.6,2,32,20,233,1,0,7.3,11.6,62.5,94.92,12,5,41.7,1,0,0.0,3,1,0,0,6,35,0,0,2,17,6,3,4,180,45.0,0,2,2,7,0,7,0,0,28,21,28:21,17,7,8,2,54,291,5.4,2,24,134,5.6,0,26,15,157,2,2,6.0,10.5,57.7,68.91,9,2,22.2,1,0,0.0,3,2,0,0,8,64,2,0,4,23,4,9,6,273,45.5,2,0,-2,33.3,0,66.7,0,3,3,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,27,27,4,23,9,1,0,37,27,2,17,5,0,0,Monday,993005300,2,4,19155,10,1,2,0.4166666666666667,0
202510731,2025-10-19T20:20:00,1,2025,7,ATL,SF,AWAY,10,20,30,Levi's Stadium,0,3,7,0,0,27,50,27:50,19,3,13,3,60,292,4.9,1,20,62,3.1,0,38,21,230,1,0,6.1,11.0,55.3,82.13,11,5,45.5,2,0,0.0,2,1,0,0,6,43,1,1,2,11,4,7,3,152,50.7,1,1,0,0,10,3,7,0,32,10,32:10,23,12,10,1,66,324,4.9,2,39,174,4.5,2,26,17,150,0,1,5.8,8.8,65.4,64.58,15,9,60.0,0,0,0.0,2,2,0,0,3,25,0,0,1,2,5,4,3,143,47.7,1,1,0,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,36,36,1,2,2,0,0,29,24,2,11,2,1,1,Sunday,993005327,2,31,19168,-10,0,0,0.4545454545454545,0
202510802,2025-10-26T13:00:00,1,2025,8,ATL,MIA,HOME,10,34,44,Mercedes-Benz Stadium,0,3,0,7,0,22,2,22:02,11,3,7,1,49,213,4.3,1,17,45,2.6,1,31,21,168,0,0,5.4,8.0,67.7,81.12,11,2,18.2,4,2,50.0,2,1,0,0,8,76,1,1,1,5,2,5,4,185,46.2,1,0,-1,7,10,7,10,0,37,58,37:58,24,11,10,3,65,338,5.2,4,37,141,3.8,0,27,21,197,4,0,7.3,9.4,77.8,136.65,13,6,46.2,2,1,50.0,5,3,0,0,4,54,0,0,1,8,4,4,3,148,49.3,0,1,1,50.0,0,60.0,0,1,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,2,36,40,1,8,3,0,0,27,19,1,5,2,0,1,Sunday,993005342,2,19,19172,-24,0,-1,0.1818181818181818,0
202510921,2025-11-02T13:00:00,1,2025,9,ATL,NE,AWAY,23,24,47,Gillette Stadium,7,7,0,9,0,25,55,25:55,17,3,13,1,54,288,5.3,3,16,71,4.4,0,37,22,217,3,0,5.9,9.9,59.5,103.1,10,1,10.0,3,2,66.7,3,3,0,0,5,40,1,0,1,4,6,7,5,217,43.4,0,2,2,7,14,3,0,0,34,5,34:05,23,9,14,0,68,331,4.9,3,33,110,3.3,1,29,19,221,2,1,7.6,11.6,65.5,97.05,12,8,66.7,0,0,0.0,4,3,0,0,2,15,2,1,6,38,4,2,3,150,50.0,2,0,-2,100.0,0,75.0,0,3,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,43,18,6,38,3,2,1,25,16,1,4,5,1,0,Sunday,993005373,2,21,19074,-1,0,2,0.1,0
202511014,2025-11-09T09:30:00,1,2025,10,ATL,IND,AWAY,25,31,56,Olympiastadion,7,7,3,8,0,26,9,26:09,22,10,10,2,60,290,4.8,3,29,140,4.8,2,28,12,150,1,0,5.4,12.5,42.9,72.02,8,0,0.0,0,0,0.0,3,3,0,0,3,35,1,1,3,27,7,9,6,263,43.8,1,2,1,13,0,0,12,6,40,20,40:20,25,15,10,0,74,519,7.0,4,41,323,7.9,3,26,19,196,1,1,7.5,10.3,73.1,91.19,12,2,16.7,4,2,50.0,4,2,0,0,7,56,4,1,7,59,3,4,1,44,44.0,2,1,-1,100.0,0,50.0,0,2,2,0,2,1,0,0,1,1,2,1,0,2,0,0,0,3,2,42,43,7,59,5,4,1,27,27,3,27,3,1,1,Sunday,993005389,2,14,19050,-6,0,1,0.0,0
202511102,2025-11-16T13:00:00,1,2025,11,ATL,CAR,HOME,27,30,57,Mercedes-Benz Stadium,7,14,0,6,0,27,43,27:43,23,8,11,4,58,348,6.0,3,28,125,4.5,3,30,19,223,0,0,7.4,11.7,63.3,85.83,11,4,36.4,0,0,0.0,3,3,0,0,6,44,3,1,0,0,10,6,5,255,51.0,1,0,-1,7,3,9,8,3,37,7,37:07,22,2,20,0,75,486,6.5,3,25,67,2.7,0,45,31,419,3,0,9.3,13.5,68.9,120.51,17,6,35.3,5,3,60.0,6,2,0,0,8,49,0,0,5,29,1,2,3,140,46.7,0,1,1,100.0,0,33.3,0,3,3,0,0,0,0,0,2,2,1,1,0,3,1,0,0,3,3,49,14,5,29,7,0,0,23,43,0,0,5,1,1,Sunday,993005429,2,5,19197,-3,0,-1,0.3636363636363636,0
