gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510104,2025-09-07T20:20:00,1,2025,1,BUF,BAL,HOME,41,40,81,Highmark Stadium,7,6,6,22,0,34,49,34:49,29,9,18,2,78,497,6.4,5,31,108,3.5,3,46,33,389,2,0,8.5,11.8,71.7,111.59,15,7,46.7,1,1,100.0,7,5,0,0,5,38,1,0,1,5,4,5,4,158,39.5,0,1,1,3,17,14,6,0,25,11,25:11,19,10,8,1,50,432,8.6,5,29,238,8.2,3,19,14,194,2,0,10.2,13.9,73.7,141.12,11,6,54.5,0,0,0.0,3,1,0,0,7,51,2,1,2,15,3,3,3,152,50.7,1,0,-1,71.4,0,33.3,0,2,2,0,6,0,0,0,3,3,5,4,0,0,0,0,0,2,2,38,6,2,15,1,2,1,47,22,1,5,4,1,0,Sunday,993005146,4,3,19067,1,1,1,0.4666666666666667,0
202510224,2025-09-14T13:00:00,1,2025,2,BUF,NYJ,AWAY,30,10,40,MetLife Stadium,10,10,3,7,0,38,21,38:21,25,12,9,4,71,403,5.7,3,43,224,5.2,3,27,15,179,0,0,6.6,11.9,55.6,76.0,14,5,35.7,2,2,100.0,4,2,0,0,6,69,1,0,1,1,7,5,3,130,43.3,0,1,1,0,3,0,7,0,21,39,21:39,11,5,5,1,47,154,3.3,1,21,100,4.8,0,22,10,54,1,0,2.5,5.4,45.5,67.61,11,0,0.0,3,3,100.0,1,1,0,0,5,35,3,1,4,29,2,4,7,340,48.6,1,0,-1,50.0,0,100.0,0,3,3,0,0,0,0,0,3,3,1,1,0,0,0,0,0,1,1,28,16,4,29,4,3,1,38,32,1,1,6,1,0,Sunday,993005163,4,24,19090,20,1,1,0.3571428571428571,0
202510304,2025-09-18T20:15:00,1,2025,3,BUF,MIA,HOME,31,21,52,Highmark Stadium,7,7,7,10,0,31,47,31:47,23,8,12,3,57,360,6.3,4,27,157,5.8,1,28,22,203,3,0,7.2,9.2,78.6,132.59,11,6,54.5,0,0,0.0,4,3,0,0,3,35,2,0,2,10,1,5,2,95,47.5,0,1,1,7,7,0,7,0,28,13,28:13,19,8,11,0,59,276,4.7,3,25,130,5.2,1,34,22,146,2,1,4.3,6.6,64.7,81.25,15,10,66.7,1,1,100.0,3,3,0,0,6,57,1,0,0,0,2,2,4,200,50.0,1,0,-1,75.0,0,100.0,0,4,4,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,37,19,0,0,3,0,0,42,12,2,10,3,0,0,Thursday,993005182,4,19,19099,10,1,1,0.5454545454545454,0
202510404,2025-09-28T13:00:00,1,2025,4,BUF,NO,HOME,31,19,50,Highmark Stadium,14,0,7,10,0,31,21,31:21,20,9,10,1,57,356,6.2,4,32,165,5.2,2,22,16,191,2,1,8.7,11.9,72.7,110.23,10,3,30.0,1,0,0.0,3,2,0,0,11,55,0,0,3,18,4,5,2,83,41.5,1,1,0,7,3,6,3,0,28,39,28:39,22,14,7,1,65,298,4.6,2,34,189,5.6,1,28,18,109,1,1,3.9,6.1,64.3,68.9,13,5,38.5,2,0,0.0,4,2,0,0,4,41,1,0,3,17,7,5,3,142,47.3,1,1,0,66.7,0,50.0,0,4,4,0,0,0,0,0,1,1,1,1,0,1,0,0,0,2,2,45,15,3,17,2,1,0,41,13,3,18,4,0,0,Sunday,993005228,4,22,19117,12,1,0,0.3,0
202510504,2025-10-05T20:20:00,1,2025,5,BUF,NE,HOME,20,23,43,Highmark Stadium,0,3,7,10,0,34,31,34:31,25,5,16,4,61,363,6.0,2,29,118,4.1,0,31,22,245,2,1,7.9,11.1,71.0,102.22,9,5,55.6,0,0,0.0,4,2,0,0,11,90,2,2,1,8,8,6,2,70,35.0,3,1,-2,3,3,7,10,0,25,29,25:29,21,5,13,3,56,338,6.0,2,22,71,3.2,2,30,22,267,0,0,8.9,12.1,73.3,100.28,9,3,33.3,0,0,0.0,4,2,0,0,8,93,2,1,4,6,5,2,4,191,47.8,1,3,2,50.0,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,39,11,4,6,1,1,1,37,25,1,8,3,1,2,Sunday,993005270,4,21,19141,-3,0,-2,0.5555555555555556,0
202510602,2025-10-13T19:15:00,1,2025,6,BUF,ATL,AWAY,14,24,38,Mercedes-Benz Stadium,7,0,7,0,0,28,21,28:21,17,7,8,2,54,291,5.4,2,24,134,5.6,0,26,15,157,2,2,6.0,10.5,57.7,68.91,9,2,22.2,1,0,0.0,3,2,0,0,8,64,2,0,4,23,4,9,6,273,45.5,2,0,-2,14,7,0,3,0,31,39,31:39,22,9,10,3,66,443,6.7,3,32,210,6.6,2,32,20,233,1,0,7.3,11.6,62.5,94.92,12,5,41.7,1,0,0.0,3,1,0,0,6,35,0,0,2,17,6,3,4,180,45.0,0,2,2,66.7,0,33.3,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,37,27,2,17,5,0,0,27,27,4,23,9,1,0,Monday,993005299,4,2,19155,-10,0,-2,0.2222222222222222,0
202510805,2025-10-26T13:00:00,1,2025,8,BUF,CAR,AWAY,40,9,49,Bank of America Stadium,3,16,21,0,0,33,32,33:32,23,12,10,1,60,410,6.8,5,35,245,7.0,4,23,14,165,1,0,7.2,11.8,60.9,97.19,12,7,58.3,0,0,0.0,3,2,0,0,7,60,0,0,2,20,9,7,3,146,48.7,0,3,3,0,3,0,6,0,26,28,26:28,19,5,11,3,59,244,4.1,1,28,114,4.1,1,24,16,130,0,1,5.4,8.1,66.7,62.85,11,4,36.4,1,1,100.0,2,1,0,0,4,20,3,2,7,45,3,4,4,211,52.8,3,0,-3,66.7,0,50.0,0,5,4,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,1,34,28,7,45,1,2,2,33,31,2,20,4,0,0,Sunday,993005339,4,5,19174,31,1,3,0.5833333333333334,0
202510904,2025-11-02T16:25:00,1,2025,9,BUF,KC,HOME,28,21,49,Highmark Stadium,7,14,7,0,0,34,45,34:45,23,9,13,1,64,404,6.3,4,35,141,4.0,3,26,23,263,1,0,10.1,11.4,88.5,121.63,12,7,58.3,1,0,0.0,3,3,0,0,4,40,0,0,3,10,15,5,3,126,42.0,0,1,1,0,13,0,8,0,25,15,25:15,16,5,10,1,57,305,5.4,2,20,79,4.0,2,34,15,226,0,1,6.6,15.1,44.1,54.29,13,3,23.1,3,2,66.7,3,2,0,0,3,25,0,0,3,24,6,3,3,146,48.7,1,0,-1,100.0,0,66.7,0,4,4,0,0,0,0,0,1,0,1,1,0,2,1,0,0,2,2,24,22,3,24,5,0,0,35,42,3,10,1,0,0,Sunday,993005382,4,16,19080,7,1,1,0.5833333333333334,0
202511019,2025-11-09T13:00:00,1,2025,10,BUF,MIA,AWAY,13,30,43,Hard Rock Stadium,0,0,0,13,0,31,23,31:23,20,4,12,4,65,376,5.8,2,22,87,4.0,0,40,28,289,2,1,7.2,10.3,70.0,96.77,15,5,33.3,2,1,50.0,1,0,0,0,6,67,2,2,3,17,2,6,4,217,54.2,3,2,-1,7,9,0,14,0,28,37,28:37,19,9,9,1,53,370,7.0,4,32,197,6.2,2,21,15,173,2,2,8.2,11.5,71.4,88.1,9,3,33.3,0,0,0.0,1,1,0,0,5,35,0,0,0,0,7,6,3,153,51.0,2,3,1,0.0,0,100.0,0,1,1,0,2,0,0,0,0,0,4,3,0,0,0,0,0,1,1,30,23,0,0,4,0,0,40,24,3,17,4,2,2,Sunday,993005391,4,19,19188,-17,0,-1,0.3333333333333333,0
202511104,2025-11-16T13:00:00,1,2025,11,BUF,TB,HOME,44,32,76,Highmark Stadium,7,14,10,13,0,24,53,24:53,19,4,13,2,53,414,7.8,6,23,97,4.2,3,30,19,317,3,2,10.6,16.7,63.3,104.44,11,6,54.5,2,1,50.0,4,3,0,0,7,45,2,1,0,0,3,3,2,83,41.5,3,2,-1,3,17,6,6,0,35,7,35:07,21,13,6,2,68,367,5.4,4,39,202,5.2,3,28,16,165,1,1,5.9,10.3,57.1,71.28,16,9,56.2,1,1,100.0,4,2,0,0,2,30,1,1,1,8,1,3,4,161,40.2,2,3,1,75.0,0,50.0,0,5,5,0,2,0,0,0,1,1,2,2,0,3,0,0,0,2,2,35,34,1,8,6,1,1,26,17,0,0,6,2,1,Sunday,993005420,4,33,19198,12,1,-1,0.5454545454545454,0
