gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510115,2025-09-07T13:00:00,1,2025,1,CAR,JAX,AWAY,10,26,36,EverBank Stadium,3,0,0,7,0,29,0,29:00,15,5,8,2,61,255,4.2,1,25,113,4.5,0,35,18,142,1,2,4.1,7.9,51.4,47.56,15,8,53.3,2,0,0.0,1,0,0,0,4,35,1,1,1,12,1,1,2,86,43.0,3,1,-2,3,17,0,6,0,31,0,31:00,19,10,9,0,63,378,6.0,2,32,200,6.2,1,31,19,178,1,1,5.7,9.4,61.3,74.4,12,5,41.7,2,2,100.0,5,2,0,0,11,93,0,0,0,0,5,2,2,111,55.5,1,3,2,0.0,0,40.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,4,41,19,0,0,4,0,0,27,30,1,12,9,1,1,Sunday,993005129,5,15,19058,-16,0,-2,0.5333333333333333,0
202510201,2025-09-14T16:05:00,1,2025,2,CAR,ARI,AWAY,22,27,49,State Farm Stadium,3,0,6,13,0,33,15,33:15,26,4,19,3,77,352,4.6,3,19,49,2.6,0,55,35,303,3,1,5.5,8.7,63.6,88.67,15,5,33.3,4,3,75.0,4,3,0,0,7,83,1,1,3,25,4,4,2,95,47.5,2,1,-1,10,10,7,0,0,26,45,26:45,16,5,10,1,48,293,6.1,3,22,82,3.7,1,25,17,211,1,1,8.4,12.4,68.0,90.58,9,3,33.3,1,1,100.0,4,2,0,0,12,96,0,0,1,9,10,6,2,123,61.5,1,2,1,75.0,0,50.0,0,1,1,0,2,0,0,0,1,1,3,3,0,0,0,0,0,2,2,30,22,1,9,5,0,0,42,29,3,25,9,1,1,Sunday,993005169,5,1,19093,-5,0,-1,0.3333333333333333,0
202510305,2025-09-21T13:00:00,1,2025,3,CAR,ATL,HOME,30,0,30,Bank of America Stadium,7,3,10,10,0,31,58,31:58,15,7,7,1,55,224,4.1,3,30,110,3.7,2,24,16,114,0,0,4.8,7.1,66.7,77.43,11,3,27.3,2,2,100.0,3,2,0,0,6,55,1,1,1,7,2,2,3,135,45.0,1,3,2,0,0,0,0,0,28,2,28:02,17,6,11,0,66,332,5.0,0,23,131,5.7,0,43,23,201,0,2,4.7,8.7,53.5,46.75,13,5,38.5,3,0,0.0,0,0,0,0,3,23,1,1,0,0,3,4,3,96,32.0,3,1,-2,66.7,0,0.0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,38,20,0,0,3,1,1,36,22,1,7,3,0,1,Sunday,993005196,5,2,19100,30,1,2,0.2727272727272727,0
202510421,2025-09-28T13:00:00,1,2025,4,CAR,NE,AWAY,13,42,55,Gillette Stadium,6,0,0,7,0,35,14,35:14,21,8,11,2,65,326,5.0,2,28,129,4.6,0,36,23,197,2,0,5.5,8.6,63.9,96.64,14,5,35.7,3,1,33.3,2,2,0,0,5,29,1,0,1,11,1,1,5,231,46.2,0,0,0,7,21,7,7,0,24,46,24:46,16,7,8,1,48,307,6.4,6,29,104,3.6,3,18,14,203,2,0,11.3,14.5,77.8,150.69,9,3,33.3,1,1,100.0,4,4,0,0,7,54,0,0,1,0,4,5,4,205,51.2,0,0,0,100.0,0,100.0,0,2,1,0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,21,31,1,0,2,0,0,37,26,1,11,2,1,0,Sunday,993005217,5,21,19120,-29,0,0,0.3571428571428571,0
202510505,2025-10-05T13:00:00,1,2025,5,CAR,MIA,HOME,27,24,51,Bank of America Stadium,0,10,3,14,0,31,14,31:14,26,8,12,6,65,418,6.4,3,32,239,7.5,1,30,19,179,2,1,6.0,9.4,63.3,88.06,11,5,45.5,2,2,100.0,5,3,0,0,8,46,1,1,3,19,3,9,3,161,53.7,2,0,-2,3,14,0,7,0,28,46,28:46,15,2,13,0,53,248,4.7,3,14,19,1.4,0,36,27,229,3,0,6.4,8.5,75.0,118.87,13,5,38.5,1,1,100.0,3,2,0,0,9,64,0,0,3,27,8,3,6,312,52.0,0,2,2,60.0,0,66.7,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,34,16,3,27,1,0,0,34,33,3,19,2,1,1,Sunday,993005256,5,19,19132,3,1,-2,0.4545454545454545,0
202510605,2025-10-12T13:00:00,1,2025,6,CAR,DAL,HOME,30,27,57,Bank of America Stadium,3,10,7,10,0,32,2,32:02,27,14,11,2,64,410,6.4,3,38,216,5.7,0,25,17,194,3,1,7.8,11.4,68.0,114.0,8,3,37.5,1,1,100.0,4,2,0,0,6,57,2,0,1,5,2,5,2,98,49.0,1,0,-1,3,14,7,3,0,27,58,27:58,15,1,12,2,53,292,5.5,3,19,31,1.6,0,34,25,261,3,0,7.7,10.4,73.5,124.75,12,5,41.7,2,2,100.0,4,2,0,0,6,37,2,0,0,0,5,2,3,143,47.7,0,1,1,50.0,0,50.0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,2,2,32,17,0,0,4,0,0,39,24,1,5,1,2,0,Sunday,993005280,5,9,19145,3,1,-1,0.375,0
202510724,2025-10-19T13:00:00,1,2025,7,CAR,NYJ,AWAY,13,6,19,MetLife Stadium,3,7,3,0,0,35,5,35:05,17,7,10,0,70,302,4.3,1,36,125,3.5,0,32,19,177,1,0,5.5,9.3,59.4,85.03,17,5,29.4,4,3,75.0,3,1,0,0,6,45,1,0,2,21,11,3,6,276,46.0,0,2,2,0,3,0,3,0,24,55,24:55,12,3,8,1,60,220,3.7,0,20,81,4.0,0,34,16,139,0,2,4.1,8.7,47.1,33.82,15,7,46.7,1,0,0.0,1,0,0,0,5,26,0,0,6,33,7,6,5,243,48.6,2,0,-2,33.3,0,0.0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,28,25,6,33,9,0,0,40,29,2,21,7,0,0,Sunday,993005311,5,24,19162,7,1,2,0.2941176470588235,0
202510805,2025-10-26T13:00:00,1,2025,8,CAR,BUF,HOME,9,40,49,Bank of America Stadium,0,3,0,6,0,26,28,26:28,19,5,11,3,59,244,4.1,1,28,114,4.1,1,24,16,130,0,1,5.4,8.1,66.7,62.85,11,4,36.4,1,1,100.0,2,1,0,0,4,20,3,2,7,45,3,4,4,211,52.8,3,0,-3,3,16,21,0,0,33,32,33:32,23,12,10,1,60,410,6.8,5,35,245,7.0,4,23,14,165,1,0,7.2,11.8,60.9,97.19,12,7,58.3,0,0,0.0,3,2,0,0,7,60,0,0,2,20,9,7,3,146,48.7,0,3,3,50.0,0,66.7,0,1,0,0,0,0,0,0,2,1,5,4,0,0,0,0,0,2,2,33,31,2,20,4,0,0,34,28,7,45,1,2,2,Sunday,993005340,5,4,19174,-31,0,-3,0.3636363636363636,0
202510912,2025-11-02T13:00:00,1,2025,9,CAR,GB,AWAY,16,13,29,Lambeau Field,0,7,6,3,0,29,50,29:50,19,11,6,2,54,265,4.9,2,33,163,4.9,2,20,11,102,0,1,5.1,9.3,55.0,48.33,10,4,40.0,2,2,100.0,3,2,0,0,5,39,1,0,1,0,6,4,3,134,44.7,1,2,1,0,6,0,7,0,30,10,30:10,20,7,13,0,63,369,5.9,1,25,104,4.2,1,37,26,265,0,1,7.2,10.2,70.3,79.22,13,7,53.8,3,2,66.7,5,1,0,0,7,42,1,1,1,8,2,1,0,0,0.0,2,1,-1,66.7,0,20.0,0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,2,34,35,1,8,4,1,1,22,45,1,0,1,1,0,Sunday,993005367,5,12,19072,3,1,1,0.4,0
202511005,2025-11-09T13:00:00,1,2025,10,CAR,NO,HOME,7,17,24,Bank of America Stadium,7,0,0,0,0,26,39,26:39,13,5,6,2,50,175,3.5,1,23,73,3.2,1,25,17,102,0,1,4.1,6.0,68.0,59.08,9,3,33.3,1,0,0.0,2,1,0,0,1,5,1,1,2,22,5,6,4,204,51.0,2,1,-1,3,7,0,7,0,33,21,33:21,17,8,9,0,67,388,5.8,2,37,122,3.3,0,28,19,266,2,0,9.5,14.0,67.9,122.02,17,8,47.1,3,2,66.7,2,0,0,0,6,60,1,1,2,16,3,4,4,177,44.2,1,2,1,50.0,0,0.0,0,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,1,39,31,2,16,1,0,1,25,29,2,22,4,0,1,Sunday,993005398,5,22,19185,-10,0,-1,0.3333333333333333,0
