gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510108,2025-09-07T13:00:00,1,2025,1,CIN,CLE,AWAY,17,16,33,Huntington Bank Field,7,7,3,0,0,24,11,24:11,11,3,7,1,49,141,2.9,2,23,46,2.0,1,23,14,95,1,0,4.1,6.8,60.9,84.51,14,7,50.0,0,0,0.0,3,2,0,0,7,33,0,0,3,18,5,4,6,316,52.7,0,2,2,0,10,6,0,0,35,49,35:49,22,5,13,4,71,327,4.6,2,24,49,2.0,1,45,31,278,1,2,6.2,9.0,68.9,74.12,16,9,56.2,3,2,66.7,3,2,0,0,7,53,0,0,2,12,7,8,2,97,48.5,2,0,-2,66.7,0,66.7,0,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,1,40,40,2,12,6,0,0,31,22,3,18,5,0,0,Sunday,993005121,7,8,19056,1,1,2,0.5,0
202510207,2025-09-14T13:00:00,1,2025,2,CIN,JAX,HOME,31,27,58,Paycor Stadium,7,3,14,7,0,26,49,26:49,24,5,17,2,65,350,5.4,4,17,48,2.8,1,45,28,302,3,3,6.7,10.8,62.2,76.34,14,6,42.9,1,1,100.0,4,3,0,0,3,29,1,0,3,15,4,2,3,166,55.3,3,2,-1,7,10,7,3,0,33,11,33:11,21,5,15,1,70,400,5.7,3,27,139,5.1,0,42,24,261,3,2,6.2,10.9,57.1,79.56,13,6,46.2,1,0,0.0,6,3,0,0,6,55,1,0,1,10,9,6,2,95,47.5,2,3,1,75.0,0,50.0,0,4,4,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,40,23,1,10,8,0,0,36,20,3,15,12,0,0,Sunday,993005154,7,15,19085,4,1,-1,0.4285714285714285,0
202510320,2025-09-21T13:00:00,1,2025,3,CIN,MIN,AWAY,10,48,58,U.S. Bank Stadium,0,3,0,7,0,29,4,29:04,12,3,6,3,52,171,3.3,1,21,53,2.5,0,27,19,118,1,2,4.4,6.2,70.4,60.42,11,3,27.3,0,0,0.0,1,1,0,0,4,45,5,3,4,22,5,3,6,328,54.7,5,0,-5,14,20,14,0,0,30,56,30:56,22,10,10,2,58,352,6.1,6,31,169,5.5,2,24,16,183,2,0,7.6,11.4,66.7,117.19,12,4,33.3,1,1,100.0,5,4,0,0,13,105,1,0,3,19,9,7,5,220,44.0,0,5,5,100.0,0,80.0,0,1,1,0,0,0,0,0,1,1,6,6,0,0,0,0,0,2,2,38,25,3,19,1,1,0,41,12,4,22,5,5,3,Sunday,993005191,7,20,19103,-38,0,-5,0.2727272727272727,0
202510410,2025-09-29T20:15:00,1,2025,4,CIN,DEN,AWAY,3,28,31,Empower Field at Mile High,3,0,0,0,0,22,2,22:02,9,3,3,3,43,159,3.7,0,15,53,3.5,0,25,14,106,0,0,4.2,7.6,56.0,66.42,11,2,18.2,0,0,0.0,1,0,0,0,11,65,0,0,3,19,1,1,8,403,50.4,0,1,1,7,14,0,7,0,37,58,37:58,29,11,17,1,80,512,6.4,4,38,186,4.9,2,42,29,326,2,1,7.8,11.2,69.0,97.92,14,8,57.1,1,0,0.0,4,3,0,0,7,72,0,0,0,0,6,2,4,199,49.8,1,0,-1,0.0,0,75.0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,41,39,0,0,2,0,0,22,20,3,19,2,0,0,Monday,993005243,7,10,19129,-25,0,1,0.1818181818181818,0
202510507,2025-10-05T16:25:00,1,2025,5,CIN,DET,HOME,24,37,61,Paycor Stadium,0,3,0,21,0,25,39,25:39,21,4,12,5,58,322,5.6,3,16,85,5.3,0,40,26,237,3,3,5.9,9.1,65.0,74.69,11,4,36.4,0,0,0.0,2,2,0,0,6,30,2,0,2,14,7,6,4,220,55.0,3,1,-2,7,7,14,9,0,34,21,34:21,23,7,15,1,61,365,6.0,5,33,118,3.6,1,24,20,247,4,0,10.3,12.4,83.3,149.13,8,2,25.0,0,0,0.0,6,5,0,0,8,56,1,1,4,14,9,5,5,224,44.8,1,3,2,100.0,0,83.3,0,3,3,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,29,45,4,14,1,1,1,29,25,2,14,11,2,0,Sunday,993005266,7,11,19139,-13,0,-2,0.3636363636363636,0
202510612,2025-10-12T16:25:00,1,2025,6,CIN,GB,AWAY,18,27,45,Lambeau Field,0,0,7,11,0,27,16,27:16,20,5,12,3,62,268,4.3,2,16,55,3.4,0,45,29,213,2,0,4.7,7.3,64.4,90.32,15,6,40.0,2,2,100.0,2,2,0,0,3,17,0,0,1,6,4,4,4,211,52.8,0,1,1,0,10,0,17,0,32,44,32:44,24,12,11,1,60,409,6.8,3,33,153,4.6,2,26,19,256,1,1,9.8,13.5,73.1,100.8,11,5,45.5,1,1,100.0,4,3,0,0,5,40,0,0,1,3,5,5,2,91,45.5,1,0,-1,100.0,0,75.0,0,1,1,0,2,1,0,0,3,1,3,3,0,0,0,0,0,2,2,38,22,1,3,6,0,0,27,32,1,6,3,0,0,Sunday,993005293,7,12,19152,-9,0,1,0.4,0
202510707,2025-10-16T20:15:00,1,2025,7,CIN,PIT,HOME,33,31,64,Paycor Stadium,0,17,3,13,0,34,32,34:32,27,8,16,3,72,470,6.5,3,23,142,6.2,0,47,31,328,3,0,7.0,10.6,66.0,107.4,14,7,50.0,1,1,100.0,5,2,0,0,4,35,0,0,2,14,2,2,3,135,45.0,0,2,2,7,3,7,14,0,25,28,25:28,19,7,12,0,54,396,7.3,4,20,147,7.4,0,34,23,249,4,2,7.3,10.8,67.6,103.68,10,7,70.0,0,0,0.0,4,3,0,0,7,59,0,0,0,0,6,3,2,84,42.0,2,0,-2,40.0,0,75.0,0,3,3,0,0,0,0,0,4,4,4,4,0,0,0,0,0,1,1,29,20,0,0,6,0,0,38,24,2,14,6,0,0,Thursday,993005304,7,28,19157,2,1,2,0.5,0
202510807,2025-10-26T13:00:00,1,2025,8,CIN,NYJ,HOME,38,39,77,Paycor Stadium,10,14,7,7,0,26,20,26:20,24,12,11,1,58,398,6.9,5,23,181,7.9,3,34,21,217,2,0,6.4,10.3,61.8,99.75,9,4,44.4,1,0,0.0,4,3,0,0,2,15,0,0,1,6,1,3,3,174,58.0,0,0,0,0,13,3,23,0,33,40,33:40,25,11,13,1,70,502,7.2,4,37,254,6.9,2,33,22,248,2,0,7.5,11.3,66.7,109.15,15,7,46.7,3,2,66.7,5,3,0,0,4,25,0,0,0,0,2,3,2,81,40.5,0,0,0,75.0,0,60.0,0,5,5,0,0,0,0,0,1,1,2,2,0,2,1,1,1,3,3,38,33,0,0,4,0,0,27,26,1,6,7,0,0,Sunday,993005336,7,24,19175,-1,0,0,0.4444444444444444,0
202510907,2025-11-02T13:00:00,1,2025,9,CIN,CHI,HOME,42,47,89,Paycor Stadium,10,10,7,15,0,25,30,25:30,26,3,22,1,65,495,7.6,5,15,46,3.1,0,47,31,449,4,2,9.6,14.5,66.0,107.49,10,5,50.0,1,1,100.0,4,2,0,0,7,49,1,1,3,21,7,2,1,53,53.0,3,0,-3,7,10,14,16,0,34,30,34:30,30,11,17,2,76,576,7.6,6,37,283,7.6,2,37,22,293,4,0,7.9,13.3,59.5,120.66,15,8,53.3,2,2,100.0,6,4,0,0,7,43,0,0,2,9,5,4,2,117,58.5,0,3,3,50.0,0,66.7,0,4,4,0,2,1,0,0,3,2,5,5,0,2,0,0,0,3,2,32,44,2,9,6,0,0,34,19,3,21,7,1,1,Sunday,993005370,7,6,19070,-5,0,-3,0.5,0
202511128,2025-11-16T13:00:00,1,2025,11,CIN,PIT,AWAY,12,34,46,Acrisure Stadium,6,0,3,3,0,29,55,29:55,17,6,9,2,63,297,4.7,1,22,105,4.8,0,40,23,192,1,1,4.8,8.3,57.5,67.92,15,7,46.7,1,0,0.0,2,0,0,0,8,67,1,1,1,7,4,3,3,171,57.0,2,0,-2,7,3,10,14,0,30,5,30:05,22,6,13,3,60,343,5.7,4,28,111,4.0,0,31,21,232,2,0,7.5,11.0,67.7,111.22,13,7,53.8,1,1,100.0,4,2,0,0,8,76,0,0,1,11,3,2,3,133,44.3,0,2,2,0.0,0,50.0,0,0,0,0,1,0,0,0,2,2,4,4,0,0,0,0,0,2,2,30,35,1,11,3,0,0,26,37,1,7,8,1,1,Sunday,993005423,7,28,19202,-22,0,-2,0.4666666666666667,0
202511207,2025-11-23T13:00:00,1,2025,12,CIN,NE,HOME,20,26,46,Paycor Stadium,3,10,0,7,0,26,46,26:46,20,8,10,2,62,307,5.0,2,23,120,5.2,0,38,20,187,1,1,4.9,9.4,52.6,64.25,13,3,23.1,3,2,66.7,1,1,0,0,6,65,0,0,1,10,3,3,5,227,45.4,1,1,0,0,17,3,6,0,33,14,33:14,21,7,12,2,67,392,5.9,2,31,107,3.5,0,35,22,285,1,1,8.1,13.0,62.9,86.01,13,5,38.5,1,0,0.0,2,0,0,0,4,52,0,0,1,9,6,1,2,98,49.0,1,1,0,100.0,0,0.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4,4,31,43,1,9,5,0,0,28,27,1,10,5,0,0,Sunday,993005452,7,21,19213,-6,0,0,0.2307692307692307,0
