gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510126,2025-09-04T20:20:00,1,2025,1,DAL,PHI,AWAY,20,24,44,Lincoln Financial Field,7,13,0,0,0,25,8,25:08,22,7,9,6,56,307,5.5,2,22,119,5.4,2,34,21,188,0,0,5.5,9.0,61.8,76.59,11,7,63.6,1,0,0.0,3,2,0,0,4,42,1,1,0,0,5,5,2,87,43.5,1,0,-1,7,14,3,0,0,34,52,34:52,20,14,6,0,62,302,4.9,3,38,158,4.2,3,23,19,144,0,0,6.3,7.6,82.6,92.75,13,8,61.5,0,0,0.0,3,3,0,0,9,110,0,0,1,8,1,3,3,146,48.7,0,1,1,66.7,0,100.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,36,33,1,8,0,0,0,34,23,0,0,6,1,1,Thursday,993005117,9,26,19039,-4,0,-1,0.6363636363636364,0
202510209,2025-09-14T13:00:00,1,2025,2,DAL,NYG,HOME,40,37,77,AT&T Stadium,0,10,7,20,3,37,21,37:21,32,8,18,6,83,478,5.8,4,28,135,4.8,2,52,38,343,2,1,6.6,9.0,73.1,95.27,14,6,42.9,1,1,100.0,3,3,0,0,12,106,2,0,3,18,6,4,4,191,47.8,1,1,0,6,7,3,21,0,32,39,32:39,22,6,15,1,65,506,7.8,4,21,84,4.0,1,41,30,422,3,1,10.3,14.1,73.2,120.17,14,6,42.9,2,1,50.0,5,1,0,0,14,160,1,0,3,28,7,8,3,135,45.0,1,1,0,100.0,0,20.0,0,4,4,0,0,0,0,0,4,4,4,4,0,0,0,0,0,3,3,37,36,3,28,2,0,0,57,21,3,18,9,0,0,Sunday,993005158,9,23,19086,3,1,0,0.4285714285714285,0
202510306,2025-09-21T16:25:00,1,2025,3,DAL,CHI,AWAY,14,31,45,Soldier Field,3,11,0,0,0,32,58,32:58,23,6,14,3,67,396,5.9,1,20,121,6.0,0,45,34,275,1,3,6.1,8.1,75.6,70.14,11,3,27.3,3,2,66.7,4,1,0,0,4,25,1,1,2,17,1,4,2,102,51.0,4,0,-4,14,10,7,0,0,27,2,27:02,19,7,11,1,57,385,6.8,4,29,87,3.0,0,28,19,298,4,0,10.6,15.7,67.9,142.56,14,8,57.1,1,1,100.0,3,2,0,0,6,41,0,0,0,0,7,2,4,176,44.0,0,4,4,25.0,0,66.7,0,0,0,0,2,1,0,0,2,2,4,4,0,0,0,0,0,1,1,34,23,0,0,3,0,0,45,28,2,17,6,1,1,Sunday,993005207,9,6,19111,-17,0,-4,0.2727272727272727,0
202510409,2025-09-28T20:20:00,1,2025,4,DAL,GB,HOME,40,40,80,AT&T Stadium,0,16,7,14,3,34,27,34:27,26,8,17,1,67,436,6.5,5,26,117,4.5,2,40,31,319,3,0,8.0,10.3,77.5,124.9,11,4,36.4,1,1,100.0,5,4,0,0,11,95,0,0,1,0,4,5,4,190,47.5,0,1,1,7,6,7,17,3,35,33,35:33,32,11,16,5,79,489,6.2,5,35,164,4.7,2,43,31,325,3,0,7.6,10.5,72.1,116.91,14,10,71.4,1,1,100.0,6,5,0,0,7,53,1,1,1,12,4,1,2,83,41.5,1,0,-1,80.0,0,83.3,0,5,5,0,0,0,0,0,1,1,5,4,1,0,0,0,0,2,2,49,29,1,12,1,1,1,35,33,1,0,4,0,0,Sunday,993005240,9,12,19127,0,0,1,0.3636363636363636,0
202510524,2025-10-05T13:00:00,1,2025,5,DAL,NYJ,AWAY,37,22,59,MetLife Stadium,3,20,7,7,0,25,24,25:24,22,9,12,1,59,416,7.1,5,29,180,6.2,1,29,18,236,4,0,8.1,13.1,62.1,127.3,13,6,46.2,0,0,0.0,4,3,0,0,11,91,0,0,1,1,14,6,5,228,45.6,0,1,1,3,0,3,16,0,34,36,34:36,25,9,14,2,73,378,5.2,2,22,144,6.5,0,46,32,234,2,0,5.1,7.3,69.6,95.74,16,7,43.8,3,1,33.3,3,2,0,0,10,61,1,1,5,49,3,3,4,176,44.0,1,0,-1,75.0,0,66.7,0,5,4,0,0,0,0,0,1,1,0,0,0,4,2,0,0,2,2,38,35,5,49,3,1,1,32,17,1,1,4,0,0,Sunday,993005259,9,24,19135,15,1,1,0.4615384615384615,0
202510605,2025-10-12T13:00:00,1,2025,6,DAL,CAR,AWAY,27,30,57,Bank of America Stadium,3,14,7,3,0,27,58,27:58,15,1,12,2,53,292,5.5,3,19,31,1.6,0,34,25,261,3,0,7.7,10.4,73.5,124.75,12,5,41.7,2,2,100.0,4,2,0,0,6,37,2,0,0,0,5,2,3,143,47.7,0,1,1,3,10,7,10,0,32,2,32:02,27,14,11,2,64,410,6.4,3,38,216,5.7,0,25,17,194,3,1,7.8,11.4,68.0,114.0,8,3,37.5,1,1,100.0,4,2,0,0,6,57,2,0,1,5,2,5,2,98,49.0,1,0,-1,50.0,0,50.0,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,3,39,24,1,5,1,2,0,32,17,0,0,4,0,0,Sunday,993005279,9,5,19145,-3,0,1,0.4166666666666667,0
202510709,2025-10-19T16:25:00,1,2025,7,DAL,WAS,HOME,44,22,66,AT&T Stadium,17,10,14,3,0,31,21,31:21,21,7,11,3,62,409,6.6,5,31,152,4.9,1,30,21,257,3,0,8.6,12.2,70.0,129.44,12,6,50.0,0,0,0.0,4,3,0,0,10,79,1,0,1,7,6,7,3,128,42.7,0,2,2,8,7,7,0,0,28,39,28:39,18,8,8,2,64,341,5.3,3,28,136,4.9,2,32,16,205,1,1,6.4,12.8,50.0,67.84,16,7,43.8,2,0,0.0,3,3,0,0,11,118,1,1,4,14,5,3,5,286,57.2,2,0,-2,75.0,0,100.0,0,5,5,0,0,0,0,0,3,3,2,2,0,1,0,0,0,0,0,34,20,4,14,5,1,1,28,37,1,7,7,0,0,Sunday,993005324,9,35,19167,22,1,2,0.5,0
202510810,2025-10-26T16:25:00,1,2025,8,DAL,DEN,AWAY,24,44,68,Empower Field at Mile High,3,7,7,7,0,33,32,33:32,24,8,12,4,68,339,5.0,3,31,108,3.5,2,35,22,231,1,2,6.6,10.5,62.9,67.68,11,4,36.4,1,1,100.0,4,2,0,0,9,80,1,0,2,15,1,3,5,252,50.4,2,1,-1,14,13,3,14,0,26,28,26:28,25,8,15,2,57,426,7.5,6,28,179,6.4,2,29,19,247,4,1,8.5,13.0,65.5,117.39,8,5,62.5,0,0,0.0,5,4,0,0,7,42,0,0,0,0,8,3,2,80,40.0,1,2,1,50.0,0,80.0,0,3,3,0,0,0,0,0,1,1,5,5,0,2,0,0,0,1,1,28,23,0,0,2,0,0,29,46,2,15,12,1,0,Sunday,993005353,9,10,19180,-20,0,-1,0.3636363636363636,0
202510909,2025-11-03T20:15:00,1,2025,9,DAL,ARI,HOME,17,27,44,AT&T Stadium,0,7,3,7,0,26,40,26:40,22,8,14,0,65,333,5.1,2,21,123,5.9,0,39,24,210,1,1,5.4,8.8,61.5,73.66,12,5,41.7,3,0,0.0,3,1,0,0,6,55,4,2,5,40,11,8,1,41,41.0,3,0,-3,3,14,10,0,0,33,20,33:20,23,8,14,1,65,340,5.2,3,29,119,4.1,1,31,21,221,2,0,7.1,10.5,67.7,109.74,13,7,53.8,1,0,0.0,4,3,0,0,2,10,1,0,5,40,9,6,2,87,43.5,0,3,3,33.3,0,75.0,0,2,2,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,2,35,29,5,40,2,0,0,38,23,5,40,6,4,2,Monday,993005386,9,1,19082,-10,0,-3,0.4166666666666667,0
202511125,2025-11-17T20:15:00,1,2025,11,DAL,LV,AWAY,33,16,49,Allegiant Stadium,3,21,7,2,0,33,36,33:36,24,7,16,1,65,381,5.9,4,31,114,3.7,0,33,25,267,4,0,8.1,10.7,75.8,138.51,10,4,40.0,3,1,33.3,5,3,0,0,6,50,1,1,1,1,11,8,2,93,46.5,1,1,0,6,3,0,7,0,26,24,26:24,17,4,12,1,58,236,4.1,1,12,27,2.2,0,42,27,209,1,1,5.0,7.7,64.3,74.4,12,3,25.0,3,2,66.7,3,1,0,0,6,40,0,0,4,29,4,2,3,160,53.3,1,1,0,60.0,0,33.3,0,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,3,33,18,4,29,8,0,0,27,44,1,1,3,1,1,Monday,993005443,9,25,19209,17,1,0,0.4,0
