gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510110,2025-09-07T16:05:00,1,2025,1,DEN,TEN,HOME,20,12,32,Empower Field at Mile High,3,7,3,7,0,31,56,31:56,20,5,9,6,71,317,4.5,2,30,151,5.0,1,40,25,166,1,2,4.2,6.6,62.5,58.96,15,6,40.0,2,0,0.0,3,1,0,0,6,45,2,2,1,10,14,7,3,144,48.0,4,2,-2,3,6,3,0,0,28,4,28:04,7,2,5,0,55,133,2.4,0,21,71,3.4,0,28,12,62,0,0,2.2,5.2,42.9,50.3,14,2,14.3,1,0,0.0,2,0,0,0,13,131,2,2,6,50,5,4,8,395,49.4,2,4,2,33.3,0,0.0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,32,26,6,50,4,2,2,42,28,1,10,5,1,2,Sunday,993005140,10,34,19063,8,1,-2,0.4,0
202510214,2025-09-14T16:05:00,1,2025,2,DEN,IND,AWAY,28,29,57,Lucas Oil Stadium,7,14,7,0,0,27,53,27:53,23,7,11,5,54,324,6.0,4,24,118,4.9,1,30,22,206,3,1,6.9,9.4,73.3,111.25,9,4,44.4,0,0,0.0,3,3,0,0,8,83,0,0,0,0,6,3,3,134,44.7,1,0,-1,6,14,3,6,0,32,7,32:07,26,6,16,4,67,473,7.1,2,32,167,5.2,1,34,23,306,1,0,9.0,13.3,67.6,105.76,13,6,46.2,2,0,0.0,6,2,0,0,11,68,0,0,1,10,0,5,0,0,0.0,0,1,1,100.0,0,33.3,0,4,4,0,0,0,0,0,1,0,2,2,0,0,0,0,0,5,5,39,33,1,10,5,0,0,34,17,0,0,4,0,0,Sunday,993005171,10,14,19094,-1,0,-1,0.4444444444444444,0
202510329,2025-09-21T16:05:00,1,2025,3,DEN,LAC,AWAY,20,23,43,SoFi Stadium,0,7,10,3,0,23,40,23:40,9,3,5,1,48,265,5.5,2,21,118,5.6,1,25,14,147,1,0,5.9,10.5,56.0,86.58,13,2,15.4,2,2,100.0,2,1,0,0,10,90,0,0,2,6,14,7,7,330,47.1,0,2,2,3,7,3,10,0,36,20,36:20,29,6,17,6,80,376,4.7,2,28,106,3.8,1,47,28,270,1,1,5.7,9.6,59.6,73.89,17,8,47.1,0,0,0.0,3,1,0,0,3,25,1,1,5,30,4,5,5,249,49.8,2,0,-2,50.0,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,42,39,5,30,7,1,0,31,12,2,6,3,0,0,Sunday,993005201,10,29,19109,-3,0,2,0.1538461538461538,0
202510410,2025-09-29T20:15:00,1,2025,4,DEN,CIN,HOME,28,3,31,Empower Field at Mile High,7,14,0,7,0,37,58,37:58,29,11,17,1,80,512,6.4,4,38,186,4.9,2,42,29,326,2,1,7.8,11.2,69.0,97.92,14,8,57.1,1,0,0.0,4,3,0,0,7,72,0,0,0,0,6,2,4,199,49.8,1,0,-1,3,0,0,0,0,22,2,22:02,9,3,3,3,43,159,3.7,0,15,53,3.5,0,25,14,106,0,0,4.2,7.6,56.0,66.42,11,2,18.2,0,0,0.0,1,0,0,0,11,65,0,0,3,19,1,1,8,403,50.4,0,1,1,75.0,0,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,20,3,19,2,0,0,41,39,0,0,2,0,0,Monday,993005244,10,7,19129,25,1,-1,0.5714285714285714,0
202510526,2025-10-05T13:00:00,1,2025,5,DEN,PHI,AWAY,21,17,38,Lincoln Financial Field,3,0,0,18,0,34,17,34:17,23,8,12,3,70,358,5.1,2,29,130,4.5,1,39,24,228,1,0,5.8,9.5,61.5,86.27,16,5,31.2,0,0,0.0,3,2,0,0,12,121,0,0,2,14,8,5,7,328,46.9,0,0,0,3,7,7,0,0,25,43,25:43,16,2,11,3,55,302,5.5,2,11,45,4.1,0,38,23,257,2,0,6.8,11.2,60.5,98.25,11,2,18.2,0,0,0.0,2,1,0,0,9,55,0,0,6,23,8,5,7,359,51.3,0,0,0,66.7,0,50.0,0,1,1,0,2,1,0,0,2,2,2,2,0,0,0,0,0,1,1,29,16,6,23,9,0,0,40,28,2,14,2,0,0,Sunday,993005252,10,26,19136,4,1,0,0.3125,0
202510624,2025-10-12T09:30:00,1,2025,6,DEN,NYJ,AWAY,13,11,24,Tottenham Hotspur Stadium,10,0,0,3,0,31,8,31:08,12,3,9,0,57,246,4.3,1,26,78,3.0,0,30,19,168,1,0,5.6,8.8,63.3,89.31,15,5,33.3,1,1,100.0,2,1,0,0,6,37,2,1,1,6,15,7,6,291,48.5,1,0,-1,6,0,5,0,0,28,52,28:52,8,6,2,0,57,82,1.4,0,31,92,3.0,0,17,9,-10,0,0,-0.6,-1.1,52.9,58.7,15,2,13.3,2,1,50.0,0,0,0,0,2,15,1,0,9,55,3,3,7,355,50.7,0,1,1,50.0,0,0.0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,36,27,9,55,4,0,0,29,31,1,6,2,2,1,Sunday,993005275,10,24,19048,2,1,-1,0.3333333333333333,0
202510710,2025-10-19T16:05:00,1,2025,7,DEN,NYG,HOME,33,32,65,Empower Field at Mile High,0,0,0,33,0,29,49,29:49,25,8,15,2,76,407,5.4,4,24,142,5.9,2,50,27,265,2,0,5.3,9.8,54.0,82.5,13,4,30.8,2,1,50.0,5,4,0,0,12,127,1,0,2,14,10,4,6,303,50.5,0,1,1,7,6,6,13,0,30,11,30:11,26,7,12,7,69,387,5.6,5,32,119,3.7,2,33,15,268,3,1,8.1,17.9,45.5,91.48,15,6,40.0,2,2,100.0,2,2,0,0,8,36,0,0,4,15,5,5,6,263,43.8,1,0,-1,80.0,0,100.0,0,2,2,0,4,2,0,0,1,1,4,2,0,2,0,0,0,0,0,29,33,4,15,8,0,0,38,22,2,14,8,0,0,Sunday,993005322,10,23,19164,1,1,1,0.3076923076923077,0
202510810,2025-10-26T16:25:00,1,2025,8,DEN,DAL,HOME,44,24,68,Empower Field at Mile High,14,13,3,14,0,26,28,26:28,25,8,15,2,57,426,7.5,6,28,179,6.4,2,29,19,247,4,1,8.5,13.0,65.5,117.39,8,5,62.5,0,0,0.0,5,4,0,0,7,42,0,0,0,0,8,3,2,80,40.0,1,2,1,3,7,7,7,0,33,32,33:32,24,8,12,4,68,339,5.0,3,31,108,3.5,2,35,22,231,1,2,6.6,10.5,62.9,67.68,11,4,36.4,1,1,100.0,4,2,0,0,9,80,1,0,2,15,1,3,5,252,50.4,2,1,-1,80.0,0,50.0,0,5,5,0,2,0,0,0,1,1,3,3,0,0,0,0,0,1,1,29,46,2,15,12,1,0,28,23,0,0,2,0,0,Sunday,993005354,10,9,19180,20,1,1,0.625,0
202510913,2025-11-02T13:00:00,1,2025,9,DEN,HOU,AWAY,18,15,33,NRG Stadium,0,7,0,11,0,25,24,25:24,15,6,9,0,61,271,4.4,2,23,100,4.3,0,37,18,171,2,1,4.6,9.5,48.6,68.64,15,6,40.0,0,0,0.0,1,0,0,0,4,41,1,1,1,2,7,4,8,428,53.5,2,0,-2,3,9,3,0,0,34,36,34:36,15,2,11,2,72,268,3.7,0,28,77,2.8,0,40,23,191,0,0,4.8,8.3,57.5,69.9,17,3,17.6,1,1,100.0,3,0,0,0,4,29,0,0,4,25,4,4,8,420,52.5,0,2,2,0.0,0,0.0,0,1,1,0,2,1,0,0,2,1,0,0,0,0,0,0,0,6,5,37,32,4,25,7,0,0,26,28,1,2,7,0,1,Sunday,993005365,10,13,19073,3,1,-2,0.4,0
202511010,2025-11-06T20:15:00,1,2025,10,DEN,LV,HOME,10,7,17,Empower Field at Mile High,0,7,3,0,0,30,46,30:46,10,5,5,0,57,220,3.9,1,27,84,3.1,0,28,16,136,1,2,4.9,8.5,57.1,52.08,15,5,33.3,0,0,0.0,3,1,0,0,11,78,0,0,2,14,11,5,7,293,41.9,2,1,-1,7,0,0,0,0,29,14,29:14,10,4,6,0,58,188,3.2,1,25,74,3.0,1,27,16,114,0,1,4.2,7.1,59.3,53.63,15,4,26.7,1,0,0.0,1,1,0,0,11,83,2,0,6,29,4,4,7,299,42.7,1,2,1,33.3,0,100.0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,31,30,6,29,3,1,0,28,26,2,14,4,0,0,Thursday,993005388,10,25,19184,3,1,-1,0.3333333333333333,0
202511110,2025-11-16T16:25:00,1,2025,11,DEN,KC,HOME,22,19,41,Empower Field at Mile High,6,0,7,9,0,29,29,29:29,16,5,11,0,61,342,5.6,1,21,59,2.8,1,38,24,283,0,0,7.4,11.8,63.2,85.75,15,7,46.7,0,0,0.0,5,1,0,0,10,147,1,0,2,12,8,4,4,211,52.8,0,1,1,3,3,7,6,0,30,31,30:31,19,3,13,3,62,311,5.0,2,14,62,4.4,1,45,29,249,1,1,5.5,8.6,64.4,76.99,13,5,38.5,1,0,0.0,4,1,0,0,10,69,0,0,3,27,5,6,4,238,59.5,1,0,-1,20.0,0,25.0,0,1,1,0,0,0,0,0,5,5,2,1,1,0,0,0,0,2,2,30,28,3,27,4,0,0,36,19,2,12,3,1,0,Sunday,993005440,10,16,19207,3,1,1,0.4666666666666667,0
202511335,2025-11-30T20:20:00,1,2025,13,DEN,WAS,AWAY,27,26,53,Northwest Stadium,3,10,7,0,7,32,13,32:13,23,6,17,0,69,402,5.8,3,23,87,3.8,2,45,29,315,1,1,7.0,10.9,64.4,83.1,15,7,46.7,1,1,100.0,5,3,0,0,5,33,1,0,1,6,6,8,4,181,45.2,1,1,0,0,7,7,6,6,35,0,35:00,30,10,17,3,85,419,4.9,3,33,143,4.3,1,50,28,276,2,1,5.5,9.9,56.0,76.75,17,8,47.1,3,3,100.0,5,3,0,0,5,35,2,0,2,18,4,2,4,169,42.2,1,1,0,60.0,0,60.0,0,3,3,0,0,0,0,0,2,2,2,2,0,2,0,0,0,2,2,47,27,2,18,9,2,0,32,38,1,6,5,1,0,Sunday,993005501,10,35,19236,1,1,0,0.4666666666666667,0
