gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510112,2025-09-07T16:25:00,1,2025,1,DET,GB,AWAY,13,27,40,Lambeau Field,0,3,3,7,0,35,25,35:25,16,2,13,1,65,246,3.8,1,22,46,2.1,0,39,31,200,1,1,5.1,6.5,79.5,85.9,15,5,33.3,4,3,75.0,4,1,0,0,7,40,0,0,4,25,2,2,3,142,47.3,1,0,-1,10,7,0,10,0,24,35,24:35,14,4,8,2,47,266,5.7,3,25,78,3.1,1,22,16,188,2,0,8.5,11.8,72.7,128.6,10,4,40.0,1,1,100.0,5,3,0,0,4,40,0,0,0,0,9,9,3,164,54.7,0,1,1,25.0,0,60.0,0,1,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,31,18,0,0,1,0,0,41,34,4,25,2,0,0,Sunday,993005143,11,12,19065,-14,0,-1,0.3333333333333333,0
202510211,2025-09-14T13:00:00,1,2025,2,DET,CHI,HOME,52,21,73,Ford Field,14,14,10,14,0,30,20,30:20,25,10,15,0,58,511,8.8,7,30,177,5.9,2,28,23,334,5,0,11.9,14.5,82.1,155.95,10,4,40.0,1,1,100.0,7,6,0,0,3,28,0,0,0,0,4,5,3,147,49.0,0,2,2,7,7,0,7,0,29,40,29:40,19,7,11,1,64,339,5.3,3,27,134,5.0,1,33,21,205,2,1,6.2,9.8,63.6,88.57,13,7,53.8,2,0,0.0,2,2,0,0,8,50,2,1,4,29,4,4,4,212,53.0,2,0,-2,85.7,0,100.0,0,7,7,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,42,20,4,29,5,1,1,40,22,0,0,0,0,0,Sunday,993005152,11,6,19087,31,1,2,0.4,0
202510303,2025-09-22T20:15:00,1,2025,3,DET,BAL,AWAY,38,30,68,M&T Bank Stadium,7,7,7,17,0,33,18,33:18,24,12,11,1,66,426,6.5,5,38,224,5.9,4,28,20,202,1,0,7.2,10.1,71.4,103.57,14,7,50.0,3,3,100.0,5,4,0,0,8,68,1,0,0,0,7,6,3,146,48.7,0,1,1,7,7,7,9,0,26,42,26:42,21,4,14,3,54,318,5.9,4,19,85,4.5,1,28,21,233,3,0,8.3,11.1,75.0,134.97,11,6,54.5,1,0,0.0,4,2,0,0,3,10,2,1,7,55,6,4,3,157,52.3,1,0,-1,80.0,0,50.0,0,5,5,0,0,0,0,0,2,1,3,3,0,2,0,0,0,1,1,38,8,7,55,2,2,1,39,33,0,0,1,0,0,Monday,993005211,11,3,19114,8,1,1,0.5,0
202510411,2025-09-28T13:00:00,1,2025,4,DET,CLE,HOME,34,10,44,Ford Field,7,13,0,14,0,28,16,28:16,16,6,8,2,56,277,4.9,4,29,109,3.8,1,27,16,168,2,1,6.2,10.5,59.3,86.65,14,6,42.9,1,0,0.0,3,3,0,0,6,35,0,0,0,0,9,4,5,221,44.2,1,3,2,7,0,3,0,0,31,44,31:44,16,7,8,1,65,249,3.8,1,27,79,2.9,1,35,16,170,0,2,4.9,10.6,45.7,36.61,14,3,21.4,1,1,100.0,2,1,0,0,6,44,2,1,3,14,5,4,7,314,44.9,3,1,-2,100.0,0,50.0,0,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,1,35,25,3,14,10,1,1,27,27,0,0,1,0,0,Sunday,993005222,11,8,19118,24,1,2,0.4285714285714285,0
202510507,2025-10-05T16:25:00,1,2025,5,DET,CIN,AWAY,37,24,61,Paycor Stadium,7,7,14,9,0,34,21,34:21,23,7,15,1,61,365,6.0,5,33,118,3.6,1,24,20,247,4,0,10.3,12.4,83.3,149.13,8,2,25.0,0,0,0.0,6,5,0,0,8,56,1,1,4,14,9,5,5,224,44.8,1,3,2,0,3,0,21,0,25,39,25:39,21,4,12,5,58,322,5.6,3,16,85,5.3,0,40,26,237,3,3,5.9,9.1,65.0,74.69,11,4,36.4,0,0,0.0,2,2,0,0,6,30,2,0,2,14,7,6,4,220,55.0,3,1,-2,83.3,0,100.0,0,5,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,29,25,2,14,11,2,0,29,45,4,14,1,1,1,Sunday,993005265,11,7,19139,13,1,2,0.25,0
202510616,2025-10-12T20:20:00,1,2025,6,DET,KC,AWAY,17,30,47,Arrowhead Stadium,3,7,0,7,0,29,23,29:23,18,5,13,0,53,297,5.6,2,23,98,4.3,0,29,23,199,2,0,6.9,8.7,79.3,118.25,11,5,45.5,2,0,0.0,2,1,0,0,4,38,1,0,1,4,3,2,3,138,46.0,0,0,0,6,7,7,10,0,30,37,30:37,26,8,16,2,62,355,5.7,4,29,112,3.9,1,30,22,243,3,0,8.1,11.0,73.3,130.28,10,4,40.0,3,2,66.7,6,4,0,0,0,0,1,0,3,14,4,3,1,46,46.0,0,0,0,50.0,0,66.7,0,2,2,0,0,0,0,0,1,1,4,3,0,0,0,0,0,1,1,30,30,3,14,1,1,0,33,22,1,4,0,1,0,Sunday,993005297,11,16,19154,-13,0,0,0.4545454545454545,0
202510711,2025-10-20T19:00:00,1,2025,7,DET,TB,HOME,24,9,33,Ford Field,7,7,7,3,0,31,39,31:39,17,6,9,2,65,379,5.8,3,32,164,5.1,2,29,20,215,1,1,7.4,10.8,69.0,87.57,13,3,23.1,2,1,50.0,2,1,0,0,6,50,1,1,4,26,8,4,5,256,51.2,2,2,0,0,3,6,0,0,28,21,28:21,15,2,11,2,66,251,3.8,1,12,41,3.4,0,50,28,210,1,1,4.2,7.5,56.0,64.58,16,4,25.0,5,2,40.0,1,0,0,0,6,35,2,1,4,18,9,7,6,263,43.8,2,2,0,50.0,0,0.0,0,3,3,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,1,31,22,4,18,12,2,1,36,38,4,26,2,1,1,Monday,993005330,11,33,19169,15,1,0,0.2307692307692307,0
202510911,2025-11-02T13:00:00,1,2025,9,DET,MIN,HOME,24,27,51,Ford Field,7,7,3,7,0,31,8,31:08,15,3,11,1,62,305,4.9,3,20,65,3.2,1,37,25,240,2,0,6.5,9.6,67.6,103.43,17,5,29.4,3,3,100.0,3,1,0,0,10,76,1,1,5,44,9,7,5,238,47.6,1,1,0,14,3,7,3,0,28,52,28:52,20,7,8,5,59,258,4.4,3,29,142,4.9,1,25,14,116,2,1,4.6,8.3,56.0,78.08,12,4,33.3,0,0,0.0,5,3,0,0,7,56,1,0,5,27,11,10,4,176,44.0,1,1,0,33.3,0,60.0,0,3,3,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,2,32,19,5,27,3,0,0,28,41,5,44,1,1,1,Sunday,993005376,11,20,19071,-3,0,0,0.2941176470588235,0
202511035,2025-11-09T16:25:00,1,2025,10,DET,WAS,AWAY,44,22,66,Northwest Stadium,14,11,10,9,0,32,36,32:36,30,11,19,0,68,546,8.0,5,33,226,6.8,2,35,25,320,3,0,9.1,12.8,71.4,128.27,10,5,50.0,2,2,100.0,6,4,0,0,3,1,0,0,0,0,6,3,0,0,0.0,0,0,0,3,7,6,6,0,27,24,27:24,14,5,9,0,51,288,5.6,3,27,93,3.4,1,22,16,195,2,0,8.9,12.2,72.7,129.92,10,2,20.0,3,3,100.0,3,3,0,0,8,61,0,0,2,18,5,0,4,200,50.0,0,0,0,66.7,0,100.0,0,4,3,1,0,0,1,1,3,3,1,1,0,3,0,0,0,1,1,34,16,2,18,4,0,0,32,40,0,0,3,0,0,Sunday,993005409,11,35,19194,22,1,0,0.5,0
202511126,2025-11-16T20:20:00,1,2025,11,DET,PHI,AWAY,9,16,25,Lincoln Financial Field,0,6,0,3,0,24,12,24:12,13,3,10,0,60,317,5.3,1,21,74,3.5,0,37,14,243,1,1,6.6,17.4,37.8,58.73,13,3,23.1,5,0,0.0,1,0,0,0,5,48,0,0,2,12,2,4,4,169,42.2,1,0,-1,3,10,0,3,0,35,48,35:48,16,7,6,3,69,272,3.9,1,40,148,3.7,1,28,14,124,0,0,4.4,8.9,50.0,62.2,15,4,26.7,1,0,0.0,3,1,0,0,9,78,2,0,1,11,7,3,7,289,41.3,0,1,1,0.0,0,33.3,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,3,38,28,1,11,3,0,0,26,18,2,12,10,0,0,Sunday,993005441,11,26,19208,-7,0,-1,0.2307692307692307,0
