gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510114,2025-09-07T13:00:00,1,2025,1,IND,MIA,HOME,33,8,41,Lucas Oil Stadium,3,17,3,10,0,38,43,38:43,27,11,14,2,70,418,6.0,3,40,156,3.9,2,29,22,262,1,0,9.0,11.9,75.9,114.44,15,7,46.7,3,3,100.0,6,3,0,0,4,45,0,0,1,10,6,4,0,0,0.0,0,3,3,0,0,0,8,0,21,17,21:17,12,3,9,0,46,211,4.6,1,12,78,6.5,0,31,19,133,1,2,4.3,7.0,61.3,54.91,10,5,50.0,2,1,50.0,1,1,0,0,3,15,1,1,3,13,2,4,1,42,42.0,3,0,-3,50.0,0,100.0,0,3,3,0,0,0,0,0,4,4,0,0,0,2,1,0,0,0,0,25,20,3,13,5,1,1,46,35,1,10,4,0,0,Sunday,993005124,14,19,19057,25,1,3,0.4666666666666667,0
202510214,2025-09-14T16:05:00,1,2025,2,IND,DEN,HOME,29,28,57,Lucas Oil Stadium,6,14,3,6,0,32,7,32:07,26,6,16,4,67,473,7.1,2,32,167,5.2,1,34,23,306,1,0,9.0,13.3,67.6,105.76,13,6,46.2,2,0,0.0,6,2,0,0,11,68,0,0,1,10,0,5,0,0,0.0,0,1,1,7,14,7,0,0,27,53,27:53,23,7,11,5,54,324,6.0,4,24,118,4.9,1,30,22,206,3,1,6.9,9.4,73.3,111.25,9,4,44.4,0,0,0.0,3,3,0,0,8,83,0,0,0,0,6,3,3,134,44.7,1,0,-1,33.3,0,100.0,0,2,2,0,0,0,0,0,5,5,4,4,0,0,0,0,0,1,0,34,17,0,0,4,0,0,39,33,1,10,5,0,0,Sunday,993005172,14,10,19094,1,1,1,0.4615384615384615,0
202510334,2025-09-21T13:00:00,1,2025,3,IND,TEN,AWAY,41,20,61,Nissan Stadium,17,3,14,7,0,28,41,28:41,22,9,10,3,53,365,6.9,5,28,137,4.9,3,25,18,228,1,0,9.1,12.7,72.0,113.42,8,2,25.0,2,2,100.0,4,2,0,0,4,23,0,0,0,0,7,8,1,46,46.0,0,1,1,3,3,7,7,0,31,19,31:19,21,8,11,2,65,282,4.3,2,23,86,3.7,1,38,23,196,1,1,5.2,8.5,60.5,71.82,14,5,35.7,2,1,50.0,2,2,0,0,8,68,0,0,4,23,2,0,1,52,52.0,1,0,-1,50.0,0,100.0,0,5,5,0,0,0,0,0,3,2,2,2,0,0,0,0,0,4,2,41,18,4,23,4,0,0,32,15,0,0,3,0,0,Sunday,993005189,14,34,19107,21,1,1,0.25,0
202510432,2025-09-28T16:05:00,1,2025,4,IND,LAR,AWAY,20,27,47,SoFi Stadium,3,7,0,10,0,28,16,28:16,17,4,11,2,56,333,5.9,2,21,85,4.0,1,33,24,248,1,2,7.5,10.3,72.7,78.85,12,4,33.3,1,1,100.0,3,2,0,0,11,88,2,1,2,14,9,4,4,209,52.2,3,1,-2,3,10,0,14,0,31,44,31:44,24,7,15,2,70,462,6.6,3,26,102,3.9,0,41,29,360,3,0,8.8,12.4,70.7,122.0,12,4,33.3,2,1,50.0,3,2,0,0,7,63,1,1,3,15,7,4,4,211,52.8,1,3,2,66.7,0,66.7,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,35,42,3,15,4,1,1,30,26,2,14,5,1,0,Sunday,993005233,14,32,19123,-7,0,-2,0.3333333333333333,0
202510514,2025-10-05T13:00:00,1,2025,5,IND,LV,HOME,40,6,46,Lucas Oil Stadium,0,20,20,0,0,26,35,26:35,24,9,12,3,57,317,5.6,6,25,96,3.8,4,32,21,221,2,0,6.9,10.5,65.6,106.38,10,8,80.0,0,0,0.0,6,6,0,0,9,77,1,0,0,0,5,6,2,101,50.5,0,2,2,3,0,0,3,0,33,25,33:25,22,6,12,4,65,296,4.6,0,25,106,4.2,0,36,25,190,0,2,5.3,7.6,69.4,58.8,14,8,57.1,2,1,50.0,4,0,0,0,6,65,0,0,4,38,3,2,1,30,30.0,2,0,-2,100.0,0,0.0,0,2,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,3,2,37,35,4,38,8,0,0,32,18,0,0,3,0,0,Sunday,993005250,14,25,19133,34,1,2,0.8,0
202510614,2025-10-12T13:00:00,1,2025,6,IND,ARI,HOME,31,27,58,Lucas Oil Stadium,7,7,3,14,0,27,55,27:55,25,11,13,1,58,355,6.1,4,27,150,5.6,2,30,22,205,2,1,6.8,9.3,73.3,100.0,8,4,50.0,0,0,0.0,4,4,0,0,5,40,0,0,1,7,12,6,3,165,55.0,1,1,0,7,3,14,3,0,32,5,32:05,25,7,17,1,70,400,5.7,3,24,88,3.7,1,44,27,312,2,1,7.1,11.6,61.4,88.45,14,9,64.3,1,0,0.0,6,3,0,0,7,65,0,0,2,8,6,3,2,92,46.0,1,1,0,100.0,0,50.0,0,4,4,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,43,16,2,8,3,0,0,31,27,1,7,4,0,0,Sunday,993005284,14,1,19146,4,1,0,0.5,0
202510729,2025-10-19T16:05:00,1,2025,7,IND,LAC,AWAY,38,24,62,SoFi Stadium,6,17,15,0,0,25,33,25:33,24,9,14,1,58,401,6.9,5,23,120,5.2,3,34,23,281,2,0,8.3,12.2,67.6,112.5,11,5,45.5,3,3,100.0,5,4,0,0,3,42,1,0,1,7,15,4,2,87,43.5,0,2,2,3,0,14,7,0,34,27,34:27,25,4,19,2,74,445,6.0,3,16,54,3.4,0,55,37,391,3,2,7.1,10.6,67.3,90.8,16,8,50.0,4,3,75.0,4,3,0,0,6,35,0,0,3,29,5,3,1,53,53.0,2,0,-2,80.0,0,75.0,0,4,3,0,2,1,0,0,1,1,3,3,0,0,0,0,0,1,1,38,26,3,29,6,0,0,29,20,1,7,4,0,0,Sunday,993005319,14,29,19165,14,1,2,0.4545454545454545,0
202510814,2025-10-26T16:25:00,1,2025,8,IND,TEN,HOME,38,14,52,Lucas Oil Stadium,10,7,14,7,0,25,39,25:39,21,7,14,0,52,420,8.1,5,18,164,9.1,2,31,21,256,3,0,8.3,12.2,67.7,125.2,9,3,33.3,1,1,100.0,4,3,0,0,3,32,0,0,3,16,7,8,4,189,47.2,0,1,1,0,7,0,7,0,34,21,34:21,20,5,13,2,67,341,5.1,2,25,113,4.5,1,38,22,228,1,1,6.0,10.4,57.9,73.14,15,6,40.0,3,1,33.3,3,2,0,0,3,34,0,0,4,31,5,5,5,215,43.0,1,0,-1,75.0,0,66.7,0,5,5,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,38,23,4,31,4,0,0,32,10,3,16,4,0,0,Sunday,993005352,14,34,19181,24,1,1,0.3333333333333333,0
202510928,2025-11-02T13:00:00,1,2025,9,IND,PIT,AWAY,20,27,47,Acrisure Stadium,7,0,0,13,0,31,55,31:55,26,6,17,3,74,368,5.0,2,19,55,2.9,1,50,31,313,1,3,6.3,10.1,62.0,61.5,14,6,42.9,5,5,100.0,2,2,0,0,5,53,4,3,5,29,4,6,2,110,55.0,6,1,-5,0,17,0,10,0,28,5,28:05,17,5,10,2,61,225,3.7,3,23,38,1.7,2,35,25,187,1,0,5.3,7.5,71.4,93.39,12,4,33.3,2,1,50.0,6,3,0,0,8,46,1,1,3,16,6,5,5,252,50.4,1,6,5,100.0,0,50.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,30,32,3,16,3,1,1,38,28,5,29,13,3,3,Sunday,993005363,14,28,19076,-7,0,-5,0.4285714285714285,0
202511014,2025-11-09T09:30:00,1,2025,10,IND,ATL,HOME,31,25,56,Olympiastadion,13,0,0,12,6,40,20,40:20,25,15,10,0,74,519,7.0,4,41,323,7.9,3,26,19,196,1,1,7.5,10.3,73.1,91.19,12,2,16.7,4,2,50.0,4,2,0,0,7,56,4,1,7,59,3,4,1,44,44.0,2,1,-1,7,7,3,8,0,26,9,26:09,22,10,10,2,60,290,4.8,3,29,140,4.8,2,28,12,150,1,0,5.4,12.5,42.9,72.02,8,0,0.0,0,0,0.0,3,3,0,0,3,35,1,1,3,27,7,9,6,263,43.8,1,2,1,50.0,0,100.0,0,2,1,0,2,0,0,0,3,2,2,2,0,2,1,0,0,1,1,27,27,3,27,3,1,1,42,43,7,59,5,4,1,Sunday,993005390,14,2,19050,6,1,-1,0.1666666666666666,0
