gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510124,2025-09-07T13:00:00,1,2025,1,NYJ,PIT,HOME,32,34,66,MetLife Stadium,9,10,7,6,0,34,43,34:43,23,13,9,1,62,394,6.4,4,39,182,4.7,3,22,16,212,1,0,9.6,13.2,72.7,117.99,14,7,50.0,2,1,50.0,4,3,0,0,7,74,1,1,1,6,7,7,2,94,47.0,1,0,-1,7,10,0,17,0,25,17,25:17,19,2,14,3,54,271,5.0,4,20,53,2.6,0,30,22,218,4,0,7.3,9.9,73.3,133.06,10,4,40.0,0,0,0.0,3,3,0,0,4,26,2,0,4,26,6,6,4,190,47.5,0,1,1,75.0,0,100.0,0,2,2,0,3,0,0,0,2,2,4,4,0,0,0,0,0,2,2,31,24,4,26,4,2,0,45,21,1,6,4,1,1,Sunday,993005135,24,28,19061,-2,0,-1,0.5,0
202510224,2025-09-14T13:00:00,1,2025,2,NYJ,BUF,HOME,10,30,40,MetLife Stadium,0,3,0,7,0,21,39,21:39,11,5,5,1,47,154,3.3,1,21,100,4.8,0,22,10,54,1,0,2.5,5.4,45.5,67.61,11,0,0.0,3,3,100.0,1,1,0,0,5,35,3,1,4,29,2,4,7,340,48.6,1,0,-1,10,10,3,7,0,38,21,38:21,25,12,9,4,71,403,5.7,3,43,224,5.2,3,27,15,179,0,0,6.6,11.9,55.6,76.0,14,5,35.7,2,2,100.0,4,2,0,0,6,69,1,0,1,1,7,5,3,130,43.3,0,1,1,100.0,0,50.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,3,38,32,1,1,6,1,0,28,16,4,29,4,3,1,Sunday,993005165,24,4,19090,-20,0,-1,0.0,0
202510333,2025-09-21T13:00:00,1,2025,3,NYJ,TB,AWAY,27,29,56,Raymond James Stadium,3,3,0,21,0,27,49,27:49,21,5,13,3,63,267,4.2,3,23,99,4.3,0,36,26,168,2,1,4.7,6.5,72.2,88.66,11,3,27.3,3,1,33.3,3,2,0,0,7,81,1,1,4,29,2,7,2,97,48.5,2,0,-2,3,17,3,6,0,32,11,32:11,19,4,12,3,64,347,5.4,2,34,122,3.6,0,29,19,225,1,0,7.8,11.8,65.5,100.5,13,4,30.8,0,0,0.0,5,1,0,0,14,124,1,0,1,8,10,9,4,162,40.5,0,2,2,66.7,0,20.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,6,5,39,35,1,8,2,1,0,40,18,4,29,4,1,1,Sunday,993005187,24,33,19106,-2,0,-2,0.2727272727272727,0
202510419,2025-09-29T19:15:00,1,2025,4,NYJ,MIA,AWAY,21,27,48,Hard Rock Stadium,0,3,7,11,0,29,12,29:12,23,9,12,2,57,404,7.1,2,28,197,7.0,1,27,20,207,1,0,7.7,10.4,74.1,108.1,9,4,44.4,2,1,50.0,2,0,0,0,13,101,3,3,2,19,0,2,2,84,42.0,3,0,-3,3,7,14,3,0,30,48,30:48,19,5,12,2,56,300,5.4,3,31,123,4.0,1,25,17,177,2,0,7.1,10.4,68.0,114.92,12,4,33.3,1,1,100.0,4,3,0,0,6,40,2,0,0,0,3,5,4,192,48.0,0,3,3,0.0,0,75.0,0,1,1,0,0,0,1,1,2,2,3,3,0,0,0,0,0,2,2,30,31,0,0,3,1,0,38,18,2,19,3,2,3,Monday,993005241,24,19,19128,-6,0,-3,0.4444444444444444,0
202510524,2025-10-05T13:00:00,1,2025,5,NYJ,DAL,HOME,22,37,59,MetLife Stadium,3,0,3,16,0,34,36,34:36,25,9,14,2,73,378,5.2,2,22,144,6.5,0,46,32,234,2,0,5.1,7.3,69.6,95.74,16,7,43.8,3,1,33.3,3,2,0,0,10,61,1,1,5,49,3,3,4,176,44.0,1,0,-1,3,20,7,7,0,25,24,25:24,22,9,12,1,59,416,7.1,5,29,180,6.2,1,29,18,236,4,0,8.1,13.1,62.1,127.3,13,6,46.2,0,0,0.0,4,3,0,0,11,91,0,0,1,1,14,6,5,228,45.6,0,1,1,66.7,0,75.0,0,0,0,0,4,2,0,0,2,2,5,4,0,0,0,0,0,1,1,32,17,1,1,4,0,0,38,35,5,49,3,1,1,Sunday,993005260,24,9,19135,-15,0,-1,0.4375,0
202510624,2025-10-12T09:30:00,1,2025,6,NYJ,DEN,HOME,11,13,24,Tottenham Hotspur Stadium,6,0,5,0,0,28,52,28:52,8,6,2,0,57,82,1.4,0,31,92,3.0,0,17,9,-10,0,0,-0.6,-1.1,52.9,58.7,15,2,13.3,2,1,50.0,0,0,0,0,2,15,1,0,9,55,3,3,7,355,50.7,0,1,1,10,0,0,3,0,31,8,31:08,12,3,9,0,57,246,4.3,1,26,78,3.0,0,30,19,168,1,0,5.6,8.8,63.3,89.31,15,5,33.3,1,1,100.0,2,1,0,0,6,37,2,1,1,6,15,7,6,291,48.5,1,0,-1,0.0,0,50.0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,2,2,29,31,1,6,2,2,1,36,27,9,55,4,0,0,Sunday,993005276,24,10,19048,-2,0,1,0.1333333333333333,0
202510724,2025-10-19T13:00:00,1,2025,7,NYJ,CAR,HOME,6,13,19,MetLife Stadium,0,3,0,3,0,24,55,24:55,12,3,8,1,60,220,3.7,0,20,81,4.0,0,34,16,139,0,2,4.1,8.7,47.1,33.82,15,7,46.7,1,0,0.0,1,0,0,0,5,26,0,0,6,33,7,6,5,243,48.6,2,0,-2,3,7,3,0,0,35,5,35:05,17,7,10,0,70,302,4.3,1,36,125,3.5,0,32,19,177,1,0,5.5,9.3,59.4,85.03,17,5,29.4,4,3,75.0,3,1,0,0,6,45,1,0,2,21,11,3,6,276,46.0,0,2,2,0.0,0,33.3,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,2,40,29,2,21,7,0,0,28,25,6,33,9,0,0,Sunday,993005312,24,5,19162,-7,0,-2,0.4666666666666667,0
202510807,2025-10-26T13:00:00,1,2025,8,NYJ,CIN,AWAY,39,38,77,Paycor Stadium,0,13,3,23,0,33,40,33:40,25,11,13,1,70,502,7.2,4,37,254,6.9,2,33,22,248,2,0,7.5,11.3,66.7,109.15,15,7,46.7,3,2,66.7,5,3,0,0,4,25,0,0,0,0,2,3,2,81,40.5,0,0,0,10,14,7,7,0,26,20,26:20,24,12,11,1,58,398,6.9,5,23,181,7.9,3,34,21,217,2,0,6.4,10.3,61.8,99.75,9,4,44.4,1,0,0.0,4,3,0,0,2,15,0,0,1,6,1,3,3,174,58.0,0,0,0,60.0,0,75.0,0,2,2,0,2,1,1,1,3,3,5,5,0,0,0,0,0,1,1,27,26,1,6,7,0,0,38,33,0,0,4,0,0,Sunday,993005335,24,7,19175,1,1,0,0.4666666666666667,0
202511024,2025-11-09T13:00:00,1,2025,10,NYJ,CLE,HOME,27,20,47,MetLife Stadium,14,3,0,10,0,25,56,25:56,12,8,1,3,47,169,3.6,3,33,127,3.8,0,11,6,42,1,1,3.8,7.0,54.5,55.87,11,3,27.3,0,0,0.0,2,0,0,0,7,61,0,0,3,12,7,10,5,249,49.8,1,0,-1,7,10,0,3,0,34,4,34:04,23,10,8,5,70,278,4.0,2,32,158,4.9,0,32,17,120,2,0,3.8,7.1,53.1,82.81,16,6,37.5,1,0,0.0,2,1,0,0,10,78,0,0,6,47,8,10,7,351,50.1,0,1,1,0.0,0,50.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,43,22,6,47,3,0,0,29,23,3,12,5,0,0,Sunday,993005394,24,8,19190,7,1,-1,0.2727272727272727,0
202511121,2025-11-13T20:15:00,1,2025,11,NYJ,NE,AWAY,14,27,41,Gillette Stadium,7,0,7,0,0,28,4,28:04,15,10,5,0,57,245,4.3,2,28,140,5.0,1,27,15,105,1,0,3.9,7.0,55.6,76.93,14,8,57.1,1,0,0.0,2,1,0,0,7,62,1,1,2,11,4,4,5,227,45.4,1,0,-1,0,14,7,6,0,31,56,31:56,23,4,16,3,62,336,5.4,3,27,65,2.4,2,34,25,271,1,0,8.0,10.8,73.5,106.37,12,6,50.0,1,1,100.0,5,3,0,0,2,20,0,0,1,10,6,3,3,153,51.0,0,1,1,50.0,0,60.0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,34,29,1,10,3,0,0,34,16,2,11,5,0,1,Thursday,993005415,24,21,19196,-13,0,-1,0.5714285714285714,0
