gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202510126,2025-09-04T20:20:00,1,2025,1,PHI,DAL,HOME,24,20,44,Lincoln Financial Field,7,14,3,0,0,34,52,34:52,20,14,6,0,62,302,4.9,3,38,158,4.2,3,23,19,144,0,0,6.3,7.6,82.6,92.75,13,8,61.5,0,0,0.0,3,3,0,0,9,110,0,0,1,8,1,3,3,146,48.7,0,1,1,7,13,0,0,0,25,8,25:08,22,7,9,6,56,307,5.5,2,22,119,5.4,2,34,21,188,0,0,5.5,9.0,61.8,76.59,11,7,63.6,1,0,0.0,3,2,0,0,4,42,1,1,0,0,5,5,2,87,43.5,1,0,-1,100.0,0,66.7,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,34,23,0,0,6,1,1,36,33,1,8,0,0,0,Thursday,993005118,26,9,19039,4,1,1,0.6153846153846154,0
202510216,2025-09-14T16:25:00,1,2025,2,PHI,KC,AWAY,20,17,37,Arrowhead Stadium,7,3,3,7,0,32,34,32:34,16,9,4,3,58,216,3.7,2,34,122,3.6,2,22,15,94,0,0,4.3,6.3,68.2,76.7,14,5,35.7,1,1,100.0,2,2,0,0,6,48,1,0,2,7,10,4,5,274,54.8,0,1,1,0,10,0,7,0,27,26,27:26,17,9,7,1,57,294,5.2,2,26,121,4.7,1,29,16,173,1,1,6.0,10.8,55.2,70.04,12,4,33.3,3,2,66.7,2,1,0,0,6,45,1,0,2,14,3,5,3,178,59.3,1,0,-1,100.0,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,36,20,2,14,4,1,0,33,30,2,7,4,0,0,Sunday,993005173,26,16,19095,3,1,1,0.3571428571428571,0
202510326,2025-09-21T13:00:00,1,2025,3,PHI,LAR,HOME,33,26,59,Lincoln Financial Field,7,0,14,12,0,30,35,30:35,19,8,9,2,63,288,4.6,5,27,86,3.2,1,32,21,202,3,0,6.3,9.6,65.6,114.32,14,5,35.7,5,4,80.0,3,3,0,0,5,50,1,1,4,24,7,2,4,222,55.5,1,1,0,10,9,7,0,0,29,25,29:25,22,11,10,1,66,356,5.4,2,31,160,5.2,0,34,19,196,2,1,5.8,10.3,55.9,80.02,10,3,30.0,1,0,0.0,4,1,0,0,4,41,0,0,1,0,4,7,1,36,36.0,1,1,0,100.0,0,25.0,0,3,3,0,2,0,0,0,0,0,2,2,0,0,0,0,0,6,4,37,29,1,0,4,0,0,35,25,4,24,6,1,1,Sunday,993005186,26,32,19105,7,1,0,0.3571428571428571,0
202510433,2025-09-28T13:00:00,1,2025,4,PHI,TB,AWAY,31,25,56,Raymond James Stadium,14,10,7,0,0,28,8,28:08,16,5,10,1,58,200,3.4,4,32,88,2.8,1,24,15,112,2,0,4.7,7.5,62.5,101.39,14,5,35.7,1,0,0.0,3,3,0,0,8,83,2,0,2,18,1,4,7,363,51.9,0,2,2,3,3,14,5,0,31,52,31:52,18,5,7,6,68,376,5.5,2,26,104,4.0,0,40,22,272,2,1,6.8,12.4,55.0,82.5,13,3,23.1,3,1,33.3,2,0,0,0,5,40,2,1,2,17,3,11,3,110,36.7,2,0,-2,100.0,0,0.0,0,4,4,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,43,20,2,17,13,2,1,41,12,2,18,5,1,0,Sunday,993005223,26,33,19122,6,1,2,0.3571428571428571,0
202510526,2025-10-05T13:00:00,1,2025,5,PHI,DEN,HOME,17,21,38,Lincoln Financial Field,3,7,7,0,0,25,43,25:43,16,2,11,3,55,302,5.5,2,11,45,4.1,0,38,23,257,2,0,6.8,11.2,60.5,98.25,11,2,18.2,0,0,0.0,2,1,0,0,9,55,0,0,6,23,8,5,7,359,51.3,0,0,0,3,0,0,18,0,34,17,34:17,23,8,12,3,70,358,5.1,2,29,130,4.5,1,39,24,228,1,0,5.8,9.5,61.5,86.27,16,5,31.2,0,0,0.0,3,2,0,0,12,121,0,0,2,14,8,5,7,328,46.9,0,0,0,50.0,0,66.7,0,2,2,0,0,0,0,0,1,1,1,1,0,2,1,0,0,2,2,40,28,2,14,2,0,0,29,16,6,23,9,0,0,Sunday,993005254,26,10,19136,-4,0,0,0.1818181818181818,0
202510623,2025-10-09T20:15:00,1,2025,6,PHI,NYG,AWAY,17,34,51,MetLife Stadium,10,7,0,0,0,29,1,29:01,20,5,14,1,56,339,6.1,2,20,73,3.6,1,33,24,266,1,1,8.1,11.1,72.7,93.75,9,1,11.1,2,2,100.0,3,2,0,0,4,46,1,1,3,17,3,1,4,214,53.5,2,0,-2,13,7,7,7,0,30,59,30:59,25,14,8,3,67,366,5.5,5,39,172,4.4,4,26,17,194,1,0,7.5,11.4,65.4,100.48,16,11,68.8,0,0,0.0,3,3,0,0,6,55,0,0,2,1,3,7,4,171,42.8,0,2,2,66.7,0,100.0,0,2,2,0,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,32,36,2,1,4,0,0,30,29,3,17,4,1,1,Thursday,993005273,26,23,19143,-17,0,-2,0.1111111111111111,0
202510720,2025-10-19T13:00:00,1,2025,7,PHI,MIN,AWAY,28,22,50,U.S. Bank Stadium,7,7,7,7,0,25,58,25:58,13,4,9,0,49,361,7.4,4,23,45,2.0,0,23,19,316,3,0,13.7,16.6,82.6,158.33,10,3,30.0,3,2,66.7,1,0,0,0,8,64,0,0,3,10,8,6,3,146,48.7,0,2,2,3,3,10,6,0,34,2,34:02,21,7,13,1,67,387,5.8,1,23,89,3.9,1,42,26,298,0,2,7.1,11.5,61.9,63.39,15,7,46.7,1,1,100.0,6,1,0,0,3,30,2,0,2,15,4,8,1,34,34.0,2,0,-2,0.0,0,16.7,0,4,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,5,39,18,2,15,3,0,0,30,25,3,10,1,0,0,Sunday,993005307,26,20,19161,6,1,2,0.3,0
202510826,2025-10-26T13:00:00,1,2025,8,PHI,NYG,HOME,38,20,58,Lincoln Financial Field,7,14,3,14,0,33,15,33:15,23,12,10,1,57,427,7.5,5,33,276,8.4,1,20,15,151,4,0,7.6,10.1,75.0,135.62,8,2,25.0,2,2,100.0,3,3,0,0,5,30,0,0,4,28,6,7,1,57,57.0,0,0,0,7,3,3,7,0,26,45,26:45,13,4,9,0,50,246,4.9,2,21,68,3.2,1,24,14,178,1,0,7.4,12.7,58.3,95.49,12,5,41.7,1,1,100.0,3,2,0,0,7,54,0,0,5,15,5,3,4,194,48.5,0,0,0,100.0,0,66.7,0,5,5,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,31,12,5,15,4,0,0,30,26,4,28,4,0,0,Sunday,993005345,26,23,19178,18,1,0,0.25,0
202511012,2025-11-10T20:15:00,1,2025,10,PHI,GB,AWAY,10,7,17,Lambeau Field,0,0,3,7,0,32,5,32:05,13,4,8,1,60,294,4.9,1,34,111,3.3,0,26,15,183,1,0,7.0,12.2,57.7,92.31,16,7,43.8,2,0,0.0,1,0,0,0,7,61,1,1,0,0,8,5,5,238,47.6,1,2,1,0,0,0,7,0,27,55,27:55,18,7,10,1,66,261,4.0,1,27,104,3.9,1,36,20,157,0,0,4.4,7.8,55.6,66.55,13,5,38.5,3,1,33.3,1,1,0,0,4,20,3,2,3,19,0,6,5,239,47.8,2,1,-1,0.0,0,100.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,38,20,3,19,5,2,2,34,25,0,0,2,1,1,Monday,993005413,26,12,19044,3,1,1,0.4375,0
202511126,2025-11-16T20:20:00,1,2025,11,PHI,DET,HOME,16,9,25,Lincoln Financial Field,3,10,0,3,0,35,48,35:48,16,7,6,3,69,272,3.9,1,40,148,3.7,1,28,14,124,0,0,4.4,8.9,50.0,62.2,15,4,26.7,1,0,0.0,3,1,0,0,9,78,2,0,1,11,7,3,7,289,41.3,0,1,1,0,6,0,3,0,24,12,24:12,13,3,10,0,60,317,5.3,1,21,74,3.5,0,37,14,243,1,1,6.6,17.4,37.8,58.73,13,3,23.1,5,0,0.0,1,0,0,0,5,48,0,0,2,12,2,4,4,169,42.2,1,0,-1,33.3,0,0.0,0,1,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,1,1,26,18,2,12,10,0,0,38,28,1,11,3,0,0,Sunday,993005442,26,11,19208,7,1,1,0.2666666666666666,0
