gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202210101,2022-09-11T16:25:00,1,2022,1,ARI,KC,HOME,21,44,65,State Farm Stadium,0,7,0,14,0,25,18,25:18,18,6,12,0,63,282,4.5,3,22,103,4.7,1,38,24,179,2,0,4.7,7.5,63.2,91.89,12,3,25.0,4,3,75.0,3,3,0,0,5,49,3,0,3,26,6,3,5,255,51.0,0,1,1,14,9,14,7,0,34,42,34:42,33,7,22,4,66,488,7.4,6,27,128,4.7,1,39,30,360,5,0,9.2,12.0,76.9,144.23,8,5,62.5,1,1,100.0,6,6,0,0,3,25,5,1,0,0,6,4,2,108,54.0,1,0,-1,100.0,0,100.0,0,1,1,0,4,1,0,0,0,0,6,5,0,0,0,0,0,1,1,45,18,0,0,2,3,1,40,10,3,26,7,1,0,Sunday,993003132,1,16,18018,-23,0,1,0.25,0,,,,,,,,,,,,6.0
202210225,2022-09-18T16:25:00,1,2022,2,ARI,LV,AWAY,29,23,52,Allegiant Stadium,0,0,7,16,6,36,22,36:22,28,11,13,4,78,413,5.3,4,28,143,5.1,2,49,31,270,1,1,5.5,8.7,63.3,76.06,13,3,23.1,5,3,60.0,4,3,0,0,12,120,0,0,1,7,5,3,3,136,45.3,1,1,0,7,13,3,0,0,29,47,29:47,20,4,14,2,61,324,5.3,2,21,80,3.8,0,39,25,244,2,0,6.3,9.8,64.1,98.66,11,6,54.5,0,0,0.0,4,2,0,0,10,68,2,1,1,8,5,1,3,161,53.7,1,1,0,75.0,0,50.0,0,1,1,0,2,1,1,1,0,0,2,2,0,0,0,0,0,3,3,35,22,1,8,4,2,1,41,33,1,7,7,0,0,Sunday,993003161,1,25,18030,6,1,0,0.231,0,,,,,,,,,21.0,44.0,0.0,-8.0
202210301,2022-09-25T16:25:00,1,2022,3,ARI,LAR,HOME,12,20,32,State Farm Stadium,0,6,3,3,0,33,56,33:56,23,8,15,0,81,365,4.5,0,21,70,3.3,0,58,37,295,0,0,5.1,8.0,63.8,76.44,18,6,33.3,5,4,80.0,2,0,0,0,6,50,1,0,2,19,5,3,4,160,40.0,0,1,1,10,3,7,0,0,26,4,26:04,15,5,10,0,46,339,7.4,2,20,100,5.0,2,25,18,239,0,0,9.6,13.3,72.0,101.92,8,3,37.5,0,0,0.0,3,1,0,0,6,35,1,1,1,10,5,5,3,135,45.0,1,0,-1,0.0,0,33.3,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,2,2,28,16,1,10,0,1,1,55,16,2,19,3,0,0,Sunday,993003198,1,32,18059,-8,0,1,0.333,0,,,,,,,,,50.0,67.0,1.0,10.0
202210405,2022-10-02T16:05:00,1,2022,4,ARI,CAR,AWAY,26,16,42,Bank of America Stadium,0,3,7,16,0,38,35,38:35,20,8,10,2,70,338,4.8,3,37,132,3.6,1,32,23,206,2,1,6.4,9.0,71.9,96.61,15,6,40.0,2,0,0.0,5,2,0,0,7,61,2,0,1,1,3,3,3,170,56.7,1,3,2,0,10,0,6,0,21,25,21:25,11,3,8,0,51,220,4.3,2,13,40,3.1,0,36,22,180,1,2,5.0,8.2,61.1,59.95,10,2,20.0,3,1,33.3,1,1,0,0,6,76,4,1,2,17,1,5,4,209,52.2,3,1,-2,40.0,0,100.0,0,2,2,0,1,0,0,0,2,2,1,1,0,2,0,0,0,1,1,25,22,2,17,8,1,1,41,29,1,1,3,1,1,Sunday,993003227,1,5,18271,10,1,2,0.4,0,20.7,29.0,-8.3,353.3,383.6666666666667,0.667,0.271,,62.0,87.0,1.0,-3.0
202210501,2022-10-09T16:25:00,1,2022,5,ARI,PHI,HOME,17,20,37,State Farm Stadium,0,10,0,7,0,25,21,25:21,23,7,16,0,69,363,5.3,2,26,124,4.8,1,42,28,239,1,1,5.7,8.5,66.7,79.37,14,8,57.1,1,1,100.0,2,1,0,0,2,15,0,0,1,11,6,6,4,196,49.0,1,0,-1,7,7,3,3,0,34,39,34:39,24,12,12,0,71,357,5.0,2,33,139,4.2,2,36,26,218,0,0,6.1,8.4,72.2,87.5,13,6,46.2,1,1,100.0,4,2,0,0,3,30,1,0,2,21,2,8,4,188,47.0,0,1,1,50.0,0,50.0,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,46,31,2,21,4,0,0,47,13,1,11,3,0,0,Sunday,993003264,1,26,18176,-3,0,-1,0.571,0,22.3,19.7,2.7,372.0,294.3333333333333,1.0,0.321,,88.0,103.0,2.0,-10.0
202210630,2022-10-16T16:05:00,1,2022,6,ARI,SEA,AWAY,9,19,28,Lumen Field,3,0,6,0,0,30,44,30:44,15,5,10,0,71,315,4.4,1,28,144,5.1,0,37,23,171,0,1,4.6,7.4,62.2,61.88,16,4,25.0,5,1,20.0,2,0,0,0,6,53,3,1,6,51,7,9,4,162,40.5,2,1,-1,3,6,3,7,0,29,16,29:16,19,7,10,2,66,296,4.5,1,30,136,4.5,1,31,20,160,0,0,5.2,8.0,64.5,77.35,14,4,28.6,1,0,0.0,5,1,0,0,6,44,2,1,5,37,7,10,6,293,48.8,1,2,1,0.0,0,20.0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,45,25,5,37,6,1,1,51,22,6,51,4,3,1,Sunday,993003289,1,30,18189,-10,0,-1,0.25,0,18.3,18.7,-0.3,355.3,305.3333333333333,0.667,0.435,0.4,105.0,123.0,2.0,8.0
202210701,2022-10-20T20:15:00,1,2022,7,ARI,NO,HOME,42,34,76,State Farm Stadium,3,25,7,7,0,30,58,30:58,21,9,9,3,60,326,5.4,5,29,137,4.7,2,29,20,189,1,0,6.5,9.4,69.0,98.2,10,3,30.0,1,1,100.0,4,3,0,0,4,20,2,0,2,15,3,4,4,177,44.2,0,3,3,7,7,3,17,0,29,2,29:02,25,7,17,1,71,494,7.0,4,22,85,3.9,0,49,32,409,4,3,8.3,12.8,65.3,92.98,13,6,46.2,1,1,100.0,5,3,0,0,8,49,0,0,0,0,2,8,2,94,47.0,3,0,-3,75.0,0,60.0,0,3,2,0,2,1,1,1,2,2,4,4,0,0,0,0,0,2,2,44,17,0,0,9,0,0,38,22,2,15,2,1,0,Thursday,993003298,1,22,18035,8,1,3,0.3,0,17.3,18.3,-1.0,338.7,291.0,0.0,0.407,0.4,114.0,142.0,2.0,-8.0
202210820,2022-10-30T13:00:00,1,2022,8,ARI,MIN,AWAY,26,34,60,U.S. Bank Stadium,3,7,13,3,0,30,33,30:33,25,5,17,3,70,375,5.4,3,22,78,3.5,0,44,31,297,3,2,6.8,9.6,70.5,92.71,11,4,36.4,1,0,0.0,3,2,0,0,10,67,2,1,4,29,9,4,3,139,46.3,3,1,-2,7,7,14,6,0,29,27,29:27,25,11,11,3,68,381,5.6,5,29,173,6.0,3,36,24,208,2,0,5.8,8.7,66.7,100.23,13,6,46.2,1,0,0.0,5,5,0,0,10,86,1,1,3,24,6,8,5,233,46.6,1,3,2,66.7,0,100.0,0,2,2,0,2,0,0,0,2,2,5,4,0,0,0,0,0,1,0,49,15,3,24,3,1,1,54,6,4,29,9,0,1,Sunday,993003331,1,20,18123,-8,0,-2,0.364,0,22.7,24.3,-1.7,334.7,382.3333333333333,0.333,0.374,0.4,156.0,176.0,3.0,-10.0
202210901,2022-11-06T16:05:00,1,2022,9,ARI,SEA,HOME,21,31,52,State Farm Stadium,7,0,7,7,0,25,29,25:29,15,5,8,2,61,262,4.3,3,21,122,5.8,0,35,25,140,2,0,4.0,5.6,71.4,97.32,14,6,42.9,2,0,0.0,1,1,0,0,12,77,3,1,5,35,8,5,6,288,48.0,1,1,0,3,7,7,14,0,34,31,34:31,27,10,14,3,70,421,6.0,4,34,158,4.6,2,34,26,263,2,1,7.7,10.1,76.5,105.39,15,10,66.7,1,0,0.0,4,4,0,0,6,34,1,0,2,12,5,8,3,162,54.0,1,1,0,100.0,0,100.0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,48,25,2,12,4,0,0,48,10,5,35,4,1,1,Sunday,993003374,1,30,18142,-10,0,0,0.429,0,25.7,29.0,-3.3,338.7,390.3333333333333,0.0,0.305,0.4,182.0,210.0,3.0,10.0
202211032,2022-11-13T16:25:00,1,2022,10,ARI,LAR,AWAY,27,17,44,SoFi Stadium,3,14,0,10,0,32,1,32:01,18,6,11,1,65,298,4.6,3,26,78,3.0,2,37,26,220,1,0,5.9,8.5,70.3,94.43,15,5,33.3,3,3,100.0,4,3,0,0,10,67,3,0,2,18,12,5,5,237,47.4,0,2,2,3,0,7,7,0,27,59,27:59,18,6,12,0,60,256,4.3,2,20,66,3.3,1,37,25,190,1,1,5.1,7.6,67.6,77.53,11,3,27.3,2,2,100.0,3,2,0,0,5,29,2,1,3,19,7,3,5,252,50.4,2,0,-2,75.0,0,66.7,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,40,16,3,19,6,1,1,45,24,2,18,1,1,0,Sunday,993003401,1,32,18072,10,1,2,0.333,0,29.7,33.0,-3.3,321.0,432.0,0.333,0.364,0.2,203.0,241.0,3.0,-28.0
202211101,2022-11-21T20:15:00,1,2022,11,ARI,SF,HOME,10,38,48,Estadio Azteca,3,7,0,0,0,30,51,30:51,19,6,12,1,71,314,4.4,1,24,67,2.8,1,44,30,247,0,2,5.6,8.2,68.2,63.35,16,8,50.0,2,0,0.0,2,1,0,0,5,50,1,0,3,30,4,2,4,181,45.2,2,0,-2,0,17,14,7,0,29,9,29:09,21,7,13,1,57,387,6.8,5,28,159,5.7,1,29,20,228,4,0,7.9,11.4,69.0,131.9,11,6,54.5,0,0,0.0,2,2,0,0,3,30,0,0,0,0,9,9,4,218,54.5,0,2,2,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,1,1,36,22,0,0,4,0,0,50,12,3,30,6,1,0,Monday,993003436,1,31,18000,-28,0,-2,0.5,0,24.7,27.3,-2.7,311.7,352.6666666666667,0.0,0.375,0.4,230.0,258.0,4.0,-1.0
202211201,2022-11-27T16:05:00,1,2022,12,ARI,LAC,HOME,24,25,49,State Farm Stadium,7,10,0,7,0,30,35,30:35,20,9,10,1,64,366,5.7,3,34,181,5.3,1,29,18,185,2,1,6.4,10.3,62.1,89.01,13,7,53.8,1,0,0.0,2,2,0,0,3,19,1,1,1,6,13,8,3,150,50.0,2,0,-2,0,14,3,8,0,29,25,29:25,22,4,18,0,64,311,4.9,3,13,65,5.0,0,47,35,246,3,0,5.2,7.0,74.5,107.23,13,6,46.2,0,0,0.0,3,2,0,0,4,30,1,0,4,28,1,3,6,234,39.0,0,2,2,100.0,0,66.7,0,3,3,0,0,0,0,0,2,1,2,2,0,2,1,0,0,1,1,45,10,4,28,6,1,0,45,19,1,6,5,1,1,Sunday,993003458,1,29,18098,-1,0,-2,0.538,0,19.3,28.7,-9.3,291.3,354.6666666666667,0.0,0.421,0.4,240.0,296.0,4.0,-14.0
202211401,2022-12-12T20:15:00,1,2022,14,ARI,NE,HOME,13,27,40,State Farm Stadium,0,13,0,0,0,33,31,33:31,19,5,11,3,69,323,4.7,1,22,113,5.1,1,41,28,210,0,1,5.1,7.5,68.3,70.17,14,4,28.6,5,1,20.0,3,1,0,0,8,48,2,1,6,45,1,4,2,97,48.5,2,1,-1,0,10,10,7,0,26,29,26:29,18,4,13,1,57,328,5.8,3,21,103,4.9,2,35,24,225,0,1,6.4,9.4,68.6,74.11,11,3,27.3,0,0,0.0,4,2,0,0,8,80,1,0,1,10,9,6,6,253,42.2,1,2,1,33.3,0,50.0,0,1,1,0,0,0,0,0,3,2,3,3,0,0,0,0,0,2,2,33,19,1,10,5,0,0,47,31,6,45,4,1,1,Monday,993003524,1,21,18205,-14,0,-1,0.286,0,20.3,26.7,-6.3,326.0,318.0,-0.667,0.457,0.2,264.0,321.0,4.0,-9.0
202211510,2022-12-18T16:05:00,1,2022,15,ARI,DEN,AWAY,15,24,39,Empower Field at Mile High,0,6,3,6,0,27,2,27:02,13,4,8,1,59,240,4.1,1,20,73,3.6,1,36,20,167,0,3,4.6,8.4,55.6,32.99,12,2,16.7,0,0,0.0,1,1,0,0,7,46,0,0,3,6,9,8,6,299,49.8,3,2,-1,3,0,7,14,0,32,58,32:58,23,12,10,1,67,324,4.8,3,34,168,4.9,2,26,21,156,1,1,6.0,7.4,80.8,88.46,11,4,36.4,0,0,0.0,3,3,0,0,4,31,3,1,7,41,7,2,5,224,44.8,2,3,1,100.0,0,100.0,0,0,0,0,2,0,0,0,3,3,3,3,0,0,0,0,0,2,1,43,37,7,41,4,1,1,32,31,3,6,6,0,0,Sunday,993003545,1,10,18217,-9,0,-1,0.167,0,15.7,30.0,-14.3,334.3,342.0,-1.667,0.441,0.2,277.0,348.0,4.0,-3.0
202211601,2022-12-25T20:20:00,1,2022,16,ARI,TB,HOME,16,19,35,State Farm Stadium,3,3,0,10,0,29,22,29:22,16,8,8,0,74,325,4.4,1,27,121,4.5,1,46,25,204,0,1,4.4,8.2,54.3,56.79,19,5,26.3,1,1,100.0,1,0,0,0,6,74,2,2,1,17,4,4,7,322,46.0,3,2,-1,3,3,0,10,3,36,57,36:57,21,5,15,1,78,396,5.1,1,30,115,3.8,0,48,32,281,1,2,5.9,8.8,66.7,71.61,17,6,35.3,2,1,50.0,3,1,0,0,5,30,0,0,0,0,7,5,5,244,48.8,2,3,1,0.0,0,33.3,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,4,4,57,31,0,0,7,0,0,50,20,1,17,5,1,2,Sunday,993003586,1,33,18159,-3,0,-1,0.263,0,17.3,25.3,-8.0,309.7,321.0,-1.333,0.33,0.2,292.0,372.0,4.0,-1.0
