gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202210130,2022-09-12T20:15:00,1,2022,1,DEN,SEA,AWAY,16,17,33,Lumen Field,3,10,0,3,0,33,39,33:39,20,5,13,2,64,433,6.8,1,20,103,5.2,0,42,29,330,1,0,7.9,11.4,69.0,100.3,15,8,53.3,1,0,0.0,4,0,0,0,12,106,2,2,2,10,4,3,1,36,36.0,2,1,-1,7,10,0,0,0,26,21,26:21,19,3,9,7,49,253,5.2,2,19,76,4.0,0,28,23,177,2,0,6.3,7.7,82.1,116.82,11,6,54.5,1,0,0.0,2,0,0,0,5,77,3,1,2,18,8,6,2,101,50.5,1,2,1,0.0,0,0.0,0,1,1,0,0,0,0,0,4,3,2,2,0,0,0,0,0,1,1,31,23,2,18,2,3,1,45,18,2,10,4,2,2,Monday,993003139,10,30,18021,-1,0,-1,0.533,0,,,,,,,,,,,,7.0
202210210,2022-09-18T16:25:00,1,2022,2,DEN,HOU,HOME,16,9,25,Empower Field at Mile High,3,3,0,10,0,32,33,32:33,20,5,11,4,65,350,5.4,1,31,149,4.8,0,31,14,201,1,1,6.5,14.4,45.2,64.05,12,3,25.0,1,1,100.0,2,0,0,0,13,100,0,0,3,18,6,4,5,214,42.8,1,0,-1,3,3,3,0,0,27,27,27:27,15,7,6,2,59,234,4.0,0,18,80,4.4,0,38,19,154,0,0,4.1,8.1,50.0,60.64,13,2,15.4,3,1,33.3,1,0,0,0,8,94,2,0,3,23,7,5,5,268,53.6,0,1,1,0.0,0,0.0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,33,16,3,23,4,2,0,40,19,3,18,6,0,0,Sunday,993003166,10,13,18029,7,1,-1,0.25,0,,,,,,,,,16.0,17.0,0.0,1.0
202210310,2022-09-25T20:20:00,1,2022,3,DEN,SF,HOME,11,10,21,Empower Field at Mile High,0,3,2,6,0,34,29,34:29,14,5,8,1,70,261,3.7,1,33,101,3.1,1,33,20,160,0,0,4.8,8.0,60.6,72.79,19,6,31.6,0,0,0.0,1,1,0,0,5,30,2,0,4,24,6,5,10,476,47.6,0,3,3,7,0,0,3,0,25,31,25:31,13,3,9,1,52,267,5.1,1,19,88,4.6,0,29,18,179,1,1,6.2,9.9,62.1,76.65,10,1,10.0,0,0,0.0,1,1,0,0,7,40,3,2,4,32,9,7,7,362,51.7,3,0,-3,100.0,0,100.0,0,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0,1,1,29,23,4,32,6,1,2,41,34,4,24,5,2,0,Sunday,993003202,10,31,18061,1,1,3,0.316,0,,,,,,,,,32.0,26.0,1.0,-9.0
202210425,2022-10-02T16:25:00,1,2022,4,DEN,LV,AWAY,23,32,55,Allegiant Stadium,7,9,0,7,0,25,8,25:08,12,5,7,0,48,299,6.2,3,20,85,4.2,1,25,17,214,2,0,8.6,12.6,68.0,121.08,11,3,27.3,2,1,50.0,3,2,0,0,7,50,1,1,3,23,5,7,5,241,48.2,1,0,-1,3,16,3,10,0,34,52,34:52,25,14,11,0,74,385,5.2,3,38,212,5.6,2,34,21,173,0,0,5.1,8.2,61.8,74.75,14,7,50.0,0,0,0.0,5,2,0,0,4,25,0,0,2,15,4,7,4,215,53.8,0,1,1,66.7,0,40.0,0,3,2,0,0,0,0,0,1,1,3,2,0,0,0,0,0,4,4,48,23,2,15,4,0,0,27,19,3,23,1,1,1,Sunday,993003231,10,25,18273,-9,0,-1,0.273,0,14.3,12.0,2.3,348.0,251.33333333333334,0.333,0.366,,43.0,36.0,2.0,-3.0
202210510,2022-10-06T20:15:00,1,2022,5,DEN,IND,HOME,9,12,21,Empower Field at Mile High,3,3,3,0,0,32,51,32:51,18,6,11,1,71,375,5.3,0,28,125,4.5,0,39,21,250,0,2,6.4,11.9,53.8,52.3,15,2,13.3,2,1,50.0,4,0,0,0,7,49,2,0,4,24,12,7,5,229,45.8,2,2,0,0,3,3,3,3,34,36,34:36,19,4,14,1,73,306,4.2,0,26,106,4.1,0,41,26,200,0,2,4.9,7.7,63.4,54.93,16,4,25.0,0,0,0.0,2,0,0,0,8,64,4,0,6,51,8,4,7,310,44.3,2,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,4,38,40,6,51,5,3,0,40,25,4,24,7,2,1,Thursday,993003238,10,14,18164,-3,0,0,0.133,0,16.7,17.0,-0.3,303.3,295.3333333333333,0.333,0.28,,66.0,68.0,2.0,-3.0
202210629,2022-10-17T20:15:00,1,2022,6,DEN,LAC,AWAY,16,19,35,SoFi Stadium,10,3,0,3,0,28,33,28:33,13,3,8,2,55,258,4.7,1,23,98,4.3,0,28,15,160,1,0,5.7,10.7,53.6,82.44,14,4,28.6,0,0,0.0,1,0,0,0,10,151,3,1,4,28,8,6,7,323,46.1,1,1,0,0,10,3,3,3,38,49,38:49,24,7,10,7,83,297,3.6,1,24,73,3.0,1,57,37,224,0,1,3.9,6.1,64.9,65.24,22,11,50.0,3,1,33.3,4,1,0,0,9,89,0,0,2,14,6,7,4,176,44.0,1,1,0,0.0,0,25.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,4,4,57,22,2,14,9,0,0,37,16,4,28,3,1,1,Monday,993003295,10,29,18192,-3,0,0,0.286,0,14.3,18.0,-3.7,311.7,319.3333333333333,0.667,0.241,0.4,75.0,80.0,2.0,-7.0
202210710,2022-10-23T16:05:00,1,2022,7,DEN,NYJ,HOME,9,16,25,Empower Field at Mile High,6,3,0,0,0,32,23,32:23,21,7,10,4,75,324,4.3,1,28,105,3.8,1,46,24,219,0,1,4.8,9.1,52.2,56.34,16,5,31.2,3,1,33.3,2,1,0,0,4,34,1,0,1,6,5,2,6,240,40.0,1,0,-1,7,3,0,6,0,27,37,27:37,10,4,5,1,53,260,4.9,1,24,155,6.5,1,26,16,105,0,0,4.0,6.6,61.5,70.19,14,3,21.4,0,0,0.0,1,0,0,0,11,85,0,0,3,16,7,1,8,438,54.8,0,1,1,50.0,0,0.0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,3,3,31,24,3,16,1,0,0,42,21,1,6,9,0,0,Sunday,993003314,10,24,18043,-7,0,-1,0.312,0,16.0,21.0,-5.0,310.7,329.3333333333333,-0.333,0.231,0.4,91.0,99.0,2.0,4.0
202210815,2022-10-30T09:30:00,1,2022,8,DEN,JAX,AWAY,21,17,38,Wembley Stadium,0,7,7,7,0,25,56,25:56,18,7,11,0,61,331,5.4,3,28,101,3.6,2,30,18,230,1,1,7.7,12.8,60.0,81.25,11,2,18.2,3,2,66.7,3,3,0,0,12,80,0,0,3,22,2,6,6,306,51.0,1,2,1,7,3,0,7,0,34,4,34:04,24,12,6,6,65,305,4.7,2,32,191,6.0,1,31,18,114,1,2,3.7,6.3,58.1,49.66,11,4,36.4,0,0,0.0,3,1,0,0,5,54,2,0,2,19,8,2,6,287,47.8,2,1,-1,100.0,0,33.3,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,44,23,2,19,3,1,0,37,28,3,22,5,0,0,Sunday,993003327,10,15,17998,4,1,1,0.182,0,11.3,15.7,-4.3,319.0,287.6666666666667,-0.333,0.244,0.2,100.0,115.0,2.0,-7.0
202211034,2022-11-13T13:00:00,1,2022,10,DEN,TEN,AWAY,10,17,27,Nissan Stadium,0,10,0,0,0,33,57,33:57,18,5,10,3,73,313,4.3,1,25,65,2.6,0,42,21,248,1,1,5.9,11.8,50.0,66.37,17,4,23.5,3,2,66.7,0,0,0,0,8,50,3,0,6,38,4,2,9,411,45.7,1,1,0,0,7,7,3,0,26,3,26:03,14,2,11,1,60,307,5.1,2,23,63,2.7,0,36,19,244,2,0,6.8,12.8,52.8,92.82,16,6,37.5,0,0,0.0,2,1,0,0,9,60,2,1,1,11,18,9,8,432,54.0,1,1,0,0.0,0,50.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,33,26,1,11,8,1,1,43,25,6,38,7,1,0,Sunday,993003397,10,34,18066,-7,0,0,0.235,0,15.3,17.3,-2.0,304.3,287.3333333333333,0.0,0.26,0.2,121.0,132.0,3.0,-6.0
202211110,2022-11-20T16:05:00,1,2022,11,DEN,LV,HOME,16,22,38,Empower Field at Mile High,7,3,0,6,0,28,57,28:57,19,6,11,2,62,320,5.2,1,28,94,3.4,1,31,24,226,0,0,7.3,9.4,77.4,96.98,12,3,25.0,0,0,0.0,2,1,0,0,5,45,2,0,3,21,4,3,4,187,46.8,0,0,0,0,7,3,6,6,32,39,32:39,20,8,10,2,62,407,6.6,2,24,109,4.5,0,37,23,298,2,0,8.1,13.0,62.2,105.46,11,3,27.3,0,0,0.0,1,0,0,0,9,98,0,0,1,9,10,6,4,187,46.8,0,0,0,50.0,0,0.0,0,1,1,0,0,0,0,0,4,3,1,1,0,0,0,0,0,4,3,35,26,1,9,4,0,0,42,24,3,21,0,2,0,Sunday,993003428,10,25,18084,-6,0,0,0.25,0,13.3,16.7,-3.3,322.7,290.6666666666667,0.0,0.243,0.2,131.0,149.0,3.0,-13.0
