gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202210129,2022-09-11T16:25:00,1,2022,1,LV,LAC,AWAY,19,24,43,SoFi Stadium,3,0,10,6,0,27,28,27:28,18,1,17,0,56,320,5.7,2,13,64,4.9,0,37,22,256,2,3,6.9,11.6,59.5,64.7,11,5,45.5,2,1,50.0,3,2,0,0,3,11,3,0,6,39,3,5,2,106,53.0,3,0,-3,3,14,7,0,0,32,32,32:32,18,5,12,1,65,355,5.5,3,31,76,2.5,0,34,26,279,3,0,8.2,10.7,76.5,129.41,14,6,42.9,1,0,0.0,3,2,0,0,5,21,1,0,0,0,9,5,4,196,49.0,0,3,3,66.7,0,66.7,0,1,1,0,2,0,0,0,2,2,3,3,0,0,0,0,0,2,1,50,21,0,0,1,1,0,37,12,6,39,6,3,0,Sunday,993003133,25,29,18019,-5,0,-3,0.455,0,,,,,,,,,,,,-6.0
202210225,2022-09-18T16:25:00,1,2022,2,LV,ARI,HOME,23,29,52,Allegiant Stadium,7,13,3,0,0,29,47,29:47,20,4,14,2,61,324,5.3,2,21,80,3.8,0,39,25,244,2,0,6.3,9.8,64.1,98.66,11,6,54.5,0,0,0.0,4,2,0,0,10,68,2,1,1,8,5,1,3,161,53.7,1,1,0,0,0,7,16,6,36,22,36:22,28,11,13,4,78,413,5.3,4,28,143,5.1,2,49,31,270,1,1,5.5,8.7,63.3,76.06,13,3,23.1,5,3,60.0,4,3,0,0,12,120,0,0,1,7,5,3,3,136,45.3,1,1,0,50.0,0,75.0,0,2,2,0,0,0,0,0,3,3,1,1,0,2,1,1,1,0,0,41,33,1,7,7,0,0,35,22,1,8,4,2,1,Sunday,993003162,25,1,18030,-6,0,0,0.545,0,,,,,,,,,19.0,24.0,0.0,-2.0
202210334,2022-09-25T13:00:00,1,2022,3,LV,TEN,AWAY,22,24,46,Nissan Stadium,3,7,3,9,0,30,45,30:45,24,7,14,3,65,396,6.1,2,19,96,5.1,0,45,27,300,2,1,6.7,11.1,60.0,85.42,12,1,8.3,3,3,100.0,6,2,0,0,6,44,2,0,1,7,5,2,3,144,48.0,1,1,0,7,17,0,0,0,29,15,29:15,19,6,13,0,55,361,6.6,3,27,109,4.0,2,27,19,252,1,1,9.3,13.3,70.4,96.53,10,5,50.0,1,0,0.0,3,3,0,0,7,85,1,0,1,12,5,4,3,181,60.3,1,1,0,33.3,0,100.0,0,1,1,0,2,0,0,0,3,3,3,3,0,0,0,0,0,1,1,38,18,1,12,5,1,0,37,22,1,7,6,1,0,Sunday,993003183,25,34,18051,-2,0,0,0.083,0,,,,,,,,,42.0,53.0,0.0,9.0
202210425,2022-10-02T16:25:00,1,2022,4,LV,DEN,HOME,32,23,55,Allegiant Stadium,3,16,3,10,0,34,52,34:52,25,14,11,0,74,385,5.2,3,38,212,5.6,2,34,21,173,0,0,5.1,8.2,61.8,74.75,14,7,50.0,0,0,0.0,5,2,0,0,4,25,0,0,2,15,4,7,4,215,53.8,0,1,1,7,9,0,7,0,25,8,25:08,12,5,7,0,48,299,6.2,3,20,85,4.2,1,25,17,214,2,0,8.6,12.6,68.0,121.08,11,3,27.3,2,1,50.0,3,2,0,0,7,50,1,1,3,23,5,7,5,241,48.2,1,0,-1,40.0,0,66.7,0,3,2,0,0,0,0,0,4,4,3,2,0,0,0,0,0,1,1,27,19,3,23,1,1,1,48,23,2,15,4,0,0,Sunday,993003232,25,10,18273,9,1,1,0.5,0,21.3,25.7,-4.3,346.7,376.3333333333333,-1.0,0.361,,64.0,77.0,0.0,-1.0
202210516,2022-10-10T20:15:00,1,2022,5,LV,KC,AWAY,29,30,59,Arrowhead Stadium,7,13,0,9,0,28,53,28:53,18,9,6,3,56,378,6.8,3,24,155,6.5,1,30,19,223,2,0,7.4,11.7,63.3,108.06,12,5,41.7,2,1,50.0,1,1,0,0,11,99,1,0,2,18,6,5,2,104,52.0,0,0,0,0,10,14,6,0,31,7,31:07,29,7,18,4,69,368,5.3,4,23,103,4.5,0,43,29,265,4,0,6.2,9.1,67.4,114.97,12,7,58.3,0,0,0.0,4,4,0,0,5,72,0,0,3,27,7,2,3,145,48.3,0,0,0,100.0,0,100.0,0,2,2,0,1,0,0,0,3,3,3,3,0,2,0,0,0,2,1,43,17,3,27,2,0,0,35,17,2,18,1,1,0,Monday,993003267,25,16,18178,-1,0,0,0.417,0,25.7,25.3,0.3,368.3,357.6666666666667,0.333,0.376,,96.0,100.0,1.0,18.0
202210725,2022-10-23T16:05:00,1,2022,7,LV,HOU,HOME,38,20,58,Allegiant Stadium,3,7,7,21,0,30,43,30:43,25,11,13,1,55,400,7.3,5,27,164,6.1,3,27,21,236,1,0,8.7,11.2,77.8,115.43,9,4,44.4,1,1,100.0,3,3,0,0,5,44,2,0,1,5,9,3,2,93,46.5,0,1,1,0,10,10,0,0,29,17,29:17,21,9,12,0,65,404,6.2,2,23,108,4.7,0,41,28,296,2,1,7.2,10.6,68.3,95.17,15,9,60.0,2,1,50.0,3,1,0,0,3,14,0,0,1,6,3,4,1,55,55.0,1,0,-1,100.0,0,33.3,0,5,5,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,2,40,28,1,6,3,0,0,41,7,1,5,1,0,0,Sunday,993003316,25,13,18044,18,1,1,0.444,0,27.7,25.7,2.0,386.3,342.6666666666667,0.333,0.333,0.2,125.0,130.0,1.0,-24.0
202210822,2022-10-30T13:00:00,1,2022,8,LV,NO,AWAY,0,24,24,Caesars Superdome,0,0,0,0,0,25,9,25:09,13,2,9,2,56,183,3.3,0,13,38,2.9,0,39,23,145,0,1,3.7,6.3,59.0,56.04,14,5,35.7,3,2,66.7,1,0,0,0,6,59,0,0,4,28,0,2,5,229,45.8,1,0,-1,7,10,7,0,0,34,51,34:51,22,9,12,1,63,367,5.8,3,32,136,4.2,1,31,23,231,2,0,7.5,10.0,74.2,116.47,12,7,58.3,1,0,0.0,3,2,0,0,5,27,0,0,0,0,10,8,2,80,40.0,0,1,1,0.0,0,66.7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,1,43,27,0,0,2,0,0,30,18,4,28,7,0,0,Sunday,993003333,25,22,18124,-24,0,-1,0.357,0,33.0,24.3,8.7,387.7,357.0,0.667,0.454,0.4,163.0,150.0,2.0,-7.0
202210915,2022-11-06T13:00:00,1,2022,9,LV,JAX,AWAY,20,27,47,TIAA Bank Field,7,13,0,0,0,27,35,27:35,16,5,11,0,57,321,5.6,2,19,73,3.8,0,36,21,248,2,0,6.9,11.8,58.3,97.92,12,3,25.0,3,1,33.3,1,0,0,0,5,45,1,1,2,11,4,3,4,196,49.0,1,1,0,0,10,7,10,0,32,25,32:25,22,10,12,0,68,403,5.9,3,37,168,4.5,2,31,25,235,1,0,7.6,9.4,80.6,109.01,15,9,60.0,0,0,0.0,4,3,0,0,4,30,1,1,0,0,3,7,3,163,54.3,1,1,0,0.0,0,75.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,2,47,30,0,0,2,0,1,33,19,2,11,6,1,1,Sunday,993003359,25,15,18141,-7,0,0,0.25,0,22.3,24.7,-2.3,320.3,379.6666666666667,0.0,0.406,0.4,163.0,174.0,2.0,-5.0
202211025,2022-11-13T16:05:00,1,2022,10,LV,IND,HOME,20,25,45,Allegiant Stadium,0,7,7,6,0,30,59,30:59,18,7,10,1,64,309,4.8,3,24,77,3.2,1,38,24,232,2,0,6.1,9.7,63.2,97.7,13,5,38.5,3,1,33.3,3,2,0,0,10,74,1,0,2,16,1,2,5,294,58.8,0,1,1,7,6,6,6,0,29,1,29:01,20,8,10,2,59,415,7.0,3,30,207,6.9,2,28,21,208,1,0,7.4,9.9,75.0,107.44,11,6,54.5,0,0,0.0,2,1,0,0,4,25,2,1,1,14,5,4,3,143,47.7,1,0,-1,66.7,0,50.0,0,2,2,0,2,0,0,0,0,0,1,1,0,4,0,0,0,3,2,35,31,1,14,4,2,1,37,21,2,16,8,0,0,Sunday,993003400,25,14,18071,-5,0,1,0.385,0,19.3,23.7,-4.3,301.3,391.3333333333333,0.0,0.351,0.4,183.0,201.0,2.0,6.0
202211110,2022-11-20T16:05:00,1,2022,11,LV,DEN,AWAY,22,16,38,Empower Field at Mile High,0,7,3,6,6,32,39,32:39,20,8,10,2,62,407,6.6,2,24,109,4.5,0,37,23,298,2,0,8.1,13.0,62.2,105.46,11,3,27.3,0,0,0.0,1,0,0,0,9,98,0,0,1,9,10,6,4,187,46.8,0,0,0,7,3,0,6,0,28,57,28:57,19,6,11,2,62,320,5.2,1,28,94,3.4,1,31,24,226,0,0,7.3,9.4,77.4,96.98,12,3,25.0,0,0,0.0,2,1,0,0,5,45,2,0,3,21,4,3,4,187,46.8,0,0,0,0.0,0,50.0,0,1,1,0,0,0,0,0,4,3,1,1,0,0,0,0,0,4,3,42,24,3,21,0,2,0,35,26,1,9,4,0,0,Sunday,993003427,25,10,18084,6,1,0,0.273,0,13.3,25.3,-12.0,271.0,395.0,0.0,0.331,0.2,203.0,226.0,2.0,6.0
