gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310124,2023-09-11T20:15:00,1,2023,1,BUF,NYJ,AWAY,16,22,38,MetLife Stadium,3,10,0,3,0,33,8,33:08,19,8,11,0,68,314,4.6,1,22,97,4.4,0,41,29,217,1,3,5.3,7.5,70.7,60.72,13,5,38.5,0,0,0.0,2,1,0,0,5,40,2,1,5,19,8,6,3,141,47.0,4,1,-3,0,3,3,10,6,27,50,27:50,13,5,7,1,53,289,5.5,2,28,172,6.1,0,22,14,117,1,1,5.3,8.4,63.6,73.48,13,5,38.5,1,1,100.0,3,1,0,0,2,10,1,0,3,23,9,8,4,174,43.5,1,4,3,50.0,0,33.3,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,3,3,37,24,3,23,2,1,0,52,19,5,19,4,1,1,Monday,993003807,4,24,18344,-6,0,-3,0.385,0,,,,,,,,,,,,28.0
202310204,2023-09-17T13:00:00,1,2023,2,BUF,LV,HOME,38,10,48,Highmark Stadium,7,14,7,10,0,40,4,40:04,29,10,17,2,74,450,6.1,5,35,183,5.2,2,37,31,267,3,0,7.2,8.6,83.8,123.76,13,7,53.8,4,3,75.0,7,5,0,0,4,30,0,0,2,7,2,3,1,54,54.0,0,3,3,7,3,0,0,0,19,56,19:56,13,2,10,1,39,240,6.2,1,15,55,3.7,0,24,16,185,1,2,7.7,11.6,66.7,68.92,7,3,42.9,0,0,0.0,2,1,0,0,2,30,1,1,0,0,2,4,3,149,49.7,3,0,-3,71.4,0,50.0,0,5,5,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,26,15,0,0,5,1,1,54,26,2,7,2,0,0,Sunday,993003818,4,25,18558,28,1,3,0.538,0,,,,,,,,,16.0,22.0,0.0,34.0
202310335,2023-09-24T13:00:00,1,2023,3,BUF,WAS,AWAY,37,3,40,FedEx Field,10,6,0,21,0,34,39,34:39,20,10,10,0,65,386,5.9,4,33,168,5.1,2,32,20,218,1,1,6.8,10.9,62.5,79.95,15,9,60.0,1,0,0.0,4,2,0,0,6,45,0,0,0,0,15,10,1,70,70.0,1,5,4,0,0,0,3,0,25,21,25:21,15,5,8,2,51,230,4.5,0,13,105,8.1,0,29,19,125,0,4,4.3,6.6,65.5,35.06,9,1,11.1,1,0,0.0,2,0,0,0,2,15,1,1,9,45,1,4,3,150,50.0,5,1,-4,50.0,0,0.0,0,4,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,31,21,9,45,5,1,1,44,25,0,0,8,0,0,Sunday,993003849,4,35,18461,34,1,4,0.6,0,,,,,,,,,54.0,32.0,1.0,28.0
202310404,2023-10-01T13:00:00,1,2023,4,BUF,MIA,HOME,48,20,68,Highmark Stadium,14,17,10,7,0,30,22,30:22,24,8,14,2,56,414,7.4,6,29,104,3.6,2,25,21,310,4,0,12.4,14.8,84.0,157.92,10,5,50.0,0,0,0.0,6,5,0,0,4,20,0,0,2,10,9,5,2,93,46.5,0,2,2,7,7,6,0,0,29,38,29:38,20,8,12,0,58,393,6.8,3,19,142,7.5,2,35,25,251,1,1,7.2,10.0,71.4,89.11,10,3,30.0,3,0,0.0,4,3,0,0,8,98,4,1,4,31,3,6,3,138,46.0,2,0,-2,83.3,0,75.0,0,6,6,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,43,10,4,31,5,2,1,38,16,2,10,3,0,0,Sunday,993003880,4,19,18501,28,1,2,0.5,0,30.3,11.7,18.7,383.3,253.0,1.333,0.508,,91.0,35.0,2.0,-5.0
202310504,2023-10-08T09:30:00,1,2023,5,BUF,JAX,HOME,20,25,45,Tottenham Hotspur Stadium,0,7,0,13,0,21,48,21:48,18,3,13,2,54,388,7.2,3,14,29,2.1,1,40,27,359,2,1,9.0,13.3,67.5,101.98,12,5,41.7,0,0,0.0,3,3,0,0,11,109,2,1,0,0,8,5,6,258,43.0,2,2,0,11,0,0,14,0,38,12,38:12,29,9,16,4,82,474,5.8,3,40,196,4.9,2,37,25,278,1,0,7.5,11.1,67.6,98.7,18,10,55.6,0,0,0.0,4,2,0,0,8,56,4,2,5,37,6,3,5,247,49.4,2,2,0,100.0,0,50.0,0,2,2,0,2,0,0,0,0,0,2,2,0,0,0,1,1,1,1,58,28,5,37,7,3,2,32,9,0,0,3,1,1,Sunday,993003908,4,15,18333,-5,0,0,0.417,0,41.0,11.0,30.0,416.7,287.6666666666667,3.0,0.546,,139.0,55.0,3.0,5.0
202310604,2023-10-15T20:20:00,1,2023,6,BUF,NYG,HOME,14,9,23,Highmark Stadium,0,0,0,14,0,28,36,28:36,22,7,12,3,59,297,5.0,2,29,128,4.4,0,30,19,169,2,1,5.6,8.9,63.3,86.67,12,6,50.0,0,0,0.0,2,2,0,0,7,51,1,1,0,0,5,8,3,127,42.3,2,0,-2,3,3,0,3,0,31,24,31:24,20,5,11,4,73,317,4.3,0,34,132,3.9,0,36,24,185,0,0,5.1,7.7,66.7,79.05,19,10,52.6,2,1,50.0,5,0,0,0,9,65,1,0,3,15,1,2,4,202,50.5,0,2,2,100.0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,50,23,3,15,2,0,0,40,16,0,0,3,1,1,Sunday,993003960,4,23,18370,5,1,-2,0.5,0,35.0,16.0,19.0,396.0,365.6666666666667,2.0,0.506,0.6,159.0,80.0,3.0,-4.0
202310721,2023-10-22T13:00:00,1,2023,7,BUF,NE,AWAY,25,29,54,Gillette Stadium,0,3,7,15,0,32,14,32:14,24,7,14,3,66,339,5.1,3,24,81,3.4,1,41,27,258,2,1,6.3,9.6,65.9,89.28,12,5,41.7,3,2,66.7,4,2,0,0,9,46,1,1,1,7,4,5,1,55,55.0,2,1,-1,10,3,3,13,0,27,46,27:46,21,6,13,2,55,364,6.6,3,24,96,4.0,1,30,25,268,2,0,8.9,10.7,83.3,126.11,9,4,44.4,0,0,0.0,5,3,0,0,8,59,1,1,1,4,6,3,2,110,55.0,1,2,1,50.0,0,60.0,0,2,2,0,2,1,0,0,2,1,2,2,0,1,0,0,0,3,3,44,19,1,4,2,1,1,42,23,1,7,3,1,1,Sunday,993003973,4,21,18518,-4,0,-1,0.417,0,27.3,18.0,9.3,366.3,394.6666666666667,0.0,0.472,0.8,173.0,89.0,4.0,6.0
202310804,2023-10-26T20:15:00,1,2023,8,BUF,TB,HOME,24,18,42,Highmark Stadium,3,14,7,0,0,31,57,31:57,25,8,16,1,68,427,6.3,3,26,115,4.4,1,40,31,312,2,1,7.8,10.1,77.5,105.42,13,7,53.8,1,0,0.0,4,2,0,0,9,86,0,0,2,12,10,3,4,180,45.0,1,0,-1,0,10,0,8,0,28,3,28:03,17,3,10,4,62,302,4.9,2,17,78,4.6,0,42,25,224,2,0,5.3,9.0,59.5,89.78,15,4,26.7,1,1,100.0,1,1,0,0,11,74,2,0,3,13,3,4,6,305,50.8,0,1,1,50.0,0,100.0,0,3,3,0,0,0,0,0,1,1,1,1,0,2,1,0,0,2,1,37,17,3,13,8,0,0,48,24,2,12,6,0,0,Thursday,993003990,4,33,18572,6,1,-1,0.538,0,19.7,21.0,-1.3,341.3,385.0,-1.0,0.444,0.6,198.0,118.0,4.0,-6.0
202310907,2023-11-05T20:20:00,1,2023,9,BUF,CIN,AWAY,18,24,42,Paycor Stadium,0,0,0,0,18,23,22,23:22,21,9,11,1,55,317,5.8,2,16,68,4.2,1,38,26,249,1,1,6.6,9.6,68.4,84.21,12,7,58.3,0,0,0.0,3,2,0,0,5,49,1,1,1,9,7,4,3,127,42.3,2,0,-2,0,0,0,0,24,36,38,36:38,23,5,17,1,67,397,5.9,3,22,54,2.5,1,44,31,343,2,0,7.8,11.1,70.5,108.43,15,8,53.3,2,1,50.0,3,2,0,0,6,49,0,0,1,5,5,2,3,118,39.3,0,2,2,66.7,0,66.7,0,1,1,0,2,1,0,0,1,1,3,3,0,0,0,0,0,1,1,42,17,1,5,7,0,0,34,17,1,9,2,1,1,Sunday,993004045,4,7,18383,-6,0,-2,0.583,0,21.0,18.7,2.3,354.3,327.6666666666667,-1.333,0.485,0.6,222.0,136.0,5.0,-2.0
202311004,2023-11-13T20:15:00,1,2023,10,BUF,DEN,HOME,22,24,46,Highmark Stadium,0,8,7,7,0,22,39,22:39,18,12,6,0,52,369,7.1,3,26,192,7.4,2,26,15,177,1,2,6.8,11.8,57.7,59.29,8,3,37.5,1,0,0.0,2,2,0,0,5,63,3,2,0,0,8,3,3,134,44.7,4,1,-3,3,12,0,9,0,37,21,37:21,19,5,12,2,71,300,4.2,2,38,122,3.2,0,29,24,178,2,0,6.1,7.4,82.8,115.23,19,8,42.1,1,1,100.0,3,2,0,0,10,61,1,1,4,15,3,1,5,242,48.4,1,4,3,100.0,0,66.7,0,2,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,4,4,54,29,4,15,0,1,1,25,30,0,0,4,2,2,Monday,993004076,4,10,18397,-2,0,-3,0.375,0,22.3,23.7,-1.3,361.0,354.3333333333333,-1.333,0.513,0.4,240.0,160.0,5.0,26.0
