gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310102,2023-09-10T13:00:00,1,2023,1,CAR,ATL,AWAY,10,24,34,Mercedes-Benz Stadium,0,7,3,0,0,34,41,34:41,20,9,9,2,72,281,3.9,1,32,154,4.8,0,38,20,127,1,2,3.3,6.4,52.6,46.71,14,5,35.7,2,0,0.0,2,1,0,0,9,66,2,1,2,19,5,6,5,266,53.2,3,0,-3,0,7,3,14,0,25,19,25:19,13,7,6,0,48,221,4.6,3,26,130,5.0,2,18,15,91,1,0,5.1,6.1,83.3,106.25,10,2,20.0,0,0,0.0,3,3,0,0,6,43,1,0,4,24,8,4,7,337,48.1,0,3,3,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,38,19,4,24,0,1,0,37,40,2,19,4,1,1,Sunday,993003781,5,2,18486,-14,0,-3,0.357,0,,,,,,,,,,,,-3.0
202310205,2023-09-18T19:15:00,1,2023,2,CAR,NO,HOME,17,20,37,Bank of America Stadium,3,0,3,11,0,27,11,27:11,14,4,8,2,56,239,4.3,1,19,100,5.3,0,33,22,139,1,0,4.2,6.3,66.7,85.29,14,4,28.6,1,1,100.0,3,1,0,0,6,35,1,1,4,14,6,6,5,239,47.8,1,1,0,3,3,7,7,0,32,49,32:49,23,10,11,2,74,341,4.6,2,33,134,4.1,2,37,22,207,0,1,5.6,9.4,59.5,63.68,16,7,43.8,0,0,0.0,4,2,0,0,3,32,0,0,4,29,7,5,5,210,42.0,1,1,0,33.3,0,50.0,0,0,0,0,2,1,0,0,3,3,2,2,0,0,0,0,0,2,2,41,29,4,29,7,0,0,35,21,4,14,2,1,1,Monday,993003838,5,22,18570,-3,0,0,0.286,0,,,,,,,,,10.0,24.0,0.0,-10.0
202310330,2023-09-24T16:05:00,1,2023,3,CAR,SEA,AWAY,27,37,64,Lumen Field,3,10,0,14,0,29,32,29:32,23,3,17,3,75,378,5.0,3,14,44,3.1,1,58,34,334,2,0,5.8,9.8,58.6,86.42,19,10,52.6,1,0,0.0,2,2,0,0,13,82,0,0,3,27,8,6,5,246,49.2,0,1,1,3,9,10,15,0,30,28,30:28,27,10,14,3,71,425,6.0,3,33,146,4.4,2,36,23,279,1,1,7.8,12.1,63.9,85.3,13,3,23.1,1,1,100.0,6,3,0,0,8,82,0,0,2,17,10,4,2,93,46.5,1,0,-1,100.0,0,50.0,0,3,3,0,0,0,0,0,3,2,2,2,0,2,1,0,0,5,5,46,20,2,17,3,0,0,44,19,3,27,8,0,0,Sunday,993003861,5,30,18464,-10,0,1,0.526,0,,,,,,,,,27.0,44.0,0.0,-8.0
202310405,2023-10-01T13:00:00,1,2023,4,CAR,MIN,HOME,13,21,34,Bank of America Stadium,7,6,0,0,0,38,29,38:29,20,7,11,2,68,232,3.4,1,31,83,2.7,0,32,25,149,0,0,4.7,6.0,78.1,86.07,14,5,35.7,3,2,66.7,2,0,0,0,6,80,2,1,5,55,4,3,5,229,45.8,1,2,1,0,7,14,0,0,21,31,21:31,14,4,9,1,44,265,6.0,3,23,135,5.9,0,19,12,130,2,2,6.8,10.8,63.2,78.73,8,1,12.5,2,1,50.0,2,1,0,0,7,37,1,0,2,9,6,8,4,216,54.0,2,1,-1,0.0,0,50.0,0,1,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,29,20,2,9,3,0,0,48,40,5,55,3,2,1,Sunday,993003878,5,20,18508,-8,0,1,0.357,0,18.0,27.0,-9.0,299.3,329.0,-0.667,0.39,,54.0,81.0,0.0,-18.0
202310511,2023-10-08T13:00:00,1,2023,5,CAR,DET,AWAY,24,42,66,Ford Field,0,10,0,14,0,28,45,28:45,26,7,15,4,65,342,5.3,3,23,99,4.3,0,41,25,243,3,2,5.9,9.7,61.0,81.66,10,5,50.0,1,1,100.0,4,3,0,0,7,45,2,1,1,4,7,3,3,114,38.0,3,0,-3,14,14,0,14,0,31,15,31:15,23,11,11,1,60,377,6.3,6,30,159,5.3,3,28,20,218,3,0,7.8,10.9,71.4,129.76,10,4,40.0,2,1,50.0,4,4,0,0,5,35,0,0,2,18,6,2,2,88,44.0,0,3,3,75.0,0,100.0,0,3,3,0,0,0,0,0,1,1,6,6,0,0,0,0,0,0,0,33,31,2,18,0,0,1,40,17,1,4,3,2,1,Sunday,993003911,5,11,18348,-18,0,-3,0.5,0,19.0,26.0,-7.0,283.0,343.6666666666667,0.667,0.39,,67.0,102.0,0.0,-21.0
202310619,2023-10-15T13:00:00,1,2023,6,CAR,MIA,AWAY,21,42,63,Hard Rock Stadium,14,0,0,7,0,30,44,30:44,21,6,13,2,68,296,4.4,3,25,108,4.3,1,39,24,188,1,0,4.8,7.8,61.5,82.0,14,5,35.7,4,0,0.0,2,2,0,0,3,11,1,0,4,36,1,6,4,189,47.2,0,1,1,0,21,7,14,0,29,16,29:16,23,8,14,1,65,424,6.5,6,33,162,4.9,3,32,21,262,3,1,8.2,12.5,65.6,109.11,13,7,53.8,0,0,0.0,5,5,0,0,3,25,1,0,0,0,9,4,4,194,48.5,1,0,-1,100.0,0,100.0,0,3,3,0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,39,22,0,0,6,0,0,40,28,4,36,3,1,0,Sunday,993003937,5,19,18363,-21,0,1,0.357,0,21.3,33.3,-12.0,317.3,355.6666666666667,-0.333,0.461,0.0,91.0,144.0,0.0,2.0
202310805,2023-10-29T13:00:00,1,2023,8,CAR,HOU,HOME,15,13,28,Bank of America Stadium,0,6,6,3,0,30,29,30:29,20,3,11,6,61,224,3.7,1,24,44,1.8,0,31,22,180,1,0,5.8,8.2,71.0,96.17,14,5,35.7,2,1,50.0,4,1,0,0,3,20,0,0,6,55,3,5,4,203,50.8,0,1,1,0,7,6,0,0,29,31,29:31,16,6,10,0,56,229,4.1,2,30,110,3.7,2,24,16,119,0,0,5.0,7.4,66.7,78.3,12,5,41.7,1,1,100.0,2,2,0,0,10,70,1,1,2,21,10,10,6,287,47.8,1,0,-1,25.0,0,100.0,0,1,0,0,0,0,0,0,3,3,1,1,0,2,0,0,0,0,0,34,30,2,21,4,1,1,42,27,6,55,3,0,0,Sunday,993004002,5,13,18581,2,1,1,0.357,0,19.3,35.0,-15.7,290.0,355.3333333333333,-0.333,0.405,0.0,112.0,186.0,0.0,-14.0
202310905,2023-11-05T16:05:00,1,2023,9,CAR,IND,HOME,13,27,40,Bank of America Stadium,0,0,0,0,13,31,9,31:09,17,10,7,0,71,275,3.9,1,28,138,4.9,0,39,24,137,1,3,3.5,5.7,61.5,44.5,16,7,43.8,3,2,66.7,2,1,0,0,10,81,1,0,4,36,4,4,4,174,43.5,3,1,-2,0,0,0,0,27,28,51,28:51,17,5,7,5,57,198,3.5,3,30,78,2.6,0,26,17,120,1,0,4.6,7.1,65.4,88.62,13,4,30.8,0,0,0.0,2,1,0,0,5,25,1,1,1,7,7,4,5,241,48.2,1,3,2,50.0,0,50.0,0,1,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,33,33,1,7,3,0,1,51,14,4,36,8,1,0,Sunday,993004040,5,14,18380,-14,0,-2,0.438,0,20.0,32.3,-12.3,287.3,343.3333333333333,-0.333,0.405,0.2,127.0,199.0,1.0,-3.0
202311006,2023-11-09T20:15:00,1,2023,10,CAR,CHI,AWAY,13,16,29,Soldier Field,7,3,0,3,0,26,29,26:29,12,4,6,2,57,213,3.7,1,16,43,2.7,0,38,21,170,0,0,4.5,8.1,55.3,66.78,15,3,20.0,3,3,100.0,1,0,0,0,5,45,1,0,3,15,4,3,6,272,45.3,0,0,0,3,6,7,0,0,33,31,33:31,21,10,10,1,70,295,4.2,1,37,133,3.6,1,33,20,162,0,0,4.9,8.1,60.6,73.04,15,6,40.0,1,1,100.0,2,1,0,0,7,44,0,0,0,0,9,6,6,280,46.7,0,0,0,0.0,0,50.0,0,1,1,0,0,0,0,0,3,2,1,1,0,0,0,0,0,3,3,50,18,0,0,4,0,0,33,21,3,15,4,0,0,Thursday,993004049,5,6,18385,-3,0,0,0.2,0,16.3,27.3,-11.0,265.0,283.6666666666667,0.0,0.384,0.2,140.0,226.0,1.0,-23.0
202311105,2023-11-19T13:00:00,1,2023,11,CAR,DAL,HOME,10,33,43,Bank of America Stadium,0,3,7,0,0,28,39,28:39,13,6,7,0,59,187,3.2,1,23,110,4.8,0,29,16,77,1,1,2.7,4.8,55.2,57.69,15,5,33.3,3,3,100.0,2,1,0,0,8,90,2,1,7,46,4,3,5,242,48.4,2,0,-2,7,10,0,16,0,31,21,31:21,23,7,11,5,68,311,4.6,4,27,107,4.0,1,41,27,204,2,0,5.0,7.6,65.9,93.95,16,7,43.8,0,0,0.0,4,2,0,0,5,45,0,0,0,0,11,6,3,176,58.7,0,2,2,50.0,0,50.0,0,1,1,0,0,0,0,0,1,1,4,3,0,0,0,0,0,2,2,38,22,0,0,8,0,0,29,37,7,46,2,1,1,Sunday,993004080,5,9,18534,-23,0,-2,0.333,0,13.7,18.7,-5.0,237.3,240.66666666666666,-0.333,0.332,0.2,153.0,242.0,1.0,-7.0
