gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310108,2023-09-10T13:00:00,1,2023,1,CLE,CIN,HOME,24,3,27,Cleveland Browns Stadium,0,10,3,11,0,35,50,35:50,21,12,9,0,72,350,4.9,2,40,206,5.2,1,29,16,144,1,1,5.0,9.0,55.2,65.88,14,4,28.6,0,0,0.0,3,2,0,0,5,43,2,1,3,10,10,4,7,331,47.3,2,0,-2,0,0,3,0,0,24,10,24:10,6,2,3,1,54,142,2.6,0,20,75,3.8,0,32,14,67,0,0,2.1,4.8,43.8,51.04,15,2,13.3,1,0,0.0,0,0,0,0,4,20,0,0,2,15,5,6,10,409,40.9,0,2,2,66.7,0,0.0,0,1,1,0,0,0,1,1,3,3,0,0,0,0,0,0,0,2,1,26,20,2,15,4,0,0,45,32,3,10,5,1,1,Sunday,993003788,8,7,18487,21,1,-2,0.286,0,,,,,,,,,,,,-4.0
202310228,2023-09-18T20:15:00,1,2023,2,CLE,PIT,AWAY,22,26,48,Acrisure Stadium,3,11,8,0,0,35,28,35:28,20,7,12,1,81,408,5.0,2,35,198,5.7,1,40,22,210,1,1,5.2,9.5,55.0,67.71,16,5,31.2,2,0,0.0,3,2,0,0,8,81,4,3,6,25,9,5,5,238,47.6,4,2,-2,7,9,3,7,0,24,32,24:32,9,3,6,0,53,255,4.8,3,21,55,2.6,0,30,15,200,1,1,6.7,13.3,50.0,68.75,14,4,28.6,0,0,0.0,0,0,0,0,5,31,1,1,2,22,11,9,7,320,45.7,2,4,2,66.7,0,0.0,0,0,0,0,0,0,2,2,3,2,2,2,0,1,0,0,0,2,2,31,14,2,22,7,1,1,58,23,6,25,8,4,3,Monday,993003839,8,28,18571,-4,0,-2,0.312,0,,,,,,,,,24.0,3.0,1.0,24.0
202310308,2023-09-24T13:00:00,1,2023,3,CLE,TEN,HOME,27,3,30,Cleveland Browns Stadium,3,10,7,7,0,38,29,38:29,23,7,12,4,67,341,5.1,3,31,78,2.5,1,33,27,263,2,0,8.0,9.7,81.8,120.08,13,6,46.2,1,1,100.0,2,2,0,0,5,46,3,1,3,26,8,9,3,139,46.3,1,0,-1,0,3,0,0,0,21,31,21:31,6,0,5,1,45,94,2.1,0,15,26,1.7,0,25,13,68,0,0,2.7,5.2,52.0,57.92,12,2,16.7,1,1,100.0,2,0,0,0,8,80,1,0,5,36,5,7,7,374,53.4,0,1,1,100.0,0,0.0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,29,12,5,36,4,1,0,48,31,3,26,0,2,1,Sunday,993003848,8,34,18455,24,1,-1,0.462,0,,,,,,,,,46.0,29.0,1.0,-25.0
202310408,2023-10-01T13:00:00,1,2023,4,CLE,BAL,HOME,3,28,31,Cleveland Browns Stadium,3,0,0,0,0,30,10,30:10,13,5,6,2,65,166,2.6,0,25,93,3.7,0,36,19,73,0,3,2.0,3.8,52.8,23.84,16,4,25.0,1,1,100.0,2,0,0,0,7,42,1,0,4,48,7,9,8,373,46.6,3,1,-2,7,14,0,7,0,29,50,29:50,16,7,8,1,55,296,5.4,4,33,131,4.0,2,19,15,165,2,0,8.7,11.0,78.9,137.94,12,4,33.3,1,1,100.0,4,4,0,0,8,92,2,1,3,21,6,10,7,334,47.7,1,3,2,0.0,0,100.0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,40,22,3,21,3,0,1,39,11,4,48,10,0,0,Sunday,993003888,8,3,18503,-25,0,-2,0.25,0,24.3,10.7,13.7,366.3,163.66666666666666,-1.667,0.353,,73.0,32.0,2.0,2.0
202310608,2023-10-15T13:00:00,1,2023,6,CLE,SF,HOME,19,17,36,Cleveland Browns Stadium,0,7,6,6,0,33,3,33:03,18,10,6,2,70,334,4.8,1,34,160,4.7,1,34,18,174,0,2,5.1,9.7,52.9,43.01,13,3,23.1,1,1,100.0,2,1,0,0,13,119,1,0,2,18,3,4,4,218,54.5,2,1,-1,7,3,0,7,0,26,57,26:57,15,6,5,4,55,215,3.9,2,25,108,4.3,1,27,12,107,1,1,4.0,8.9,44.4,52.55,12,3,25.0,0,0,0.0,3,2,0,0,12,105,1,0,3,18,9,6,6,314,52.3,1,2,1,50.0,0,66.7,0,1,1,0,0,0,0,0,5,4,2,2,0,0,0,0,0,3,1,36,9,3,18,3,0,0,47,26,2,18,5,1,0,Sunday,993003940,8,31,18362,2,1,-1,0.231,0,17.3,19.0,-1.7,305.0,215.0,-1.667,0.341,,76.0,60.0,2.0,1.0
202310714,2023-10-22T13:00:00,1,2023,7,CLE,IND,AWAY,39,38,77,Lucas Oil Stadium,7,20,3,9,0,27,29,27:29,18,6,9,3,72,316,4.4,4,33,150,4.5,3,37,16,166,0,2,4.5,10.4,43.2,34.29,16,4,25.0,2,1,50.0,2,2,0,0,4,20,1,0,2,17,5,5,5,272,54.4,2,4,2,14,7,7,10,0,32,31,32:31,20,8,11,1,67,456,6.8,5,40,168,4.2,3,23,15,288,2,1,12.5,19.2,65.2,119.38,15,7,46.7,0,0,0.0,4,3,0,0,8,67,4,3,4,17,8,9,5,260,52.0,4,2,-2,100.0,0,75.0,0,3,3,0,1,0,0,0,4,4,5,5,0,0,0,0,0,2,1,50,27,4,17,3,4,3,43,23,2,17,7,0,0,Sunday,993003975,8,14,18517,1,1,2,0.25,0,16.3,16.0,0.3,280.3,201.66666666666666,-1.333,0.314,0.6,95.0,77.0,3.0,-4.0
202310830,2023-10-29T16:05:00,1,2023,8,CLE,SEA,AWAY,20,24,44,Lumen Field,7,7,6,0,0,36,40,36:40,23,9,10,4,75,385,5.1,2,40,155,3.9,1,32,16,230,1,2,7.2,14.4,50.0,58.07,15,6,40.0,1,0,0.0,4,2,0,0,4,25,1,1,3,27,3,4,3,142,47.3,3,2,-1,17,0,0,7,0,23,20,23:20,17,5,12,0,55,362,6.6,3,17,114,6.7,1,37,23,248,2,2,6.7,10.8,62.2,77.31,12,4,33.3,1,1,100.0,5,3,0,0,7,43,1,0,1,6,10,7,5,274,54.8,2,3,1,50.0,0,60.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,36,11,1,6,4,1,0,40,39,3,27,6,1,1,Sunday,993004009,8,30,18582,-4,0,-1,0.4,0,20.3,27.7,-7.3,272.0,322.3333333333333,-0.333,0.244,0.6,134.0,115.0,4.0,27.0
202310908,2023-11-05T13:00:00,1,2023,9,CLE,ARI,HOME,27,0,27,Cleveland Browns Stadium,0,0,0,0,27,36,25,36:25,17,7,9,1,71,326,4.6,3,40,113,2.8,1,30,19,213,2,0,7.1,11.2,63.3,106.67,17,6,35.3,2,1,50.0,4,3,0,0,6,65,0,0,1,6,10,10,7,410,58.6,0,3,3,0,0,0,0,0,23,35,23:35,7,3,3,1,48,58,1.2,0,21,41,2.0,0,20,11,17,0,2,0.8,1.5,55.0,20.83,12,1,8.3,1,0,0.0,0,0,0,0,4,40,1,1,7,41,5,7,9,460,51.1,3,0,-3,75.0,0,0.0,0,3,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,38,12,7,41,8,1,1,47,35,1,6,1,0,0,Sunday,993004030,8,1,18374,27,1,3,0.353,0,26.0,26.3,-0.3,345.0,344.3333333333333,0.0,0.294,0.6,154.0,139.0,4.0,2.0
202311003,2023-11-12T13:00:00,1,2023,10,CLE,BAL,AWAY,33,31,64,M&T Bank Stadium,3,6,8,16,0,34,15,34:15,24,12,10,2,75,373,5.0,3,36,178,4.9,1,35,20,195,1,1,5.6,9.8,57.1,70.54,16,8,50.0,2,1,50.0,5,2,0,0,10,55,2,1,4,18,6,4,2,89,44.5,2,2,0,17,0,7,7,0,25,45,25:45,17,3,9,5,50,306,6.1,4,24,106,4.4,2,23,13,200,1,2,8.7,15.4,56.5,63.68,8,2,25.0,0,0,0.0,2,1,0,0,7,64,0,0,3,23,8,4,3,161,53.7,2,2,0,40.0,0,50.0,0,2,1,0,0,0,1,1,4,4,4,4,0,0,0,0,0,2,1,29,21,3,23,6,0,0,46,32,4,18,3,1,1,Sunday,993004059,8,3,18391,2,1,0,0.5,0,28.7,20.7,8.0,342.3,292.0,1.333,0.334,0.6,181.0,139.0,5.0,3.0
202311108,2023-11-19T13:00:00,1,2023,11,CLE,PIT,HOME,13,10,23,Cleveland Browns Stadium,7,3,0,3,0,31,27,31:27,20,7,10,3,73,259,3.5,1,29,96,3.3,1,43,24,163,0,1,3.8,6.8,55.8,54.7,17,4,23.5,1,1,100.0,3,1,0,0,1,10,0,0,1,2,4,9,8,380,47.5,1,0,-1,0,0,7,3,0,28,33,28:33,12,8,4,0,57,249,4.4,1,26,172,6.6,1,28,15,77,0,0,2.8,5.1,53.6,59.23,14,3,21.4,1,1,100.0,1,0,0,0,6,46,0,0,3,29,4,5,9,355,39.4,0,1,1,33.3,0,0.0,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,36,17,3,29,4,0,0,43,28,1,2,6,0,0,Sunday,993004088,8,28,18529,3,1,-1,0.235,0,26.7,18.3,8.3,361.3,242.0,0.667,0.418,0.8,214.0,170.0,6.0,-17.0
