gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310129,2023-09-10T16:25:00,1,2023,1,MIA,LAC,AWAY,36,34,70,SoFi Stadium,7,13,7,9,0,27,19,27:19,30,5,23,2,65,536,8.2,4,20,70,3.5,1,45,28,466,3,1,10.4,16.6,62.2,110.05,9,4,44.4,1,1,100.0,5,3,0,0,6,38,2,1,0,0,5,4,1,38,38.0,2,0,-2,7,10,7,10,0,32,41,32:41,30,17,10,3,76,433,5.7,4,40,233,5.8,3,33,23,200,1,0,6.1,8.7,69.7,95.52,15,9,60.0,1,0,0.0,5,4,0,0,6,70,0,0,3,29,2,3,3,145,48.3,0,2,2,60.0,0,80.0,0,4,3,0,0,0,0,0,3,3,4,4,0,0,0,0,0,2,2,55,32,3,29,1,0,0,37,8,0,0,10,0,1,Sunday,993003795,19,29,18497,2,1,-2,0.444,0,,,,,,,,,,,,7.0
202310221,2023-09-17T20:20:00,1,2023,2,MIA,NE,AWAY,24,17,41,Gillette Stadium,3,14,0,7,0,30,19,30:19,22,6,15,1,61,389,6.4,3,30,145,4.8,2,30,21,244,1,1,8.1,11.6,70.0,91.53,10,4,40.0,0,0,0.0,3,2,0,0,6,46,2,0,1,5,8,8,3,144,48.0,1,2,1,0,3,0,14,0,29,41,29:41,23,10,10,3,71,288,4.1,2,25,88,3.5,1,42,31,200,1,1,4.8,6.5,73.8,81.45,15,7,46.7,2,1,50.0,2,2,0,0,5,45,1,1,4,31,2,5,4,192,48.0,2,1,-1,66.7,0,100.0,0,3,3,0,0,0,0,0,3,1,2,2,0,0,0,0,0,1,1,49,27,4,31,6,1,1,41,18,1,5,3,0,0,Sunday,993003835,19,21,18569,7,1,1,0.4,0,,,,,,,,,36.0,34.0,1.0,50.0
202310319,2023-09-24T13:00:00,1,2023,3,MIA,DEN,HOME,70,20,90,Hard Rock Stadium,14,21,14,21,0,33,21,33:21,30,12,16,2,71,726,10.2,10,43,350,8.1,5,28,25,376,5,0,13.4,15.0,89.3,158.33,9,5,55.6,3,1,33.3,6,6,0,0,6,55,0,0,0,0,13,4,1,48,48.0,0,3,3,7,6,0,7,0,26,39,26:39,16,2,13,1,59,363,6.2,2,20,69,3.4,0,38,23,294,1,1,7.7,12.8,60.5,82.57,12,3,25.0,1,0,0.0,4,1,0,0,7,46,2,2,1,12,1,6,5,234,46.8,3,0,-3,100.0,0,25.0,0,10,10,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,32,23,1,12,8,3,2,48,31,0,0,0,0,0,Sunday,993003854,19,10,18458,50,1,3,0.556,0,,,,,,,,,60.0,51.0,2.0,-28.0
202310404,2023-10-01T13:00:00,1,2023,4,MIA,BUF,AWAY,20,48,68,Highmark Stadium,7,7,6,0,0,29,38,29:38,20,8,12,0,58,393,6.8,3,19,142,7.5,2,35,25,251,1,1,7.2,10.0,71.4,89.11,10,3,30.0,3,0,0.0,4,3,0,0,8,98,4,1,4,31,3,6,3,138,46.0,2,0,-2,14,17,10,7,0,30,22,30:22,24,8,14,2,56,414,7.4,6,29,104,3.6,2,25,21,310,4,0,12.4,14.8,84.0,157.92,10,5,50.0,0,0,0.0,6,5,0,0,4,20,0,0,2,10,9,5,2,93,46.5,0,2,2,75.0,0,83.3,0,2,2,0,2,0,0,0,0,0,6,6,0,0,0,0,0,2,2,38,16,2,10,3,0,0,43,10,4,31,5,2,1,Sunday,993003879,19,4,18501,-28,0,-2,0.3,0,43.3,23.7,19.7,550.3,361.3333333333333,0.667,0.467,,130.0,71.0,3.0,15.0
202310519,2023-10-08T13:00:00,1,2023,5,MIA,NYG,HOME,31,16,47,Hard Rock Stadium,7,10,14,0,0,24,1,24:01,22,8,14,0,54,524,9.7,4,23,222,9.7,2,30,22,302,2,2,10.1,13.7,73.3,99.58,8,3,37.5,0,0,0.0,3,2,0,0,6,43,2,1,1,6,14,8,2,69,34.5,3,0,-3,0,10,3,3,0,35,59,35:59,15,3,10,2,68,268,3.9,1,29,85,2.9,0,32,23,183,0,0,5.7,8.0,71.9,85.81,17,5,29.4,2,1,50.0,2,0,0,0,6,43,1,0,7,22,2,1,4,161,40.2,0,3,3,66.7,0,0.0,0,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3,52,23,7,22,4,1,0,36,14,1,6,6,2,1,Sunday,993003914,19,23,18350,15,1,-3,0.375,0,38.0,28.3,9.7,502.7,355.0,0.667,0.419,,150.0,119.0,3.0,21.0
202310619,2023-10-15T13:00:00,1,2023,6,MIA,CAR,HOME,42,21,63,Hard Rock Stadium,0,21,7,14,0,29,16,29:16,23,8,14,1,65,424,6.5,6,33,162,4.9,3,32,21,262,3,1,8.2,12.5,65.6,109.11,13,7,53.8,0,0,0.0,5,5,0,0,3,25,1,0,0,0,9,4,4,194,48.5,1,0,-1,14,0,0,7,0,30,44,30:44,21,6,13,2,68,296,4.4,3,25,108,4.3,1,39,24,188,1,0,4.8,7.8,61.5,82.0,14,5,35.7,4,0,0.0,2,2,0,0,3,11,1,0,4,36,1,6,4,189,47.2,0,1,1,100.0,0,100.0,0,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,40,28,4,36,3,1,0,39,22,0,0,6,0,0,Sunday,993003938,19,5,18363,21,1,-1,0.538,0,40.3,28.0,12.3,547.7,348.3333333333333,-0.667,0.41,0.8,181.0,135.0,4.0,-14.0
202310726,2023-10-22T20:20:00,1,2023,7,MIA,PHI,AWAY,17,31,48,Lincoln Financial Field,3,7,7,0,0,23,17,23:17,12,3,9,0,48,244,5.1,2,12,45,3.8,0,32,23,199,1,1,6.2,8.7,71.9,85.29,11,4,36.4,2,0,0.0,1,0,0,0,10,70,1,0,4,17,5,4,3,135,45.0,1,2,1,3,14,7,7,0,36,43,36:43,26,12,11,3,68,355,5.2,4,34,99,2.9,2,31,23,256,2,1,8.3,11.1,74.2,106.38,12,4,33.3,4,4,100.0,6,4,0,0,0,0,1,1,3,23,6,8,1,57,57.0,2,1,-1,0.0,0,66.7,0,2,2,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,46,22,3,23,5,1,1,34,8,4,17,3,0,0,Sunday,993003985,19,26,18526,-14,0,1,0.364,0,31.0,28.3,2.7,447.0,326.0,-2.0,0.404,0.8,223.0,156.0,5.0,14.0
202310819,2023-10-29T13:00:00,1,2023,8,MIA,NE,HOME,31,17,48,Hard Rock Stadium,7,10,7,7,0,35,55,35:55,24,5,17,2,73,390,5.3,4,26,78,3.0,1,45,30,312,3,1,6.9,10.4,66.7,99.49,14,5,35.7,3,3,100.0,4,2,0,0,3,25,1,1,2,12,7,4,3,146,48.7,2,1,-1,7,0,3,7,0,24,5,24:05,13,6,7,0,51,218,4.3,2,19,77,4.1,0,29,19,141,2,1,4.9,7.4,65.5,85.56,9,1,11.1,2,1,50.0,2,1,0,0,7,45,0,0,3,20,2,5,5,265,53.0,1,2,1,50.0,0,50.0,0,4,4,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,36,15,3,20,4,0,0,47,18,2,12,6,0,1,Sunday,993003996,19,21,18577,14,1,-1,0.357,0,30.0,22.7,7.3,397.3,306.3333333333333,-1.0,0.426,0.6,240.0,187.0,5.0,-7.0
202310916,2023-11-05T09:30:00,1,2023,9,MIA,KC,AWAY,14,21,35,Deutsche Bank Park,0,0,0,0,14,30,24,30:24,20,6,11,3,58,292,5.0,2,21,117,5.6,1,34,21,175,1,0,5.1,8.3,61.8,84.8,12,3,25.0,1,0,0.0,1,1,0,0,6,45,3,1,3,18,4,1,7,316,45.1,1,1,0,0,0,0,0,21,29,36,29:36,16,4,11,1,56,267,4.8,3,24,93,3.9,0,30,20,174,2,0,5.8,8.7,66.7,104.03,10,3,30.0,0,0,0.0,2,2,0,0,9,69,1,1,2,11,6,3,6,302,50.3,1,1,0,100.0,0,100.0,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,34,23,2,11,3,1,1,36,20,3,18,0,2,1,Sunday,993004023,19,16,18335,-7,0,0,0.25,0,30.0,23.0,7.0,352.7,289.6666666666667,-0.333,0.42,0.6,271.0,204.0,6.0,7.0
202311119,2023-11-19T13:00:00,1,2023,11,MIA,LV,HOME,20,13,33,Hard Rock Stadium,7,7,6,0,0,32,15,32:15,21,7,12,2,68,422,6.2,2,28,99,3.5,0,39,28,323,2,1,8.3,11.5,71.8,102.83,11,3,27.3,1,0,0.0,2,1,0,0,5,44,2,2,1,2,6,6,3,143,47.7,3,3,0,10,3,0,0,0,27,45,27:45,12,2,10,0,59,296,5.0,1,16,36,2.2,0,41,24,260,1,3,6.3,10.8,58.5,54.93,14,4,28.6,2,0,0.0,1,0,0,0,5,41,0,0,2,11,3,3,6,315,52.5,3,3,0,50.0,0,0.0,0,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,0,2,2,38,12,2,11,8,0,0,51,34,1,2,4,2,2,Sunday,993004092,19,25,18532,7,1,0,0.273,0,20.7,23.0,-2.3,308.7,280.0,0.0,0.324,0.6,285.0,225.0,6.0,21.0
