gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202310121,2023-09-10T16:25:00,1,2023,1,NE,PHI,HOME,20,25,45,Gillette Stadium,0,14,0,6,0,29,12,29:12,24,5,18,1,78,382,4.9,3,22,76,3.5,0,54,35,306,3,1,5.7,8.7,64.8,90.51,15,5,33.3,4,1,25.0,5,3,0,0,7,50,2,1,2,10,4,3,5,226,45.2,2,1,-1,16,0,3,6,0,30,48,30:48,17,6,8,3,61,251,4.1,2,25,97,3.9,0,33,22,154,1,0,4.7,7.0,66.7,87.18,13,4,30.8,1,0,0.0,2,1,0,0,5,49,1,1,3,16,7,5,4,197,49.2,1,2,1,60.0,0,50.0,0,2,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,4,4,35,27,3,16,4,1,1,42,32,2,10,10,2,1,Sunday,993003804,21,26,18496,-5,0,-1,0.333,0,,,,,,,,,,,,-7.0
202310221,2023-09-17T20:20:00,1,2023,2,NE,MIA,HOME,17,24,41,Gillette Stadium,0,3,0,14,0,29,41,29:41,23,10,10,3,71,288,4.1,2,25,88,3.5,1,42,31,200,1,1,4.8,6.5,73.8,81.45,15,7,46.7,2,1,50.0,2,2,0,0,5,45,1,1,4,31,2,5,4,192,48.0,2,1,-1,3,14,0,7,0,30,19,30:19,22,6,15,1,61,389,6.4,3,30,145,4.8,2,30,21,244,1,1,8.1,11.6,70.0,91.53,10,4,40.0,0,0,0.0,3,2,0,0,6,46,2,0,1,5,8,8,3,144,48.0,1,2,1,100.0,0,66.7,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,1,41,18,1,5,3,0,0,49,27,4,31,6,1,1,Sunday,993003836,21,19,18569,-7,0,-1,0.467,0,,,,,,,,,20.0,25.0,0.0,5.0
202310324,2023-09-24T13:00:00,1,2023,3,NE,NYJ,AWAY,15,10,25,MetLife Stadium,3,7,3,2,0,31,52,31:52,17,8,9,0,69,358,5.2,1,40,157,3.9,0,29,15,201,1,0,6.9,13.4,51.7,85.56,19,8,42.1,0,0,0.0,0,0,0,0,6,43,0,0,0,0,7,7,8,322,40.2,0,0,0,0,3,0,7,0,28,8,28:08,12,5,6,1,61,171,2.8,1,22,38,1.7,1,36,18,133,0,0,3.7,7.4,50.0,59.14,14,2,14.3,2,1,50.0,1,1,0,0,3,15,1,0,3,24,5,2,8,410,51.2,0,0,0,0.0,0,100.0,0,1,1,0,0,0,0,0,4,2,1,1,0,0,0,0,0,1,1,38,18,3,24,5,1,0,51,14,0,0,4,0,0,Sunday,993003845,21,24,18460,5,1,0,0.421,0,,,,,,,,,37.0,49.0,0.0,-35.0
202310409,2023-10-01T16:25:00,1,2023,4,NE,DAL,AWAY,3,38,41,AT&T Stadium,3,0,0,0,0,24,51,24:51,10,2,8,0,55,253,4.6,0,23,53,2.3,0,30,16,200,0,2,6.7,12.5,53.3,46.53,13,4,30.8,2,0,0.0,1,0,0,0,6,50,1,1,2,7,7,6,5,225,45.0,3,0,-3,10,18,3,7,0,35,9,35:09,22,6,15,1,69,377,5.5,4,30,124,4.1,1,36,30,253,1,0,7.0,8.4,83.3,105.21,15,8,53.3,1,0,0.0,4,1,0,0,5,32,2,0,3,28,2,4,2,112,56.0,0,3,3,0.0,0,25.0,0,0,0,0,0,0,0,0,2,1,3,3,0,2,1,0,0,3,3,49,25,3,28,2,2,0,35,18,2,7,5,1,1,Sunday,993003897,21,9,18511,-35,0,-3,0.308,0,17.3,19.7,-2.3,342.7,270.3333333333333,-0.667,0.407,,52.0,59.0,1.0,-34.0
202310521,2023-10-08T13:00:00,1,2023,5,NE,NO,HOME,0,34,34,Gillette Stadium,0,0,0,0,0,20,26,20:26,8,1,4,3,51,156,3.1,0,18,45,2.5,0,31,15,111,0,2,3.6,7.4,48.4,30.44,14,1,7.1,2,0,0.0,0,0,0,0,5,30,2,1,2,21,2,2,8,353,44.1,3,0,-3,7,14,3,10,0,39,34,39:34,17,6,11,0,70,304,4.3,4,42,136,3.2,1,26,18,168,2,0,6.5,9.3,69.2,112.34,15,5,33.3,0,0,0.0,4,3,0,0,12,86,0,0,2,15,4,3,7,307,43.9,0,3,3,0.0,0,75.0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,2,2,45,32,2,15,1,0,0,26,18,2,21,8,0,1,Sunday,993003910,21,22,18351,-34,0,-3,0.071,0,11.7,24.0,-12.3,299.7,312.3333333333333,-1.333,0.398,,55.0,97.0,1.0,-4.0
202310625,2023-10-15T16:05:00,1,2023,6,NE,LV,AWAY,17,21,38,Allegiant Stadium,0,3,7,7,0,27,48,27:48,17,8,7,2,56,259,4.6,2,19,83,4.4,2,33,24,176,0,1,5.3,7.3,72.7,72.29,12,6,50.0,0,0,0.0,2,2,0,0,10,79,0,0,4,24,3,2,3,138,46.0,1,1,0,3,10,3,5,0,32,12,32:12,19,4,12,3,65,348,5.4,1,33,84,2.5,0,32,20,264,1,1,8.2,13.2,62.5,85.94,16,8,50.0,0,0,0.0,6,1,0,0,6,42,0,0,0,0,5,3,2,103,51.5,1,1,0,100.0,0,16.7,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,42,22,0,0,5,0,0,39,20,4,24,3,0,0,Sunday,993003951,21,25,18367,-4,0,0,0.5,0,6.0,27.3,-21.3,255.7,284.0,-2.0,0.267,0.2,55.0,131.0,1.0,4.0
202310721,2023-10-22T13:00:00,1,2023,7,NE,BUF,HOME,29,25,54,Gillette Stadium,10,3,3,13,0,27,46,27:46,21,6,13,2,55,364,6.6,3,24,96,4.0,1,30,25,268,2,0,8.9,10.7,83.3,126.11,9,4,44.4,0,0,0.0,5,3,0,0,8,59,1,1,1,4,6,3,2,110,55.0,1,2,1,0,3,7,15,0,32,14,32:14,24,7,14,3,66,339,5.1,3,24,81,3.4,1,41,27,258,2,1,6.3,9.6,65.9,89.28,12,5,41.7,3,2,66.7,4,2,0,0,9,46,1,1,1,7,4,5,1,55,55.0,2,1,-1,60.0,0,50.0,0,2,2,0,1,0,0,0,3,3,2,2,0,2,1,0,0,2,1,42,23,1,7,3,1,1,44,19,1,4,2,1,1,Sunday,993003974,21,4,18518,4,1,1,0.444,0,6.7,31.0,-24.3,222.7,343.0,-2.0,0.293,0.2,72.0,152.0,1.0,-14.0
202310819,2023-10-29T13:00:00,1,2023,8,NE,MIA,AWAY,17,31,48,Hard Rock Stadium,7,0,3,7,0,24,5,24:05,13,6,7,0,51,218,4.3,2,19,77,4.1,0,29,19,141,2,1,4.9,7.4,65.5,85.56,9,1,11.1,2,1,50.0,2,1,0,0,7,45,0,0,3,20,2,5,5,265,53.0,1,2,1,7,10,7,7,0,35,55,35:55,24,5,17,2,73,390,5.3,4,26,78,3.0,1,45,30,312,3,1,6.9,10.4,66.7,99.49,14,5,35.7,3,3,100.0,4,2,0,0,3,25,1,1,2,12,7,4,3,146,48.7,2,1,-1,50.0,0,50.0,0,2,2,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,47,18,2,12,6,0,1,36,15,3,20,4,0,0,Sunday,993003995,21,19,18577,-14,0,1,0.111,0,15.3,26.7,-11.3,259.7,330.3333333333333,-0.667,0.339,0.4,101.0,177.0,2.0,-3.0
202310921,2023-11-05T13:00:00,1,2023,9,NE,WAS,HOME,17,20,37,Gillette Stadium,0,0,0,0,17,22,50,22:50,18,4,13,1,63,327,5.2,2,19,107,5.6,1,44,24,220,1,1,5.0,9.2,54.5,66.48,12,3,25.0,2,1,50.0,1,1,0,0,4,30,0,0,0,0,6,5,6,326,54.3,1,2,1,0,0,0,0,20,37,10,37:10,23,8,14,1,77,432,5.6,2,29,124,4.3,1,45,29,308,1,1,6.8,10.6,64.4,82.45,17,9,52.9,0,0,0.0,4,1,0,0,4,30,1,1,3,17,1,1,5,239,47.8,2,1,-1,100.0,0,25.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,48,31,3,17,6,1,1,37,15,0,0,10,0,0,Sunday,993004028,21,35,18376,-3,0,1,0.25,0,21.0,25.7,-4.7,280.3,359.0,0.667,0.352,0.2,118.0,208.0,2.0,-4.0
202311021,2023-11-12T09:30:00,1,2023,10,NE,IND,HOME,6,10,16,Deutsche Bank Park,3,0,0,3,0,34,25,34:25,21,11,9,1,68,340,5.0,0,36,167,4.6,0,27,18,173,0,2,6.4,9.6,66.7,53.47,14,6,42.9,1,1,100.0,4,0,0,0,5,34,1,0,5,22,1,3,4,250,62.5,2,1,-1,7,0,0,3,0,25,35,25:35,14,4,8,2,54,264,4.9,1,26,70,2.7,1,28,18,194,0,1,6.9,10.8,64.3,69.64,13,5,38.5,2,2,100.0,1,1,0,0,4,34,0,0,0,0,9,6,5,224,44.8,1,2,1,0.0,0,100.0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,2,1,37,19,0,0,4,0,0,55,19,5,22,3,1,0,Sunday,993004052,21,14,18336,-4,0,-1,0.429,0,21.0,25.3,-4.3,303.0,387.0,1.0,0.269,0.2,135.0,228.0,2.0,-3.0
