gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410108,2024-09-08T16:25:00,1,2024,1,DAL,CLE,AWAY,33,17,50,Huntington Bank Field,7,13,10,3,0,29,6,29:06,15,7,8,0,60,265,4.4,3,25,102,4.1,1,32,19,163,1,0,5.1,8.6,59.4,83.2,14,4,28.6,0,0,0.0,1,1,0,0,11,85,1,0,3,16,17,6,6,294,49.0,0,2,2,3,0,7,7,0,30,54,30:54,15,5,8,2,70,230,3.3,2,19,93,4.9,1,45,24,137,1,2,3.0,5.7,53.3,48.1,15,2,13.3,5,3,60.0,2,2,0,0,11,64,1,0,6,32,4,6,7,357,51.0,2,0,-2,100.0,0,100.0,0,3,3,0,0,0,0,0,4,4,2,2,0,0,0,0,0,1,1,40,24,6,32,8,1,0,44,19,3,16,6,1,0,Sunday,993004473,9,8,18671,16,1,2,0.286,0,,,,,,,,,,,,-25.0
202410209,2024-09-15T13:00:00,1,2024,2,DAL,NO,HOME,19,44,63,AT&T Stadium,3,13,3,0,0,29,29,29:29,20,5,13,2,66,353,5.3,1,21,68,3.2,0,42,28,285,1,2,6.8,10.2,66.7,74.01,13,6,46.2,3,1,33.3,3,0,0,0,4,26,1,0,3,14,1,2,1,53,53.0,2,1,-1,14,21,6,3,0,30,31,30:31,24,15,8,1,56,432,7.7,6,39,190,4.9,4,16,11,242,2,1,15.1,22.0,68.8,125.0,8,5,62.5,0,0,0.0,5,4,0,0,5,40,0,0,1,1,3,4,1,49,49.0,1,2,1,0.0,0,80.0,0,1,1,0,0,0,0,0,4,4,6,5,1,0,0,0,0,1,1,35,24,1,1,3,0,0,42,23,3,14,9,1,0,Sunday,993004482,9,22,18692,-25,0,-1,0.462,0,,,,,,,,,33.0,17.0,1.0,-3.0
202410309,2024-09-22T16:25:00,1,2024,3,DAL,BAL,HOME,25,28,53,AT&T Stadium,3,3,0,19,0,25,15,25:15,26,2,18,6,70,412,5.9,3,16,51,3.2,1,51,28,361,2,0,7.1,12.9,54.9,90.4,13,7,53.8,1,0,0.0,4,3,0,0,6,44,2,1,3,18,1,0,4,209,52.2,1,0,-1,14,7,7,0,0,34,45,34:45,24,16,8,0,60,456,7.6,4,45,274,6.1,3,15,12,182,1,0,12.1,15.2,80.0,139.44,9,4,44.4,0,0,0.0,3,3,0,0,13,105,0,0,0,0,7,2,4,171,42.8,0,1,1,75.0,0,100.0,0,1,1,0,4,0,0,0,2,2,4,4,0,0,0,0,0,1,0,39,30,0,0,0,0,0,36,19,3,18,9,1,1,Sunday,993004534,9,3,18705,-3,0,-1,0.538,0,,,,,,,,,52.0,61.0,1.0,5.0
202410423,2024-09-26T20:15:00,1,2024,4,DAL,NYG,AWAY,20,15,35,MetLife Stadium,7,7,3,3,0,24,23,24:23,14,5,9,0,51,293,5.7,2,23,80,3.5,0,27,22,213,2,0,7.9,9.7,81.5,124.23,10,3,30.0,1,1,100.0,1,1,0,0,11,89,1,0,1,8,3,6,3,165,55.0,0,1,1,3,6,3,3,0,35,37,35:37,16,4,12,0,65,303,4.7,0,24,26,1.1,0,40,29,277,0,1,6.9,9.6,72.5,80.94,16,5,31.2,4,3,75.0,2,0,0,0,4,35,1,0,1,4,3,5,1,44,44.0,1,0,-1,100.0,0,0.0,0,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,5,5,48,18,1,4,6,0,0,37,16,1,8,3,1,0,Thursday,993004543,9,23,18732,5,1,1,0.3,0,25.7,29.7,-4.0,343.3,372.6666666666667,0.0,0.429,,77.0,89.0,1.0,3.0
202410528,2024-10-06T20:20:00,1,2024,5,DAL,PIT,AWAY,20,17,37,Acrisure Stadium,3,3,0,14,0,32,29,32:29,25,9,14,2,75,445,5.9,2,31,109,3.5,0,42,29,336,2,2,8.0,11.6,69.0,88.99,15,9,60.0,1,1,100.0,4,1,0,0,11,87,2,1,2,16,8,4,1,45,45.0,3,1,-2,3,0,7,7,0,27,31,27:31,17,6,7,4,57,226,4.0,2,26,92,3.5,0,28,16,134,2,0,4.8,8.4,57.1,93.45,12,3,25.0,2,2,100.0,2,2,0,0,8,50,2,1,3,16,6,3,5,222,44.4,1,3,2,25.0,0,100.0,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,1,1,35,21,3,16,5,2,1,51,22,2,16,6,2,1,Sunday,993004599,9,28,18734,3,1,-2,0.6,0,21.3,29.0,-7.7,352.7,397.0,-0.333,0.433,,97.0,104.0,2.0,-38.0
202410609,2024-10-13T16:25:00,1,2024,6,DAL,DET,HOME,9,47,56,AT&T Stadium,3,3,3,0,0,25,17,25:17,16,2,10,4,65,251,3.9,0,17,53,3.1,0,44,25,198,0,3,4.5,7.9,56.8,39.77,13,3,23.1,4,1,25.0,3,0,0,0,4,30,2,2,4,26,7,4,2,93,46.5,5,0,-5,7,20,10,10,0,34,43,34:43,27,12,14,1,66,492,7.5,5,36,184,5.1,2,27,19,308,3,0,11.4,16.2,70.4,145.29,10,4,40.0,2,1,50.0,5,3,0,0,8,63,1,0,3,26,11,5,0,0,0.0,0,5,5,0.0,0,60.0,0,0,0,0,0,0,0,0,3,3,5,5,0,0,0,0,0,4,4,41,27,3,26,2,1,0,37,21,4,26,10,2,2,Sunday,993004624,9,11,18750,-38,0,-5,0.231,0,21.7,20.0,1.7,383.3,328.3333333333333,-0.667,0.479,0.6,117.0,121.0,3.0,-6.0
202410831,2024-10-27T20:20:00,1,2024,8,DAL,SF,AWAY,24,30,54,Levi's Stadium,0,10,0,14,0,26,48,26:48,18,3,13,2,59,292,4.9,3,19,56,2.9,1,38,25,236,2,2,6.2,9.4,65.8,78.4,12,4,33.3,2,1,50.0,3,2,0,0,6,30,3,0,2,7,2,1,4,194,48.5,2,0,-2,3,3,21,3,0,33,12,33:12,19,10,9,0,64,469,7.3,3,36,223,6.2,2,26,18,246,1,0,9.5,13.7,69.2,112.02,16,8,50.0,1,0,0.0,4,3,0,0,9,73,1,0,2,14,8,3,4,172,43.0,0,2,2,66.7,0,75.0,0,3,3,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,3,38,37,2,14,1,0,0,33,20,2,7,4,2,0,Sunday,993004689,9,31,18777,-6,0,-2,0.333,0,16.3,26.3,-10.0,329.7,340.3333333333333,-2.0,0.377,0.4,126.0,168.0,3.0,-6.0
202410902,2024-11-03T13:00:00,1,2024,9,DAL,ATL,AWAY,21,27,48,Mercedes-Benz Stadium,3,7,3,8,0,30,40,30:40,23,9,13,1,74,378,5.1,2,21,137,6.5,0,50,31,241,2,0,4.8,7.8,62.0,87.17,13,3,23.1,5,1,20.0,3,2,0,0,9,55,1,0,3,7,4,7,3,139,46.3,0,1,1,7,7,7,6,0,29,20,29:20,17,5,12,0,56,310,5.5,4,30,100,3.3,1,24,19,210,3,0,8.8,11.1,79.2,142.71,13,4,30.8,2,2,100.0,3,3,0,0,4,26,3,1,2,12,8,5,5,245,49.0,1,0,-1,66.7,0,100.0,0,1,1,0,2,1,0,0,2,2,3,3,0,1,0,0,0,0,0,32,26,2,12,3,2,1,42,26,3,7,4,0,0,Sunday,993004703,9,2,18797,-6,0,1,0.231,0,17.7,31.3,-13.7,329.3,395.6666666666667,-3.0,0.388,0.4,150.0,198.0,3.0,-28.0
202411009,2024-11-10T16:25:00,1,2024,10,DAL,PHI,HOME,6,34,40,AT&T Stadium,3,3,0,0,0,25,59,25:59,11,5,4,2,56,146,2.6,0,24,97,4.0,0,29,17,49,0,1,1.7,2.9,58.6,49.07,14,3,21.4,2,2,100.0,2,0,0,0,5,40,4,4,3,17,8,4,6,304,50.7,5,2,-3,7,7,14,6,0,34,1,34:01,24,11,9,4,65,348,5.4,4,38,187,4.9,2,22,15,161,2,1,7.3,10.7,68.2,100.76,11,4,36.4,1,1,100.0,5,4,0,0,7,49,1,1,5,46,6,5,4,208,52.0,2,5,3,0.0,0,80.0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,2,2,43,25,5,46,3,1,1,34,19,3,17,7,3,4,Sunday,993004744,9,26,18810,-28,0,-3,0.214,0,18.0,34.7,-16.7,307.0,423.6666666666667,-2.0,0.265,0.4,171.0,225.0,3.0,-24.0
202411109,2024-11-18T20:15:00,1,2024,11,DAL,HOU,HOME,10,34,44,AT&T Stadium,0,10,0,0,0,29,23,29:23,24,3,17,4,79,388,4.9,1,18,64,3.6,0,56,33,324,1,1,5.8,9.8,58.9,73.81,15,5,33.3,4,0,0.0,1,0,0,0,9,66,3,1,5,34,1,2,2,82,41.0,2,1,-1,14,3,3,14,0,30,37,30:37,21,6,13,2,60,391,6.5,4,25,141,5.6,3,34,23,250,0,1,7.4,10.9,67.6,76.84,12,4,33.3,2,1,50.0,4,2,0,0,9,69,0,0,1,7,6,6,4,210,52.5,1,2,1,0.0,0,50.0,0,1,1,0,0,0,0,0,2,1,4,4,0,0,0,0,0,2,2,35,25,1,7,5,0,0,44,21,5,34,10,2,1,Monday,993004778,9,13,18821,-24,0,-1,0.333,0,17.0,30.3,-13.3,272.0,375.6666666666667,-1.333,0.259,0.2,177.0,259.0,3.0,8.0
