gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410126,2024-09-06T20:15:00,1,2024,1,GB,PHI,AWAY,29,34,63,Arena Corinthians,6,13,7,3,0,27,13,27:13,19,7,9,3,58,414,7.1,3,21,163,7.8,1,35,17,251,2,1,7.2,14.8,48.6,79.58,11,3,27.3,1,1,100.0,4,1,0,0,10,71,1,0,2,9,5,7,2,74,37.0,1,3,2,0,17,14,3,0,32,47,32:47,25,8,14,3,74,410,5.5,4,38,144,3.8,2,34,20,266,2,2,7.8,13.3,58.8,78.8,14,4,28.6,1,1,100.0,6,3,0,0,7,57,2,1,2,12,5,4,2,101,50.5,3,1,-2,25.0,0,50.0,0,2,2,0,1,0,0,0,4,3,4,4,0,0,0,0,0,2,2,46,26,2,12,6,0,1,30,24,2,9,4,1,0,Friday,993004449,12,26,18683,-5,0,2,0.273,0,,,,,,,,,,,,6.0
202410212,2024-09-15T13:00:00,1,2024,2,GB,IND,HOME,16,10,26,Lambeau Field,10,0,3,3,0,40,11,40:11,19,13,6,0,67,383,5.7,1,53,261,4.9,0,14,12,122,1,0,8.7,10.2,85.7,126.79,17,10,58.8,0,0,0.0,3,1,0,0,6,50,2,1,0,0,3,4,3,139,46.3,1,3,2,0,0,3,7,0,19,49,19:49,19,8,10,1,53,338,6.4,1,18,140,7.8,0,34,17,198,1,3,5.8,11.6,50.0,41.05,9,2,22.2,2,1,50.0,2,1,0,0,3,20,3,0,1,6,0,6,3,161,53.7,3,1,-2,33.3,0,50.0,0,1,1,0,0,0,0,0,4,3,1,1,0,0,0,0,0,2,1,30,11,1,6,7,1,0,58,33,0,0,1,1,1,Sunday,993004486,12,14,18694,6,1,2,0.588,0,,,,,,,,,29.0,34.0,0.0,16.0
202410334,2024-09-22T13:00:00,1,2024,3,GB,TEN,AWAY,30,14,44,Nissan Stadium,17,3,7,3,0,32,28,32:28,16,9,6,1,59,378,6.4,3,37,188,5.1,1,19,13,190,1,0,10.0,14.6,68.4,118.31,14,5,35.7,0,0,0.0,3,1,0,0,10,75,0,0,3,12,12,6,5,244,48.8,0,3,3,7,0,7,0,0,27,32,27:32,18,3,14,1,53,237,4.5,2,11,33,3.0,0,34,26,204,2,2,6.0,7.8,76.5,85.91,9,3,33.3,1,0,0.0,2,2,0,0,2,15,1,1,8,56,3,6,4,187,46.8,3,0,-3,33.3,0,100.0,0,3,3,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,35,17,8,56,2,1,1,47,20,3,12,0,0,0,Sunday,993004515,12,34,18715,16,1,3,0.357,0,,,,,,,,,45.0,44.0,1.0,-2.0
202410412,2024-09-29T13:00:00,1,2024,4,GB,MIN,HOME,29,31,60,Lambeau Field,0,7,0,22,0,27,45,27:45,24,3,19,2,74,465,6.3,4,19,86,4.5,0,54,32,379,4,3,7.0,11.8,59.3,82.25,12,4,33.3,2,0,0.0,5,4,0,0,8,68,1,1,1,10,3,5,3,180,60.0,4,3,-1,14,14,0,3,0,32,15,32:15,22,8,11,3,64,374,5.8,4,34,120,3.5,1,28,20,254,3,1,9.1,12.7,71.4,120.24,11,4,36.4,1,0,0.0,5,3,0,0,7,55,2,2,2,21,10,3,5,225,45.0,3,4,1,80.0,0,60.0,0,3,3,0,2,1,0,0,2,0,4,4,0,0,0,0,0,1,1,45,23,2,21,2,1,2,41,23,1,10,12,1,1,Sunday,993004556,12,20,18727,-2,0,-1,0.333,0,25.0,19.3,5.7,391.7,328.3333333333333,2.333,0.406,,75.0,58.0,2.0,5.0
202410532,2024-10-06T16:25:00,1,2024,5,GB,LAR,AWAY,24,19,43,SoFi Stadium,7,3,14,0,0,27,19,27:19,19,9,8,2,58,323,5.6,3,30,126,4.2,1,26,15,197,2,1,7.6,13.1,57.7,91.35,8,1,12.5,0,0,0.0,3,2,0,0,6,34,1,0,2,27,10,4,5,186,37.2,1,2,1,0,13,0,6,0,32,41,32:41,24,12,11,1,76,370,4.9,3,28,134,4.8,1,45,29,236,1,1,5.2,8.1,64.4,75.79,16,8,50.0,4,2,50.0,3,2,0,0,5,30,1,1,3,24,3,4,3,129,43.0,2,1,-1,66.7,0,66.7,0,3,3,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,39,42,3,24,5,1,1,35,25,2,27,4,1,0,Sunday,993004595,12,32,18735,5,1,1,0.125,0,25.0,18.3,6.7,408.7,316.3333333333333,1.333,0.426,,104.0,89.0,2.0,21.0
202410612,2024-10-13T13:00:00,1,2024,6,GB,ARI,HOME,34,13,47,Lambeau Field,7,17,7,3,0,36,35,36:35,27,9,15,3,70,437,6.2,4,38,179,4.7,0,32,22,258,4,1,8.1,11.7,68.8,119.53,12,7,58.3,1,1,100.0,4,2,0,0,5,40,0,0,0,0,1,2,1,46,46.0,1,3,2,0,10,3,0,0,23,25,23:25,16,5,8,3,55,303,5.5,1,23,89,3.9,0,32,22,214,1,0,6.7,9.7,68.8,97.66,10,4,40.0,0,0,0.0,3,1,0,0,13,100,3,3,0,0,2,3,4,211,52.8,3,1,-2,50.0,0,33.3,0,4,4,0,0,0,0,0,3,2,1,1,0,0,0,0,0,2,2,40,13,0,0,2,2,3,42,37,0,0,5,0,0,Sunday,993004610,12,1,18754,21,1,2,0.583,0,27.7,21.3,6.3,388.7,327.0,1.0,0.272,0.6,128.0,108.0,3.0,2.0
202410712,2024-10-20T13:00:00,1,2024,7,GB,HOU,HOME,24,22,46,Lambeau Field,0,14,7,3,0,28,43,28:43,18,4,12,2,56,277,4.9,3,20,82,4.1,0,33,24,195,3,2,5.9,8.1,72.7,92.36,10,4,40.0,0,0,0.0,2,2,0,0,8,55,1,1,3,25,7,11,5,284,56.8,3,0,-3,3,16,0,3,0,31,17,31:17,15,9,6,0,58,197,3.4,2,33,142,4.3,2,21,10,55,0,0,2.6,5.5,47.6,54.27,13,4,30.8,0,0,0.0,4,2,0,0,5,55,0,0,4,31,6,8,6,307,51.2,0,3,3,100.0,0,50.0,0,3,3,0,0,0,0,0,1,1,1,1,0,1,0,0,0,3,3,38,23,4,31,1,0,0,41,7,3,25,5,0,1,Sunday,993004648,12,13,18770,2,1,-3,0.4,0,29.0,21.0,8.0,408.3,349.0,0.667,0.347,0.8,162.0,121.0,4.0,3.0
202410815,2024-10-27T13:00:00,1,2024,8,GB,JAX,AWAY,30,27,57,EverBank Stadium,0,13,7,10,0,34,9,34:09,22,8,11,3,67,422,6.3,3,39,170,4.4,2,27,18,252,1,1,9.3,14.0,66.7,93.44,11,3,27.3,0,0,0.0,6,2,0,0,3,20,0,0,1,0,4,3,5,241,48.2,1,2,1,0,10,7,10,0,25,51,25:51,19,5,14,0,56,390,7.0,3,23,91,4.0,1,32,21,299,2,1,9.3,14.2,65.6,103.52,9,1,11.1,1,1,100.0,3,3,0,0,8,59,2,1,1,9,4,5,5,298,59.6,2,1,-1,33.3,0,100.0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,2,2,33,28,1,9,5,1,1,40,29,1,0,1,0,0,Sunday,993004665,12,15,18786,3,1,1,0.273,0,27.3,18.0,9.3,345.7,290.0,0.0,0.369,0.8,186.0,143.0,5.0,-10.0
202410912,2024-11-03T16:25:00,1,2024,9,GB,DET,HOME,14,24,38,Lambeau Field,3,0,3,8,0,28,49,28:49,20,7,10,3,62,411,6.6,1,23,138,6.0,1,39,23,273,0,1,7.0,11.9,59.0,69.71,12,3,25.0,3,2,66.7,4,1,0,0,10,67,3,0,0,0,4,3,2,84,42.0,1,0,-1,0,17,7,0,0,31,11,31:11,17,8,8,1,55,261,4.7,3,32,124,3.9,1,22,18,137,1,0,6.2,7.6,81.8,107.77,12,4,33.3,2,2,100.0,4,2,0,0,5,51,0,0,1,8,2,1,4,199,49.8,0,1,1,25.0,0,50.0,0,0,0,0,2,1,0,0,3,2,3,3,0,0,0,0,0,1,1,30,38,1,8,0,0,0,35,19,0,0,3,0,0,Sunday,993004716,12,11,18794,-10,0,-1,0.25,0,29.3,20.7,8.7,378.7,296.6666666666667,0.0,0.419,0.8,216.0,170.0,6.0,1.0
202411106,2024-11-17T13:00:00,1,2024,11,GB,CHI,AWAY,20,19,39,Soldier Field,7,0,7,6,0,23,39,23:39,19,8,10,1,43,366,8.5,3,25,106,4.2,2,17,13,260,1,1,15.3,20.0,76.5,112.99,5,1,20.0,1,0,0.0,5,3,0,0,3,25,0,0,1,1,6,4,1,47,47.0,1,0,-1,3,7,9,0,0,36,21,36:21,23,10,12,1,68,391,5.8,2,34,179,5.3,2,31,23,212,0,0,6.8,9.2,74.2,92.41,16,9,56.2,3,3,100.0,2,1,0,0,7,50,0,0,3,19,2,5,2,83,41.5,0,1,1,60.0,0,50.0,0,2,2,0,1,0,0,0,0,0,1,1,0,2,0,0,0,3,2,46,27,3,19,1,0,0,24,28,1,1,2,0,0,Sunday,993004754,12,6,18827,1,1,-1,0.2,0,22.7,24.3,-1.7,370.0,282.6666666666667,-1.0,0.308,0.8,230.0,194.0,6.0,28.0
