gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410129,2024-09-08T16:05:00,1,2024,1,LAC,LV,HOME,22,10,32,SoFi Stadium,3,3,3,13,0,28,16,28:16,11,5,6,0,54,316,5.9,2,27,176,6.5,1,26,17,140,1,0,5.4,8.2,65.4,91.83,15,4,26.7,0,0,0.0,4,2,0,0,7,50,0,0,1,4,6,3,7,332,47.4,0,3,3,7,0,0,3,0,31,44,31:44,14,1,12,1,59,296,5.0,1,22,71,3.2,0,33,25,225,1,1,6.8,9.0,75.8,91.1,14,5,35.7,1,0,0.0,1,0,0,0,2,15,2,2,4,32,5,2,5,265,53.0,3,0,-3,50.0,0,0.0,0,1,1,0,1,0,0,0,3,3,1,1,0,0,0,0,0,2,1,42,17,4,32,5,1,2,33,21,1,4,2,0,0,Sunday,993004468,29,25,18673,12,1,3,0.267,0,,,,,,,,,,,,23.0
202410205,2024-09-15T13:00:00,1,2024,2,LAC,CAR,AWAY,26,3,29,Bank of America Stadium,6,14,3,3,0,36,18,36:18,21,10,8,3,65,349,5.4,3,44,219,5.0,1,20,14,130,2,1,6.5,9.3,70.0,100.0,16,9,56.2,0,0,0.0,2,1,0,0,3,15,1,1,1,0,2,4,3,129,43.0,2,1,-1,0,0,3,0,0,23,42,23:42,7,4,3,0,46,159,3.5,0,18,90,5.0,0,26,18,69,0,1,2.7,3.8,69.2,56.25,12,1,8.3,3,1,33.3,0,0,0,0,9,90,0,0,2,15,2,1,7,311,44.4,1,2,1,50.0,0,0.0,0,3,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,29,23,2,15,5,0,0,44,35,1,0,2,1,1,Sunday,993004495,29,5,18691,23,1,-1,0.562,0,,,,,,,,,22.0,10.0,1.0,-10.0
202410328,2024-09-22T13:00:00,1,2024,3,LAC,PIT,AWAY,10,20,30,Acrisure Stadium,7,3,0,0,0,26,9,26:09,10,3,7,0,45,166,3.7,1,20,61,3.0,0,20,14,105,1,0,5.2,7.5,70.0,98.96,11,3,27.3,0,0,0.0,1,0,0,0,7,69,2,0,5,44,5,8,7,350,50.0,0,1,1,0,7,3,10,0,33,51,33:51,20,7,9,4,65,346,5.3,2,31,114,3.7,1,32,25,232,1,1,7.2,9.3,78.1,94.27,14,7,50.0,0,0,0.0,4,1,0,0,3,15,0,0,2,13,7,7,3,156,52.0,1,0,-1,0.0,0,25.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,2,47,30,2,13,4,0,0,34,19,5,44,1,1,0,Sunday,993004517,29,28,18713,-10,0,1,0.273,0,,,,,,,,,48.0,13.0,2.0,-7.0
202410429,2024-09-29T16:25:00,1,2024,4,LAC,KC,HOME,10,17,27,SoFi Stadium,10,0,0,0,0,30,52,30:52,12,3,9,0,53,224,4.2,1,24,55,2.3,0,27,16,169,1,0,6.3,10.6,59.3,89.89,13,4,30.8,1,0,0.0,2,1,0,0,9,51,2,0,2,10,5,2,6,318,53.0,0,2,2,0,7,3,7,0,29,8,29:08,16,6,8,2,58,329,5.7,2,26,101,3.9,1,29,19,228,1,1,7.9,12.0,65.5,86.57,16,9,56.2,0,0,0.0,2,1,0,0,5,40,1,1,3,17,10,5,4,200,50.0,2,0,-2,50.0,0,50.0,0,1,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,1,34,27,3,17,5,1,1,36,17,2,10,4,1,0,Sunday,993004566,29,16,18720,-7,0,2,0.308,0,19.3,11.0,8.3,277.0,267.0,1.0,0.367,,58.0,33.0,2.0,7.0
202410610,2024-10-13T16:05:00,1,2024,6,LAC,DEN,AWAY,23,16,39,Empower Field at Mile High,10,10,3,0,0,37,23,37:23,22,10,10,2,75,350,4.7,2,38,128,3.4,1,34,21,222,1,0,6.5,10.6,61.8,90.56,18,11,61.1,0,0,0.0,3,1,0,0,3,20,1,0,3,15,5,2,4,159,39.8,0,2,2,0,0,0,16,0,22,37,22:37,17,7,10,0,53,316,6.0,2,18,110,6.1,0,33,19,206,2,1,6.2,10.8,57.6,83.65,11,3,27.3,2,2,100.0,2,2,0,0,7,37,1,1,2,10,6,5,5,233,46.6,2,0,-2,33.3,0,100.0,0,2,2,0,0,0,0,0,3,3,1,1,0,2,0,0,0,1,1,31,17,2,10,6,1,1,45,31,3,15,6,1,0,Sunday,993004621,29,10,18751,7,1,2,0.611,0,15.3,13.3,2.0,246.3,278.0,0.667,0.381,,68.0,50.0,2.0,-2.0
202410701,2024-10-21T21:00:00,1,2024,7,LAC,ARI,AWAY,15,17,32,State Farm Stadium,0,6,3,6,0,34,14,34:14,20,5,14,1,64,395,6.2,0,22,59,2.7,0,39,27,336,0,0,8.6,12.4,69.2,95.67,14,6,42.9,1,1,100.0,1,0,0,0,5,57,3,2,3,13,1,1,2,75,37.5,2,1,-1,0,7,0,10,0,25,46,25:46,22,10,10,2,55,326,5.9,2,29,181,6.2,1,26,14,145,1,1,5.6,10.4,53.8,66.99,7,2,28.6,1,0,0.0,2,1,0,0,3,15,1,0,0,0,7,5,4,178,44.5,1,2,1,0.0,0,50.0,0,0,0,0,0,0,0,0,5,5,2,2,0,0,0,0,0,1,1,32,20,0,0,6,1,0,41,28,3,13,2,3,2,Monday,993004659,29,1,18761,-2,0,-1,0.429,0,14.3,17.7,-3.3,246.7,330.3333333333333,1.667,0.397,0.6,91.0,66.0,3.0,18.0
202410829,2024-10-27T16:05:00,1,2024,8,LAC,NO,HOME,26,8,34,SoFi Stadium,0,9,7,10,0,31,8,31:08,19,6,12,1,64,378,5.9,3,29,122,4.2,1,32,20,256,2,0,8.0,12.8,62.5,108.33,12,3,25.0,1,0,0.0,3,2,0,0,4,34,2,0,3,23,7,6,6,344,57.3,0,0,0,2,3,3,0,0,28,52,28:52,15,4,9,2,68,366,5.4,0,21,117,5.6,0,42,22,249,0,0,5.9,11.3,52.4,70.44,16,2,12.5,1,1,100.0,1,0,0,0,7,66,0,0,5,32,7,6,9,437,48.6,0,0,0,66.7,0,0.0,0,3,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,40,18,5,32,5,0,0,41,15,3,23,4,1,0,Sunday,993004680,29,22,18781,18,1,0,0.25,0,16.0,16.7,-0.7,323.0,323.6666666666667,1.0,0.449,0.4,106.0,83.0,3.0,17.0
202410908,2024-11-03T13:00:00,1,2024,9,LAC,CLE,AWAY,27,10,37,Huntington Bank Field,7,13,0,7,0,25,51,25:51,13,3,10,0,56,342,6.1,4,23,96,4.2,2,27,18,246,2,0,9.1,13.7,66.7,120.29,14,5,35.7,1,1,100.0,3,3,0,0,5,35,0,0,6,36,9,8,7,330,47.1,0,3,3,0,3,0,7,0,34,9,34:09,21,6,14,1,76,292,3.8,1,24,79,3.3,0,46,26,213,1,3,4.6,8.2,56.5,48.55,17,6,35.3,3,2,66.7,3,1,0,0,4,25,1,0,6,22,11,10,6,318,53.0,3,0,-3,100.0,0,33.3,0,4,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,44,25,6,22,12,1,0,36,20,6,36,4,0,0,Sunday,993004709,29,8,18802,17,1,3,0.357,0,21.3,13.7,7.7,374.3,336.0,0.333,0.43,0.4,132.0,91.0,4.0,10.0
202411029,2024-11-10T16:05:00,1,2024,10,LAC,TEN,HOME,27,17,44,SoFi Stadium,3,10,7,7,0,30,59,30:59,23,11,8,4,57,309,5.4,3,39,145,3.7,2,18,14,164,1,0,9.1,11.7,77.8,123.15,10,4,40.0,1,1,100.0,5,3,0,0,5,30,0,0,0,0,9,8,3,116,38.7,0,0,0,7,0,3,7,0,29,1,29:01,19,8,10,1,51,289,5.7,2,21,132,6.3,0,23,18,157,2,0,6.8,8.7,78.3,124.09,9,3,33.3,0,0,0.0,3,1,0,0,9,68,1,0,7,18,2,4,4,214,53.5,0,0,0,60.0,0,33.3,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,38,17,7,18,1,1,0,40,23,0,0,3,0,0,Sunday,993004742,29,34,18811,10,1,0,0.4,0,22.7,11.7,11.0,371.7,328.0,0.667,0.345,0.6,159.0,101.0,5.0,7.0
202411129,2024-11-17T20:20:00,1,2024,11,LAC,CIN,HOME,34,27,61,SoFi Stadium,7,17,3,7,0,25,52,25:52,24,7,14,3,63,435,6.9,4,25,155,6.2,2,36,17,280,2,0,7.8,16.5,47.2,92.36,11,3,27.3,1,1,100.0,2,1,0,0,5,50,1,1,2,17,14,5,6,280,46.7,1,0,-1,3,3,14,7,0,34,8,34:08,24,6,14,4,78,452,5.8,3,25,110,4.4,0,50,28,342,3,0,6.8,12.2,56.0,97.25,17,5,29.4,3,3,100.0,4,2,0,0,8,56,0,0,3,14,6,4,5,250,50.0,0,1,1,50.0,0,50.0,0,4,4,0,0,0,0,0,2,2,3,3,0,0,0,0,0,4,2,38,31,3,14,10,0,0,31,24,2,17,9,1,1,Sunday,993004776,29,7,18824,7,1,-1,0.273,0,26.7,11.7,15.0,343.0,315.6666666666667,1.0,0.336,0.8,186.0,118.0,6.0,-7.0
