gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410122,2024-09-08T13:00:00,1,2024,1,NO,CAR,HOME,47,10,57,Caesars Superdome,17,13,7,10,0,36,39,36:39,22,13,7,2,62,379,6.1,5,37,180,4.9,2,24,19,199,3,0,8.3,10.5,79.2,140.8,13,7,53.8,0,0,0.0,4,4,0,0,10,95,1,1,1,1,5,4,2,73,36.5,1,3,2,0,3,7,0,0,23,21,23:21,11,2,7,2,55,193,3.5,1,20,58,2.9,1,31,13,135,0,2,4.4,10.4,41.9,28.29,10,1,10.0,3,1,33.3,2,1,0,0,6,80,1,1,4,26,1,6,5,191,38.2,3,1,-2,100.0,0,50.0,0,5,5,0,0,0,0,0,4,4,1,1,0,0,0,0,0,1,1,27,16,4,26,6,1,1,43,29,1,1,3,0,1,Sunday,993004460,22,5,18681,37,1,2,0.538,0,,,,,,,,,,,,25.0
202410209,2024-09-15T13:00:00,1,2024,2,NO,DAL,AWAY,44,19,63,AT&T Stadium,14,21,6,3,0,30,31,30:31,24,15,8,1,56,432,7.7,6,39,190,4.9,4,16,11,242,2,1,15.1,22.0,68.8,125.0,8,5,62.5,0,0,0.0,5,4,0,0,5,40,0,0,1,1,3,4,1,49,49.0,1,2,1,3,13,3,0,0,29,29,29:29,20,5,13,2,66,353,5.3,1,21,68,3.2,0,42,28,285,1,2,6.8,10.2,66.7,74.01,13,6,46.2,3,1,33.3,3,0,0,0,4,26,1,0,3,14,1,2,1,53,53.0,2,1,-1,80.0,0,0.0,0,6,5,1,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,42,23,3,14,9,1,0,35,24,1,1,3,0,0,Sunday,993004481,22,9,18692,25,1,1,0.625,0,,,,,,,,,47.0,10.0,1.0,-3.0
202410322,2024-09-22T13:00:00,1,2024,3,NO,PHI,HOME,12,15,27,Caesars Superdome,3,0,0,9,0,27,45,27:45,12,5,7,0,55,219,4.0,1,29,89,3.1,0,25,14,130,1,1,5.2,9.3,56.0,67.08,13,6,46.2,1,0,0.0,3,1,0,0,3,25,0,0,1,12,8,7,4,162,40.5,1,2,1,0,0,0,15,0,32,15,32:15,20,8,11,1,67,460,6.9,2,25,172,6.9,2,38,29,288,0,1,7.6,9.9,76.3,86.29,14,6,42.9,3,1,33.3,3,1,0,0,7,45,2,1,4,23,4,6,1,43,43.0,2,1,-1,33.3,0,33.3,0,0,0,0,2,0,0,0,2,2,1,1,0,0,0,1,1,1,0,47,15,4,23,3,2,1,38,20,1,12,8,0,0,Sunday,993004520,22,26,18712,-3,0,1,0.462,0,,,,,,,,,91.0,29.0,2.0,-2.0
202410402,2024-09-29T13:00:00,1,2024,4,NO,ATL,AWAY,24,26,50,Mercedes-Benz Stadium,7,7,3,7,0,35,42,35:42,25,12,11,2,70,366,5.2,3,33,131,4.0,3,36,28,235,0,1,6.5,8.4,77.8,82.29,13,7,53.8,2,1,50.0,4,3,0,0,6,60,1,1,1,4,4,2,3,120,40.0,2,1,-1,7,10,3,6,0,24,18,24:18,14,4,9,1,51,315,6.2,2,15,88,5.9,0,35,21,227,0,1,6.5,10.8,60.0,67.2,11,4,36.4,0,0,0.0,1,0,0,0,9,76,1,0,1,11,3,4,3,132,44.0,1,2,1,75.0,0,0.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,4,33,16,1,11,7,1,0,50,27,1,4,3,0,1,Sunday,993004557,22,2,18724,-2,0,-1,0.538,0,34.3,14.7,19.7,343.3,335.3333333333333,1.333,0.542,,103.0,44.0,2.0,-13.0
202410516,2024-10-07T20:15:00,1,2024,5,NO,KC,AWAY,13,26,39,Arrowhead Stadium,0,7,0,6,0,20,4,20:04,14,1,11,2,51,220,4.3,2,15,46,3.1,0,35,20,174,2,1,5.0,8.7,57.1,77.56,10,4,40.0,2,0,0.0,1,1,0,0,5,70,0,0,1,8,6,4,4,199,49.8,1,1,0,7,9,0,10,0,39,56,39:56,28,11,15,2,80,460,5.8,2,39,139,3.6,2,39,28,321,0,1,8.2,11.5,71.8,85.52,14,6,42.9,1,1,100.0,7,2,0,0,6,55,1,0,2,10,9,3,1,56,56.0,1,1,0,100.0,0,28.6,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,4,50,37,2,10,2,1,0,27,20,1,8,4,0,0,Monday,993004601,22,16,18733,-13,0,0,0.4,0,26.7,20.0,6.7,339.0,376.0,0.333,0.542,,127.0,70.0,2.0,-24.0
202410622,2024-10-13T13:00:00,1,2024,6,NO,TB,HOME,27,51,78,Caesars Superdome,0,27,0,0,0,25,58,25:58,19,3,13,3,66,303,4.6,3,21,81,3.9,1,40,22,222,1,2,5.6,10.1,55.0,58.54,13,4,30.8,1,1,100.0,4,2,0,0,7,70,3,1,5,21,2,4,6,266,44.3,3,3,0,17,7,7,20,0,34,2,34:02,31,13,15,3,72,594,8.2,7,35,277,7.9,2,36,24,317,4,3,8.8,13.2,66.7,96.64,10,6,60.0,0,0,0.0,5,4,0,0,12,86,1,0,1,8,10,5,3,132,44.0,3,3,0,50.0,0,80.0,0,3,3,0,0,0,0,0,2,2,6,6,0,2,0,0,0,1,1,47,30,1,8,11,1,0,37,24,5,21,6,2,1,Sunday,993004614,22,33,18756,-24,0,0,0.308,0,16.3,22.3,-6.0,268.3,411.6666666666667,0.0,0.467,0.4,140.0,96.0,2.0,-23.0
202410722,2024-10-17T20:15:00,1,2024,7,NO,DEN,HOME,10,33,43,Caesars Superdome,0,3,0,7,0,26,44,26:44,15,6,7,2,66,271,4.1,1,21,97,4.6,0,39,28,174,1,0,4.5,6.2,71.8,89.05,17,5,29.4,4,3,75.0,2,1,0,0,5,35,2,2,6,36,0,3,6,267,44.5,2,1,-1,3,13,10,7,0,33,16,33:16,22,13,8,1,61,389,6.4,3,35,225,6.4,2,26,16,164,0,0,6.3,10.2,61.5,79.65,11,4,36.4,0,0,0.0,3,2,0,0,7,47,1,1,0,0,11,6,3,129,43.0,1,2,1,50.0,0,66.7,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,4,4,39,23,0,0,2,1,1,40,26,6,36,3,2,2,Thursday,993004632,22,10,18775,-23,0,-1,0.294,0,21.3,34.3,-13.0,296.3,456.3333333333333,-0.333,0.415,0.2,167.0,147.0,2.0,-18.0
202410829,2024-10-27T16:05:00,1,2024,8,NO,LAC,AWAY,8,26,34,SoFi Stadium,2,3,3,0,0,28,52,28:52,15,4,9,2,68,366,5.4,0,21,117,5.6,0,42,22,249,0,0,5.9,11.3,52.4,70.44,16,2,12.5,1,1,100.0,1,0,0,0,7,66,0,0,5,32,7,6,9,437,48.6,0,0,0,0,9,7,10,0,31,8,31:08,19,6,12,1,64,378,5.9,3,29,122,4.2,1,32,20,256,2,0,8.0,12.8,62.5,108.33,12,3,25.0,1,0,0.0,3,2,0,0,4,34,2,0,3,23,7,6,6,344,57.3,0,0,0,0.0,0,66.7,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,2,2,41,15,3,23,4,1,0,40,18,5,32,5,0,0,Sunday,993004679,22,29,18781,-18,0,0,0.125,0,16.7,36.7,-20.0,264.7,481.0,-0.333,0.334,0.0,177.0,180.0,2.0,-1.0
202410905,2024-11-03T13:00:00,1,2024,9,NO,CAR,AWAY,22,23,45,Bank of America Stadium,6,7,3,6,0,34,19,34:19,25,11,12,2,74,427,5.8,2,41,197,4.8,1,32,18,230,1,0,7.2,12.8,56.2,89.32,15,5,33.3,3,2,66.7,4,2,0,0,10,109,0,0,1,6,4,5,4,169,42.2,0,1,1,0,10,7,6,0,25,41,25:41,15,5,8,2,50,246,4.9,3,23,80,3.5,2,26,16,166,1,1,6.4,10.4,61.5,76.76,10,4,40.0,0,0,0.0,3,3,0,0,6,55,0,0,1,5,5,5,5,216,43.2,1,0,-1,50.0,0,100.0,0,1,1,0,2,0,0,0,3,3,2,2,0,1,0,0,0,1,1,26,22,1,5,4,0,0,41,42,1,6,2,0,0,Sunday,993004701,22,5,18800,-1,0,1,0.333,0,15.0,36.7,-21.7,313.3,453.6666666666667,-0.333,0.242,0.0,185.0,206.0,2.0,3.0
202411022,2024-11-10T13:00:00,1,2024,10,NO,ATL,HOME,20,17,37,Caesars Superdome,0,17,3,0,0,24,53,24:53,14,5,8,1,52,365,7.0,2,27,96,3.6,0,25,16,269,2,0,10.8,16.8,64.0,126.92,13,5,38.5,1,0,0.0,3,1,0,0,8,76,1,0,0,0,9,6,5,224,44.8,0,1,1,0,7,10,0,0,35,7,35:07,25,9,12,4,73,468,6.4,2,32,181,5.7,2,38,23,287,0,1,7.6,12.5,60.5,73.03,14,5,35.7,2,1,50.0,3,1,0,0,6,45,2,0,3,19,1,2,3,144,48.0,1,0,-1,33.3,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,4,1,42,31,3,19,9,2,0,26,28,0,0,1,0,0,Sunday,993004740,22,2,18816,3,1,1,0.385,0,13.3,27.3,-14.0,354.7,337.6666666666667,0.0,0.251,0.0,207.0,229.0,2.0,21.0
