gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410130,2024-09-08T16:05:00,1,2024,1,SEA,DEN,HOME,26,20,46,Lumen Field,3,6,10,7,0,28,46,28:46,19,5,11,3,60,304,5.1,3,33,146,4.4,2,25,18,158,1,1,6.3,8.8,72.0,85.08,12,4,33.3,0,0,0.0,1,0,0,0,6,41,1,1,2,13,8,6,5,241,48.2,2,3,1,3,10,0,7,0,31,14,31:14,13,7,6,0,69,231,3.3,1,25,99,4.0,1,42,26,132,0,2,3.1,5.1,61.9,46.92,18,5,27.8,1,1,100.0,4,1,0,0,8,60,2,1,2,6,7,9,8,389,48.6,3,2,-1,0.0,0,25.0,0,2,2,0,2,0,0,0,2,2,1,1,0,0,0,0,0,3,3,53,15,2,6,6,2,1,40,28,2,13,2,0,1,Sunday,993004470,30,10,18674,6,1,1,0.333,0,,,,,,,,,,,,3.0
202410221,2024-09-15T13:00:00,1,2024,2,SEA,NE,AWAY,23,20,43,Gillette Stadium,7,10,0,3,3,29,41,29:41,18,5,11,2,66,358,5.4,2,19,46,2.4,1,44,33,312,1,0,7.1,9.5,75.0,101.7,15,7,46.7,2,1,50.0,3,1,0,0,6,50,0,0,3,15,8,5,5,269,53.8,0,0,0,7,6,0,7,0,35,42,35:42,19,8,9,2,66,310,4.7,2,36,185,5.1,1,27,15,125,1,0,4.6,8.3,55.6,80.02,16,6,37.5,0,0,0.0,4,2,0,0,3,42,1,0,3,24,6,4,6,342,57.0,0,0,0,33.3,0,50.0,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,3,2,41,33,3,24,2,1,0,42,26,3,15,5,0,0,Sunday,993004489,30,21,18697,3,1,0,0.467,0,,,,,,,,,26.0,20.0,1.0,21.0
202410330,2024-09-22T16:05:00,1,2024,3,SEA,MIA,HOME,24,3,27,Lumen Field,17,0,0,7,0,31,28,31:28,21,7,13,1,60,370,6.2,3,23,100,4.3,2,34,26,270,1,2,7.9,10.4,76.5,84.19,11,3,27.3,0,0,0.0,2,2,0,0,11,92,1,0,3,19,12,8,4,195,48.8,2,0,-2,3,0,0,0,0,28,32,28:32,13,2,8,3,56,205,3.7,0,18,65,3.6,0,32,20,140,0,0,4.4,7.0,62.5,72.4,12,1,8.3,3,0,0.0,2,0,0,0,11,85,3,0,6,46,7,6,6,277,46.2,0,2,2,100.0,0,0.0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,37,21,6,46,3,2,0,37,29,3,19,5,0,0,Sunday,993004530,30,19,18708,21,1,-2,0.273,0,,,,,,,,,49.0,40.0,2.0,-13.0
202410411,2024-09-30T20:15:00,1,2024,4,SEA,DET,AWAY,29,42,71,Ford Field,0,7,13,9,0,34,4,34:04,38,10,22,6,78,516,6.6,4,19,133,7.0,3,56,38,383,1,1,6.8,10.1,67.9,85.64,10,5,50.0,2,1,50.0,4,3,0,0,8,70,1,1,3,12,4,4,3,133,44.3,2,0,-2,7,14,14,7,0,25,56,25:56,21,8,12,1,50,389,7.8,6,28,116,4.1,3,19,19,273,3,0,14.4,14.4,100.0,158.33,6,3,50.0,0,0,0.0,5,5,0,0,12,101,0,0,3,26,9,5,3,140,46.7,0,2,2,75.0,0,100.0,0,3,3,0,2,0,0,0,1,0,6,6,0,0,0,0,0,0,0,35,24,3,26,0,0,0,47,16,3,12,9,1,1,Monday,993004573,30,11,18717,-13,0,-2,0.5,0,24.3,14.3,10.0,344.0,248.66666666666666,-0.333,0.358,,73.0,43.0,3.0,-9.0
202410530,2024-10-06T16:25:00,1,2024,5,SEA,NYG,HOME,20,29,49,Lumen Field,7,3,3,7,0,22,38,22:38,17,3,14,0,58,333,5.7,2,11,102,9.3,0,40,28,231,1,0,5.8,8.2,70.0,92.81,11,3,27.3,2,0,0.0,1,1,0,0,6,30,1,1,7,53,5,2,4,193,48.2,1,1,0,0,10,10,9,0,37,22,37:22,24,8,14,2,71,420,5.9,3,34,175,5.1,0,34,23,245,2,0,7.2,10.7,67.6,108.09,16,7,43.8,1,0,0.0,4,1,0,0,2,20,2,1,3,12,10,6,4,186,46.5,1,1,0,100.0,0,25.0,0,2,2,0,0,0,0,0,3,2,2,2,0,1,0,0,0,3,3,48,32,3,12,1,2,1,37,23,7,53,7,1,1,Sunday,993004598,30,23,18736,-9,0,0,0.273,0,25.3,21.7,3.7,414.7,301.3333333333333,-1.333,0.413,,102.0,85.0,3.0,-12.0
202410630,2024-10-10T20:15:00,1,2024,6,SEA,SF,HOME,24,36,60,Lumen Field,0,3,14,7,0,26,57,26:57,22,3,18,1,73,358,4.9,3,20,52,2.6,1,52,30,306,1,2,5.9,10.2,57.7,65.06,16,7,43.8,3,2,66.7,3,2,0,0,9,69,2,1,1,6,4,4,4,216,54.0,3,0,-3,3,13,7,13,0,33,3,33:03,21,9,10,2,61,483,7.9,4,33,228,6.9,1,28,18,255,3,0,9.1,14.2,64.3,129.32,12,5,41.7,0,0,0.0,5,3,0,0,5,34,0,0,0,0,5,3,4,173,43.2,0,3,3,66.7,0,60.0,0,3,3,0,0,0,0,0,1,1,3,3,0,1,0,0,0,3,3,43,20,0,0,4,0,0,40,22,1,6,8,2,1,Thursday,993004604,30,31,18760,-12,0,-3,0.438,0,24.3,24.7,-0.3,406.3,338.0,-1.333,0.348,0.6,122.0,114.0,3.0,20.0
202410702,2024-10-20T13:00:00,1,2024,7,SEA,ATL,AWAY,34,14,48,Mercedes-Benz Stadium,3,14,7,10,0,28,52,28:52,20,5,12,3,56,339,6.1,4,26,103,4.0,1,29,19,236,2,0,8.1,12.4,65.5,113.58,11,4,36.4,1,1,100.0,2,1,0,0,5,42,1,0,1,6,9,6,4,156,39.0,0,3,3,0,7,7,0,0,31,8,31:08,22,8,13,1,71,369,5.2,2,32,155,4.8,1,36,25,214,1,2,5.9,8.6,69.4,70.83,15,8,53.3,2,2,100.0,2,2,0,0,9,72,1,1,3,32,6,3,3,133,44.3,3,0,-3,50.0,0,100.0,0,4,4,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,0,46,36,3,32,5,1,1,38,20,1,6,5,0,0,Sunday,993004639,30,2,18767,20,1,3,0.364,0,24.3,35.7,-11.3,402.3,430.6666666666667,-1.667,0.403,0.4,146.0,150.0,3.0,-21.0
202410830,2024-10-27T16:05:00,1,2024,8,SEA,BUF,HOME,10,31,41,Lumen Field,0,3,0,7,0,21,57,21:57,17,2,13,2,47,233,5.0,1,17,32,1.9,1,29,21,201,0,1,6.9,9.6,72.4,76.94,7,1,14.3,1,0,0.0,3,1,0,0,11,82,3,1,1,11,0,0,4,245,61.2,2,1,-1,7,7,10,7,0,38,3,38:03,29,14,12,3,69,445,6.4,4,34,164,4.8,2,34,24,281,2,1,8.3,11.7,70.6,102.7,15,8,53.3,1,1,100.0,6,4,0,0,13,85,1,0,1,2,5,5,3,147,49.0,1,2,1,33.3,0,66.7,0,1,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,45,21,1,2,4,0,0,29,25,1,11,6,0,1,Sunday,993004682,30,4,18782,-21,0,-1,0.143,0,26.0,26.3,-0.3,343.3,424.0,0.0,0.358,0.4,180.0,164.0,4.0,-6.0
202410930,2024-11-03T16:25:00,1,2024,9,SEA,LAR,HOME,20,26,46,Lumen Field,0,13,0,7,0,32,53,32:53,20,4,14,2,74,424,5.7,3,33,107,3.2,0,34,21,317,3,3,9.3,15.1,61.8,85.05,15,4,26.7,3,2,66.7,4,1,0,0,12,95,2,0,7,46,7,5,7,330,47.1,3,1,-2,0,3,10,7,6,32,10,32:10,22,4,13,5,68,366,5.4,3,24,68,2.8,0,44,25,298,2,1,6.8,11.9,56.8,83.33,13,3,23.1,0,0,0.0,3,1,0,0,8,83,3,0,0,0,11,8,7,281,40.1,1,3,2,25.0,0,33.3,0,3,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,38,29,0,0,8,1,0,44,31,7,46,8,0,0,Sunday,993004718,30,32,18795,-6,0,-2,0.267,0,22.7,27.0,-4.3,310.0,432.3333333333333,-0.333,0.315,0.2,190.0,195.0,4.0,3.0
202411131,2024-11-17T16:05:00,1,2024,11,SEA,SF,AWAY,20,17,37,Levi's Stadium,3,3,7,7,0,26,35,26:35,19,8,10,1,59,289,4.9,2,23,94,4.1,2,32,25,195,0,1,6.1,7.8,78.1,79.04,13,6,46.2,2,1,50.0,2,2,0,0,4,20,1,0,4,26,4,4,2,97,48.5,1,1,0,7,0,3,7,0,33,25,33:25,21,9,10,2,57,277,4.9,2,27,131,4.9,1,28,21,146,1,1,5.2,7.0,75.0,83.33,11,7,63.6,0,0,0.0,3,2,0,0,9,54,0,0,2,13,7,4,3,123,41.0,1,1,0,100.0,0,66.7,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,33,35,2,13,6,0,0,36,23,4,26,3,0,0,Sunday,993004771,30,31,18826,3,1,0,0.462,0,21.3,23.7,-2.3,332.0,393.3333333333333,0.0,0.258,0.2,210.0,221.0,4.0,10.0
