gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410131,2024-09-09T20:15:00,1,2024,1,SF,NYJ,HOME,32,19,51,Levi's Stadium,3,13,10,6,0,38,40,38:40,24,10,12,2,70,401,5.7,2,38,180,4.7,2,29,19,221,0,0,7.6,11.6,65.5,88.43,13,6,46.2,0,0,0.0,5,2,0,0,4,40,0,0,3,10,4,1,1,58,58.0,0,2,2,7,0,6,6,0,21,20,21:20,14,3,11,0,49,266,5.4,3,19,68,3.6,1,29,19,198,2,1,6.8,10.4,65.5,93.75,10,6,60.0,1,0,0.0,2,2,0,0,3,10,1,1,1,5,4,3,3,160,53.3,2,0,-2,40.0,0,100.0,0,2,2,0,0,0,0,0,6,6,1,1,0,3,0,0,0,0,0,29,13,1,5,4,1,1,49,20,3,10,4,0,0,Monday,993004478,31,24,18669,13,1,2,0.462,0,,,,,,,,,,,,-6.0
202410220,2024-09-15T13:00:00,1,2024,2,SF,MIN,AWAY,17,23,40,U.S. Bank Stadium,0,7,0,10,0,34,48,34:48,24,5,17,2,67,396,5.9,2,25,102,4.1,1,36,28,294,1,1,8.2,10.5,77.8,98.38,10,2,20.0,3,1,33.3,4,2,0,0,4,30,3,1,6,25,6,5,2,99,49.5,2,2,0,3,10,7,3,0,25,12,25:12,17,8,9,0,54,403,7.5,2,24,146,6.1,0,26,17,257,2,1,9.9,15.1,65.4,107.37,12,7,58.3,0,0,0.0,3,1,0,0,7,53,3,1,4,11,7,8,3,151,50.3,2,2,0,50.0,0,33.3,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,36,19,4,11,5,2,1,41,33,6,25,6,1,1,Sunday,993004491,31,20,18696,-6,0,0,0.2,0,,,,,,,,,32.0,19.0,1.0,-3.0
202410332,2024-09-22T16:25:00,1,2024,3,SF,LAR,AWAY,24,27,51,SoFi Stadium,14,0,7,3,0,33,27,33:27,25,8,13,4,65,425,6.5,3,34,137,4.0,0,30,22,288,3,0,9.6,13.1,73.3,136.53,11,6,54.5,1,1,100.0,3,2,0,0,7,111,2,1,1,4,5,5,2,90,45.0,1,0,-1,0,7,7,13,0,26,33,26:33,19,8,8,3,55,296,5.4,3,26,98,3.8,2,26,16,198,1,0,7.6,12.4,61.5,97.92,12,5,41.7,2,2,100.0,5,3,0,0,8,75,0,0,3,23,3,4,3,127,42.3,0,1,1,66.7,0,60.0,0,3,3,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,2,34,21,3,23,4,0,0,38,43,1,4,2,2,1,Sunday,993004531,31,32,18706,-3,0,-1,0.545,0,,,,,,,,,49.0,42.0,1.0,17.0
202410431,2024-09-29T16:05:00,1,2024,4,SF,NE,HOME,30,13,43,Levi's Stadium,6,14,7,3,0,31,35,31:35,19,6,12,1,60,431,7.2,3,32,148,4.6,1,27,15,283,1,1,10.5,18.9,55.6,88.97,13,7,53.8,0,0,0.0,4,2,0,0,6,43,3,1,1,5,10,7,3,133,44.3,2,3,1,0,3,7,3,0,28,25,28:25,12,2,8,2,62,216,3.5,1,24,73,3.0,0,32,19,143,1,1,4.5,7.5,59.4,67.58,16,5,31.2,3,1,33.3,2,1,0,0,3,20,4,2,6,25,4,3,4,196,49.0,3,2,-1,50.0,0,50.0,0,3,3,0,0,0,0,0,3,3,1,1,0,0,0,0,0,2,2,38,25,6,25,5,4,2,34,23,1,5,5,1,1,Sunday,993004562,31,21,18723,17,1,1,0.538,0,24.3,23.0,1.3,407.3,321.6666666666667,0.333,0.402,,73.0,69.0,1.0,-1.0
202410531,2024-10-06T16:05:00,1,2024,5,SF,ARI,HOME,23,24,47,Levi's Stadium,10,13,0,0,0,32,58,32:58,22,9,13,0,63,384,6.1,2,26,153,5.9,0,35,19,231,1,2,6.6,12.2,54.3,60.54,11,6,54.5,1,0,0.0,6,1,0,0,4,21,1,1,2,13,2,4,1,41,41.0,3,1,-2,7,3,3,11,0,27,2,27:02,19,9,10,0,57,358,6.3,2,26,169,6.5,1,30,19,189,1,1,6.3,9.9,63.3,78.33,10,3,30.0,1,1,100.0,3,1,0,0,1,5,1,0,1,6,5,4,2,106,53.0,1,3,2,16.7,0,33.3,0,2,2,0,0,0,0,0,3,3,1,1,0,0,0,1,1,4,3,36,28,1,6,7,1,0,35,25,2,13,9,1,1,Sunday,993004594,31,1,18738,-1,0,-2,0.545,0,23.7,21.0,2.7,417.3,305.0,0.0,0.428,,103.0,82.0,2.0,12.0
202410630,2024-10-10T20:15:00,1,2024,6,SF,SEA,AWAY,36,24,60,Lumen Field,3,13,7,13,0,33,3,33:03,21,9,10,2,61,483,7.9,4,33,228,6.9,1,28,18,255,3,0,9.1,14.2,64.3,129.32,12,5,41.7,0,0,0.0,5,3,0,0,5,34,0,0,0,0,5,3,4,173,43.2,0,3,3,0,3,14,7,0,26,57,26:57,22,3,18,1,73,358,4.9,3,20,52,2.6,1,52,30,306,1,2,5.9,10.2,57.7,65.06,16,7,43.8,3,2,66.7,3,2,0,0,9,69,2,1,1,6,4,4,4,216,54.0,3,0,-3,60.0,0,66.7,0,3,3,0,1,0,0,0,3,3,3,3,0,0,0,0,0,1,1,40,22,1,6,8,2,1,43,20,0,0,4,0,0,Thursday,993004603,31,30,18760,12,1,3,0.417,0,25.7,21.3,4.3,413.3,290.0,-0.667,0.543,0.4,126.0,106.0,2.0,-10.0
202410731,2024-10-20T16:25:00,1,2024,7,SF,KC,HOME,18,28,46,Levi's Stadium,3,3,6,6,0,24,56,24:56,19,7,8,4,56,310,5.5,2,24,101,4.2,2,31,17,209,0,3,6.7,12.3,54.8,36.29,11,2,18.2,1,1,100.0,4,2,0,0,6,40,1,0,1,3,8,1,4,193,48.2,3,2,-1,0,14,0,14,0,35,4,35:04,22,11,11,0,68,329,4.8,4,39,184,4.7,4,27,16,145,0,2,5.4,9.1,59.3,42.98,14,8,57.1,2,1,50.0,5,4,0,0,4,48,0,0,2,9,6,5,3,179,59.7,2,3,1,50.0,0,80.0,0,1,0,0,2,0,0,0,2,2,4,4,0,0,0,0,0,0,0,42,28,2,9,3,0,0,37,14,1,3,6,1,0,Sunday,993004654,31,16,18764,-10,0,-1,0.182,0,29.7,20.3,9.3,432.7,310.6666666666667,0.667,0.5,0.4,162.0,130.0,3.0,6.0
202410831,2024-10-27T20:20:00,1,2024,8,SF,DAL,HOME,30,24,54,Levi's Stadium,3,3,21,3,0,33,12,33:12,19,10,9,0,64,469,7.3,3,36,223,6.2,2,26,18,246,1,0,9.5,13.7,69.2,112.02,16,8,50.0,1,0,0.0,4,3,0,0,9,73,1,0,2,14,8,3,4,172,43.0,0,2,2,0,10,0,14,0,26,48,26:48,18,3,13,2,59,292,4.9,3,19,56,2.9,1,38,25,236,2,2,6.2,9.4,65.8,78.4,12,4,33.3,2,1,50.0,3,2,0,0,6,30,3,0,2,7,2,1,4,194,48.5,2,0,-2,75.0,0,66.7,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,1,1,33,20,2,7,4,2,0,38,37,2,14,1,0,0,Sunday,993004690,31,9,18777,6,1,2,0.5,0,25.7,25.3,0.3,392.3,348.3333333333333,0.0,0.381,0.4,180.0,158.0,3.0,3.0
202411033,2024-11-10T13:00:00,1,2024,10,SF,TB,AWAY,23,20,43,Raymond James Stadium,7,3,3,10,0,31,48,31:48,24,3,17,4,61,413,6.8,2,22,75,3.4,0,36,25,338,2,0,9.4,13.5,69.4,117.59,11,5,45.5,0,0,0.0,3,1,0,0,6,49,2,1,3,15,2,5,1,35,35.0,1,0,-1,0,3,7,10,0,28,12,28:12,18,6,8,4,58,215,3.7,2,27,110,4.1,1,29,18,105,1,0,3.6,5.8,62.1,80.39,14,5,35.7,1,1,100.0,4,2,0,0,5,42,2,0,2,11,7,4,6,273,45.5,0,1,1,33.3,0,50.0,0,2,2,0,0,0,0,0,6,3,2,2,0,0,0,0,0,2,2,34,21,2,11,5,0,0,38,26,3,15,3,1,1,Sunday,993004729,31,33,18817,3,1,-1,0.455,0,28.0,25.3,2.7,420.7,326.3333333333333,1.333,0.366,0.6,210.0,182.0,4.0,-3.0
202411131,2024-11-17T16:05:00,1,2024,11,SF,SEA,HOME,17,20,37,Levi's Stadium,7,0,3,7,0,33,25,33:25,21,9,10,2,57,277,4.9,2,27,131,4.9,1,28,21,146,1,1,5.2,7.0,75.0,83.33,11,7,63.6,0,0,0.0,3,2,0,0,9,54,0,0,2,13,7,4,3,123,41.0,1,1,0,3,3,7,7,0,26,35,26:35,19,8,10,1,59,289,4.9,2,23,94,4.1,2,32,25,195,0,1,6.1,7.8,78.1,79.04,13,6,46.2,2,1,50.0,2,2,0,0,4,20,1,0,4,26,4,4,2,97,48.5,1,1,0,66.7,0,100.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,36,23,4,26,3,0,0,33,35,2,13,6,0,0,Sunday,993004772,31,30,18826,-3,0,0,0.636,0,23.7,24.0,-0.3,397.3,278.6666666666667,0.0,0.379,0.6,233.0,202.0,5.0,-28.0
