gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff
202410106,2024-09-08T13:00:00,1,2024,1,TEN,CHI,AWAY,17,24,41,Soldier Field,7,10,0,0,0,34,54,34:54,16,9,6,1,61,244,4.0,2,26,140,5.4,1,32,19,104,1,2,3.2,5.5,59.4,49.48,14,3,21.4,2,1,50.0,2,1,0,0,8,50,1,1,3,23,4,8,5,268,53.6,3,1,-2,0,3,7,14,0,25,6,25:06,11,6,5,0,53,148,2.8,2,22,84,3.8,0,29,14,64,0,0,2.2,4.6,48.3,54.81,13,2,15.4,2,2,100.0,1,0,0,0,7,55,3,1,2,29,10,8,6,270,45.0,1,3,2,50.0,0,0.0,0,2,2,0,0,0,0,0,1,1,1,1,0,2,1,0,0,3,3,34,17,2,29,5,1,1,41,21,3,23,4,1,1,Sunday,993004453,34,6,18677,-7,0,-2,0.214,0,,,,,,,,,,,,-7.0
202410234,2024-09-15T13:00:00,1,2024,2,TEN,NYJ,HOME,17,24,41,Nissan Stadium,7,3,7,0,0,29,57,29:57,20,9,7,4,60,300,5.0,2,28,130,4.6,1,28,19,170,1,1,6.1,8.9,67.9,80.95,12,5,41.7,1,0,0.0,4,1,0,0,5,45,1,1,4,22,3,6,4,226,56.5,2,0,-2,0,7,10,7,0,30,3,30:03,16,6,9,1,56,265,4.7,3,24,101,4.2,1,30,18,164,2,0,5.5,9.1,60.0,97.08,12,5,41.7,0,0,0.0,2,1,0,0,7,70,0,0,2,12,6,6,6,302,50.3,0,2,2,25.0,0,50.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,38,14,2,12,2,0,0,47,15,4,22,5,1,1,Sunday,993004488,34,24,18698,-7,0,-2,0.417,0,,,,,,,,,17.0,24.0,0.0,-16.0
202410334,2024-09-22T13:00:00,1,2024,3,TEN,GB,HOME,14,30,44,Nissan Stadium,7,0,7,0,0,27,32,27:32,18,3,14,1,53,237,4.5,2,11,33,3.0,0,34,26,204,2,2,6.0,7.8,76.5,85.91,9,3,33.3,1,0,0.0,2,2,0,0,2,15,1,1,8,56,3,6,4,187,46.8,3,0,-3,17,3,7,3,0,32,28,32:28,16,9,6,1,59,378,6.4,3,37,188,5.1,1,19,13,190,1,0,10.0,14.6,68.4,118.31,14,5,35.7,0,0,0.0,3,1,0,0,10,75,0,0,3,12,12,6,5,244,48.8,0,3,3,100.0,0,33.3,0,2,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,47,20,3,12,0,0,0,35,17,8,56,2,1,1,Sunday,993004516,34,12,18715,-16,0,-3,0.333,0,,,,,,,,,34.0,48.0,0.0,19.0
202410419,2024-09-30T19:30:00,1,2024,4,TEN,MIA,AWAY,31,12,43,Hard Rock Stadium,0,9,10,12,0,34,52,34:52,16,8,5,3,62,244,3.9,2,40,142,3.6,2,21,12,102,0,1,4.9,8.5,57.1,50.1,12,2,16.7,1,1,100.0,3,2,0,0,8,69,0,0,1,8,5,7,5,209,41.8,1,1,0,0,3,3,6,0,25,8,25:08,13,6,4,3,54,184,3.4,1,30,106,3.5,1,22,14,78,0,0,3.5,5.6,63.6,69.89,12,2,16.7,3,1,33.3,1,1,0,0,10,98,1,1,2,18,3,8,5,238,47.6,1,1,0,66.7,0,100.0,0,2,2,0,0,0,0,0,5,5,0,0,0,2,0,0,0,2,2,34,24,2,18,1,0,1,37,32,1,8,4,0,0,Monday,993004571,34,19,18718,19,1,0,0.167,0,16.0,26.0,-10.0,260.3,263.6666666666667,-2.333,0.321,,48.0,78.0,0.0,-3.0
202410634,2024-10-13T13:00:00,1,2024,6,TEN,IND,HOME,17,20,37,Nissan Stadium,7,3,7,0,0,30,32,30:32,16,7,7,2,55,241,4.4,2,28,146,5.2,1,27,16,95,1,1,3.5,5.9,59.3,63.04,11,4,36.4,1,1,100.0,2,2,0,0,11,113,1,0,0,0,2,6,5,289,57.8,1,1,0,7,3,0,10,0,29,28,29:28,20,4,11,5,66,269,4.1,2,28,80,2.9,0,38,22,189,2,1,5.0,8.6,57.9,77.63,15,7,46.7,1,1,100.0,3,1,0,0,5,40,0,0,0,0,4,2,5,271,54.2,1,1,0,100.0,0,33.3,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,42,20,0,0,3,0,0,42,16,0,0,7,1,0,Sunday,993004616,34,14,18758,-3,0,0,0.364,0,20.7,22.0,-1.3,260.3,275.6666666666667,-1.667,0.306,,79.0,90.0,1.0,-24.0
202410704,2024-10-20T13:00:00,1,2024,7,TEN,BUF,AWAY,10,34,44,Highmark Stadium,3,7,0,0,0,32,46,32:46,18,2,13,3,67,289,4.3,1,24,89,3.7,0,40,25,200,1,1,5.0,8.0,62.5,72.92,16,6,37.5,2,1,50.0,3,1,0,0,8,52,4,1,3,15,4,6,5,266,53.2,2,0,-2,0,7,10,17,0,27,14,27:14,18,3,14,1,54,389,7.2,4,20,74,3.7,2,33,21,315,2,0,9.5,15.0,63.6,115.09,10,3,30.0,0,0,0.0,6,4,0,0,5,40,1,0,1,8,11,7,5,197,39.4,0,2,2,33.3,0,66.7,0,1,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,2,36,16,1,8,6,1,0,43,25,3,15,5,2,1,Sunday,993004637,34,4,18768,-24,0,-2,0.375,0,20.7,20.7,0.0,240.7,277.0,-1.0,0.288,0.2,96.0,110.0,1.0,-38.0
202410811,2024-10-27T13:00:00,1,2024,8,TEN,DET,AWAY,14,52,66,Ford Field,7,7,0,0,0,35,37,35:37,23,9,12,2,71,416,5.9,2,32,158,4.9,1,38,22,258,1,2,6.8,11.7,57.9,65.46,11,3,27.3,2,1,50.0,4,2,0,0,8,60,3,2,1,8,5,7,6,296,49.3,4,0,-4,14,21,17,0,0,24,23,24:23,17,5,9,3,47,225,4.8,7,24,164,6.8,2,19,15,61,4,0,3.2,4.1,78.9,119.63,9,3,33.3,0,0,0.0,5,5,0,0,3,29,2,0,4,33,5,3,5,305,61.0,0,4,4,50.0,0,100.0,0,2,2,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,1,30,25,4,33,1,2,0,44,22,1,8,5,3,2,Sunday,993004675,34,11,18784,-38,0,-4,0.273,0,19.3,22.0,-2.7,258.0,280.6666666666667,-0.667,0.302,0.2,106.0,144.0,1.0,3.0
202410934,2024-11-03T13:00:00,1,2024,9,TEN,NE,HOME,20,17,37,Nissan Stadium,7,0,3,7,3,38,44,38:44,24,9,13,2,73,400,5.5,2,39,167,4.3,0,33,20,233,2,1,7.1,11.6,60.6,89.58,16,7,43.8,1,0,0.0,5,2,0,0,10,67,3,0,1,7,9,9,5,233,46.6,1,3,2,0,3,7,7,0,29,9,29:09,20,7,10,3,65,295,4.5,2,20,110,5.5,1,41,29,185,1,2,4.5,6.4,70.7,67.63,11,3,27.3,1,1,100.0,2,2,0,0,8,58,2,1,4,21,4,5,4,169,42.2,3,1,-2,40.0,0,100.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,1,38,30,4,21,7,1,1,48,25,1,7,4,2,0,Sunday,993004706,34,21,18805,3,1,2,0.438,0,13.7,35.3,-21.7,315.3,294.3333333333333,-2.0,0.337,0.2,120.0,196.0,1.0,-10.0
202411029,2024-11-10T16:05:00,1,2024,10,TEN,LAC,AWAY,17,27,44,SoFi Stadium,7,0,3,7,0,29,1,29:01,19,8,10,1,51,289,5.7,2,21,132,6.3,0,23,18,157,2,0,6.8,8.7,78.3,124.09,9,3,33.3,0,0,0.0,3,1,0,0,9,68,1,0,7,18,2,4,4,214,53.5,0,0,0,3,10,7,7,0,30,59,30:59,23,11,8,4,57,309,5.4,3,39,145,3.7,2,18,14,164,1,0,9.1,11.7,77.8,123.15,10,4,40.0,1,1,100.0,5,3,0,0,5,30,0,0,0,0,9,8,3,116,38.7,0,0,0,33.3,0,60.0,0,2,2,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,2,40,23,0,0,3,0,0,38,17,7,18,1,1,0,Sunday,993004741,34,29,18811,-10,0,0,0.333,0,14.7,34.3,-19.7,368.3,303.0,-1.333,0.362,0.4,140.0,213.0,2.0,-10.0
202411134,2024-11-17T13:00:00,1,2024,11,TEN,MIN,HOME,13,23,36,Nissan Stadium,3,0,7,3,0,27,29,27:29,11,3,8,0,55,294,5.3,1,19,33,1.7,0,31,17,261,1,1,8.4,15.4,54.8,80.17,15,6,40.0,2,0,0.0,1,0,0,0,13,91,0,0,5,34,4,6,5,241,48.2,1,1,0,7,9,7,0,0,32,31,32:31,24,5,12,7,67,318,4.7,3,33,82,2.5,1,32,20,236,2,0,7.4,11.8,62.5,105.73,14,5,35.7,0,0,0.0,2,2,0,0,3,35,2,1,2,10,9,10,5,222,44.4,1,1,0,0.0,0,100.0,0,1,1,0,0,0,0,0,2,2,3,2,0,0,0,0,0,1,1,43,21,2,10,2,1,1,34,17,5,34,2,0,0,Sunday,993004766,34,20,18833,-10,0,0,0.4,0,17.0,32.0,-15.0,368.3,276.3333333333333,-0.667,0.348,0.2,157.0,240.0,2.0,5.0
