gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff,opp_gamekey,opp_date,opp_seasontype,opp_season,opp_week,opp_team,opp_opponent,opp_home_away,opp_points_for,opp_points_against,opp_totalscore,opp_stadium,opp_scorequarter1,opp_scorequarter2,opp_scorequarter3,opp_scorequarter4,opp_scoreovertime,opp_timeofpossessionminutes,opp_timeofpossessionseconds,opp_timeofpossession,opp_firstdowns,opp_firstdownsbyrushing,opp_firstdownsbypassing,opp_firstdownsbypenalty,opp_offensiveplays,opp_offensiveyards,opp_offensiveyardsperplay,opp_touchdowns,opp_rushingattempts,opp_rushingyards,opp_rushingyardsperattempt,opp_rushingtouchdowns,opp_passingattempts,opp_passingcompletions,opp_passingyards,opp_passingtouchdowns,opp_passinginterceptions,opp_passingyardsperattempt,opp_passingyardspercompletion,opp_completionpercentage,opp_passerrating,opp_thirddownattempts,opp_thirddownconversions,opp_thirddownpercentage,opp_fourthdownattempts,opp_fourthdownconversions,opp_fourthdownpercentage,opp_redzoneattempts,opp_redzoneconversions,opp_goaltogoattempts,opp_goaltogoconversions,opp_penalties,opp_penaltyyards,opp_fumbles,opp_fumbleslost,opp_timessacked,opp_timessackedyards,opp_quarterbackhits,opp_tacklesforloss,opp_punts,opp_puntyards,opp_puntaverage,opp_giveaways,opp_takeaways,opp_turnoverdifferential,opp_opponentscorequarter1,opp_opponentscorequarter2,opp_opponentscorequarter3,opp_opponentscorequarter4,opp_opponentscoreovertime,opp_opponenttimeofpossessionminutes,opp_opponenttimeofpossessionseconds,opp_opponenttimeofpossession,opp_opponentfirstdowns,opp_opponentfirstdownsbyrushing,opp_opponentfirstdownsbypassing,opp_opponentfirstdownsbypenalty,opp_opponentoffensiveplays,opp_opponentoffensiveyards,opp_opponentoffensiveyardsperplay,opp_opponenttouchdowns,opp_opponentrushingattempts,opp_opponentrushingyards,opp_opponentrushingyardsperattempt,opp_opponentrushingtouchdowns,opp_opponentpassingattempts,opp_opponentpassingcompletions,opp_opponentpassingyards,opp_opponentpassingtouchdowns,opp_opponentpassinginterceptions,opp_opponentpassingyardsperattempt,opp_opponentpassingyardspercompletion,opp_opponentcompletionpercentage,opp_opponentpasserrating,opp_opponentthirddownattempts,opp_opponentthirddownconversions,opp_opponentthirddownpercentage,opp_opponentfourthdownattempts,opp_opponentfourthdownconversions,opp_opponentfourthdownpercentage,opp_opponentredzoneattempts,opp_opponentredzoneconversions,opp_opponentgoaltogoattempts,opp_opponentgoaltogoconversions,opp_opponentpenalties,opp_opponentpenaltyyards,opp_opponentfumbles,opp_opponentfumbleslost,opp_opponenttimessacked,opp_opponenttimessackedyards,opp_opponentquarterbackhits,opp_opponenttacklesforloss,opp_opponentpunts,opp_opponentpuntyards,opp_opponentpuntaverage,opp_opponentgiveaways,opp_opponenttakeaways,opp_opponentturnoverdifferential,opp_redzonepercentage,opp_goaltogopercentage,opp_opponentredzonepercentage,opp_opponentgoaltogopercentage,opp_extrapointkickingattempts,opp_extrapointkickingconversions,opp_extrapointshadblocked,opp_extrapointpassingattempts,opp_extrapointpassingconversions,opp_extrapointrushingattempts,opp_extrapointrushingconversions,opp_fieldgoalattempts,opp_fieldgoalsmade,opp_opponentextrapointkickingattempts,opp_opponentextrapointkickingconversions,opp_opponentextrapointshadblocked,opp_opponentextrapointpassingattempts,opp_opponentextrapointpassingconversions,opp_opponentextrapointrushingattempts,opp_opponentextrapointrushingconversions,opp_opponentfieldgoalattempts,opp_opponentfieldgoalsmade,opp_solotackles,opp_assistedtackles,opp_sacks,opp_sackyards,opp_passesdefended,opp_fumblesforced,opp_fumblesrecovered,opp_opponentsolotackles,opp_opponentassistedtackles,opp_opponentsacks,opp_opponentsackyards,opp_opponentpassesdefended,opp_opponentfumblesforced,opp_opponentfumblesrecovered,opp_dayofweek,opp_teamgameid,opp_teamid,opp_opponentid,opp_scoreid,opp_point_diff,opp_win,opp_turnover_diff,opp_third_down_pct,opp_home,opp_rolling_points_for_3,opp_rolling_points_against_3,opp_rolling_point_diff_3,opp_rolling_yards_total_3,opp_rolling_yards_allowed_3,opp_rolling_turnover_diff_3,opp_rolling_third_down_pct_3,opp_rolling_win_rate_5,opp_cumulative_points_for,opp_cumulative_points_against,opp_cumulative_wins,opp_target_next_point_diff
202310116,2023-09-07T20:20:00,1,2023,1,KC,DET,HOME,20,21,41,Arrowhead Stadium,0,14,3,3,0,27,22,27:22,17,6,10,1,62,316,5.1,2,23,90,3.9,0,39,21,226,2,1,5.8,10.8,53.8,77.51,14,5,35.7,1,0,0.0,3,2,0,0,3,25,0,0,0,0,4,4,5,247,49.4,1,1,0,7,0,7,7,0,32,38,32:38,19,8,11,0,70,368,5.3,3,34,118,3.5,1,35,22,250,1,0,7.1,11.4,62.9,93.75,15,5,33.3,3,1,33.3,3,2,0,0,4,63,2,1,1,3,7,2,5,222,44.4,1,1,0,66.7,0,66.7,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,42,29,1,3,4,1,1,38,10,0,0,5,0,0,Thursday,993003778,16,11,18343,-1,0,0,0.357,0,,,,,,,,,,,,8.0,202310116,2023-09-07T20:20:00,1,2023,1,DET,KC,AWAY,21,20,41,Arrowhead Stadium,7,0,7,7,0,32,38,32:38,19,8,11,0,70,368,5.3,3,34,118,3.5,1,35,22,250,1,0,7.1,11.4,62.9,93.75,15,5,33.3,3,1,33.3,3,2,0,0,4,63,2,1,1,3,7,2,5,222,44.4,1,1,0,0,14,3,3,0,27,22,27:22,17,6,10,1,62,316,5.1,2,23,90,3.9,0,39,21,226,2,1,5.8,10.8,53.8,77.51,14,5,35.7,1,0,0.0,3,2,0,0,3,25,0,0,0,0,4,4,5,247,49.4,1,1,0,66.7,0,66.7,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,38,10,0,0,5,0,0,42,29,1,3,4,1,1,Thursday,993003777,11,16,18343,1,1,0,0.333,0,,,,,,,,,,,,-6.0
202310135,2023-09-10T13:00:00,1,2023,1,WAS,ARI,HOME,20,16,36,FedEx Field,7,3,0,10,0,31,24,31:24,21,7,10,4,65,248,3.8,2,28,92,3.3,1,31,19,156,1,1,5.0,8.2,61.3,71.44,12,4,33.3,0,0,0.0,5,2,0,0,8,70,2,2,6,46,6,11,6,266,44.3,3,2,-1,3,10,3,0,0,28,36,28:36,13,4,9,0,58,210,3.6,1,25,96,3.8,0,30,21,114,0,0,3.8,5.4,70.0,76.25,14,4,28.6,1,0,0.0,2,0,0,0,9,122,3,2,3,18,6,6,5,235,47.0,2,3,1,40.0,0,0.0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,3,40,24,3,18,3,1,2,42,26,6,46,7,2,2,Sunday,993003780,35,1,18492,4,1,-1,0.333,0,,,,,,,,,,,,2.0,202310135,2023-09-10T13:00:00,1,2023,1,ARI,WAS,AWAY,16,20,36,FedEx Field,3,10,3,0,0,28,36,28:36,13,4,9,0,58,210,3.6,1,25,96,3.8,0,30,21,114,0,0,3.8,5.4,70.0,76.25,14,4,28.6,1,0,0.0,2,0,0,0,9,122,3,2,3,18,6,6,5,235,47.0,2,3,1,7,3,0,10,0,31,24,31:24,21,7,10,4,65,248,3.8,2,28,92,3.3,1,31,19,156,1,1,5.0,8.2,61.3,71.44,12,4,33.3,0,0,0.0,5,2,0,0,8,70,2,2,6,46,6,11,6,266,44.3,3,2,-1,0.0,0,40.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,42,26,6,46,7,2,2,40,24,3,18,3,1,2,Sunday,993003779,1,35,18492,-4,0,1,0.286,0,,,,,,,,,,,,-3.0
202310103,2023-09-10T13:00:00,1,2023,1,BAL,HOU,HOME,25,9,34,M&T Bank Stadium,7,0,15,3,0,30,55,30:55,18,7,8,3,58,265,4.6,3,32,110,3.4,3,22,17,155,0,1,7.0,9.1,77.3,76.89,15,8,53.3,0,0,0.0,5,3,0,0,13,106,2,1,4,14,10,6,5,249,49.8,2,1,-1,0,6,0,3,0,29,5,29:05,18,1,13,4,72,268,3.7,0,23,72,3.1,0,44,28,196,0,0,4.5,7.0,63.6,73.67,18,7,38.9,4,1,25.0,2,0,0,0,9,88,1,1,5,46,6,5,4,176,44.0,1,2,1,60.0,0,0.0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,45,32,5,46,4,1,1,40,23,4,14,1,1,1,Sunday,993003794,3,13,18493,16,1,-1,0.533,0,,,,,,,,,,,,3.0,202310103,2023-09-10T13:00:00,1,2023,1,HOU,BAL,AWAY,9,25,34,M&T Bank Stadium,0,6,0,3,0,29,5,29:05,18,1,13,4,72,268,3.7,0,23,72,3.1,0,44,28,196,0,0,4.5,7.0,63.6,73.67,18,7,38.9,4,1,25.0,2,0,0,0,9,88,1,1,5,46,6,5,4,176,44.0,1,2,1,7,0,15,3,0,30,55,30:55,18,7,8,3,58,265,4.6,3,32,110,3.4,3,22,17,155,0,1,7.0,9.1,77.3,76.89,15,8,53.3,0,0,0.0,5,3,0,0,13,106,2,1,4,14,10,6,5,249,49.8,2,1,-1,0.0,0,60.0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,1,1,1,1,40,23,4,14,1,1,1,45,32,5,46,4,1,1,Sunday,993003793,13,3,18493,-16,0,1,0.389,0,,,,,,,,,,,,-11.0
202310128,2023-09-10T13:00:00,1,2023,1,PIT,SF,HOME,7,30,37,Acrisure Stadium,0,7,0,0,0,22,37,22:37,15,3,9,3,61,239,3.9,1,10,41,4.1,0,46,31,198,1,2,4.3,6.4,67.4,65.31,15,5,33.3,3,1,33.3,2,1,0,0,6,60,0,0,5,34,7,5,6,254,42.3,2,1,-1,10,10,7,3,0,37,23,37:23,22,8,13,1,66,391,5.9,3,34,188,5.5,1,29,19,203,2,0,7.0,10.7,65.5,108.84,13,6,46.2,1,1,100.0,3,2,0,0,11,85,3,1,3,17,9,8,3,134,44.7,1,2,1,50.0,0,66.7,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,45,24,3,17,5,3,1,39,17,5,34,4,0,0,Sunday,993003784,28,31,18491,-23,0,-1,0.333,0,,,,,,,,,,,,4.0,202310128,2023-09-10T13:00:00,1,2023,1,SF,PIT,AWAY,30,7,37,Acrisure Stadium,10,10,7,3,0,37,23,37:23,22,8,13,1,66,391,5.9,3,34,188,5.5,1,29,19,203,2,0,7.0,10.7,65.5,108.84,13,6,46.2,1,1,100.0,3,2,0,0,11,85,3,1,3,17,9,8,3,134,44.7,1,2,1,0,7,0,0,0,22,37,22:37,15,3,9,3,61,239,3.9,1,10,41,4.1,0,46,31,198,1,2,4.3,6.4,67.4,65.31,15,5,33.3,3,1,33.3,2,1,0,0,6,60,0,0,5,34,7,5,6,254,42.3,2,1,-1,66.7,0,50.0,0,3,3,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,39,17,5,34,4,0,0,45,24,3,17,5,3,1,Sunday,993003783,31,28,18491,23,1,1,0.462,0,,,,,,,,,,,,7.0
202310122,2023-09-10T13:00:00,1,2023,1,NO,TEN,HOME,16,15,31,Caesars Superdome,3,3,10,0,0,28,40,28:40,15,2,12,1,64,351,5.5,1,27,69,2.6,0,33,23,282,1,1,8.5,12.3,69.7,93.24,16,7,43.8,0,0,0.0,4,1,0,0,7,45,2,1,4,23,10,2,5,241,48.2,2,3,1,6,3,0,6,0,31,20,31:20,16,5,8,3,59,285,4.8,0,22,104,4.7,0,34,16,181,0,3,5.3,11.3,47.1,26.72,12,2,16.7,0,0,0.0,3,0,0,0,6,45,0,0,3,17,8,7,3,107,35.7,3,2,-1,25.0,0,0.0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,33,21,3,17,11,0,0,42,25,4,23,4,2,1,Sunday,993003786,22,34,18490,1,1,1,0.438,0,,,,,,,,,,,,3.0,202310122,2023-09-10T13:00:00,1,2023,1,TEN,NO,AWAY,15,16,31,Caesars Superdome,6,3,0,6,0,31,20,31:20,16,5,8,3,59,285,4.8,0,22,104,4.7,0,34,16,181,0,3,5.3,11.3,47.1,26.72,12,2,16.7,0,0,0.0,3,0,0,0,6,45,0,0,3,17,8,7,3,107,35.7,3,2,-1,3,3,10,0,0,28,40,28:40,15,2,12,1,64,351,5.5,1,27,69,2.6,0,33,23,282,1,1,8.5,12.3,69.7,93.24,16,7,43.8,0,0,0.0,4,1,0,0,7,45,2,1,4,23,10,2,5,241,48.2,2,3,1,0.0,0,25.0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,0,3,3,42,25,4,23,4,2,1,33,21,3,17,11,0,0,Sunday,993003785,34,22,18490,-1,0,-1,0.167,0,,,,,,,,,,,,3.0
202310114,2023-09-10T13:00:00,1,2023,1,IND,JAX,HOME,21,31,52,Lucas Oil Stadium,0,7,14,0,0,26,23,26:23,18,4,12,2,69,280,4.1,3,26,65,2.5,1,39,24,215,1,1,5.5,9.0,61.5,74.2,12,2,16.7,5,1,20.0,3,1,0,0,4,35,2,2,4,8,4,7,5,208,41.6,3,2,-1,7,7,3,14,0,33,37,33:37,20,9,10,1,69,342,5.0,4,35,105,3.0,2,32,24,237,2,1,7.4,9.9,75.0,103.26,12,3,25.0,3,1,33.3,3,3,0,0,4,45,3,1,2,4,6,6,5,223,44.6,2,3,1,33.3,0,100.0,0,3,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,48,27,2,4,3,3,1,45,21,4,8,5,2,2,Sunday,993003790,14,15,18488,-10,0,-1,0.167,0,,,,,,,,,,,,11.0,202310114,2023-09-10T13:00:00,1,2023,1,JAX,IND,AWAY,31,21,52,Lucas Oil Stadium,7,7,3,14,0,33,37,33:37,20,9,10,1,69,342,5.0,4,35,105,3.0,2,32,24,237,2,1,7.4,9.9,75.0,103.26,12,3,25.0,3,1,33.3,3,3,0,0,4,45,3,1,2,4,6,6,5,223,44.6,2,3,1,0,7,14,0,0,26,23,26:23,18,4,12,2,69,280,4.1,3,26,65,2.5,1,39,24,215,1,1,5.5,9.0,61.5,74.2,12,2,16.7,5,1,20.0,3,1,0,0,4,35,2,2,4,8,4,7,5,208,41.6,3,2,-1,100.0,0,33.3,0,4,4,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,45,21,4,8,5,2,2,48,27,2,4,3,3,1,Sunday,993003789,15,14,18488,10,1,1,0.25,0,,,,,,,,,,,,-8.0
202310120,2023-09-10T13:00:00,1,2023,1,MIN,TB,HOME,17,20,37,U.S. Bank Stadium,0,10,0,7,0,29,21,29:21,18,2,15,1,63,369,5.9,2,17,41,2.4,0,44,33,328,2,1,7.5,9.9,75.0,101.33,14,6,42.9,0,0,0.0,3,1,0,0,6,45,2,2,2,16,2,2,5,257,51.4,3,0,-3,3,7,7,3,0,30,39,30:39,16,5,9,2,68,242,3.6,2,33,73,2.2,0,34,21,169,2,0,5.0,8.0,61.8,93.87,17,6,35.3,1,1,100.0,2,1,0,0,3,19,0,0,1,4,9,6,6,327,54.5,0,3,3,33.3,0,50.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,44,29,1,4,5,0,0,42,23,2,16,3,1,2,Sunday,993003792,20,33,18489,-3,0,-3,0.429,0,,,,,,,,,,,,-6.0,202310120,2023-09-10T13:00:00,1,2023,1,TB,MIN,AWAY,20,17,37,U.S. Bank Stadium,3,7,7,3,0,30,39,30:39,16,5,9,2,68,242,3.6,2,33,73,2.2,0,34,21,169,2,0,5.0,8.0,61.8,93.87,17,6,35.3,1,1,100.0,2,1,0,0,3,19,0,0,1,4,9,6,6,327,54.5,0,3,3,0,10,0,7,0,29,21,29:21,18,2,15,1,63,369,5.9,2,17,41,2.4,0,44,33,328,2,1,7.5,9.9,75.0,101.33,14,6,42.9,0,0,0.0,3,1,0,0,6,45,2,2,2,16,2,2,5,257,51.4,3,0,-3,50.0,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,42,23,2,16,3,1,2,44,29,1,4,5,0,0,Sunday,993003791,33,20,18489,3,1,3,0.353,0,,,,,,,,,,,,10.0
202310102,2023-09-10T13:00:00,1,2023,1,ATL,CAR,HOME,24,10,34,Mercedes-Benz Stadium,0,7,3,14,0,25,19,25:19,13,7,6,0,48,221,4.6,3,26,130,5.0,2,18,15,91,1,0,5.1,6.1,83.3,106.25,10,2,20.0,0,0,0.0,3,3,0,0,6,43,1,0,4,24,8,4,7,337,48.1,0,3,3,0,7,3,0,0,34,41,34:41,20,9,9,2,72,281,3.9,1,32,154,4.8,0,38,20,127,1,2,3.3,6.4,52.6,46.71,14,5,35.7,2,0,0.0,2,1,0,0,9,66,2,1,2,19,5,6,5,266,53.2,3,0,-3,100.0,0,50.0,0,3,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,37,40,2,19,4,1,1,38,19,4,24,0,1,0,Sunday,993003782,2,5,18486,14,1,3,0.2,0,,,,,,,,,,,,1.0,202310102,2023-09-10T13:00:00,1,2023,1,CAR,ATL,AWAY,10,24,34,Mercedes-Benz Stadium,0,7,3,0,0,34,41,34:41,20,9,9,2,72,281,3.9,1,32,154,4.8,0,38,20,127,1,2,3.3,6.4,52.6,46.71,14,5,35.7,2,0,0.0,2,1,0,0,9,66,2,1,2,19,5,6,5,266,53.2,3,0,-3,0,7,3,14,0,25,19,25:19,13,7,6,0,48,221,4.6,3,26,130,5.0,2,18,15,91,1,0,5.1,6.1,83.3,106.25,10,2,20.0,0,0,0.0,3,3,0,0,6,43,1,0,4,24,8,4,7,337,48.1,0,3,3,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,38,19,4,24,0,1,0,37,40,2,19,4,1,1,Sunday,993003781,5,2,18486,-14,0,-3,0.357,0,,,,,,,,,,,,-3.0
202310108,2023-09-10T13:00:00,1,2023,1,CLE,CIN,HOME,24,3,27,Cleveland Browns Stadium,0,10,3,11,0,35,50,35:50,21,12,9,0,72,350,4.9,2,40,206,5.2,1,29,16,144,1,1,5.0,9.0,55.2,65.88,14,4,28.6,0,0,0.0,3,2,0,0,5,43,2,1,3,10,10,4,7,331,47.3,2,0,-2,0,0,3,0,0,24,10,24:10,6,2,3,1,54,142,2.6,0,20,75,3.8,0,32,14,67,0,0,2.1,4.8,43.8,51.04,15,2,13.3,1,0,0.0,0,0,0,0,4,20,0,0,2,15,5,6,10,409,40.9,0,2,2,66.7,0,0.0,0,1,1,0,0,0,1,1,3,3,0,0,0,0,0,0,0,2,1,26,20,2,15,4,0,0,45,32,3,10,5,1,1,Sunday,993003788,8,7,18487,21,1,-2,0.286,0,,,,,,,,,,,,-4.0,202310108,2023-09-10T13:00:00,1,2023,1,CIN,CLE,AWAY,3,24,27,Cleveland Browns Stadium,0,0,3,0,0,24,10,24:10,6,2,3,1,54,142,2.6,0,20,75,3.8,0,32,14,67,0,0,2.1,4.8,43.8,51.04,15,2,13.3,1,0,0.0,0,0,0,0,4,20,0,0,2,15,5,6,10,409,40.9,0,2,2,0,10,3,11,0,35,50,35:50,21,12,9,0,72,350,4.9,2,40,206,5.2,1,29,16,144,1,1,5.0,9.0,55.2,65.88,14,4,28.6,0,0,0.0,3,2,0,0,5,43,2,1,3,10,10,4,7,331,47.3,2,0,-2,0.0,0,66.7,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,3,3,45,32,3,10,5,1,1,26,20,2,15,4,0,0,Sunday,993003787,7,8,18487,-21,0,2,0.133,0,,,,,,,,,,,,-3.0
202310130,2023-09-10T16:25:00,1,2023,1,SEA,LAR,HOME,13,30,43,Lumen Field,3,10,0,0,0,20,37,20:37,13,3,7,3,46,180,3.9,1,18,85,4.7,0,26,16,95,1,0,3.7,5.9,61.5,81.41,9,2,22.2,0,0,0.0,2,1,0,0,7,55,0,0,2,17,2,5,4,236,59.0,0,0,0,7,0,10,13,0,39,23,39:23,27,8,17,2,78,426,5.5,3,40,92,2.3,3,38,24,334,0,0,8.8,13.9,63.2,91.34,17,11,64.7,1,1,100.0,3,3,0,0,7,53,0,0,0,0,7,3,1,45,45.0,0,0,0,50.0,0,100.0,0,1,1,0,0,0,0,0,3,2,3,3,0,0,0,0,0,5,3,47,34,0,0,1,0,0,27,24,2,17,1,0,0,Sunday,993003802,30,32,18498,-17,0,0,0.222,0,,,,,,,,,,,,6.0,202310130,2023-09-10T16:25:00,1,2023,1,LAR,SEA,AWAY,30,13,43,Lumen Field,7,0,10,13,0,39,23,39:23,27,8,17,2,78,426,5.5,3,40,92,2.3,3,38,24,334,0,0,8.8,13.9,63.2,91.34,17,11,64.7,1,1,100.0,3,3,0,0,7,53,0,0,0,0,7,3,1,45,45.0,0,0,0,3,10,0,0,0,20,37,20:37,13,3,7,3,46,180,3.9,1,18,85,4.7,0,26,16,95,1,0,3.7,5.9,61.5,81.41,9,2,22.2,0,0,0.0,2,1,0,0,7,55,0,0,2,17,2,5,4,236,59.0,0,0,0,100.0,0,50.0,0,3,3,0,0,0,0,0,5,3,1,1,0,0,0,0,0,3,2,27,24,2,17,1,0,0,47,34,0,0,1,0,0,Sunday,993003801,32,30,18498,17,1,0,0.647,0,,,,,,,,,,,,-7.0
