gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home,rolling_points_for_3,rolling_points_against_3,rolling_point_diff_3,rolling_yards_total_3,rolling_yards_allowed_3,rolling_turnover_diff_3,rolling_third_down_pct_3,rolling_win_rate_5,cumulative_points_for,cumulative_points_against,cumulative_wins,target_next_point_diff,opp_gamekey,opp_date,opp_seasontype,opp_season,opp_week,opp_team,opp_opponent,opp_home_away,opp_points_for,opp_points_against,opp_totalscore,opp_stadium,opp_scorequarter1,opp_scorequarter2,opp_scorequarter3,opp_scorequarter4,opp_scoreovertime,opp_timeofpossessionminutes,opp_timeofpossessionseconds,opp_timeofpossession,opp_firstdowns,opp_firstdownsbyrushing,opp_firstdownsbypassing,opp_firstdownsbypenalty,opp_offensiveplays,opp_offensiveyards,opp_offensiveyardsperplay,opp_touchdowns,opp_rushingattempts,opp_rushingyards,opp_rushingyardsperattempt,opp_rushingtouchdowns,opp_passingattempts,opp_passingcompletions,opp_passingyards,opp_passingtouchdowns,opp_passinginterceptions,opp_passingyardsperattempt,opp_passingyardspercompletion,opp_completionpercentage,opp_passerrating,opp_thirddownattempts,opp_thirddownconversions,opp_thirddownpercentage,opp_fourthdownattempts,opp_fourthdownconversions,opp_fourthdownpercentage,opp_redzoneattempts,opp_redzoneconversions,opp_goaltogoattempts,opp_goaltogoconversions,opp_penalties,opp_penaltyyards,opp_fumbles,opp_fumbleslost,opp_timessacked,opp_timessackedyards,opp_quarterbackhits,opp_tacklesforloss,opp_punts,opp_puntyards,opp_puntaverage,opp_giveaways,opp_takeaways,opp_turnoverdifferential,opp_opponentscorequarter1,opp_opponentscorequarter2,opp_opponentscorequarter3,opp_opponentscorequarter4,opp_opponentscoreovertime,opp_opponenttimeofpossessionminutes,opp_opponenttimeofpossessionseconds,opp_opponenttimeofpossession,opp_opponentfirstdowns,opp_opponentfirstdownsbyrushing,opp_opponentfirstdownsbypassing,opp_opponentfirstdownsbypenalty,opp_opponentoffensiveplays,opp_opponentoffensiveyards,opp_opponentoffensiveyardsperplay,opp_opponenttouchdowns,opp_opponentrushingattempts,opp_opponentrushingyards,opp_opponentrushingyardsperattempt,opp_opponentrushingtouchdowns,opp_opponentpassingattempts,opp_opponentpassingcompletions,opp_opponentpassingyards,opp_opponentpassingtouchdowns,opp_opponentpassinginterceptions,opp_opponentpassingyardsperattempt,opp_opponentpassingyardspercompletion,opp_opponentcompletionpercentage,opp_opponentpasserrating,opp_opponentthirddownattempts,opp_opponentthirddownconversions,opp_opponentthirddownpercentage,opp_opponentfourthdownattempts,opp_opponentfourthdownconversions,opp_opponentfourthdownpercentage,opp_opponentredzoneattempts,opp_opponentredzoneconversions,opp_opponentgoaltogoattempts,opp_opponentgoaltogoconversions,opp_opponentpenalties,opp_opponentpenaltyyards,opp_opponentfumbles,opp_opponentfumbleslost,opp_opponenttimessacked,opp_opponenttimessackedyards,opp_opponentquarterbackhits,opp_opponenttacklesforloss,opp_opponentpunts,opp_opponentpuntyards,opp_opponentpuntaverage,opp_opponentgiveaways,opp_opponenttakeaways,opp_opponentturnoverdifferential,opp_redzonepercentage,opp_goaltogopercentage,opp_opponentredzonepercentage,opp_opponentgoaltogopercentage,opp_extrapointkickingattempts,opp_extrapointkickingconversions,opp_extrapointshadblocked,opp_extrapointpassingattempts,opp_extrapointpassingconversions,opp_extrapointrushingattempts,opp_extrapointrushingconversions,opp_fieldgoalattempts,opp_fieldgoalsmade,opp_opponentextrapointkickingattempts,opp_opponentextrapointkickingconversions,opp_opponentextrapointshadblocked,opp_opponentextrapointpassingattempts,opp_opponentextrapointpassingconversions,opp_opponentextrapointrushingattempts,opp_opponentextrapointrushingconversions,opp_opponentfieldgoalattempts,opp_opponentfieldgoalsmade,opp_solotackles,opp_assistedtackles,opp_sacks,opp_sackyards,opp_passesdefended,opp_fumblesforced,opp_fumblesrecovered,opp_opponentsolotackles,opp_opponentassistedtackles,opp_opponentsacks,opp_opponentsackyards,opp_opponentpassesdefended,opp_opponentfumblesforced,opp_opponentfumblesrecovered,opp_dayofweek,opp_teamgameid,opp_teamid,opp_opponentid,opp_scoreid,opp_point_diff,opp_win,opp_turnover_diff,opp_third_down_pct,opp_home,opp_rolling_points_for_3,opp_rolling_points_against_3,opp_rolling_point_diff_3,opp_rolling_yards_total_3,opp_rolling_yards_allowed_3,opp_rolling_turnover_diff_3,opp_rolling_third_down_pct_3,opp_rolling_win_rate_5,opp_cumulative_points_for,opp_cumulative_points_against,opp_cumulative_wins,opp_target_next_point_diff
202210132,2022-09-08T20:20:00,1,2022,1,LAR,BUF,HOME,10,31,41,SoFi Stadium,0,10,0,0,0,28,46,28:46,19,3,14,2,66,243,3.7,1,18,52,2.9,0,41,29,191,1,3,4.7,6.6,70.7,58.08,13,6,46.2,3,2,66.7,2,1,0,0,4,30,1,0,7,49,2,2,4,180,45.0,3,4,1,7,3,7,14,0,31,14,31:14,23,7,15,1,58,413,7.1,4,25,121,4.8,1,31,26,292,3,2,9.4,11.2,83.9,111.29,10,9,90.0,0,0,0.0,2,2,0,0,5,35,2,2,2,5,16,7,0,0,0.0,4,3,-1,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,42,19,2,5,3,2,2,45,21,7,49,6,0,0,Thursday,993003110,32,4,18006,-21,0,1,0.462,0,,,,,,,,,,,,4.0,202210132,2022-09-08T20:20:00,1,2022,1,BUF,LAR,AWAY,31,10,41,SoFi Stadium,7,3,7,14,0,31,14,31:14,23,7,15,1,58,413,7.1,4,25,121,4.8,1,31,26,292,3,2,9.4,11.2,83.9,111.29,10,9,90.0,0,0,0.0,2,2,0,0,5,35,2,2,2,5,16,7,0,0,0.0,4,3,-1,0,10,0,0,0,28,46,28:46,19,3,14,2,66,243,3.7,1,18,52,2.9,0,41,29,191,1,3,4.7,6.6,70.7,58.08,13,6,46.2,3,2,66.7,2,1,0,0,4,30,1,0,7,49,2,2,4,180,45.0,3,4,1,100.0,0,50.0,0,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,45,21,7,49,6,0,0,42,19,2,5,3,2,2,Thursday,993003109,4,32,18006,21,1,-1,0.9,0,,,,,,,,,,,,34.0
202210113,2022-09-11T13:00:00,1,2022,1,HOU,IND,HOME,20,20,40,NRG Stadium,0,10,10,0,0,30,23,30:23,20,4,12,4,68,299,4.4,2,28,77,2.8,0,37,23,222,2,0,6.0,9.7,62.2,96.9,15,5,33.3,0,0,0.0,1,1,0,0,6,40,1,1,3,18,7,6,7,318,45.4,1,2,1,3,0,0,17,0,39,37,39:37,33,11,20,2,90,517,5.7,2,38,177,4.7,1,50,32,340,1,1,6.8,10.6,64.0,82.08,15,6,40.0,1,0,0.0,5,2,0,0,7,89,5,1,2,12,5,5,4,179,44.8,2,1,-1,100.0,0,40.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,2,53,37,2,12,11,2,1,48,11,3,18,2,1,2,Sunday,993003120,13,14,18015,0,0,1,0.333,0,,,,,,,,,,,,-7.0,202210113,2022-09-11T13:00:00,1,2022,1,IND,HOU,AWAY,20,20,40,NRG Stadium,3,0,0,17,0,39,37,39:37,33,11,20,2,90,517,5.7,2,38,177,4.7,1,50,32,340,1,1,6.8,10.6,64.0,82.08,15,6,40.0,1,0,0.0,5,2,0,0,7,89,5,1,2,12,5,5,4,179,44.8,2,1,-1,0,10,10,0,0,30,23,30:23,20,4,12,4,68,299,4.4,2,28,77,2.8,0,37,23,222,2,0,6.0,9.7,62.2,96.9,15,5,33.3,0,0,0.0,1,1,0,0,6,40,1,1,3,18,7,6,7,318,45.4,1,2,1,40.0,0,100.0,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,2,2,48,11,3,18,2,1,2,53,37,2,12,11,2,1,Sunday,993003119,14,13,18015,0,0,-1,0.4,0,,,,,,,,,,,,-24.0
202210107,2022-09-11T13:00:00,1,2022,1,CIN,PIT,HOME,20,23,43,Paycor Stadium,3,3,8,6,0,43,42,43:42,32,5,22,5,94,432,4.6,2,34,133,3.9,0,53,33,299,2,4,5.6,9.1,62.3,58.61,16,8,50.0,3,1,33.3,5,2,0,0,4,27,2,1,7,39,5,4,3,158,52.7,5,0,-5,10,7,0,3,3,26,18,26:18,13,4,8,1,61,267,4.4,2,22,75,3.4,0,38,21,192,1,0,5.1,9.1,55.3,77.96,15,4,26.7,0,0,0.0,2,1,0,0,8,59,2,0,1,2,11,9,8,388,48.5,0,5,5,40.0,0,50.0,0,1,0,1,2,1,0,0,3,2,2,2,0,0,0,0,0,4,3,36,17,1,2,4,1,0,58,29,7,39,9,2,1,Sunday,993003112,7,28,18009,-3,0,-5,0.5,0,,,,,,,,,,,,-3.0,202210107,2022-09-11T13:00:00,1,2022,1,PIT,CIN,AWAY,23,20,43,Paycor Stadium,10,7,0,3,3,26,18,26:18,13,4,8,1,61,267,4.4,2,22,75,3.4,0,38,21,192,1,0,5.1,9.1,55.3,77.96,15,4,26.7,0,0,0.0,2,1,0,0,8,59,2,0,1,2,11,9,8,388,48.5,0,5,5,3,3,8,6,0,43,42,43:42,32,5,22,5,94,432,4.6,2,34,133,3.9,0,53,33,299,2,4,5.6,9.1,62.3,58.61,16,8,50.0,3,1,33.3,5,2,0,0,4,27,2,1,7,39,5,4,3,158,52.7,5,0,-5,50.0,0,40.0,0,2,2,0,0,0,0,0,4,3,1,0,1,2,1,0,0,3,2,58,29,7,39,9,2,1,36,17,1,2,4,1,0,Sunday,993003111,28,7,18009,3,1,5,0.267,0,,,,,,,,,,,,-3.0
202210105,2022-09-11T13:00:00,1,2022,1,CAR,CLE,HOME,24,26,50,Bank of America Stadium,0,7,0,17,0,21,34,21:34,15,5,7,3,50,261,5.2,3,19,54,2.8,2,27,16,207,1,1,7.7,12.9,59.3,80.32,11,4,36.4,0,0,0.0,3,2,0,0,8,96,5,0,4,28,5,4,5,250,50.0,1,0,-1,0,17,3,6,0,38,26,38:26,23,11,7,5,74,355,4.8,2,39,217,5.6,1,34,18,138,1,0,4.1,7.7,52.9,72.92,18,8,44.4,2,1,50.0,4,1,0,0,9,71,1,0,1,9,6,5,4,187,46.8,0,1,1,66.7,0,25.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,4,39,36,1,9,4,0,0,26,18,4,28,7,1,1,Sunday,993003124,5,8,18014,-2,0,-1,0.364,0,,,,,,,,,,,,-3.0,202210105,2022-09-11T13:00:00,1,2022,1,CLE,CAR,AWAY,26,24,50,Bank of America Stadium,0,17,3,6,0,38,26,38:26,23,11,7,5,74,355,4.8,2,39,217,5.6,1,34,18,138,1,0,4.1,7.7,52.9,72.92,18,8,44.4,2,1,50.0,4,1,0,0,9,71,1,0,1,9,6,5,4,187,46.8,0,1,1,0,7,0,17,0,21,34,21:34,15,5,7,3,50,261,5.2,3,19,54,2.8,2,27,16,207,1,1,7.7,12.9,59.3,80.32,11,4,36.4,0,0,0.0,3,2,0,0,8,96,5,0,4,28,5,4,5,250,50.0,1,0,-1,25.0,0,66.7,0,2,2,0,0,0,0,0,4,4,3,3,0,0,0,0,0,1,1,26,18,4,28,7,1,1,39,36,1,9,4,0,0,Sunday,993003123,8,5,18014,2,1,1,0.444,0,,,,,,,,,,,,-1.0
202210135,2022-09-11T13:00:00,1,2022,1,WAS,JAX,HOME,28,22,50,FedEx Field,7,7,0,14,0,32,57,32:57,26,7,16,3,70,390,5.6,4,28,85,3.0,0,41,27,305,4,2,7.4,11.3,65.9,100.15,10,7,70.0,0,0,0.0,2,2,0,0,6,63,1,1,1,8,10,3,3,147,49.0,3,1,-2,3,0,9,10,0,27,3,27:03,24,6,13,5,62,383,6.2,2,18,123,6.8,1,42,24,260,1,1,6.2,10.8,57.1,73.51,12,3,25.0,1,0,0.0,5,2,0,0,13,90,1,0,2,15,4,5,3,150,50.0,1,3,2,100.0,0,40.0,0,2,2,0,3,1,0,0,0,0,1,1,0,2,0,0,0,4,3,38,11,2,15,5,1,0,42,15,1,8,6,1,1,Sunday,993003116,35,15,18013,6,1,-2,0.7,0,,,,,,,,,,,,-9.0,202210135,2022-09-11T13:00:00,1,2022,1,JAX,WAS,AWAY,22,28,50,FedEx Field,3,0,9,10,0,27,3,27:03,24,6,13,5,62,383,6.2,2,18,123,6.8,1,42,24,260,1,1,6.2,10.8,57.1,73.51,12,3,25.0,1,0,0.0,5,2,0,0,13,90,1,0,2,15,4,5,3,150,50.0,1,3,2,7,7,0,14,0,32,57,32:57,26,7,16,3,70,390,5.6,4,28,85,3.0,0,41,27,305,4,2,7.4,11.3,65.9,100.15,10,7,70.0,0,0,0.0,2,2,0,0,6,63,1,1,1,8,10,3,3,147,49.0,3,1,-2,40.0,0,100.0,0,1,1,0,2,0,0,0,4,3,2,2,0,3,1,0,0,0,0,42,15,1,8,6,1,1,38,11,2,15,5,1,0,Sunday,993003115,15,35,18013,-6,0,2,0.25,0,,,,,,,,,,,,24.0
202210106,2022-09-11T13:00:00,1,2022,1,CHI,SF,HOME,19,10,29,Soldier Field,0,0,7,12,0,26,32,26:32,15,6,4,5,56,204,3.6,3,37,99,2.7,1,17,8,105,2,1,6.2,13.1,47.1,81.74,14,5,35.7,0,0,0.0,2,2,0,0,3,24,0,0,2,16,4,4,6,277,46.2,1,2,1,0,7,3,0,0,33,28,33:28,17,11,5,1,67,331,4.9,1,37,176,4.8,1,28,13,155,0,1,5.5,11.9,46.4,48.96,17,8,47.1,2,0,0.0,3,1,0,0,12,99,2,1,2,9,3,6,4,161,40.2,2,1,-1,100.0,0,33.3,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,47,12,2,9,3,1,1,34,14,2,16,2,0,0,Sunday,993003126,6,31,18008,9,1,1,0.357,0,,,,,,,,,,,,-17.0,202210106,2022-09-11T13:00:00,1,2022,1,SF,CHI,AWAY,10,19,29,Soldier Field,0,7,3,0,0,33,28,33:28,17,11,5,1,67,331,4.9,1,37,176,4.8,1,28,13,155,0,1,5.5,11.9,46.4,48.96,17,8,47.1,2,0,0.0,3,1,0,0,12,99,2,1,2,9,3,6,4,161,40.2,2,1,-1,0,0,7,12,0,26,32,26:32,15,6,4,5,56,204,3.6,3,37,99,2.7,1,17,8,105,2,1,6.2,13.1,47.1,81.74,14,5,35.7,0,0,0.0,2,2,0,0,3,24,0,0,2,16,4,4,6,277,46.2,1,2,1,33.3,0,100.0,0,1,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,34,14,2,16,2,0,0,47,12,2,9,3,1,1,Sunday,993003125,31,6,18008,-9,0,-1,0.471,0,,,,,,,,,,,,20.0
202210111,2022-09-11T13:00:00,1,2022,1,DET,PHI,HOME,35,38,73,Ford Field,7,7,7,14,0,28,26,28:26,23,9,12,2,66,386,5.8,5,28,181,6.5,3,37,21,205,2,1,5.5,9.8,56.8,79.22,14,9,64.3,1,1,100.0,4,4,0,0,7,65,1,0,1,10,5,4,4,185,46.2,1,0,-1,0,24,14,0,0,31,34,31:34,27,13,12,2,72,455,6.3,5,39,216,5.5,4,32,18,239,0,0,7.5,13.3,56.2,80.08,17,10,58.8,3,2,66.7,5,4,0,0,10,61,0,0,1,4,6,3,3,137,45.7,0,1,1,100.0,0,80.0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,48,18,1,4,5,0,0,37,16,1,10,4,0,0,Sunday,993003118,11,26,18010,-3,0,-1,0.643,0,,,,,,,,,,,,9.0,202210111,2022-09-11T13:00:00,1,2022,1,PHI,DET,AWAY,38,35,73,Ford Field,0,24,14,0,0,31,34,31:34,27,13,12,2,72,455,6.3,5,39,216,5.5,4,32,18,239,0,0,7.5,13.3,56.2,80.08,17,10,58.8,3,2,66.7,5,4,0,0,10,61,0,0,1,4,6,3,3,137,45.7,0,1,1,7,7,7,14,0,28,26,28:26,23,9,12,2,66,386,5.8,5,28,181,6.5,3,37,21,205,2,1,5.5,9.8,56.8,79.22,14,9,64.3,1,1,100.0,4,4,0,0,7,65,1,0,1,10,5,4,4,185,46.2,1,0,-1,80.0,0,100.0,0,5,5,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,37,16,1,10,4,0,0,48,18,1,4,5,0,0,Sunday,993003117,26,11,18010,3,1,1,0.588,0,,,,,,,,,,,,17.0
202210119,2022-09-11T13:00:00,1,2022,1,MIA,NE,HOME,20,7,27,Hard Rock Stadium,3,14,3,0,0,32,30,32:30,18,3,13,2,59,307,5.2,2,23,65,2.8,0,33,23,242,1,0,7.3,10.5,69.7,100.82,14,6,42.9,1,1,100.0,2,0,0,0,4,20,2,0,3,28,3,4,4,183,45.8,0,3,3,0,0,7,0,0,27,30,27:30,17,5,10,2,54,271,5.0,1,22,78,3.5,0,30,21,193,1,1,6.4,9.2,70.0,84.44,9,4,44.4,1,0,0.0,1,1,0,0,3,15,2,2,2,20,7,6,3,118,39.3,3,0,-3,0.0,0,100.0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,37,22,2,20,6,2,2,38,15,3,28,0,2,0,Sunday,993003114,19,21,18011,13,1,3,0.429,0,,,,,,,,,,,,4.0,202210119,2022-09-11T13:00:00,1,2022,1,NE,MIA,AWAY,7,20,27,Hard Rock Stadium,0,0,7,0,0,27,30,27:30,17,5,10,2,54,271,5.0,1,22,78,3.5,0,30,21,193,1,1,6.4,9.2,70.0,84.44,9,4,44.4,1,0,0.0,1,1,0,0,3,15,2,2,2,20,7,6,3,118,39.3,3,0,-3,3,14,3,0,0,32,30,32:30,18,3,13,2,59,307,5.2,2,23,65,2.8,0,33,23,242,1,0,7.3,10.5,69.7,100.82,14,6,42.9,1,1,100.0,2,0,0,0,4,20,2,0,3,28,3,4,4,183,45.8,0,3,3,100.0,0,0.0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,38,15,3,28,0,2,0,37,22,2,20,6,2,2,Sunday,993003113,21,19,18011,-13,0,-3,0.444,0,,,,,,,,,,,,3.0
202210124,2022-09-11T13:00:00,1,2022,1,NYJ,BAL,HOME,9,24,33,MetLife Stadium,0,3,0,6,0,32,30,32:30,24,3,18,3,79,380,4.8,1,17,83,4.9,0,59,37,297,1,1,5.0,8.0,62.7,73.91,14,2,14.3,4,3,75.0,2,1,0,0,6,81,2,1,3,12,4,2,6,253,42.2,2,1,-1,3,7,14,0,0,27,30,27:30,13,4,8,1,53,274,5.2,3,21,63,3.0,0,30,17,211,3,1,7.0,12.4,56.7,98.06,13,5,38.5,0,0,0.0,2,1,0,0,5,29,1,0,2,2,10,3,6,291,48.5,1,2,1,50.0,0,50.0,0,1,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,1,1,31,16,2,2,4,1,0,48,21,3,12,4,2,1,Sunday,993003128,24,3,18012,-15,0,-1,0.143,0,,,,,,,,,,,,1.0,202210124,2022-09-11T13:00:00,1,2022,1,BAL,NYJ,AWAY,24,9,33,MetLife Stadium,3,7,14,0,0,27,30,27:30,13,4,8,1,53,274,5.2,3,21,63,3.0,0,30,17,211,3,1,7.0,12.4,56.7,98.06,13,5,38.5,0,0,0.0,2,1,0,0,5,29,1,0,2,2,10,3,6,291,48.5,1,2,1,0,3,0,6,0,32,30,32:30,24,3,18,3,79,380,4.8,1,17,83,4.9,0,59,37,297,1,1,5.0,8.0,62.7,73.91,14,2,14.3,4,3,75.0,2,1,0,0,6,81,2,1,3,12,4,2,6,253,42.2,2,1,-1,50.0,0,50.0,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,48,21,3,12,4,2,1,31,16,2,2,4,1,0,Sunday,993003127,3,24,18012,15,1,1,0.385,0,,,,,,,,,,,,-4.0
202210102,2022-09-11T13:00:00,1,2022,1,ATL,NO,HOME,26,27,53,Mercedes-Benz Stadium,3,13,7,3,0,33,44,33:44,26,13,8,5,71,416,5.9,2,38,201,5.3,2,33,20,215,0,0,6.5,10.8,60.6,79.73,13,5,38.5,0,0,0.0,4,2,0,0,8,55,3,2,0,0,8,4,4,180,45.0,2,1,-1,7,0,3,17,0,26,16,26:16,18,5,12,1,57,385,6.8,3,19,151,7.9,1,34,23,234,2,0,6.9,10.2,67.6,106.74,13,4,30.8,0,0,0.0,3,3,0,0,8,99,1,1,4,35,1,2,5,272,54.4,1,2,1,50.0,0,100.0,0,2,2,0,0,0,0,0,5,4,1,1,0,3,1,0,0,3,2,31,27,4,35,2,1,1,50,16,0,0,2,2,2,Sunday,993003122,2,22,18007,-1,0,-1,0.385,0,,,,,,,,,,,,-4.0,202210102,2022-09-11T13:00:00,1,2022,1,NO,ATL,AWAY,27,26,53,Mercedes-Benz Stadium,7,0,3,17,0,26,16,26:16,18,5,12,1,57,385,6.8,3,19,151,7.9,1,34,23,234,2,0,6.9,10.2,67.6,106.74,13,4,30.8,0,0,0.0,3,3,0,0,8,99,1,1,4,35,1,2,5,272,54.4,1,2,1,3,13,7,3,0,33,44,33:44,26,13,8,5,71,416,5.9,2,38,201,5.3,2,33,20,215,0,0,6.5,10.8,60.6,79.73,13,5,38.5,0,0,0.0,4,2,0,0,8,55,3,2,0,0,8,4,4,180,45.0,2,1,-1,100.0,0,50.0,0,1,1,0,3,1,0,0,3,2,2,2,0,0,0,0,0,5,4,50,16,0,0,2,2,2,31,27,4,35,2,1,1,Sunday,993003121,22,2,18007,1,1,1,0.308,0,,,,,,,,,,,,-10.0
