GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210102,2022-09-11T13:00:00,1,2022,1,ATL,NO,HOME,26,27,53,Mercedes-Benz Stadium,3,13,7,3,0,33,44,33:44,26,13,8,5,71,416,5.9,2,38,201,5.3,2,33,20,215,0,0,6.5,10.8,60.6,79.73,13,5,38.5,0,0,0.0,4,2,0,0,8,55,3,2,0,0,8,4,4,180,45.0,2,1,-1,7,0,3,17,0,26,16,26:16,18,5,12,1,57,385,6.8,3,19,151,7.9,1,34,23,234,2,0,6.9,10.2,67.6,106.74,13,4,30.8,0,0,0.0,3,3,0,0,8,99,1,1,4,35,1,2,5,272,54.4,1,2,1,50.0,0,100.0,0,2,2,0,0,0,0,0,5,4,1,1,0,3,1,0,0,3,2,31,27,4,35,2,1,1,50,16,0,0,2,2,2,Sunday,993003122,2,22,18007
202210232,2022-09-18T16:05:00,1,2022,2,ATL,LAR,AWAY,27,31,58,SoFi Stadium,0,3,7,17,0,29,36,29:36,17,4,11,2,56,261,4.7,3,27,90,3.3,0,26,17,171,2,2,6.6,10.1,65.4,77.56,10,3,30.0,2,1,50.0,4,2,0,0,5,29,2,1,3,25,2,3,1,44,44.0,3,3,0,7,14,7,3,0,30,24,30:24,24,6,16,2,63,337,5.3,4,26,65,2.5,1,36,27,272,3,2,7.6,10.1,75.0,100.69,10,6,60.0,1,0,0.0,5,4,0,0,3,61,1,1,1,0,6,4,0,0,0.0,3,3,0,50.0,0,80.0,0,2,2,0,2,1,0,0,2,1,4,4,0,0,0,0,0,1,1,36,33,1,0,3,1,1,37,24,3,25,3,1,1,Sunday,993003157,2,32,18243
202210330,2022-09-25T16:25:00,1,2022,3,ATL,SEA,AWAY,27,23,50,Lumen Field,10,7,10,0,0,28,14,28:14,24,8,13,3,54,386,7.1,3,31,179,5.8,2,20,13,207,1,1,10.4,15.9,65.0,95.21,7,4,57.1,0,0,0.0,4,3,0,0,2,15,2,1,3,22,5,5,1,73,73.0,2,1,-1,10,10,3,0,0,31,46,31:46,23,8,15,0,69,420,6.1,2,23,112,4.9,0,44,32,308,2,1,7.0,9.6,72.7,97.54,17,9,52.9,3,2,66.7,5,2,0,0,6,47,0,0,2,17,6,2,2,102,51.0,1,2,1,75.0,0,40.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,49,14,2,17,8,0,0,36,17,3,22,2,1,1,Sunday,993003199,2,30,18060
202210402,2022-10-02T13:00:00,1,2022,4,ATL,CLE,HOME,23,20,43,Mercedes-Benz Stadium,10,0,0,13,0,24,16,24:16,19,11,6,2,55,333,6.1,2,35,202,5.8,2,19,7,131,0,1,6.9,18.7,36.8,39.58,9,3,33.3,0,0,0.0,4,2,0,0,1,15,1,0,1,8,7,3,3,153,51.0,1,2,1,0,10,3,7,0,35,44,35:44,22,13,9,0,71,403,5.7,2,35,177,5.1,2,35,21,226,0,1,6.5,10.8,60.0,67.08,14,5,35.7,3,2,66.7,3,1,0,0,7,51,1,1,1,8,5,5,3,144,48.0,2,1,-1,50.0,0,33.3,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,42,30,1,8,4,1,1,34,12,1,8,5,0,0,Sunday,993003226,2,8,18262
202210533,2022-10-09T13:00:00,1,2022,5,ATL,TB,AWAY,15,21,36,Raymond James Stadium,0,0,0,15,0,30,34,30:34,19,10,7,2,61,261,4.3,2,31,151,4.9,1,25,14,110,1,0,4.4,7.9,56.0,80.42,14,6,42.9,1,1,100.0,2,2,0,0,6,55,1,0,5,37,4,2,6,290,48.3,0,0,0,0,13,8,0,0,29,26,29:26,26,7,17,2,75,420,5.6,2,23,69,3.0,1,52,35,351,1,0,6.8,10.0,67.3,92.71,16,9,56.2,1,0,0.0,5,2,0,0,6,45,0,0,0,0,10,8,4,197,49.2,0,0,0,100.0,0,40.0,0,1,1,0,2,1,0,0,1,0,1,1,0,2,1,0,0,2,2,45,21,0,0,3,0,0,42,19,5,37,2,1,0,Sunday,993003255,2,33,18171
202210602,2022-10-16T13:00:00,1,2022,6,ATL,SF,HOME,28,14,42,Mercedes-Benz Stadium,14,7,7,0,0,33,25,33:25,18,10,7,1,56,289,5.2,4,40,168,4.2,1,14,13,121,2,0,8.6,9.3,92.9,142.26,14,9,64.3,0,0,0.0,3,3,0,0,5,40,1,0,2,8,4,2,5,215,43.0,0,3,3,0,14,0,0,0,26,35,26:35,21,4,15,2,57,346,6.1,2,16,50,3.1,0,41,29,296,2,2,7.2,10.2,70.7,87.04,8,3,37.5,1,0,0.0,3,2,0,0,5,30,1,1,0,0,2,3,3,158,52.7,3,0,-3,100.0,0,66.7,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,33,28,0,0,8,1,1,49,26,2,8,0,1,0,Sunday,993003280,2,31,18180
202210707,2022-10-23T13:00:00,1,2022,7,ATL,CIN,AWAY,17,35,52,Paycor Stadium,0,17,0,0,0,26,55,26:55,13,7,5,1,45,214,4.8,2,29,107,3.7,1,13,8,107,1,0,8.2,13.4,61.5,113.3,10,4,40.0,0,0,0.0,1,1,0,0,3,22,1,0,3,17,6,4,6,282,47.0,0,0,0,14,14,7,0,0,33,5,33:05,29,5,22,2,66,537,8.1,5,21,78,3.7,2,42,34,459,3,0,10.9,13.5,81.0,136.01,11,7,63.6,1,0,0.0,3,2,0,0,5,17,0,0,3,22,5,5,2,93,46.5,0,0,0,100.0,0,66.7,0,2,2,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,43,26,3,22,4,0,0,33,16,3,17,2,0,0,Sunday,993003303,2,7,18036
202210802,2022-10-30T13:00:00,1,2022,8,ATL,CAR,HOME,37,34,71,Mercedes-Benz Stadium,0,14,7,13,3,36,34,36:34,21,7,14,0,67,406,6.1,4,37,167,4.5,0,28,20,239,3,2,8.5,12.0,71.4,103.12,12,6,50.0,0,0,0.0,3,1,0,0,7,64,1,0,2,14,2,4,4,210,52.5,2,1,-1,3,7,3,21,0,31,31,31:31,23,10,12,1,73,478,6.5,4,36,169,4.7,3,36,19,309,1,1,8.6,16.3,52.8,79.51,13,5,38.5,2,1,50.0,5,3,0,0,9,74,0,0,1,8,8,6,3,141,47.0,1,2,1,33.3,0,60.0,0,4,4,0,0,0,0,0,3,3,3,2,0,0,0,1,1,3,2,43,24,1,8,7,0,0,47,28,2,14,6,1,0,Sunday,993003338,2,5,18120
202210902,2022-11-06T13:00:00,1,2022,9,ATL,LAC,HOME,17,20,37,Mercedes-Benz Stadium,10,0,7,0,0,31,49,31:49,19,12,7,0,60,315,5.2,2,35,201,5.7,2,23,12,114,0,0,5.0,9.5,52.2,66.21,11,5,45.5,0,0,0.0,4,2,0,0,2,15,2,2,2,15,2,3,4,204,51.0,2,2,0,0,14,0,6,0,28,11,28:11,19,3,16,0,67,336,5.0,2,24,91,3.8,1,43,30,245,1,1,5.7,8.2,69.8,82.03,16,8,50.0,1,1,100.0,4,2,0,0,5,45,1,1,0,0,3,4,4,168,42.0,2,2,0,50.0,0,50.0,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,40,37,0,0,5,1,1,40,22,2,15,1,1,2,Sunday,993003358,2,29,18134
202211005,2022-11-10T20:15:00,1,2022,10,ATL,CAR,AWAY,15,25,40,Bank of America Stadium,0,3,6,6,0,25,48,25:48,20,6,11,3,60,291,4.8,2,25,138,5.5,0,30,19,153,2,1,5.1,8.1,63.3,84.44,11,3,27.3,2,0,0.0,2,1,0,0,4,37,0,0,5,33,3,6,5,174,34.8,1,0,-1,3,10,6,6,0,34,12,34:12,18,13,4,1,64,333,5.2,2,47,232,4.9,2,16,10,101,0,0,6.3,10.1,62.5,80.47,15,6,40.0,0,0,0.0,2,1,0,0,10,89,0,0,1,7,9,11,5,216,43.2,0,1,1,50.0,0,50.0,0,2,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,4,4,37,38,1,7,4,0,0,33,30,5,33,4,0,0,Thursday,993003381,2,5,18063
