GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210105,2022-09-11T13:00:00,1,2022,1,CAR,CLE,HOME,24,26,50,Bank of America Stadium,0,7,0,17,0,21,34,21:34,15,5,7,3,50,261,5.2,3,19,54,2.8,2,27,16,207,1,1,7.7,12.9,59.3,80.32,11,4,36.4,0,0,0.0,3,2,0,0,8,96,5,0,4,28,5,4,5,250,50.0,1,0,-1,0,17,3,6,0,38,26,38:26,23,11,7,5,74,355,4.8,2,39,217,5.6,1,34,18,138,1,0,4.1,7.7,52.9,72.92,18,8,44.4,2,1,50.0,4,1,0,0,9,71,1,0,1,9,6,5,4,187,46.8,0,1,1,66.7,0,25.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,4,39,36,1,9,4,0,0,26,18,4,28,7,1,1,Sunday,993003124,5,8,18014
202210223,2022-09-18T13:00:00,1,2022,2,CAR,NYG,AWAY,16,19,35,MetLife Stadium,0,6,7,3,0,24,3,24:03,18,7,7,4,54,275,5.1,1,23,146,6.3,0,29,14,129,1,0,4.4,9.2,48.3,72.34,12,2,16.7,1,1,100.0,4,1,0,0,5,38,3,2,2,16,9,9,5,212,42.4,2,0,-2,6,0,7,6,0,35,57,35:57,18,8,8,2,70,265,3.8,1,33,103,3.1,0,34,22,162,1,0,4.8,7.4,64.7,85.66,18,6,33.3,1,1,100.0,3,1,0,0,8,62,0,0,3,14,4,5,5,253,50.6,0,2,2,25.0,0,33.3,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,4,4,45,28,3,14,2,0,0,32,15,2,16,4,3,2,Sunday,993003155,5,23,18024
202210305,2022-09-25T13:00:00,1,2022,3,CAR,NO,HOME,22,14,36,Bank of America Stadium,7,6,0,9,0,30,10,30:10,12,7,5,0,59,293,5.0,2,31,145,4.7,0,25,12,148,1,0,5.9,12.3,48.0,80.08,14,4,28.6,1,0,0.0,1,0,0,0,4,40,0,0,3,22,6,3,6,281,46.8,0,3,3,0,0,0,14,0,29,50,29:50,19,4,14,1,64,426,6.7,2,22,84,3.8,1,41,25,342,1,2,8.3,13.7,61.0,75.46,13,5,38.5,0,0,0.0,4,2,0,0,7,58,4,1,1,11,6,4,6,285,47.5,3,0,-3,0.0,0,50.0,0,1,1,0,1,0,0,0,3,3,2,2,0,0,0,0,0,2,0,38,12,1,11,8,1,1,32,28,3,22,4,0,0,Sunday,993003192,5,22,18056
202210405,2022-10-02T16:05:00,1,2022,4,CAR,ARI,HOME,16,26,42,Bank of America Stadium,0,10,0,6,0,21,25,21:25,11,3,8,0,51,220,4.3,2,13,40,3.1,0,36,22,180,1,2,5.0,8.2,61.1,59.95,10,2,20.0,3,1,33.3,1,1,0,0,6,76,4,1,2,17,1,5,4,209,52.2,3,1,-2,0,3,7,16,0,38,35,38:35,20,8,10,2,70,338,4.8,3,37,132,3.6,1,32,23,206,2,1,6.4,9.0,71.9,96.61,15,6,40.0,2,0,0.0,5,2,0,0,7,61,2,0,1,1,3,3,3,170,56.7,1,3,2,100.0,0,40.0,0,1,1,0,2,0,0,0,1,1,2,2,0,1,0,0,0,2,2,41,29,1,1,3,1,1,25,22,2,17,8,1,1,Sunday,993003228,5,1,18271
202210505,2022-10-09T16:05:00,1,2022,5,CAR,SF,HOME,15,37,52,Bank of America Stadium,0,3,9,3,0,29,42,29:42,15,4,10,1,65,308,4.7,1,17,64,3.8,1,42,25,244,0,1,5.8,9.8,59.5,65.97,15,3,20.0,5,3,60.0,3,1,0,0,5,33,2,0,6,31,5,6,3,154,51.3,1,1,0,7,10,7,13,0,30,18,30:18,22,9,12,1,61,397,6.5,5,29,153,5.3,2,30,18,244,2,0,8.1,13.6,60.0,108.19,12,7,58.3,0,0,0.0,4,4,0,0,9,50,2,1,2,9,11,7,2,75,37.5,1,1,0,33.3,0,100.0,0,0,0,0,1,0,0,0,4,3,5,4,0,0,0,0,0,2,1,34,21,2,9,5,1,1,36,30,6,31,8,1,0,Sunday,993003260,5,31,18174
202210632,2022-10-16T16:05:00,1,2022,6,CAR,LAR,AWAY,10,24,34,SoFi Stadium,3,7,0,0,0,22,55,22:55,8,3,5,0,44,203,4.6,1,21,93,4.4,0,21,13,110,0,1,5.2,8.5,61.9,55.65,10,2,20.0,0,0,0.0,1,0,0,0,3,30,0,0,2,9,3,3,7,362,51.7,1,1,0,0,7,10,7,0,37,5,37:05,22,5,16,1,63,360,5.7,3,29,111,3.8,2,33,26,249,1,1,7.5,9.6,78.8,95.58,12,6,50.0,0,0,0.0,4,3,0,0,7,49,0,0,1,4,3,2,5,240,48.0,1,1,0,0.0,0,75.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,43,25,1,4,3,0,0,25,28,2,9,4,0,0,Sunday,993003287,5,32,18188
202210705,2022-10-23T13:00:00,1,2022,7,CAR,TB,HOME,21,3,24,Bank of America Stadium,0,7,7,7,0,29,24,29:24,14,5,8,1,50,343,6.9,3,27,173,6.4,1,22,16,170,2,0,7.7,10.6,72.7,125.19,12,4,33.3,0,0,0.0,1,1,0,0,3,15,0,0,1,7,3,3,7,360,51.4,0,0,0,0,0,0,3,0,30,36,30:36,17,3,14,0,66,322,4.9,0,16,46,2.9,0,49,32,276,0,0,5.6,8.6,65.3,79.97,12,2,16.7,3,1,33.3,1,0,0,0,4,30,1,0,1,14,3,5,6,279,46.5,0,0,0,100.0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,42,19,1,14,1,0,0,30,23,1,7,1,0,0,Sunday,993003310,5,33,18040
202210802,2022-10-30T13:00:00,1,2022,8,CAR,ATL,AWAY,34,37,71,Mercedes-Benz Stadium,3,7,3,21,0,31,31,31:31,23,10,12,1,73,478,6.5,4,36,169,4.7,3,36,19,309,1,1,8.6,16.3,52.8,79.51,13,5,38.5,2,1,50.0,5,3,0,0,9,74,0,0,1,8,8,6,3,141,47.0,1,2,1,0,14,7,13,3,36,34,36:34,21,7,14,0,67,406,6.1,4,37,167,4.5,0,28,20,239,3,2,8.5,12.0,71.4,103.12,12,6,50.0,0,0,0.0,3,1,0,0,7,64,1,0,2,14,2,4,4,210,52.5,2,1,-1,60.0,0,33.3,0,3,2,0,0,0,1,1,3,2,4,4,0,0,0,0,0,3,3,47,28,2,14,6,1,0,43,24,1,8,7,0,0,Sunday,993003337,5,2,18120
202210907,2022-11-06T13:00:00,1,2022,9,CAR,CIN,AWAY,21,42,63,Paycor Stadium,0,0,7,14,0,20,39,20:39,13,4,8,1,48,228,4.8,3,18,64,3.6,1,30,17,164,2,2,5.5,9.6,56.7,66.53,8,2,25.0,1,1,100.0,3,3,0,0,7,50,1,1,0,0,3,2,5,270,54.0,3,0,-3,7,28,7,0,0,39,21,39:21,30,19,10,1,72,464,6.4,6,39,241,6.2,5,31,25,223,1,0,7.2,8.9,80.6,107.39,10,6,60.0,0,0,0.0,6,6,0,0,5,35,1,0,2,5,1,1,3,120,40.0,0,3,3,100.0,0,100.0,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,0,50,30,2,5,3,1,0,25,22,0,0,4,1,1,Sunday,993003365,5,7,18136
202211005,2022-11-10T20:15:00,1,2022,10,CAR,ATL,HOME,25,15,40,Bank of America Stadium,3,10,6,6,0,34,12,34:12,18,13,4,1,64,333,5.2,2,47,232,4.9,2,16,10,101,0,0,6.3,10.1,62.5,80.47,15,6,40.0,0,0,0.0,2,1,0,0,10,89,0,0,1,7,9,11,5,216,43.2,0,1,1,0,3,6,6,0,25,48,25:48,20,6,11,3,60,291,4.8,2,25,138,5.5,0,30,19,153,2,1,5.1,8.1,63.3,84.44,11,3,27.3,2,0,0.0,2,1,0,0,4,37,0,0,5,33,3,6,5,174,34.8,1,0,-1,50.0,0,50.0,0,2,1,0,0,0,0,0,4,4,2,0,1,0,0,0,0,1,1,33,30,5,33,4,0,0,37,38,1,7,4,0,0,Thursday,993003382,5,2,18063
