GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210106,2022-09-11T13:00:00,1,2022,1,CHI,SF,HOME,19,10,29,Soldier Field,0,0,7,12,0,26,32,26:32,15,6,4,5,56,204,3.6,3,37,99,2.7,1,17,8,105,2,1,6.2,13.1,47.1,81.74,14,5,35.7,0,0,0.0,2,2,0,0,3,24,0,0,2,16,4,4,6,277,46.2,1,2,1,0,7,3,0,0,33,28,33:28,17,11,5,1,67,331,4.9,1,37,176,4.8,1,28,13,155,0,1,5.5,11.9,46.4,48.96,17,8,47.1,2,0,0.0,3,1,0,0,12,99,2,1,2,9,3,6,4,161,40.2,2,1,-1,100.0,0,33.3,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,47,12,2,9,3,1,1,34,14,2,16,2,0,0,Sunday,993003126,6,31,18008
202210212,2022-09-18T20:20:00,1,2022,2,CHI,GB,AWAY,10,27,37,Lambeau Field,7,0,3,0,0,22,45,22:45,11,9,2,0,41,228,5.6,1,27,180,6.7,1,11,7,48,0,1,4.4,6.9,63.6,35.42,7,1,14.3,1,0,0.0,2,1,0,0,7,50,1,0,3,22,4,8,4,198,49.5,1,1,0,3,21,0,3,0,37,15,37:15,26,13,10,3,66,414,6.3,3,38,203,5.3,1,25,19,211,2,0,8.4,11.1,76.0,127.25,9,5,55.6,0,0,0.0,5,3,0,0,3,25,3,1,3,23,5,6,2,122,61.0,1,1,0,50.0,0,60.0,0,1,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,44,29,3,23,1,0,1,31,14,3,22,2,0,0,Sunday,993003167,6,12,18031
202210306,2022-09-25T13:00:00,1,2022,3,CHI,HOU,HOME,23,20,43,Soldier Field,10,3,7,3,0,31,22,31:22,17,12,5,0,62,363,5.9,2,40,281,7.0,2,17,8,82,0,2,4.8,10.2,47.1,21.81,14,6,42.9,0,0,0.0,3,2,0,0,6,32,2,0,5,24,3,5,4,182,45.5,2,2,0,7,7,6,0,0,28,38,28:38,17,6,9,2,57,329,5.8,2,24,92,3.8,1,32,20,237,1,2,7.4,11.8,62.5,69.4,12,3,25.0,1,1,100.0,4,2,0,0,3,25,3,0,1,8,9,6,5,242,48.4,2,2,0,66.7,0,50.0,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,31,33,1,8,6,3,0,41,21,5,24,3,0,1,Sunday,993003180,6,13,18050
202210423,2022-10-02T13:00:00,1,2022,4,CHI,NYG,AWAY,12,20,32,MetLife Stadium,6,3,3,0,0,28,43,28:43,16,7,6,3,60,304,5.1,0,32,149,4.7,0,22,11,155,0,0,7.0,14.1,50.0,73.11,15,5,33.3,0,0,0.0,3,0,0,0,5,65,6,3,6,19,2,3,5,264,52.8,3,2,-1,7,7,3,3,0,31,17,31:17,21,14,5,2,61,333,5.5,2,44,262,6.0,2,16,9,71,0,1,4.4,7.9,56.2,41.41,14,6,42.9,0,0,0.0,2,1,0,0,7,55,2,1,1,11,9,6,5,273,54.6,2,3,1,0.0,0,50.0,0,0,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,3,2,41,31,1,11,1,2,1,37,27,6,19,3,3,3,Sunday,993003223,6,23,18266
202210520,2022-10-09T13:00:00,1,2022,5,CHI,MIN,AWAY,22,29,51,U.S. Bank Stadium,3,7,9,3,0,23,16,23:16,14,4,9,1,47,271,5.8,2,24,78,3.2,1,21,15,193,1,0,9.2,12.9,71.4,115.77,10,4,40.0,1,1,100.0,2,2,0,0,6,40,3,1,2,15,3,4,2,112,56.0,1,1,0,7,14,0,8,0,36,44,36:44,29,10,18,1,74,429,5.8,4,31,117,3.8,3,42,33,312,1,1,7.4,9.5,78.6,95.63,15,12,80.0,0,0,0.0,4,4,0,0,7,70,1,0,1,7,3,5,1,15,15.0,1,1,0,100.0,0,100.0,0,1,1,0,2,0,0,0,3,3,3,3,0,2,1,0,0,2,0,51,25,1,7,3,1,0,31,19,2,15,2,2,1,Sunday,993003247,6,20,18167
202210606,2022-10-13T20:15:00,1,2022,6,CHI,WAS,HOME,7,12,19,Soldier Field,0,0,7,0,0,32,12,32:12,20,9,9,2,69,392,5.7,1,37,238,6.4,0,27,14,154,1,1,5.7,11.0,51.9,65.97,13,5,38.5,4,1,25.0,3,0,0,0,4,42,2,1,5,36,3,3,4,185,46.2,2,0,-2,0,3,0,9,0,27,48,27:48,14,7,5,2,53,214,4.0,1,28,128,4.6,1,22,12,86,0,0,3.9,7.2,54.5,63.83,11,2,18.2,0,0,0.0,2,1,0,0,7,36,1,0,3,13,12,4,6,307,51.2,0,2,2,0.0,0,50.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,37,21,3,13,4,1,0,45,22,5,36,5,1,1,Thursday,993003270,6,35,18179
202210721,2022-10-24T20:15:00,1,2022,7,CHI,NE,AWAY,33,14,47,Gillette Stadium,10,10,6,7,0,37,14,37:14,24,13,10,1,70,390,5.6,3,45,243,5.4,2,21,13,147,1,1,7.0,11.3,61.9,78.87,18,11,61.1,1,0,0.0,4,2,0,0,4,35,5,0,4,32,3,2,2,81,40.5,1,4,3,0,14,0,0,0,22,46,22:46,12,3,9,0,48,260,5.4,2,19,70,3.7,1,28,17,190,1,3,6.8,11.2,60.7,53.27,10,5,50.0,1,0,0.0,1,1,0,0,4,30,1,1,1,8,4,4,4,160,40.0,4,1,-3,50.0,0,100.0,0,3,3,0,0,0,0,0,4,4,2,2,0,0,0,0,0,0,0,30,11,1,8,7,0,1,44,40,4,32,4,2,0,Monday,993003323,6,21,18048
202210809,2022-10-30T13:00:00,1,2022,8,CHI,DAL,AWAY,29,49,78,AT&T Stadium,0,17,6,6,0,36,4,36:04,22,15,4,3,71,371,5.2,4,43,240,5.6,2,24,18,131,2,0,5.5,7.3,75.0,115.1,15,6,40.0,3,2,66.7,6,4,0,0,6,45,1,1,4,25,2,2,4,203,50.8,1,1,0,14,14,14,7,0,23,56,23:56,24,9,15,0,57,442,7.8,7,29,200,6.9,4,27,21,242,2,1,9.0,11.5,77.8,113.27,11,9,81.8,0,0,0.0,4,4,0,0,6,41,0,0,1,8,5,7,2,142,71.0,1,1,0,66.7,0,100.0,0,2,2,0,3,0,0,0,1,1,7,7,0,0,0,0,0,0,0,37,16,1,8,3,0,0,48,28,4,25,3,1,1,Sunday,993003339,6,9,18121
202210906,2022-11-06T13:00:00,1,2022,9,CHI,MIA,HOME,32,35,67,Soldier Field,3,14,8,7,0,34,46,34:46,23,15,7,1,70,368,5.3,4,40,252,6.3,1,28,17,116,3,0,4.1,6.8,60.7,105.65,16,10,62.5,2,1,50.0,4,3,0,0,4,92,0,0,2,7,3,1,2,83,41.5,0,0,0,7,14,14,0,0,25,14,25:14,21,3,15,3,53,379,7.2,5,23,77,3.3,1,30,21,302,3,0,10.1,14.4,70.0,135.69,10,5,50.0,2,0,0.0,6,4,0,0,3,38,1,0,0,0,2,3,1,51,51.0,0,0,0,75.0,0,66.7,0,3,3,0,2,1,0,0,1,1,5,5,0,0,0,0,0,1,0,36,7,0,0,2,0,0,46,23,2,7,1,0,0,Sunday,993003370,6,19,18135
202211006,2022-11-13T13:00:00,1,2022,10,CHI,DET,HOME,30,31,61,Soldier Field,3,7,14,6,0,29,12,29:12,19,12,6,1,58,408,7.0,4,35,258,7.4,2,20,12,150,2,1,7.5,12.5,60.0,95.83,11,6,54.5,1,0,0.0,3,2,0,0,9,86,1,0,3,17,3,8,3,129,43.0,1,0,-1,3,7,0,21,0,30,48,30:48,25,9,12,4,59,323,5.5,4,31,95,3.1,2,26,19,228,1,0,8.8,12.0,73.1,112.34,11,5,45.5,1,1,100.0,5,3,0,0,2,15,1,0,2,8,4,4,4,185,46.2,0,1,1,66.7,0,60.0,0,4,3,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,45,11,2,8,2,0,0,44,15,3,17,4,1,0,Sunday,993003388,6,11,18065
