GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210107,2022-09-11T13:00:00,1,2022,1,CIN,PIT,HOME,20,23,43,Paycor Stadium,3,3,8,6,0,43,42,43:42,32,5,22,5,94,432,4.6,2,34,133,3.9,0,53,33,299,2,4,5.6,9.1,62.3,58.61,16,8,50.0,3,1,33.3,5,2,0,0,4,27,2,1,7,39,5,4,3,158,52.7,5,0,-5,10,7,0,3,3,26,18,26:18,13,4,8,1,61,267,4.4,2,22,75,3.4,0,38,21,192,1,0,5.1,9.1,55.3,77.96,15,4,26.7,0,0,0.0,2,1,0,0,8,59,2,0,1,2,11,9,8,388,48.5,0,5,5,40.0,0,50.0,0,1,0,1,2,1,0,0,3,2,2,2,0,0,0,0,0,4,3,36,17,1,2,4,1,0,58,29,7,39,9,2,1,Sunday,993003112,7,28,18009
202210209,2022-09-18T16:25:00,1,2022,2,CIN,DAL,AWAY,17,20,37,AT&T Stadium,3,0,6,8,0,33,48,33:48,19,3,13,3,67,254,3.8,1,25,89,3.6,0,36,24,165,1,0,4.6,6.9,66.7,86.0,17,6,35.3,1,1,100.0,1,1,0,0,7,35,1,0,6,34,5,4,5,236,47.2,0,1,1,14,3,0,3,0,26,12,26:12,19,7,11,1,59,337,5.7,2,27,107,4.0,1,31,19,230,1,0,7.4,12.1,61.3,94.83,10,3,30.0,1,1,100.0,2,2,0,0,5,45,1,1,1,5,9,8,5,217,43.4,1,0,-1,100.0,0,100.0,0,0,0,0,2,1,0,0,3,3,2,2,0,0,0,0,0,2,2,41,10,1,5,3,1,1,39,25,6,34,4,1,0,Sunday,993003163,7,9,18244
202210324,2022-09-25T13:00:00,1,2022,3,CIN,NYJ,AWAY,27,12,39,MetLife Stadium,14,6,7,0,0,32,24,32:24,20,6,12,2,66,330,5.0,3,28,69,2.5,0,36,23,261,3,0,7.2,11.3,63.9,113.31,14,7,50.0,1,0,0.0,4,2,0,0,5,30,2,1,2,14,10,6,3,142,47.3,1,4,3,6,3,3,0,0,27,36,27:36,19,4,13,2,76,328,4.3,0,20,76,3.8,0,52,28,252,0,2,4.8,9.0,53.8,51.12,18,7,38.9,3,0,0.0,2,0,0,0,4,55,3,2,4,33,9,7,3,146,48.7,4,1,-3,50.0,0,0.0,0,3,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,4,42,23,4,33,8,3,3,41,20,2,14,4,1,1,Sunday,993003181,7,24,18054
202210407,2022-09-29T20:15:00,1,2022,4,CIN,MIA,HOME,27,15,42,Paycor Stadium,7,7,0,13,0,31,35,31:35,16,4,11,1,63,371,5.9,3,30,67,2.2,1,32,21,304,2,0,9.5,14.5,65.6,117.19,15,8,53.3,1,0,0.0,3,2,0,0,6,74,0,0,1,6,9,4,4,159,39.8,0,2,2,3,9,3,0,0,28,25,28:25,20,3,13,4,60,378,6.3,1,22,85,3.9,0,37,22,293,1,2,7.9,13.3,59.5,71.11,10,2,20.0,1,0,0.0,3,1,0,0,6,41,0,0,1,10,3,2,3,150,50.0,2,0,-2,66.7,0,33.3,0,3,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,4,3,37,16,1,10,5,0,0,35,23,1,6,1,0,0,Thursday,993003206,7,19,18261
202210503,2022-10-09T20:20:00,1,2022,5,CIN,BAL,AWAY,17,19,36,M&T Bank Stadium,0,10,0,7,0,30,1,30:01,20,7,10,3,59,291,4.9,2,21,101,4.8,1,35,24,190,1,1,5.4,7.9,68.6,79.46,10,4,40.0,1,0,0.0,3,2,0,0,4,20,0,0,3,27,4,2,4,154,38.5,1,1,0,3,7,3,6,0,29,59,29:59,22,13,7,2,61,325,5.3,1,28,155,5.5,0,32,19,170,1,1,5.3,8.9,59.4,71.09,11,5,45.5,1,0,0.0,3,1,0,0,6,48,1,0,1,4,5,5,2,79,39.5,1,1,0,66.7,0,33.3,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,41,21,1,4,3,0,0,39,17,3,27,5,0,0,Sunday,993003265,7,3,18177
202210622,2022-10-16T13:00:00,1,2022,6,CIN,NO,AWAY,30,26,56,Caesars Superdome,7,7,7,9,0,27,46,27:46,21,7,13,1,54,348,6.4,4,14,75,5.4,1,37,28,273,3,0,7.4,9.8,75.7,122.92,10,6,60.0,0,0,0.0,3,3,0,0,3,30,1,1,3,27,5,5,3,131,43.7,1,0,-1,7,13,3,3,0,32,14,32:14,22,9,12,1,71,399,5.6,2,34,228,6.7,1,36,19,171,1,0,4.8,9.0,52.8,75.12,17,8,47.1,1,0,0.0,5,1,0,0,4,34,0,0,1,7,6,3,3,149,49.7,0,1,1,100.0,0,20.0,0,3,3,0,1,0,0,0,1,1,2,2,0,0,0,0,0,4,4,36,36,1,7,4,0,0,37,6,3,27,3,1,1,Sunday,993003275,7,22,18185
202210707,2022-10-23T13:00:00,1,2022,7,CIN,ATL,HOME,35,17,52,Paycor Stadium,14,14,7,0,0,33,5,33:05,29,5,22,2,66,537,8.1,5,21,78,3.7,2,42,34,459,3,0,10.9,13.5,81.0,136.01,11,7,63.6,1,0,0.0,3,2,0,0,5,17,0,0,3,22,5,5,2,93,46.5,0,0,0,0,17,0,0,0,26,55,26:55,13,7,5,1,45,214,4.8,2,29,107,3.7,1,13,8,107,1,0,8.2,13.4,61.5,113.3,10,4,40.0,0,0,0.0,1,1,0,0,3,22,1,0,3,17,6,4,6,282,47.0,0,0,0,66.7,0,100.0,0,5,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,33,16,3,17,2,0,0,43,26,3,22,4,0,0,Sunday,993003304,7,2,18036
202210808,2022-10-31T20:15:00,1,2022,8,CIN,CLE,AWAY,13,32,45,FirstEnergy Stadium,0,0,0,13,0,23,15,23:15,15,3,9,3,50,229,4.6,2,10,36,3.6,0,35,25,193,2,1,5.5,7.7,71.4,91.73,10,4,40.0,1,0,0.0,1,1,0,0,2,6,1,1,5,39,7,3,4,147,36.8,2,2,0,0,11,14,7,0,36,45,36:45,24,12,12,0,69,440,6.4,4,44,172,3.9,3,23,17,268,1,1,11.7,15.8,73.9,108.61,13,8,61.5,0,0,0.0,5,4,0,0,6,56,1,1,2,10,7,4,2,67,33.5,2,2,0,100.0,0,80.0,0,2,1,0,0,0,0,0,1,0,3,3,0,0,0,1,1,2,1,45,35,2,10,1,1,1,29,23,5,39,6,1,1,Monday,993003353,7,8,18132
202210907,2022-11-06T13:00:00,1,2022,9,CIN,CAR,HOME,42,21,63,Paycor Stadium,7,28,7,0,0,39,21,39:21,30,19,10,1,72,464,6.4,6,39,241,6.2,5,31,25,223,1,0,7.2,8.9,80.6,107.39,10,6,60.0,0,0,0.0,6,6,0,0,5,35,1,0,2,5,1,1,3,120,40.0,0,3,3,0,0,7,14,0,20,39,20:39,13,4,8,1,48,228,4.8,3,18,64,3.6,1,30,17,164,2,2,5.5,9.6,56.7,66.53,8,2,25.0,1,1,100.0,3,3,0,0,7,50,1,1,0,0,3,2,5,270,54.0,3,0,-3,100.0,0,100.0,0,6,6,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,25,22,0,0,4,1,1,50,30,2,5,3,1,0,Sunday,993003366,7,5,18136
202211128,2022-11-20T16:25:00,1,2022,11,CIN,PIT,AWAY,37,30,67,Acrisure Stadium,10,7,10,10,0,31,36,31:36,22,3,18,1,65,408,6.3,4,24,62,2.6,0,39,24,346,4,2,8.9,14.4,61.5,103.15,9,3,33.3,0,0,0.0,3,3,0,0,6,44,0,0,2,9,7,5,3,150,50.0,2,0,-2,3,17,3,7,0,28,24,28:24,17,5,10,2,68,351,5.2,3,24,102,4.2,2,42,25,249,1,0,5.9,10.0,59.5,84.33,17,8,47.1,1,0,0.0,5,3,0,0,8,70,1,0,2,16,7,4,6,273,45.5,0,2,2,100.0,0,60.0,0,4,4,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,3,43,28,2,16,3,0,0,32,30,2,9,8,0,0,Sunday,993003431,7,28,18087
