GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210109,2022-09-11T20:20:00,1,2022,1,DAL,TB,HOME,3,19,22,AT&T Stadium,3,0,0,0,0,27,18,27:18,12,4,8,0,64,244,3.8,0,18,71,3.9,0,42,21,173,0,1,4.1,8.2,50.0,50.99,15,3,20.0,5,2,40.0,0,0,0,0,10,73,0,0,4,25,4,6,5,254,50.8,1,1,0,6,6,7,0,0,32,42,32:42,18,9,9,0,62,347,5.6,1,33,152,4.6,0,27,18,195,1,1,7.2,10.8,66.7,84.65,14,5,35.7,0,0,0.0,3,1,0,0,5,25,0,0,2,17,8,7,3,152,50.7,1,1,0,0.0,0,33.3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,5,4,40,24,2,17,3,0,0,36,14,4,25,6,0,0,Sunday,993003138,9,33,18020
202210209,2022-09-18T16:25:00,1,2022,2,DAL,CIN,HOME,20,17,37,AT&T Stadium,14,3,0,3,0,26,12,26:12,19,7,11,1,59,337,5.7,2,27,107,4.0,1,31,19,230,1,0,7.4,12.1,61.3,94.83,10,3,30.0,1,1,100.0,2,2,0,0,5,45,1,1,1,5,9,8,5,217,43.4,1,0,-1,3,0,6,8,0,33,48,33:48,19,3,13,3,67,254,3.8,1,25,89,3.6,0,36,24,165,1,0,4.6,6.9,66.7,86.0,17,6,35.3,1,1,100.0,1,1,0,0,7,35,1,0,6,34,5,4,5,236,47.2,0,1,1,100.0,0,100.0,0,2,2,0,0,0,0,0,2,2,0,0,0,2,1,0,0,3,3,39,25,6,34,4,1,0,41,10,1,5,3,1,1,Sunday,993003164,9,7,18244
202210323,2022-09-26T20:15:00,1,2022,3,DAL,NYG,AWAY,23,16,39,MetLife Stadium,3,3,7,10,0,32,42,32:42,23,9,12,2,61,391,6.4,2,30,176,5.9,1,31,21,215,1,0,6.9,10.2,67.7,98.19,13,5,38.5,1,1,100.0,4,2,0,0,8,70,0,0,0,0,12,7,4,178,44.5,0,1,1,0,3,10,3,0,27,18,27:18,22,10,8,4,67,336,5.0,1,25,167,6.7,1,37,20,169,0,1,4.6,8.4,54.1,54.9,11,3,27.3,1,0,0.0,0,0,0,0,8,57,0,0,5,27,2,1,3,135,45.0,1,0,-1,50.0,0,0.0,0,2,2,0,0,0,0,0,4,3,1,1,0,0,0,0,0,4,3,46,8,5,27,5,0,0,35,37,0,0,3,0,0,Monday,993003203,9,23,18062
202210409,2022-10-02T13:00:00,1,2022,4,DAL,WAS,HOME,25,10,35,AT&T Stadium,3,9,3,10,0,26,54,26:54,15,2,9,4,57,279,4.9,2,29,62,2.1,0,27,15,217,2,0,8.0,14.5,55.6,106.56,15,5,33.3,0,0,0.0,3,1,0,0,4,20,0,0,1,6,11,6,6,256,42.7,0,2,2,0,7,3,0,0,33,6,33:06,17,6,10,1,71,297,4.2,1,27,142,5.3,0,42,25,155,1,2,3.7,6.2,59.5,55.16,15,5,33.3,2,0,0.0,3,1,0,0,11,136,1,0,2,15,4,7,6,270,45.0,2,0,-2,33.3,0,33.3,0,2,1,1,0,0,0,0,4,4,1,1,0,0,0,0,0,1,1,46,16,2,15,4,1,0,31,25,1,6,4,0,0,Sunday,993003218,9,35,18263
202210532,2022-10-09T16:25:00,1,2022,5,DAL,LAR,AWAY,22,10,32,SoFi Stadium,9,7,3,3,0,29,30,29:30,10,6,4,0,53,239,4.5,2,34,163,4.8,1,16,10,76,0,0,4.8,7.6,62.5,73.96,15,5,33.3,0,0,0.0,2,0,0,0,5,42,2,0,3,26,11,6,6,288,48.0,0,3,3,3,7,0,0,0,30,30,30:30,14,2,10,2,64,323,5.0,1,15,38,2.5,0,44,29,285,1,1,6.5,9.8,65.9,82.1,17,6,35.3,1,1,100.0,2,0,0,0,3,25,2,2,5,35,6,3,5,223,44.6,3,0,-3,0.0,0,0.0,0,1,1,0,1,0,0,0,3,3,1,1,0,0,0,0,0,2,1,42,14,5,35,2,2,2,31,27,3,26,3,2,0,Sunday,993003261,9,32,18175
202210626,2022-10-16T20:20:00,1,2022,6,DAL,PHI,AWAY,17,26,43,Lincoln Financial Field,0,3,7,7,0,25,30,25:30,21,8,12,1,64,315,4.9,2,26,134,5.2,1,38,18,181,1,3,4.8,10.1,47.4,37.28,10,4,40.0,1,0,0.0,3,2,0,0,10,72,0,0,0,0,4,6,2,119,59.5,3,0,-3,0,20,0,6,0,34,30,34:30,22,9,9,4,68,268,3.9,3,39,136,3.5,1,25,15,132,2,0,5.3,8.8,60.0,100.75,14,6,42.9,1,1,100.0,4,3,0,0,2,10,1,0,4,23,4,0,4,187,46.8,0,3,3,66.7,0,75.0,0,2,2,0,0,0,0,0,2,1,2,2,0,1,0,0,0,2,2,45,28,4,23,3,0,0,35,24,0,0,12,0,0,Sunday,993003293,9,26,18191
202210709,2022-10-23T13:00:00,1,2022,7,DAL,DET,HOME,24,6,30,AT&T Stadium,0,3,7,14,0,28,46,28:46,21,8,10,3,59,330,5.6,3,32,139,4.3,2,25,19,191,1,0,7.6,10.1,76.0,110.58,9,3,33.3,0,0,0.0,4,3,0,0,7,55,2,1,2,16,5,5,5,243,48.6,1,5,4,3,3,0,0,0,31,14,31:14,18,6,11,1,56,312,5.6,0,25,117,4.7,0,26,21,195,0,2,7.5,9.3,80.8,65.87,9,3,33.3,0,0,0.0,1,0,0,0,8,59,5,3,5,33,6,4,3,144,48.0,5,1,-4,75.0,0,0.0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,44,18,5,33,4,4,4,46,17,2,16,1,2,1,Sunday,993003300,9,11,18037
202210809,2022-10-30T13:00:00,1,2022,8,DAL,CHI,HOME,49,29,78,AT&T Stadium,14,14,14,7,0,23,56,23:56,24,9,15,0,57,442,7.8,7,29,200,6.9,4,27,21,242,2,1,9.0,11.5,77.8,113.27,11,9,81.8,0,0,0.0,4,4,0,0,6,41,0,0,1,8,5,7,2,142,71.0,1,1,0,0,17,6,6,0,36,4,36:04,22,15,4,3,71,371,5.2,4,43,240,5.6,2,24,18,131,2,0,5.5,7.3,75.0,115.1,15,6,40.0,3,2,66.7,6,4,0,0,6,45,1,1,4,25,2,2,4,203,50.8,1,1,0,100.0,0,66.7,0,7,7,0,0,0,0,0,0,0,2,2,0,3,0,0,0,1,1,48,28,4,25,3,1,1,37,16,1,8,3,0,0,Sunday,993003340,9,6,18121
202211012,2022-11-13T16:25:00,1,2022,10,DAL,GB,AWAY,28,31,59,Lambeau Field,0,14,14,0,0,30,59,30:59,24,10,13,1,79,421,5.3,4,31,159,5.1,1,46,27,262,3,2,5.7,9.7,58.7,78.35,15,5,33.3,3,2,66.7,4,3,0,0,9,83,1,0,2,3,2,4,5,246,49.2,2,2,0,0,14,0,14,3,35,55,35:55,20,9,8,3,61,415,6.8,4,39,207,5.3,1,20,14,208,3,0,10.4,14.9,70.0,143.33,13,6,46.2,1,1,100.0,3,2,0,0,6,40,3,2,2,16,6,3,4,160,40.0,2,2,0,75.0,0,66.7,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,1,45,26,2,16,0,3,2,50,23,2,3,6,1,0,Sunday,993003403,9,12,18004
202211120,2022-11-20T16:25:00,1,2022,11,DAL,MIN,AWAY,40,3,43,U.S. Bank Stadium,10,13,14,3,0,37,24,37:24,23,12,11,0,70,458,6.5,4,40,151,3.8,2,30,26,307,2,0,10.2,11.8,86.7,131.53,17,12,70.6,0,0,0.0,3,2,0,0,6,39,1,0,0,0,13,8,2,101,50.5,0,1,1,3,0,0,0,0,22,36,22:36,16,3,10,3,54,183,3.4,0,17,73,4.3,0,30,17,110,0,0,3.7,6.5,56.7,64.58,11,1,9.1,0,0,0.0,1,0,0,0,7,59,2,1,7,49,1,8,7,338,48.3,1,0,-1,66.7,0,0.0,0,4,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,37,8,7,49,4,2,1,55,17,0,0,1,0,0,Sunday,993003429,9,20,18085
