GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210111,2022-09-11T13:00:00,1,2022,1,DET,PHI,HOME,35,38,73,Ford Field,7,7,7,14,0,28,26,28:26,23,9,12,2,66,386,5.8,5,28,181,6.5,3,37,21,205,2,1,5.5,9.8,56.8,79.22,14,9,64.3,1,1,100.0,4,4,0,0,7,65,1,0,1,10,5,4,4,185,46.2,1,0,-1,0,24,14,0,0,31,34,31:34,27,13,12,2,72,455,6.3,5,39,216,5.5,4,32,18,239,0,0,7.5,13.3,56.2,80.08,17,10,58.8,3,2,66.7,5,4,0,0,10,61,0,0,1,4,6,3,3,137,45.7,0,1,1,100.0,0,80.0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,48,18,1,4,5,0,0,37,16,1,10,4,0,0,Sunday,993003118,11,26,18010
202210211,2022-09-18T13:00:00,1,2022,2,DET,WAS,HOME,36,27,63,Ford Field,12,10,7,7,0,27,57,27:57,17,5,12,0,61,425,7.0,4,24,191,8.0,0,34,20,234,4,0,6.9,11.7,58.8,119.0,13,4,30.8,2,0,0.0,6,4,0,0,1,5,0,0,3,22,11,5,5,277,55.4,0,1,1,0,0,15,12,0,32,3,32:03,21,6,15,0,72,396,5.5,4,21,88,4.2,1,46,30,308,3,1,6.7,10.3,65.2,97.01,15,7,46.7,2,1,50.0,3,3,0,0,2,17,1,0,5,29,10,3,6,284,47.3,1,0,-1,66.7,0,100.0,0,4,4,0,0,0,0,0,2,2,2,1,0,4,1,0,0,0,0,45,23,5,29,2,1,0,32,20,3,22,5,0,0,Sunday,993003148,11,35,18242
202210320,2022-09-25T13:00:00,1,2022,3,DET,MIN,AWAY,24,28,52,U.S. Bank Stadium,7,7,10,0,0,34,4,34:04,23,6,14,3,76,416,5.5,3,35,139,4.0,2,41,25,277,1,1,6.8,11.1,61.0,79.01,16,3,18.8,6,4,66.7,3,3,0,0,7,59,0,0,0,0,7,3,3,134,44.7,1,1,0,0,14,0,14,0,25,56,25:56,30,9,16,5,67,373,5.6,4,25,123,4.9,2,41,24,250,2,0,6.1,10.4,58.5,92.53,9,2,22.2,2,1,50.0,3,3,0,0,3,15,2,1,1,10,2,4,3,156,52.0,1,1,0,100.0,0,100.0,0,3,3,0,0,0,0,0,3,1,4,4,0,0,0,0,0,2,0,42,15,1,10,3,0,1,53,22,0,0,7,0,0,Sunday,993003185,11,20,18053
202210411,2022-10-02T13:00:00,1,2022,4,DET,SEA,HOME,45,48,93,Ford Field,6,9,8,22,0,26,54,26:54,27,6,19,2,66,520,7.9,6,25,145,5.8,2,40,27,375,4,1,9.4,13.9,67.5,120.31,10,4,40.0,3,3,100.0,4,4,0,0,8,59,1,1,1,9,3,4,2,97,48.5,2,1,-1,14,10,14,10,0,33,6,33:06,27,12,14,1,63,555,8.8,6,33,235,7.1,3,30,23,320,2,0,10.7,13.9,76.7,132.64,12,9,75.0,0,0,0.0,4,3,0,0,11,76,1,1,0,0,3,1,0,0,0.0,1,2,1,100.0,0,75.0,0,4,2,0,2,1,1,1,1,1,6,6,0,0,0,0,0,3,2,46,14,0,0,3,1,1,39,26,1,9,4,1,1,Sunday,993003216,11,30,18264
202210521,2022-10-09T13:00:00,1,2022,5,DET,NE,AWAY,0,29,29,Gillette Stadium,0,0,0,0,0,28,31,28:31,17,6,9,2,64,312,4.9,0,27,101,3.7,0,35,19,211,0,1,6.0,11.1,54.3,60.54,12,4,33.3,6,0,0.0,3,0,0,0,7,82,1,1,2,18,0,6,2,88,44.0,2,1,-1,3,13,10,3,0,31,29,31:29,22,7,11,4,56,364,6.5,2,35,176,5.0,0,21,17,188,1,1,9.0,11.1,81.0,100.0,9,3,33.3,0,0,0.0,4,0,0,0,6,46,1,0,0,0,6,3,2,101,50.5,1,2,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,5,44,18,0,0,2,0,0,39,25,2,18,3,1,1,Sunday,993003251,11,21,18168
202210709,2022-10-23T13:00:00,1,2022,7,DET,DAL,AWAY,6,24,30,AT&T Stadium,3,3,0,0,0,31,14,31:14,18,6,11,1,56,312,5.6,0,25,117,4.7,0,26,21,195,0,2,7.5,9.3,80.8,65.87,9,3,33.3,0,0,0.0,1,0,0,0,8,59,5,3,5,33,6,4,3,144,48.0,5,1,-4,0,3,7,14,0,28,46,28:46,21,8,10,3,59,330,5.6,3,32,139,4.3,2,25,19,191,1,0,7.6,10.1,76.0,110.58,9,3,33.3,0,0,0.0,4,3,0,0,7,55,2,1,2,16,5,5,5,243,48.6,1,5,4,0.0,0,75.0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,46,17,2,16,1,2,1,44,18,5,33,4,4,4,Sunday,993003299,11,9,18037
202210811,2022-10-30T13:00:00,1,2022,8,DET,MIA,HOME,27,31,58,Ford Field,14,13,0,0,0,25,38,25:38,22,7,13,2,57,393,6.9,3,19,82,4.3,2,37,27,311,1,0,8.4,11.5,73.0,106.93,9,4,44.4,2,1,50.0,4,3,0,0,6,30,0,0,1,10,2,5,2,117,58.5,0,1,1,7,10,14,0,0,34,22,34:22,27,8,18,1,64,476,7.4,4,26,107,4.1,1,36,29,369,3,0,10.2,12.7,80.6,137.15,12,8,66.7,1,1,100.0,3,3,0,0,7,55,1,1,2,13,4,3,1,38,38.0,1,0,-1,75.0,0,100.0,0,3,3,0,0,0,0,0,2,2,4,4,0,0,0,0,0,1,1,45,16,2,13,2,1,1,39,18,1,10,3,0,0,Sunday,993003336,11,19,18122
202210911,2022-11-06T13:00:00,1,2022,9,DET,GB,HOME,15,9,24,Ford Field,0,8,0,7,0,25,18,25:18,19,5,10,4,57,254,4.5,2,31,117,3.8,0,26,14,137,2,1,5.3,9.8,53.8,78.53,11,6,54.5,2,0,0.0,3,2,0,0,7,62,1,0,0,0,5,3,3,136,45.3,1,3,2,0,0,6,3,0,34,42,34:42,19,6,11,2,69,389,5.6,1,25,106,4.2,0,43,23,283,1,3,6.6,12.3,53.5,52.76,15,8,53.3,4,1,25.0,4,0,0,0,8,81,2,0,1,8,3,2,1,31,31.0,3,1,-2,66.7,0,0.0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,38,36,1,8,9,2,0,34,23,0,0,4,0,0,Sunday,993003368,11,12,18137
202211006,2022-11-13T13:00:00,1,2022,10,DET,CHI,AWAY,31,30,61,Soldier Field,3,7,0,21,0,30,48,30:48,25,9,12,4,59,323,5.5,4,31,95,3.1,2,26,19,228,1,0,8.8,12.0,73.1,112.34,11,5,45.5,1,1,100.0,5,3,0,0,2,15,1,0,2,8,4,4,4,185,46.2,0,1,1,3,7,14,6,0,29,12,29:12,19,12,6,1,58,408,7.0,4,35,258,7.4,2,20,12,150,2,1,7.5,12.5,60.0,95.83,11,6,54.5,1,0,0.0,3,2,0,0,9,86,1,0,3,17,3,8,3,129,43.0,1,0,-1,60.0,0,66.7,0,4,4,0,0,0,0,0,1,1,4,3,0,0,0,0,0,1,1,44,15,3,17,4,1,0,45,11,2,8,2,0,0,Sunday,993003387,11,6,18065
202211123,2022-11-20T13:00:00,1,2022,11,DET,NYG,AWAY,31,18,49,MetLife Stadium,3,14,7,7,0,31,48,31:48,23,12,9,2,63,325,5.2,4,37,160,4.3,4,26,17,165,0,0,6.3,9.7,65.4,83.01,13,6,46.2,0,0,0.0,5,4,0,0,5,45,2,0,0,0,10,5,5,241,48.2,0,3,3,6,0,0,12,0,28,12,28:12,25,7,17,1,72,413,5.7,3,26,89,3.4,2,44,27,324,1,2,7.4,12.0,61.4,72.54,13,5,38.5,3,2,66.7,3,3,0,0,8,63,2,1,2,17,3,4,4,153,38.2,3,0,-3,80.0,0,100.0,0,4,4,0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,0,47,17,2,17,4,1,1,43,21,0,0,3,1,0,Sunday,993003417,11,23,18081
